(Mr. Chief Justice STONE, delivered, opinion) [Mr. Chief Justice STONE delivered the opinion of the Court.]
(Mr. Chief Justice STONE, delivered, opinion of Court) [Mr. Chief Justice STONE delivered the opinion of the Court.]
(Appellant, American citizen of, ancestry) [Appellant, an American citizen of Japanese ancestry, was convicted in the district court of violating the Act of Congress of March 21, 1942, 56 Stat.]
(Appellant, citizen of, Japanese ancestry) [Appellant, an American citizen of Japanese ancestry, was convicted in the district court of violating the Act of Congress of March 21, 1942, 56 Stat.]
(Appellant, citizen of, Japanese ancestry) [Appellant, an American citizen of Japanese ancestry, was convicted in the district court of violating the Act of Congress of March 21, 1942, 56 Stat.]
(Appellant, American citizen of, Japanese ancestry) [Appellant, an American citizen of Japanese ancestry, was convicted in the district court of violating the Act of Congress of March 21, 1942, 56 Stat.]
(Appellant, was, convicted) [Appellant, an American citizen of Japanese ancestry, was convicted in the district court of violating the Act of Congress of March 21, 1942, 56 Stat.]
(Appellant, citizen of, ancestry) [Appellant, an American citizen of Japanese ancestry, was convicted in the district court of violating the Act of Congress of March 21, 1942, 56 Stat.]
(it, disregard, restrictions made by commander to persons) [173, 18 U.S.C.A. 97a, which makes it a misdemeanor knowingly to disregard restrictions made applicable by a military commander to persons in a military area prescribed by him as such, all as authorized by an Executive Order of the President.]
(Acting, conferred upon, us) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(we, might proceed, had brought by appeal) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(we, might proceed to, decision in controversy in same manner) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(record, be certified, we might proceed to decision in controversy in same manner) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(we, might proceed to, decision of matter in controversy in manner) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(it, had, had brought) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(we, might proceed to, decision of matter in controversy) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(record, be certified, we might proceed) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(Acting, conferred by, section) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(entire record, be certified to, Court) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(entire record, be certified, we might proceed to decision of matter) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(record, be certified, we might proceed to decision of matter in controversy in manner) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(record, be certified, we might proceed to decision in controversy) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(entire record, be certified, we might proceed to decision of matter in controversy in manner) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(we, might proceed to, decision in controversy in manner) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(we, might proceed, had brought here) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(it, had, had brought here by appeal) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(entire record, be certified, we might proceed to decision of matter in controversy in same manner) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(entire record, be certified, we might proceed) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(record, be, certified) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(it, had, had brought here) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(record, be certified, we might proceed to decision of matter in controversy) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(record, be certified, we might proceed to decision of matter) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(record, be certified, we might proceed to decision) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(we, might proceed to, decision of matter) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(decision, is in, controversy) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(entire record, be certified, we might proceed to decision of matter in controversy) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(entire record, be certified, we might proceed to decision in controversy in manner) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(we, might proceed to, decision in controversy) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(record, be certified, we might proceed to decision of matter in controversy in same manner) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(entire record, be certified, we might proceed to decision in controversy) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(we, might proceed, had brought here by appeal) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(record, be certified, we might proceed to decision in controversy in manner) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(it, had, had brought by appeal) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(entire record, be certified, we might proceed to decision in controversy in same manner) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(entire record, be, certified) [Acting under the authority conferred upon us by that section we ordered that the entire record be certified to this Court so that we might proceed to a decision of the matter in controversy in the same manner as if it had been brought here by appeal.]
(conviction, be, sustained) [Since the sentences of three months each imposed by the district court on the two counts were ordered to run concurrently, it will be unnecessary to consider questions raised with respect to the first count if we find that the conviction on the second count, for violation of the curfew order, must be sustained.]
(it, consider, questions) [Since the sentences of three months each imposed by the district court on the two counts were ordered to run concurrently, it will be unnecessary to consider questions raised with respect to the first count if we find that the conviction on the second count, for violation of the curfew order, must be sustained.]
(it, consider, questions raised) [Since the sentences of three months each imposed by the district court on the two counts were ordered to run concurrently, it will be unnecessary to consider questions raised with respect to the first count if we find that the conviction on the second count, for violation of the curfew order, must be sustained.]
(it, will, will unnecessary) [Since the sentences of three months each imposed by the district court on the two counts were ordered to run concurrently, it will be unnecessary to consider questions raised with respect to the first count if we find that the conviction on the second count, for violation of the curfew order, must be sustained.]
(United States, v. Gorin is, 33 61 S.Ct) [345, 347, 37 A.L. R. 1407; Gorin v. United States, 312 U.S. 19, 33 , 61 S.Ct.]
(sanction, prescribed by, Act) [The curfew order which appellant violated, and to which the sanction prescribed by the Act of Congress has been deemed to attach, purported to be issued pursuant to an Executive Order of the President.]
(sanction, attach, purported) [The curfew order which appellant violated, and to which the sanction prescribed by the Act of Congress has been deemed to attach, purported to be issued pursuant to an Executive Order of the President.]
(appellant, violated, to which has deemed) [The curfew order which appellant violated, and to which the sanction prescribed by the Act of Congress has been deemed to attach, purported to be issued pursuant to an Executive Order of the President.]
(appellant, violated, has deemed) [The curfew order which appellant violated, and to which the sanction prescribed by the Act of Congress has been deemed to attach, purported to be issued pursuant to an Executive Order of the President.]
(sanction, prescribed by, Act Congress) [The curfew order which appellant violated, and to which the sanction prescribed by the Act of Congress has been deemed to attach, purported to be issued pursuant to an Executive Order of the President.]
(it, becomes, passing) [In passing upon the authority of the military commander to make and execute the order, it becomes necessary to consider in some detail the official action which preceded or accompanied the order and from which it derives its purported authority.]
(it, becomes, necessary) [In passing upon the authority of the military commander to make and execute the order, it becomes necessary to consider in some detail the official action which preceded or accompanied the order and from which it derives its purported authority.]
(Congress, declared war On, December 8 1941 one day after) [On December 8, 1941, one day after the bombing of Pearl Harbor by a Japanese air force, Congress declared war against Japan.]
(Congress, declared, war against Japan) [On December 8, 1941, one day after the bombing of Pearl Harbor by a Japanese air force, Congress declared war against Japan.]
(Congress, declared On, December 8 1941 one day after) [On December 8, 1941, one day after the bombing of Pearl Harbor by a Japanese air force, Congress declared war against Japan.]
(Congress, declared war On, December 8 1941) [On December 8, 1941, one day after the bombing of Pearl Harbor by a Japanese air force, Congress declared war against Japan.]
(Congress, declared, war) [On December 8, 1941, one day after the bombing of Pearl Harbor by a Japanese air force, Congress declared war against Japan.]
(Congress, declared On, December 8 1941) [On December 8, 1941, one day after the bombing of Pearl Harbor by a Japanese air force, Congress declared war against Japan.]
(President, promulgated, Executive Order No. 9066) [On February 19, 1942, the President promulgated Executive Order No. 9066.]
(authority vested, is in, him) [By virtue of the authority vested [320 U.S. 81, 86] � in him as President and as Commander in Chief of the Army and Navy, the President purported to 'authorize and direct the Secretary of War, and the Military Commanders whom he may from time to time designate, whenever he or any designated Commander deems such action necessary or desirable, to prescribe military areas in such places and of such extent as he or the appropriate Military Commander may determine, from which any or all persons may be excluded, and with respect to which, the right of any person to enter, remain in, or leave shall be subject to whatever restrictions the Secretary of War or the appropriate Military Commander may impose in his discretion.']
(Commander, is in, Chief of Army) [By virtue of the authority vested [320 U.S. 81, 86] � in him as President and as Commander in Chief of the Army and Navy, the President purported to 'authorize and direct the Secretary of War, and the Military Commanders whom he may from time to time designate, whenever he or any designated Commander deems such action necessary or desirable, to prescribe military areas in such places and of such extent as he or the appropriate Military Commander may determine, from which any or all persons may be excluded, and with respect to which, the right of any person to enter, remain in, or leave shall be subject to whatever restrictions the Secretary of War or the appropriate Military Commander may impose in his discretion.']
(areas, is in, such places) [By virtue of the authority vested [320 U.S. 81, 86] � in him as President and as Commander in Chief of the Army and Navy, the President purported to 'authorize and direct the Secretary of War, and the Military Commanders whom he may from time to time designate, whenever he or any designated Commander deems such action necessary or desirable, to prescribe military areas in such places and of such extent as he or the appropriate Military Commander may determine, from which any or all persons may be excluded, and with respect to which, the right of any person to enter, remain in, or leave shall be subject to whatever restrictions the Secretary of War or the appropriate Military Commander may impose in his discretion.']
(Lt. General J. L. DeWitt, comprising, Pacific Coast states) [On February 20, 1942, the Secretary of War designated Lt. General J. L. DeWitt as Military Commander of the Western Defense Command, comprising the Pacific Coast states and some others, to carry out there the duties prescribed by Executive Order No. 9066.]
(Secretary, designated Lt. General J. L. DeWitt as, Military Commander of Western Defense Command) [On February 20, 1942, the Secretary of War designated Lt. General J. L. DeWitt as Military Commander of the Western Defense Command, comprising the Pacific Coast states and some others, to carry out there the duties prescribed by Executive Order No. 9066.]
(Lt. General J. L. DeWitt, carry out there, duties prescribed by Executive Order No. 9066) [On February 20, 1942, the Secretary of War designated Lt. General J. L. DeWitt as Military Commander of the Western Defense Command, comprising the Pacific Coast states and some others, to carry out there the duties prescribed by Executive Order No. 9066.]
(Lt. General J. L. DeWitt, carry out there, duties) [On February 20, 1942, the Secretary of War designated Lt. General J. L. DeWitt as Military Commander of the Western Defense Command, comprising the Pacific Coast states and some others, to carry out there the duties prescribed by Executive Order No. 9066.]
(Lt. General J. L. DeWitt, carry out, duties prescribed by Executive Order No. 9066) [On February 20, 1942, the Secretary of War designated Lt. General J. L. DeWitt as Military Commander of the Western Defense Command, comprising the Pacific Coast states and some others, to carry out there the duties prescribed by Executive Order No. 9066.]
(Lt. General J. L. DeWitt, carry out, duties prescribed) [On February 20, 1942, the Secretary of War designated Lt. General J. L. DeWitt as Military Commander of the Western Defense Command, comprising the Pacific Coast states and some others, to carry out there the duties prescribed by Executive Order No. 9066.]
(Lt. General J. L. DeWitt, comprising, others) [On February 20, 1942, the Secretary of War designated Lt. General J. L. DeWitt as Military Commander of the Western Defense Command, comprising the Pacific Coast states and some others, to carry out there the duties prescribed by Executive Order No. 9066.]
(Secretary, designated Lt. General J. L. DeWitt as, Military Commander) [On February 20, 1942, the Secretary of War designated Lt. General J. L. DeWitt as Military Commander of the Western Defense Command, comprising the Pacific Coast states and some others, to carry out there the duties prescribed by Executive Order No. 9066.]
(Secretary, designated Lt. General J. L. DeWitt On, February 20 1942) [On February 20, 1942, the Secretary of War designated Lt. General J. L. DeWitt as Military Commander of the Western Defense Command, comprising the Pacific Coast states and some others, to carry out there the duties prescribed by Executive Order No. 9066.]
(Secretary, designated, Lt. General J. L. DeWitt) [On February 20, 1942, the Secretary of War designated Lt. General J. L. DeWitt as Military Commander of the Western Defense Command, comprising the Pacific Coast states and some others, to carry out there the duties prescribed by Executive Order No. 9066.]
(Lt. General J. L. DeWitt, carry out there, duties prescribed) [On February 20, 1942, the Secretary of War designated Lt. General J. L. DeWitt as Military Commander of the Western Defense Command, comprising the Pacific Coast states and some others, to carry out there the duties prescribed by Executive Order No. 9066.]
(Lt. General J. L. DeWitt, carry out, duties) [On February 20, 1942, the Secretary of War designated Lt. General J. L. DeWitt as Military Commander of the Western Defense Command, comprising the Pacific Coast states and some others, to carry out there the duties prescribed by Executive Order No. 9066.]
(General DeWitt, promulgated, Public Proclamation No. 1) [On March 2, 1942, General DeWitt promulgated Public Proclamation No. 1.]
(Pacific Coast, is particularly subject in, connection) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(entire Pacific Coast, is, by its location particularly subject to attack to attempted invasion in connection therewith) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(proclamation recited, requiring, adoption) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(Pacific Coast, is, by its location particularly subject to attack in connection therewith) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(Pacific Coast, is, particularly subject to attack to invasion in connection therewith) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(entire Pacific Coast, is subject by, its geographical location) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(Pacific Coast, is, by its geographical location particularly subject to attack to invasion) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(entire Pacific Coast, is, by its geographical location subject to invasion in connection) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(entire Pacific Coast, is particularly subject to, attempted invasion) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(entire Pacific Coast, is subject to, attack) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(proclamation recited, thereby requiring, adoption of military measures necessary) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(Pacific Coast, is, by its location subject to invasion) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(entire Pacific Coast, is, particularly subject to attack to invasion in connection) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(entire Pacific Coast, is, subject to attack in connection) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(Pacific Coast, is subject to, attack) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(entire Pacific Coast, is, subject to invasion in connection therewith) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(Pacific Coast, is, by its geographical location particularly subject in connection) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(Pacific Coast, is particularly subject to, invasion) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(entire Pacific Coast, is, by its geographical location subject to attack to invasion) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(Pacific Coast, is subject to, attempted invasion) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(entire Pacific Coast, is particularly subject to, attack) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(Pacific Coast, is, by its location subject to attack to attempted invasion) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(Pacific Coast, is subject in, connection therewith) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(entire Pacific Coast, is subject to, invasion) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(entire Pacific Coast, is, particularly subject to invasion in connection therewith) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(entire Pacific Coast, is, by its location subject to invasion) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(proclamation recited, thereby requiring, adoption of military measures) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(entire Pacific Coast, is subject in, connection therewith) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(entire Pacific Coast, is particularly subject to, invasion) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(Pacific Coast, is, by its geographical location particularly subject to invasion) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(entire Pacific Coast, is, by its location particularly subject to attempted invasion in connection) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(entire Pacific Coast, is, by its location particularly subject to attempted invasion in connection therewith) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(entire Pacific Coast, is, by its location subject in connection therewith) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(entire Pacific Coast, is, by its geographical location particularly subject to attack to invasion in connection therewith) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(entire Pacific Coast, is, by its location subject to invasion in connection) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(proclamation recited, thereby requiring, adoption of measures necessary) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(Pacific Coast, is, by its location subject to attack in connection) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(Pacific Coast, is, subject to invasion in connection therewith) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(entire Pacific Coast, is, by its geographical location particularly subject to invasion in connection therewith) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(Pacific Coast, is, subject to attack to invasion in connection therewith) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(Pacific Coast, is, by its location particularly subject to invasion in connection) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(Pacific Coast, is subject in, connection) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
(Pacific Coast, is, subject to attack in connection therewith) [The proclamation recited that the entire Pacific Coast 'by its geographical location is particularly subject to attack, to attempted invasion by the armed forces of nations with which the United States is now at war, and, in connection therewith, is subject to espionage and acts of sabotage, thereby requiring the adoption of military measures necessary to establish safeguards against such enemy operations'.]
