(SAMUELS ET AL., v. BRUCE is, 2016)
(its allied provision, so triggered immediately, calls for payments)
(its provision, triggered, calls for monthly payments of 20 percent simultaneously for action pursued)
(its allied provision, triggered immediately, calls for payments of 20 percent of month 's income simultaneously for action pursued)
(its allied provision, so triggered, calls for monthly payments of 20 percent of month 's income simultaneously for action pursued)
(its allied provision, calls for, monthly payments of 20 percent of preceding month 's income simultaneously for action pursued)
(its provision, so triggered immediately, calls for monthly payments simultaneously for action pursued)
(its provision, calls for, monthly payments of 20 percent simultaneously for action pursued)
(its allied provision, triggered, calls for payments simultaneously for action pursued)
(its provision, calls for, payments of 20 percent)
(its provision, so triggered, calls for monthly payments of 20 percent of month 's income)
(its allied provision, so triggered, calls for payments of 20 percent of preceding month 's income)
(its provision, triggered immediately, calls for payments simultaneously for action pursued)
(its provision, calls for, payments of 20 percent of preceding month 's income)
(its provision, triggered, calls for payments)
(its provision, calls for, payments of 20 percent of month 's income simultaneously for action pursued)
(its provision, triggered immediately, calls for monthly payments of 20 percent simultaneously for action pursued)
(its provision, calls for, monthly payments simultaneously for action pursued)
(its provision, so triggered immediately, calls for payments of 20 percent of preceding month 's income)
(its provision, triggered immediately, calls for monthly payments of 20 percent of preceding month 's income simultaneously for action pursued)
(its provision, so triggered immediately, calls for monthly payments of 20 percent simultaneously for action pursued)
(its provision, triggered, calls)
(its provision, triggered immediately, calls for payments of 20 percent simultaneously for action pursued)
(its provision, so triggered immediately, calls for payments of 20 percent of preceding month 's income simultaneously for action pursued)
(its provision, calls for, monthly payments of 20 percent of month 's income)
(its allied provision, triggered, calls for monthly payments simultaneously for action pursued)
(its allied provision, so triggered, calls for monthly payments of 20 percent)
(its provision, calls for, monthly payments of 20 percent)
(its allied provision, triggered immediately, calls for payments of 20 percent of month 's income)
(its provision, triggered immediately, calls for payments of 20 percent of month 's income)
(its allied provision, triggered immediately, calls for monthly payments of 20 percent simultaneously for action pursued)
(its allied provision, triggered immediately, calls for monthly payments)
(its allied provision, triggered, calls for payments of 20 percent of month 's income)
(its provision, so triggered, calls)
(its allied provision, so triggered, calls for payments of 20 percent)
(its allied provision, so triggered immediately, calls for monthly payments of 20 percent)
(its allied provision, triggered immediately, calls)
(its allied provision, triggered, calls for monthly payments)
(its allied provision, triggered immediately, calls for payments simultaneously for action pursued)
(its allied provision, so triggered immediately, calls for monthly payments simultaneously for action pursued)
(its allied provision, triggered immediately, calls for payments)
(its provision, calls for, payments simultaneously for action pursued)
(its provision, triggered, calls for monthly payments)
(its allied provision, so triggered, calls for monthly payments of 20 percent of preceding month 's income simultaneously for action pursued)
(its allied provision, so triggered, calls for payments)
(its provision, so triggered immediately, calls for monthly payments)
(its provision, calls for, monthly payments of 20 percent of preceding month 's income simultaneously for action pursued)
(its allied provision, so triggered immediately, calls for payments simultaneously for action pursued)
(its allied provision, so triggered immediately, calls for monthly payments of 20 percent simultaneously for action pursued)
(its provision, so triggered, calls for payments simultaneously for action pursued)
(its provision, so triggered immediately, calls for payments)
(its provision, calls for, payments of 20 percent of month 's income)
(its provision, so triggered, calls for monthly payments of 20 percent simultaneously for action pursued)
(its provision, triggered, calls for monthly payments of 20 percent of preceding month 's income)
(its allied provision, triggered, calls for payments of 20 percent of preceding month 's income)
(its allied provision, so triggered immediately, calls for payments of 20 percent of preceding month 's income)
(its provision, triggered immediately, calls for payments)
(its provision, so triggered, calls for monthly payments simultaneously for action pursued)
(its provision, triggered immediately, calls)
(its allied provision, so triggered, calls for monthly payments simultaneously for action pursued)
(its allied provision, calls for, payments of 20 percent of preceding month 's income simultaneously for action pursued)
(its allied provision, triggered, calls for payments of 20 percent of month 's income simultaneously for action pursued)
(subsection, is written from, perspective)
(subsection, is written from, perspective of single case)
(subsection, is, written)
(subsection, is written from, perspective of case)
(ceiling, permitted for, commencement)
(ceiling, permitted for, commencement of action)
(ceiling, permitted for, commencement of civil action)
(statute, has, perspective shifts partway through paragraph .4)
(Bruce, has, extratextual points)
(provision, ensures against, denial of access)
(safety-valve provision, ensures against, denial of access to federal courts)
(provision, ensures against, denial)
(safety-valve provision, ensures against, denial)
(safety-valve provision, ensures against, denial of access to courts)
(provision, see, supra)
(safety-valve provision, ensures against, denial of access)
(provision, ensures against, denial of access to federal courts)
(safety-valve provision, see, supra)
(provision, ensures against, denial of access to courts)
(Bruce 's administrability concerns, carry, little weight given reports from several States)
(approach, is, unproblematic)
(Bruce 's administrability concerns, carry, little weight reports from States)
(Bruce 's administrability concerns, carry, weight reports)
(Bruce 's administrability concerns, carry, weight given reports)
(Bruce 's administrability concerns, carry, weight reports from States)
(Bruce, has, administrability concerns)
(Bruce 's administrability concerns, carry, weight reports from several States)
(per-case approach, is, unproblematic)
(Bruce 's administrability concerns, carry, little weight reports from several States)
(Bruce 's administrability concerns, carry, little weight given reports)
(Bruce 's administrability concerns, carry, little weight given reports from States)
(Bruce 's administrability concerns, carry, little weight reports)
(Bruce 's administrability concerns, carry, weight given reports from several States)
(Bruce 's administrability concerns, carry, weight given reports from States)
(judgment, is For, reasons)
(judgment, is For, reasons stated)
(curiam, per 181 is, CA5 2002)
(Samuels, v. Pinson is, 241 F. 3d 264)
(Whitfield, with Pinson is, 241 F. 3d 264)
(Pinson 7-10, is with, Whitfield)
(Whitfield, with Pinson is, 761 F. 3d 1)
(Bruce, had framed, 19 prison-litigation cases)
(Bruce, has, counsel)
(Bruce, had had, three strikes by 12th)
(Bruce, had had, three strikes)
(Bruce, filed, three new lawsuits)
(Bruce, filed, three lawsuits)
(Court, construed pleadings as, petition for writ of mandamus)
(Court, construed pleadings as, petition)
(Court, construed pleadings as, petition for writ)
(Court, construed, pleadings)
(Court, construed pleadings in, case)
(mandamus petition, qualifies as, civil action)
(We, assume, deciding)
(mandamus petition, qualifies as, action)
(plural fees, is in, paragraph)
(Congress, been, has less)
(Congress, using interchangeably, words)
(Congress, been, has less in its employment of fee)
(Congress, using, words)
(Congress, been, has less in its employment of singular fee)
(Congress, sometimes using, words)
(Congress, sometimes using interchangeably, words)
(Congress, been, has less in its employment)
(parties, commencing, case under title 11)
(commencing, case under, title 11)
(additional fee, shall, shall paid)
(fee, shall, shall paid)
(reasonable attorney, has, fee as part of costs except that in action brought against judicial officer)
(attorney, including, fees)
(words, importing, plural)
(words, apply to, persons)
(words, include, singular)
(words, determining, meaning of Act of Congress)
(words, apply to, several persons)
(words, importing, singular)
