(February 27 2017, Decided at_time, May 30 2017)
(Petitioner 's state conviction, is thus felony, least of acts criminalized falls within definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least falls within federal definition of abuse)
(Petitioner 's state conviction, is thus felony, least of acts falls within generic federal definition of abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least of acts falls within federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least falls within generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is felony, least of acts criminalized falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, only least falls within generic federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is felony, only least of acts criminalized falls within federal definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is thus felony, only least of acts falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, only least of acts criminalized falls within federal definition of abuse of minor)
(Petitioner 's state conviction, is thus felony, only least falls within definition of sexual abuse)
(Petitioner 's state conviction, is felony, least of acts criminalized falls within generic definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least falls within generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is felony, only least of acts criminalized falls within federal definition)
(Petitioner 's state conviction, is thus aggravated felony, least falls within generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, only least of acts criminalized falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, least falls within definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, only least falls within federal definition of sexual abuse)
(least, only falls within, federal definition of abuse)
(Petitioner 's state conviction, is thus felony, only least of acts falls within federal definition)
(Petitioner 's state conviction, is aggravated felony, only least falls within federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts falls within definition of sexual abuse of minor)
(least, only falls within, federal definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least of acts criminalized falls within generic definition)
(least, only falls within, generic federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, least of acts criminalized falls within generic definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least falls within definition)
(Petitioner 's state conviction, is aggravated felony, only least falls within generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least of acts criminalized falls within definition of abuse of minor)
(Petitioner 's state conviction, is thus felony, only least falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts falls within definition)
(Petitioner 's state conviction, is thus felony, least falls within federal definition of abuse)
(Petitioner 's state conviction, is felony, only least falls within definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, least of acts criminalized falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, least of acts criminalized falls within federal definition of sexual abuse of minor)
(least, only falls within, federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, least of acts falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least of acts criminalized falls within generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is felony, least falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, only least falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is felony, only least falls within generic definition of sexual abuse)
(Petitioner, has, state conviction)
(Petitioner 's state conviction, is aggravated felony, least falls within definition of abuse)
(Petitioner 's state conviction, is aggravated felony, only least of acts criminalized falls within federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is felony, only least of acts criminalized falls within generic definition of abuse)
(Petitioner 's state conviction, is felony, only least falls within federal definition)
(Petitioner 's state conviction, is thus felony, least falls within definition)
(Petitioner 's state conviction, is aggravated felony, only least falls within definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, only least of acts criminalized falls)
(Petitioner 's state conviction, is aggravated felony, least of acts falls)
(Petitioner 's state conviction, is felony, only least falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, least falls within definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts criminalized falls within federal definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least falls within generic definition)
(Petitioner 's state conviction, is felony, least of acts falls within generic federal definition)
(least, falls within, federal definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, least of acts falls within definition)
(Petitioner 's state conviction, is thus felony, least of acts falls within generic federal definition)
(Petitioner 's state conviction, is felony, only least falls within generic federal definition of abuse of minor)
(least, only falls within, federal definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, only least of acts criminalized falls within definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least falls within federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least of acts criminalized falls within generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, least of acts criminalized falls within generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts criminalized falls within generic definition)
(Petitioner 's state conviction, is felony, only least of acts falls within generic federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, least of acts criminalized falls within generic federal definition of abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least of acts falls within definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, least falls within federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is felony, only least of acts falls within generic federal definition)
(Petitioner 's state conviction, is felony, least of acts falls)
(Petitioner 's state conviction, is thus felony, least of acts falls within definition of abuse)
(Petitioner 's state conviction, is felony, only least of acts falls within definition of abuse)
(Petitioner 's state conviction, is aggravated felony, least of acts criminalized falls within definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, least of acts falls within generic federal definition)
(Petitioner 's state conviction, is aggravated felony, only least falls within generic federal definition of abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least of acts falls within generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is felony, least of acts criminalized falls)
(Petitioner 's state conviction, is aggravated felony, only least of acts criminalized falls within generic definition of abuse)
(least, only falls within, definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, only least of acts criminalized falls within generic definition of sexual abuse)
(Petitioner 's state conviction, is felony, only least falls within federal definition of abuse)
(least, falls within, federal definition)
(Petitioner 's state conviction, is felony, least of acts criminalized falls within definition of sexual abuse)
(Petitioner 's state conviction, is felony, least of acts criminalized falls within generic federal definition of abuse of minor)
(Petitioner 's state conviction, is felony, least of acts falls within definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, least of acts falls)
(Petitioner 's state conviction, is thus aggravated felony, least of acts falls within federal definition of abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least falls within federal definition of abuse)
(Petitioner 's state conviction, is felony, least of acts falls within generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least falls)
(Petitioner 's state conviction, is felony, only least of acts falls within definition)
(Petitioner 's state conviction, is felony, only least falls within definition of abuse)
(least, only falls within, generic definition)
(Petitioner 's state conviction, is thus aggravated felony, least falls within definition)
(Petitioner 's state conviction, is aggravated felony, only least falls within generic definition)
(Petitioner 's state conviction, is aggravated felony, least of acts criminalized falls within federal definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts falls within generic definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, least of acts criminalized falls within federal definition of abuse of minor)
(Petitioner 's state conviction, is felony, only least of acts criminalized falls within definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, least of acts criminalized falls within definition of abuse of minor)
(Petitioner 's state conviction, is felony, least falls within definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, only least of acts falls within generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least of acts falls within generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts falls within generic federal definition)
(Petitioner 's state conviction, is thus aggravated felony, least of acts falls within federal definition)
(Petitioner 's state conviction, is thus aggravated felony, least falls within generic federal definition of abuse of minor)
(least, only falls within, generic definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least falls within generic definition of abuse)
(Petitioner 's state conviction, is aggravated felony, least of acts criminalized falls)
(Petitioner 's state conviction, is aggravated felony, least of acts falls within generic federal definition of abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least falls within definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, least of acts criminalized falls within federal definition of abuse)
(Petitioner 's state conviction, is aggravated felony, least of acts falls within definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts criminalized falls within federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least falls within generic definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, least of acts criminalized falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, only least falls within federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is felony, least falls within federal definition of abuse of minor)
(least, falls within, generic federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, least falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is felony, least of acts falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is felony, least falls within generic definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, least falls within generic definition of abuse)
(Petitioner 's state conviction, is felony, only least falls within generic definition of abuse)
(Petitioner 's state conviction, is felony, only least of acts falls within federal definition)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts falls within generic federal definition of abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts falls within federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least falls within generic definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least falls within definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least of acts criminalized falls within definition)
(Petitioner 's state conviction, is thus aggravated felony, least of acts criminalized falls within definition)
(Petitioner 's state conviction, is aggravated felony, least of acts falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is felony, only least falls)
(Petitioner 's state conviction, is aggravated felony, least of acts falls within generic definition of sexual abuse of minor)
(least, falls within, federal definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least of acts criminalized falls within generic federal definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least falls)
(Petitioner 's state conviction, is felony, only least falls within definition of abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least of acts criminalized falls within generic definition)
(Petitioner 's state conviction, is aggravated felony, least of acts falls within generic federal definition of abuse)
(Petitioner 's state conviction, is felony, only least of acts criminalized falls within definition of abuse of minor)
(least, only falls within, generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts criminalized falls within generic federal definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least of acts falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, only least of acts falls within definition of sexual abuse of minor)
(Petitioner 's state conviction, is felony, least falls)
(Petitioner 's state conviction, is felony, least falls within generic definition of abuse of minor)
(least, falls within, generic definition of sexual abuse of minor)
(least, only falls within, definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, least of acts criminalized falls within generic definition of abuse)
(Petitioner 's state conviction, is thus felony, only least of acts falls within definition of abuse)
(Petitioner 's state conviction, is thus felony, least of acts criminalized falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is aggravated felony, least of acts falls within definition of sexual abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least of acts criminalized falls within generic definition of sexual abuse)
(least, falls within, generic definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least falls within federal definition)
(Petitioner 's state conviction, is thus felony, only least falls)
(Petitioner 's state conviction, is aggravated felony, least of acts criminalized falls within definition of abuse of minor)
(Petitioner 's state conviction, is felony, only least falls within generic federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts criminalized falls within generic federal definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, only least falls within definition)
(least, only falls within, definition)
(least, falls within, definition of abuse)
(Petitioner 's state conviction, is aggravated felony, only least of acts falls within generic definition of abuse)
(Petitioner 's state conviction, is aggravated felony, only least falls within generic definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, least of acts criminalized falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is felony, least of acts falls within definition)
(Petitioner 's state conviction, is thus felony, only least of acts criminalized falls within definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus felony, only least of acts falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, only least falls within generic definition)
(Petitioner 's state conviction, is thus aggravated felony, least falls within definition of abuse)
(least, falls within, generic definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, least falls within definition of abuse of minor)
(Petitioner 's state conviction, is felony, least falls within definition)
(Petitioner 's state conviction, is felony, only least falls within federal definition of abuse of minor)
(Petitioner 's state conviction, is, thus aggravated felony)
(Petitioner 's state conviction, is felony, least falls within generic federal definition)
(Petitioner 's state conviction, is thus felony, only least of acts criminalized falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, least of acts falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts criminalized falls within definition of abuse)
(Petitioner 's state conviction, is aggravated felony, least of acts criminalized falls within generic federal definition of abuse of minor)
(Petitioner 's state conviction, is felony, least of acts falls within federal definition of abuse)
(least, only falls within, definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts falls within federal definition)
(Petitioner 's state conviction, is aggravated felony, least falls within generic definition of abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, least of acts criminalized falls within generic definition of sexual abuse of minor)
(least, only falls within, federal definition)
(least, only falls within, generic federal definition of abuse)
(Petitioner 's state conviction, is felony, least of acts criminalized falls within generic definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, least of acts falls within generic federal definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least of acts criminalized falls within generic definition of abuse)
(Petitioner 's state conviction, is thus aggravated felony, least of acts criminalized falls within federal definition)
(least, only falls within, generic federal definition)
(Petitioner 's state conviction, is thus felony, only least of acts criminalized falls within definition)
(Petitioner 's state conviction, is aggravated felony, least falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts falls within generic definition)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts falls within definition of sexual abuse)
(Petitioner 's state conviction, is felony, only least falls within generic federal definition)
(Petitioner 's state conviction, is felony, least of acts criminalized falls within generic federal definition)
(Petitioner 's state conviction, is thus aggravated felony, least of acts falls within generic definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, only least of acts falls within generic definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts falls within generic definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least falls within federal definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, least falls within generic definition)
(Petitioner 's state conviction, is felony, only least of acts falls within definition of sexual abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least falls within federal definition of abuse)
(Petitioner 's state conviction, is felony, least of acts falls within generic definition of abuse)
(Petitioner 's state conviction, is felony, least of acts falls within definition of sexual abuse of minor)
(Petitioner 's state conviction, is aggravated felony, only least falls within definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts criminalized falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is thus felony, only least falls within definition of abuse of minor)
(Petitioner 's state conviction, is aggravated felony, least falls within federal definition of abuse of minor)
(least, falls within, generic definition)
(Petitioner 's state conviction, is felony, least falls within definition of sexual abuse of minor)
(Petitioner 's state conviction, is thus aggravated felony, only least of acts criminalized falls)
(Petitioner 's state conviction, is felony, least of acts falls within generic federal definition of sexual abuse)
(Petitioner 's state conviction, is thus aggravated felony, only least falls)
(least, falls within, definition of sexual abuse of minor)
(petitioner 's conviction, was, based)
(Court, presumes Regardless of, facts)
(petitioner 's conviction, was based on, acts)
(Court, presumes Regardless of, actual facts)
(petitioner, has, conviction)
(Court, presumes Regardless of, actual facts of case)
(Court, presumes Regardless of, facts of case)
(victim, be, younger)
(victim, be younger than, 16)
(context, In c is, generic federal definition of sexual abuse of minor)
(c, definition of, sexual abuse)
(c, is In, context of statutory rape offenses)
(Court, begins with, text)
(Court, begins as, always)
(Congress, added, sexual abuse)
(Congress, added, sexual abuse of minor to INA)
(Congress, added abuse in, 1996)
(Congress, added, abuse of minor to INA)
(Congress, added, abuse of minor)
(Congress, added, sexual abuse of minor)
(Congress, added, abuse)
(Congress, added in, 1996)
(Congress, added, abuse to INA)
(Congress, added, sexual abuse to INA)
(ordinary meaning, engaging in, contact)
(ordinary meaning, included, engaging)
(meaning, included, engaging in contact)
(ordinary meaning, engaging in, sexual contact)
(meaning, included, engaging)
(meaning, engaging in, contact)
(sexual contact, is with, person)
(ordinary meaning, included, engaging in contact)
(meaning, engaging in, sexual contact)
(Merriam-Webster, has, Dictionary of Law 454)
(INA, focuses rather than, incapacity)
(INA, focuses on, age)
(INA, focuses, providing)
(INA, focuses rather than, mental incapacity)
(abuse, be of, minor)
(acts, based in, part on age)
(statute, must prohibit, certain acts based in part on age of victim)
(statute, must prohibit, certain sexual acts)
(statute, must prohibit, acts based in part on age)
(sexual acts, based in, part)
(statute, must prohibit, acts based in part on age of victim)
(certain acts, based in, part on age)
(statute, must prohibit, sexual acts based in part on age)
(sexual acts, statute of, conviction)
(acts, based in, part on age of victim)
(statute, must prohibit, certain acts)
(statute, must prohibit, certain sexual acts based in part on age of victim)
(statute, must prohibit, certain acts based)
(statute, must prohibit, certain acts based in part on age)
(statute, must prohibit, acts based in part)
(statute, must prohibit, sexual acts based)
(certain acts, based in, part on age of victim)
(certain sexual acts, based in, part on age)
(statute, must prohibit, acts based)
(certain acts, based in, part)
(statute, must prohibit, sexual acts based in part on age of victim)
(statute, must prohibit, certain sexual acts based in part)
(certain sexual acts, statute of, conviction)
(acts, statute of, conviction)
(acts, based in, part)
(statute, must prohibit, certain sexual acts based)
(statute, must prohibit, certain acts based in part)
(sexual acts, based in, part on age of victim)
(certain sexual acts, based in, part)
(statute, must prohibit, sexual acts based in part)
(statute, must prohibit, acts)
(sexual acts, based in, part on age)
(certain acts, statute of, conviction)
(statute, must prohibit, certain sexual acts based in part on age)
(statute, must prohibit, sexual acts)
(certain sexual acts, based in, part on age of victim)
(generic age, is in, 1996)
(Government, is directed at, person)
(Government, is directed at, person younger)
(Government, is, directed)
(Government, is directed at, person younger than 18)
(Government, involves, sexual activity)
(Government, involves, activity)
(i llegal sex, acts, performed by parent)
(i sex, acts, performed)
(i llegal sex, performed by, parent)
(i llegal sex, acts, performed)
(i llegal sex, performed by, relative m inor)
(i sex, performed by, parent)
(i sex, performed by, guardian)
(i sex, performed by, m inor)
(i llegal sex, performed by, m inor)
(i sex, acts, performed by parent)
(i sex, performed by, relative m inor)
(it, points For, support)
(i llegal sex, performed by, guardian)
(i sex, performed against, minor)
(Government 's definition, First is inconsistent with, its own dictionary 's requirement)
(relationship, exist between, victim)
(Government, has, definition)
(Government 's definition, is inconsistent with, its own dictionary 's requirement)
(Government 's definition, is inconsistent with, its dictionary 's requirement)
(own dictionary, with, requirement)
(Government 's definition, First is inconsistent with, its dictionary 's requirement)
(Government 's definition, is, inconsistent)
(special relationship, exist between, victim)
(Government 's definition, is, First inconsistent)
(age, age of, legal competence)
(consent, of age is, age)
(Government 's definition, defining offense, illegal under law)
(Government 's definition, defining, federal offense)
(Government 's definition, defining, generic federal offense)
(Government 's definition, defining offense, illegal under law of State of conviction)
(Government 's definition, turns, categorical approach)
(Government, has, definition)
(Government 's definition, defining, offense)
(Government 's definition, turns, approach)
(Government 's definition, defining offense, illegal under law of State)
(Government 's definition, turns, approach on its head)
(Government 's definition, defining offense, illegal)
(Government 's definition, defining, generic offense)
(Government 's definition, turns, categorical approach on its head)
(victim, be younger for, rape offense based solely on age qualify as abuse of minor)
(victim, be, for rape offense based solely on age qualify as sexual abuse younger than 16)
(victim, be, for rape offense based on age of participants qualify as abuse of minor under INA younger than 16)
(victim, be younger for, rape offense based on age of participants qualify as sexual abuse)
(victim, be, for statutory rape offense based qualify as sexual abuse younger than 16)
(victim, be younger for, statutory rape offense based on age qualify as sexual abuse of minor)
(victim, be younger for, statutory rape offense qualify as abuse of minor)
(victim, be younger for, rape offense based solely on age of participants qualify as abuse)
(victim, be younger for, rape offense based solely on age qualify as abuse of minor under INA)
(victim, be, for statutory rape offense based qualify as abuse younger than 16)
(victim, be, younger)
(victim, be younger for, rape offense based solely on age of participants qualify as sexual abuse of minor under INA)
(victim, be younger for, statutory rape offense qualify as sexual abuse of minor under INA)
(victim, be, for rape offense based on age of participants qualify as abuse younger than 16)
(victim, be younger for, statutory rape offense based solely on age qualify as sexual abuse of minor)
(victim, be, for rape offense based solely on age qualify as abuse younger than 16)
(victim, be younger for, statutory rape offense qualify as abuse)
(victim, be younger for, statutory rape offense qualify as sexual abuse of minor)
(victim, be younger for, rape offense based on age of participants qualify as abuse)
(victim, be younger for, statutory rape offense based on age of participants qualify as abuse of minor)
(victim, be, for statutory rape offense based qualify as sexual abuse of minor younger than 16)
(victim, be, for statutory rape offense based solely on age of participants qualify as abuse younger than 16)
(victim, be, for statutory rape offense based solely on age qualify as abuse of minor under INA younger than 16)
(victim, be, for statutory rape offense based on age qualify as sexual abuse younger than 16)
(victim, be younger for, rape offense based qualify as sexual abuse of minor)
(victim, be, for rape offense based solely on age of participants qualify as abuse younger than 16)
(victim, be, for rape offense based on age qualify as sexual abuse of minor under INA younger than 16)
(victim, be younger for, rape offense qualify as abuse of minor)
(victim, be, for statutory rape offense based on age of participants qualify as sexual abuse of minor younger than 16)
(victim, be younger for, statutory rape offense based on age qualify as abuse)
(victim, be, for rape offense qualify as sexual abuse of minor younger than 16)
(victim, be younger for, rape offense based on age qualify as abuse of minor under INA)
(victim, be, for rape offense based qualify as abuse of minor under INA younger than 16)
(victim, be, for rape offense based solely on age of participants qualify as abuse of minor under INA younger than 16)
(victim, be younger for, statutory rape offense based qualify as sexual abuse of minor under INA)
(victim, be, for statutory rape offense based on age of participants qualify as abuse of minor under INA younger than 16)
(victim, be younger for, statutory rape offense based on age qualify as sexual abuse)
(victim, be younger for, rape offense based on age of participants qualify)
(victim, be, for statutory rape offense qualify as sexual abuse of minor younger than 16)
(victim, be, for statutory rape offense based on age qualify younger than 16)
(victim, be younger for, statutory rape offense based solely on age qualify as abuse of minor under INA)
(victim, be, for statutory rape offense based solely on age qualify as sexual abuse younger than 16)
(victim, be, for rape offense qualify as abuse of minor younger than 16)
(victim, be, for statutory rape offense based on age qualify as sexual abuse of minor under INA younger than 16)
(victim, be, for rape offense based on age qualify as abuse of minor under INA younger than 16)
(victim, be younger for, rape offense qualify as sexual abuse of minor under INA)
(victim, be younger for, statutory rape offense based solely on age qualify as sexual abuse of minor under INA)
(victim, be, for statutory rape offense based on age qualify as sexual abuse of minor younger than 16)
(victim, be, for statutory rape offense based qualify younger than 16)
(victim, be, for statutory rape offense based on age qualify as abuse younger than 16)
(victim, be younger for, rape offense based solely on age qualify as abuse)
(victim, be, for rape offense based solely on age qualify younger than 16)
(victim, be younger for, statutory rape offense based solely on age of participants qualify as sexual abuse of minor under INA)
(victim, be younger for, rape offense qualify as sexual abuse)
(victim, be, for rape offense based qualify as abuse younger than 16)
(victim, be younger for, rape offense based on age of participants qualify as abuse of minor)
(victim, be, for statutory rape offense based on age of participants qualify as sexual abuse of minor under INA younger than 16)
(victim, be, for rape offense based solely on age qualify as abuse of minor under INA younger than 16)
(victim, be younger for, rape offense based solely on age of participants qualify)
(victim, be younger for, statutory rape offense based on age qualify as abuse of minor under INA)
(victim, be younger for, rape offense based solely on age of participants qualify as sexual abuse)
(victim, be younger for, statutory rape offense based on age of participants qualify as sexual abuse)
(victim, be younger for, statutory rape offense based solely on age qualify as sexual abuse)
(victim, be younger for, statutory rape offense based qualify as abuse)
(victim, be, for statutory rape offense qualify as abuse of minor under INA younger than 16)
(victim, be, for rape offense based on age of participants qualify as sexual abuse younger than 16)
(victim, be, for rape offense based solely on age qualify as sexual abuse of minor younger than 16)
(victim, be, for rape offense based solely on age of participants qualify as sexual abuse of minor younger than 16)
(victim, be younger for, statutory rape offense based on age qualify as sexual abuse of minor under INA)
(victim, be younger for, rape offense based solely on age of participants qualify as sexual abuse of minor)
(victim, be, for rape offense based solely on age qualify as abuse of minor younger than 16)
(victim, be younger for, statutory rape offense based qualify as abuse of minor)
(victim, be, for statutory rape offense based qualify as abuse of minor under INA younger than 16)
(victim, be, for statutory rape offense qualify as abuse younger than 16)
(victim, be younger for, rape offense based on age qualify)
(victim, be younger for, statutory rape offense based solely on age qualify as abuse of minor)
(victim, be, for statutory rape offense based on age qualify as abuse of minor younger than 16)
(victim, be, for statutory rape offense qualify as sexual abuse of minor under INA younger than 16)
(victim, be younger for, statutory rape offense based solely on age of participants qualify)
(victim, be younger for, rape offense based qualify as sexual abuse of minor under INA)
(victim, be, for rape offense based on age of participants qualify as sexual abuse of minor under INA younger than 16)
(victim, be younger for, statutory rape offense based solely on age of participants qualify as abuse of minor under INA)
(victim, be younger for, statutory rape offense based solely on age of participants qualify as abuse of minor)
(victim, be, for statutory rape offense based on age of participants qualify as abuse younger than 16)
(victim, be, for statutory rape offense based solely on age of participants qualify as sexual abuse of minor under INA younger than 16)
(victim, be, for rape offense based on age of participants qualify younger than 16)
(victim, be younger for, rape offense based solely on age qualify as sexual abuse of minor)
(victim, be younger for, statutory rape offense based on age qualify as abuse of minor)
(victim, be, for statutory rape offense based on age qualify as abuse of minor under INA younger than 16)
(victim, be, for rape offense qualify as sexual abuse of minor under INA younger than 16)
(victim, be younger for, statutory rape offense based qualify)
(victim, be younger for, rape offense based on age of participants qualify as sexual abuse of minor under INA)
(victim, be younger for, rape offense based qualify as sexual abuse)
(victim, be younger for, statutory rape offense based solely on age of participants qualify as sexual abuse)
(victim, be younger for, rape offense based solely on age qualify as sexual abuse)
(victim, be, for rape offense based on age of participants qualify as abuse of minor younger than 16)
(victim, be younger for, statutory rape offense based solely on age qualify as abuse)
(victim, be, for statutory rape offense qualify as sexual abuse younger than 16)
(victim, be, for rape offense based on age qualify as sexual abuse younger than 16)
(victim, be younger for, rape offense based on age qualify as abuse)
(victim, be, for rape offense qualify as sexual abuse younger than 16)
(victim, be younger for, statutory rape offense based on age of participants qualify as abuse)
(victim, be, for statutory rape offense based qualify as sexual abuse of minor under INA younger than 16)
(victim, be, for statutory rape offense based on age of participants qualify younger than 16)
(victim, be, for rape offense based on age qualify as sexual abuse of minor younger than 16)
(victim, be, for statutory rape offense based solely on age of participants qualify as sexual abuse of minor younger than 16)
(victim, be, for rape offense qualify as abuse of minor under INA younger than 16)
(victim, be younger for, statutory rape offense based solely on age of participants qualify as abuse)
(victim, be, for rape offense based on age of participants qualify as sexual abuse of minor younger than 16)
(victim, be younger for, statutory rape offense based solely on age qualify)
(victim, be younger for, rape offense based on age qualify as sexual abuse of minor under INA)
(victim, be younger for, statutory rape offense based on age of participants qualify as abuse of minor under INA)
(victim, be, for rape offense based on age qualify as abuse younger than 16)
(victim, be, for rape offense qualify as abuse younger than 16)
(victim, be, for rape offense based qualify as abuse of minor younger than 16)
(victim, be younger for, rape offense based on age of participants qualify as abuse of minor under INA)
(victim, be younger for, rape offense based on age qualify as abuse of minor)
(victim, be, for statutory rape offense based solely on age of participants qualify as abuse of minor under INA younger than 16)
(victim, be younger for, statutory rape offense based solely on age of participants qualify as sexual abuse of minor)
(victim, be younger for, statutory rape offense based on age of participants qualify as sexual abuse of minor under INA)
(victim, be, for statutory rape offense based qualify as abuse of minor younger than 16)
