(UNITED STATES, v. YATES is, 2015)
(Congress ' conception, was, more limited)
(contemporaneous passage, is, also instructive)
(passage, is, instructive)
(contemporaneous passage, is, instructive)
(passage, is, also instructive)
(use, is in, official proceeding)
(record, attempts, do so)
(record, attempts, do)
(object, has, integrity)
(record, is with, intent impair for use in official proceeding)
(§ 1519, has, reference to tangible object)
(§ 1519 's reference, already included, physical objects)
(§ 1519 's reference, included, physical objects)
(§ 1512, overlap under, its reading)
(§ 1512, significantly overlap under, its reading)
(Government, is right about, scope)
(Government, is right about, sweeping scope of § 1519)
(Government, is right about, scope of § 1519)
(Government, is right about, sweeping scope)
(Government, is, right)
(false entry, is in, record)
(words, surrounding, object in § 1519)
(words, surrounding, tangible object in § 1519)
(words, surrounding, tangible object)
(words, immediately surrounding, tangible object)
(tangible object, is in, § 1519)
(words, immediately surrounding, tangible object in § 1519)
(words, surrounding, object)
(words, immediately surrounding, object)
(words, immediately surrounding, object in § 1519)
(we, rely on, principle of noscitur)
(we, rely on, principle)
(it, is, associated)
(word, appeared in, list with other words)
(we, interpreted word communication in, § 2)
(word, appeared, notice circular)
(we, refer, word appeared)
(word, appeared in, list with words)
(word, appeared in, list)
(Securities Act, of § is, 10)
(list, is with, other words)
(we, interpreted, word communication)
(word, appeared, notably notice)
(we, interpreted word communication in, 10)
(word, appeared, notably notice circular)
(word, appeared, notice)
(list, refer to, documents)
(we, interpreted word communication, refer)
(list, refer to, documents of dissemination)
(we, interpreted word communication in, § 2 of Securities Act of 1933)
(we, interpreted word communication in, § 2 of Securities Act)
(list, refer to, documents of wide dissemination)
(we, did so, even list began)
(we, did, list began)
(list, began with, word)
(we, did, even list began with word)
(we, did, even list began)
(we, did so, even list began with word)
(we, did so, list began)
(list, even began with, word)
(we, did, list began with word)
(we, did so, list began with word)
(sociis canon, operates in, manner)
(sociis canon, operates in, manner here)
(sociis canon, operates in, similar manner here)
(sociis canon, operates in, similar manner)
(Tangible object, is last in, list)
(object, is last in, list)
(Tangible object, is, last)
(object, is, last)
(term, refer objects to, subset)
(term, refer i.e. to, subset of objects)
(term, refer to, subset of objects)
(term, is read, refer to subset)
(term, refer i.e., objects used)
(term, is read, refer to subset of objects)
(term, refer i.e. objects to, subset)
(term, is read, refer i.e.)
(term, refer i.e. to, subset of tangible objects)
(term, is read, refer to subset i.e.)
(term, refer, objects)
(term, is read, refer to subset of objects i.e.)
(term, refer i.e. to, subset)
(term, is read, refer to subset of tangible objects)
(term, is read, refer to subset of tangible objects i.e.)
(term, refer to, subset)
(term, refer, objects used)
(term, refer to, subset of tangible objects)
(term, is read, refer)
(term, refer i.e., objects)
(term, refer i.e. objects to, subset of tangible objects)
(term, refer i.e. objects to, subset of objects)
(term, refer objects to, subset of objects)
(term, refer objects to, subset of tangible objects)
(tangible object accords, is with, list of actions)
(false entry, is in, record)
(false entry, is with, requisite obstructive intent)
(Black, has, Law Dictionary 720)
(o, make, deceptive)
(It, would, would unnatural for example)
(killer, has, act wiping from gun)
(It, would, would unnatural)
(other object, is with, requisite obstructive intent)
(object, have, narrower scope than object)
(tangible object, have, narrower scope than other object)
(object, have, narrower scope)
(tangible object, have, scope)
(object, have, narrower scope than other object)
(tangible object, have, scope than object)
(Congress, intended in, § 1519)
(Congress, intended object in, § 1519)
(tangible object, have, narrower scope than object)
(tangible object, have, scope than other object)
(Congress, intended, object)
(object, have, scope than other object)
(Congress, intended, tangible object)
(tangible object, have, narrower scope)
(object, have, scope)
(object, have scope in, c)
(object, have, scope than object)
(tangible object, have scope in, c)
(objects, enumerated by, preceding specific words)
(general words, embrace, objects similar to objects)
(words, embrace, objects similar to objects enumerated by words)
(words, embrace, only objects similar in nature to objects enumerated by words)
(general words, embrace, objects similar in nature to objects enumerated by specific words)
(words, embrace, objects similar in nature to objects enumerated by preceding specific words)
(objects, similar to, objects enumerated by preceding words)
(objects, similar to, objects enumerated by preceding specific words)
(words, embrace, objects similar to objects enumerated by preceding specific words)
(general words, embrace, only objects similar to objects enumerated by preceding specific words)
(general words, embrace, only objects similar in nature)
(general words, embrace, only objects similar to objects enumerated by preceding words)
(objects, enumerated by, specific words)
(general words, embrace, objects similar in nature to objects enumerated by preceding words)
(words, embrace, objects similar in nature to objects)
(words, embrace, only objects similar in nature to objects enumerated)
(objects, similar in, nature)
(words, embrace, only objects similar to objects enumerated by preceding words)
(general words, follow words in, statutory enumeration)
(general words, embrace, only objects similar to objects)
(general words, embrace, only objects similar to objects enumerated by words)
(words, embrace, only objects similar to objects enumerated by specific words)
(general words, embrace, only objects similar in nature to objects enumerated by words)
(objects, similar to, objects enumerated)
(words, embrace, objects similar in nature)
(general words, embrace, only objects similar to objects enumerated)
(objects, similar to, objects enumerated by specific words)
(general words, embrace, objects similar to objects enumerated by specific words)
(general words, embrace, objects similar in nature)
(objects, similar to, objects)
(general words, embrace, only objects similar in nature to objects)
(words, embrace, only objects similar)
(objects, enumerated by, preceding words)
(general words, embrace, objects similar in nature to objects)
(general words, embrace, only objects similar to objects enumerated by specific words)
(words, embrace, objects similar to objects enumerated)
(general words, embrace, only objects similar)
(general words, embrace, objects similar to objects enumerated by words)
(general words, follow, words)
(words, embrace, only objects similar in nature to objects enumerated by specific words)
(words, embrace, objects similar in nature to objects enumerated by preceding words)
(words, embrace, only objects similar to objects enumerated by words)
(general words, embrace, objects)
(general words, embrace, objects similar to objects enumerated by preceding specific words)
(words, embrace, objects similar to objects)
(words, are, construed)
(words, embrace, only objects similar in nature)
(words, embrace, objects similar to objects enumerated by specific words)
(general words, embrace, objects similar in nature to objects enumerated by preceding specific words)
(words, embrace, objects similar to objects enumerated by preceding words)
(general words, embrace, only objects)
(words, embrace, only objects similar to objects enumerated)
(words, embrace, only objects similar to objects)
(words, embrace, objects similar in nature to objects enumerated by words)
(words, follow, words)
(words, embrace, only objects similar in nature to objects enumerated by preceding words)
(words, embrace, only objects similar in nature to objects)
(words, embrace, only objects similar to objects enumerated by preceding specific words)
(words, follow words in, statutory enumeration)
(general words, embrace, objects similar to objects enumerated by preceding words)
(objects, enumerated by, words)
(general words, embrace, objects similar in nature to objects enumerated by words)
(general words, are, construed)
(words, embrace, objects similar in nature to objects enumerated by specific words)
(words, follow words in, enumeration)
(words, embrace, only objects)
(general words, embrace, only objects similar in nature to objects enumerated by specific words)
(general words, embrace, objects similar to objects enumerated)
(general words, embrace, only objects similar in nature to objects enumerated by preceding words)
(words, embrace, only objects similar in nature to objects enumerated by preceding specific words)
(general words, embrace, objects similar)
(words, embrace, objects similar in nature to objects enumerated)
(words, embrace, objects)
(objects, similar to, objects enumerated by words)
(general words, embrace, objects similar in nature to objects enumerated)
(general words, follow words in, enumeration)
(general words, embrace, only objects similar in nature to objects enumerated by preceding specific words)
(words, embrace, objects similar)
(general words, follow, specific words)
(general words, embrace, only objects similar in nature to objects enumerated)
(words, follow, specific words)
(it, include, examples)
(it, include examples at, all)
(Congress, Had intended, encompassing meaning)
(tangible object, be, interpreted so generically)
(objects, dissimilar as, documents)
(physical objects, dissimilar as, documents)
(Congress, Had intended, object in § 1519)
(objects, as dissimilar as, documents)
(Congress, Had intended, interpreted)
(physical objects, as dissimilar as, documents)
(object, be, interpreted so generically)
(object, be, interpreted generically)
(tangible object, be, interpreted generically)
(Congress, object in, § 1519)
(Congress, Had intended, tangible object in § 1519)
(Congress, Had intended, interpreted generically)
(object, be, interpreted)
(tangible object, is in, § 1519)
(Congress, Had intended, object)
(Congress, tangible object in, § 1519)
(tangible object, be, interpreted)
(Congress, Had intended, tangible object)
(Government 's reading, would render, words)
(Government 's unbounded reading, would render, words)
(Government, has, unbounded reading of tangible object)
(we, used, traditional tools of interpretation)
(we, used, traditional tools)
(interpretation, be, rejected)
(we, used, tools of statutory interpretation)
(we, used, tools of interpretation)
(we, are, persuaded)
(we, used, tools)
(we, used, traditional tools of statutory interpretation)
(aggressive interpretation, be, rejected)
(It, is, highly improbable)
(It, is, improbable)
(Congress, buried, general spoliation statute)
(Congress, buried, spoliation statute)
(provision, targeting, fraud)
(provision, targeting fraud in, record-keeping)
(provision, targeting fraud in, financial record-keeping)
(we, failed, consider)
(we, consider, origins)
(we, consider, origins of phrase record)
(our inquiry, be incomplete, we failed)
(our inquiry, be, incomplete)
(MPC provision, prompted by, it)
(proscriptions, refer to, physical evidence)
(proscriptions, were, understood)
(proscriptions, were understood, refer to physical evidence)
(inference, is, unwarranted)
(1962 MPC provision, prohibited, tampering with kind of physical evidence)
(1962 MPC provision, True prohibited, tampering with kind of physical evidence)
(1962 MPC provision, tampering with, kind of physical evidence)
(MPC provision, prohibited, tampering with kind of physical evidence)
(MPC provision, tampering with, kind of physical evidence)
(MPC provision, True prohibited, tampering with kind of physical evidence)
(instances, is in, which)
(MPC provision, also ranked, offense)
(MPC provision, ranked, offense)
(MPC provision, ranked offense as, misdemeanor)
(MPC provision, also ranked offense as, misdemeanor)
(175, at MPC is, 1)
(reason, anticipate, felony prosecution)
(scant reason, anticipate, felony prosecution)
(United States, slip at, 14)
(line, is with, MPC provision)
(federal offense, was, qualified)
(proposed federal offense, is in, line with MPC provision)
(proposed federal offense, was, qualified)
(federal offense, was, similarly qualified)
(proposed federal offense, was, similarly qualified)
(offense, was, qualified)
(proposed offense, was, similarly qualified)
(proposed offense, was, qualified)
(offense, was, similarly qualified)
(Section, lacks, limits built)
(Section, lacks, limits built into MPC provision)
(Section 1519, conspicuously lacks, limits)
(Section 1519, lacks, limits built)
(Section, conspicuously lacks, limits)
(Section 1519, conspicuously lacks, limits built into MPC provision)
(Section 1519, conspicuously lacks, limits built)
(Section, lacks, limits)
(Section 1519, lacks, limits)
(Section, conspicuously lacks, limits built)
(Section 1519, lacks, limits built into MPC provision)
(Section, conspicuously lacks, limits built into MPC provision)
(section, covers, conduct)
(section, covers, conduct intended)
(record, is in, MPC provision)
(Yates, has, small fish)
(Congress, concerning, Yates 's small fish)
(MPC provision, tells, us)
(Congress, cf., post)
(Congress, concerning, Yates 's fish)
(term, is used in, § 1519)
(our recourse, leaves, doubt about meaning of tangible object)
(ambiguity, be resolved in, favor of lenity)
(we, Finally would invoke rule, used in § 1519)
(ambiguity, be resolved in, favor)
(term, is, used)
(we, Finally would invoke, rule)
(our recourse, doubt about, meaning of tangible object)
(we, would invoke rule, used in § 1519)
(ambiguity, be, resolved)
(we, would invoke, rule)
(we, would invoke rule, used)
(we, Finally would invoke rule, used)
(principle, is, relevant)
(offense subject, is, criminal)
(interpretative principle, is, relevant here)
(interpretative principle, is, relevant)
(principle, is, relevant here)
(statutes, provide, fair warning)
(warning, concerning, conduct)
(fair warning, concerning, conduct)
(criminal statutes, provide, fair warning)
(statutes, provide, warning)
(criminal statutes, provide, warning)
(it, determining, meaning)
(it, determining, meaning of object)
(we, choose, harsher alternative)
(it, is, appropriate)
(it, determining, meaning of tangible object)
(we, choose, alternative)
(we, choose alternative, require)
(it, determining meaning in, § 1519)
(we, resist For, reasons)
(we, resist For, reasons stated)
(we, resist, reading)
(we, resist, reading § 1519 expansively)
(Leaving, decision to, Congress)
(§ 1519, within, compass)
(we, Leaving, decision to Congress)
(Leaving, important decision to, Congress)
(we, Leaving, decision)
(we, Leaving, important decision)
(we, Leaving, important decision to Congress)
(judgment, is, therefore reversed)
(case, is remanded for, further proceedings)
(case, is, remanded)
(case, is remanded for, proceedings)
(judgment, is, reversed)
(It, is, ordered)
(It, is, so ordered)
(ALITO, concurring in, judgment)
(JOHN L. YATES, PETITIONER v., UNITED STATES)
(case, can, can should resolved on grounds)
(case, can, can should resolved)
(case, can, can should resolved on narrow grounds)
(traditional tools, is, close confirm)
(tools, is, confirm)
(question, is, close confirm)
(tools, is, close confirm)
(question, is, confirm)
(traditional tools, is, confirm)
(John Yates, has, better of argument)
(John Yates, has, better)
(statute, has, list)
(none, would tip case in, favor)
(none, would tip, case)
(none, would tip case in, favor of Yates)
(Start, is with, nouns)
(word, has, similar meaning)
(word, presumptively has meaning in, list)
(word, presumptively has, meaning)
(word, has, meaning)
(statute, contains, list)
(word, has meaning in, list)
(word, presumptively has, similar meaning)
(general words, mean, similar)
(general words, be read in, light)
(words, be read in, light of specific words)
(general words, usually be read in, light of words)
(words, be, usually read)
(words, be read, mean)
(general words, be read, mean)
(words, mean, similar)
(words, usually be read in, light of words)
(words, usually be read in, light)
(words, usually be read in, light of specific words)
(words, usually be read, mean)
(general words, be read in, light of specific words)
(general words, usually be read in, light of specific words)
(general words, usually be read in, light)
(general words, be, usually read)
(general words, be, read)
(general words, usually be read, mean)
(words, be, read)
(words, be read in, light of words)
(words, be read in, light)
(general words, be read in, light of words)
(§ 1519, to, list of nouns)
(fish, does, colonial farmhouse)
(fish, does, oil derrick)
(fish, does, hydrofoil)
(fish, does, antelope)
(All, are objects, tangible)
(reading, has, its shortcomings)
(record, are, themselves)
(record, are, themselves general)
(this, is, imperfect)
(document, are, themselves)
(record, are, themselves quite general)
(document, are, themselves quite general)
(document, are, themselves general)
(object, be made, superfluous)
(tangible object, be, made)
(object, be, made)
(tangible object, be made, superfluous)
(e-mail, could, however could thing)
(e-mail, could, could such thing)
(e-mail, could, could thing)
(e-mail, be, such)
(e-mail, could, however could such thing)
(Nov. 2003, reading, records)
(Nov. 2003, reading, documents)
(Nov. 2003, reading, objects)
(piece, is with, information on it)
(Black, has, Law)
(drive, is, tangible)
(drive, is, however tangible)
(hard drive, is, however tangible)
(hard drive, is, tangible)
(electronic files, are, included)
(document, can, can read)
(object, §, 1519)
(document, can, can read more expansively)
(document, can, can read expansively)
(files, are, included)
(tangible object, §, 1519)
(Congress, enacts catchall s for, known unknowns)
(Congress, enacts, catchall s)
(Congress, enacts catchall s for, unknowns)
(sociis, apply, unknowns)
(ejusdem generis, apply, unknowns)
(ejusdem generis, apply, known unknowns)
(sociis, apply, known unknowns)
(tangible object, render, record)
(object, broadly render, document)
(object, render, document)
(object, too broadly render, record)
(object, render, document superfluous)
(tangible object, render, document superfluous)
(tangible object, too broadly render, document)
(object, too broadly render, document superfluous)
(tangible object, broadly render, record)
(object, too broadly render, document)
(object, broadly render, record)
(object, render, record)
(tangible object, broadly render, document)
(tangible object, too broadly render, record)
(tangible object, render, document)
(tangible object, broadly render, document superfluous)
(object, broadly render, document superfluous)
(tangible object, too broadly render, document superfluous)
(§ 1519, has, list of verbs)
(last phrase, is in, list)
(verbs, could apply to, nouns)
(verbs, could apply, as far-flung)
(verbs, could apply, far-flung)
(verbs, could apply, as far-flung as salamanders)
(verbs, could apply, far-flung as salamanders)
(one, does make, false entry)
(false entry, is in, fish)
(one, does make, false entry in fish)
(Alters, are, associated with filekeeping)
(Alters, are, also closely associated with filekeeping)
(Alters, are, also closely associated)
(Alters, are, associated)
(Alters, are, also associated)
(Alters, are, closely associated)
(Alters, are, also associated with filekeeping)
(Alters, are, closely associated with filekeeping)
(Congress, write so broadly, law)
(Congress, write broadly, law)
(Congress, write, law)
(something, gone awry in, one 's interpretation of text)
(one, in, interpretation of text)
(something, gone in, one 's interpretation of text)
(something, gone in, one 's interpretation)
(something, gone awry in, one 's interpretation)
(statute, of, verbs)
(§ 1519, applies for, instance)
(§ 1519, applies to, letter)
(§ 1519, applies to, bomb-threatening letter)
(category, focusing on, verbs)
(category, Here appears, be filekeeping)
(category, appears, be filekeeping)
(it, is, nothing)
(neither, is, nothing)
(§ 1519 's verbs, cut ways, unnatural)
(it, is, unnatural)
(§ 1519 's verbs, cut, ways)
(it, apply, falsifies)
(that, is, certainly true)
(§ 1519, has, verbs)
(data, physically recorded on, drive)
(one, recorded on, drive)
(one, recorded on, hard drive)
(one, could falsify, data)
(one, could falsify physically recorded, data)
(one, could falsify recorded, data)
(one, physically recorded on, hard drive)
(one, physically recorded on, drive)
(data, recorded on, hard drive)
(data, physically recorded on, hard drive)
(data, recorded on, drive)
(my analysis, is, Finally influenced)
(records, is in, Federal investigations)
(my analysis, is, influenced)
(my analysis, is influenced by, § 1519 's title)
(§ 1519, by, title)
(my analysis, Finally is influenced by, § 1519 's title)
(Titles, can, can devices)
(Titles, resolve, doubt)
(Titles, resolve, doubt about meaning of statute)
(Titles, can, can useful devices)
(Titles, resolve, doubt about meaning)
(text, has, nouns)
(noun, is in, universe)
(conjunction, is with, § 1519 's peculiar list of verbs)
(verbs, is with, their focus on filekeeping)
(§ 1519, with, peculiar list of verbs with focus on filekeeping)
(Government, has, argument)
(Government 's argument, however becomes, too implausible)
(Government 's argument, however becomes In, conjunction with two textual features)
(Government 's argument, however becomes In, conjunction with two features)
(Government 's argument, becomes In, conjunction)
(Government 's argument, becomes, implausible)
(conjunction, is with, other two textual features)
(Government 's argument, however becomes In, conjunction with other two textual features)
(Government 's argument, becomes, too implausible)
(Government 's argument, however becomes In, conjunction)
(Government 's argument, however becomes In, conjunction with other two features)
(Government 's argument, becomes In, conjunction with two textual features)
(Government 's argument, becomes In, conjunction with other two textual features)
(Government 's argument, however becomes, implausible)
(Government 's argument, becomes In, conjunction with other two features)
(Government 's argument, becomes In, conjunction with two features)
(JOHN L. YATES, PETITIONER v., UNITED STATES)
(JUSTICE SCALIA, join, dissenting)
(JUSTICE THOMAS, join, dissenting)
(JUSTICE KENNEDY, join, dissenting)
(term, means thing, it means in everyday language)
(term, means, thing)
(same thing, is in, § 1519)
(term, thing in, § 1519)
(term, means, thing in § 1519)
(term, means thing, it means in language)
(it, means in, language)
(term, means thing, it means)
(term, means, same thing)
(it, means in, everyday language)
(term, same thing in, § 1519)
(term, means, same thing in § 1519)
(answer, should, should easy)
(term, is, broad)
(it, covers, physical objects of kinds)
(it, invariably covers, objects of kinds)
(it, covers, objects of kinds)
(it, invariably covers, physical objects of kinds)
(That, enacting, § 1519)
(Congress, with, evident purpose)
(object, cover, only objects one)
(tangible object, cover, only objects one)
(tangible object, cover, objects one)
(object, cover, objects one)
(concurring opinion, similarly contends, more vaguely)
(opinion, contends, vaguely)
(concurring opinion, similarly contends, vaguely)
(concurring opinion, contends, vaguely)
(opinion, contends, more vaguely)
(concurring opinion, contends, more vaguely)
(opinion, similarly contends, vaguely)
(opinion, similarly contends, more vaguely)
(conventional tools, lead to, conventional result)
(tools, lead to, result)
(tools, lead to, more conventional result)
(tools, lead to, conventional result)
(tools, lead In, my view)
(conventional tools, lead to, result)
(conventional tools, lead In, my view)
(conventional tools, lead to, more conventional result)
(Congress, enacted, judgment)
(Congress, enacted, judgment below)
(§ 1519, with, text)
(§ 1519, has, caption)
(plurality, starts, its analysis)
(I, would begin with, § 1519 's text)
(meaning, is, discrete)
(interpretation accords, is with, endless uses of term in statute)
(endless uses, is in, statute)
(association, is with, documents)
(15 U. S. C. § 57b-1, demands for, documentary material)
(courts, have understood phrases For, example)
(courts, have understood, phrases)
(tangible objects, is in, Federal Rules of Criminal)
(courts, have uniformly applied until, today)
(courts, have uniformly applied in, same way)
(courts, have applied in, § 1519)
(courts, have applied in, same way)
(courts, have applied until, today)
(courts, have uniformly applied, tangible object)
(courts, have uniformly applied in, way)
(courts, have uniformly applied in, § 1519)
(courts, have applied in, way)
(courts, have uniformly applied, object)
(courts, have applied, tangible object)
(courts, have applied, object)
(I, agree with, plurality)
(we, Rather interpret, particular words in their context with view to their place in overall statutory scheme)
(we, interpret, words in their context)
(we, interpret, particular words in their context with view to their place)
(we, Rather interpret, particular words with view to their place in overall scheme)
(we, Rather interpret, particular words in their context with view to their place in statutory scheme)
(we, interpret, words with view to their place in overall scheme)
(we, interpret, particular words in their context)
(we, Rather interpret, words with view to their place in statutory scheme)
(we, interpret, words in their context with view to their place in statutory scheme)
(we, Rather interpret, words in their context)
(we, Rather interpret, particular words)
(we, interpret, particular words with view to their place in scheme)
(we, Rather interpret, words with view to their place in overall statutory scheme)
(we, interpret, words in their context with view to their place)
(we, Rather interpret, particular words with view to their place in scheme)
(we, interpret, words)
(we, interpret, words in their context with view to their place in scheme)
(we, interpret, particular words with view)
(we, Rather interpret, words in their context with view)
(we, interpret, particular words with view to their place in statutory scheme)
(we, Rather interpret, particular words in their context with view to their place in scheme)
(we, Rather interpret, particular words with view to their place)
(we, interpret, particular words in their context with view to their place in overall scheme)
(we, Rather interpret, words with view to their place in overall scheme)
(we, Rather interpret, words in their context with view to their place)
(we, Rather interpret, words in their context with view to their place in scheme)
(we, interpret, words in their context with view to their place in overall scheme)
(we, Rather interpret, particular words with view to their place in overall statutory scheme)
(we, interpret, particular words with view to their place)
(we, Rather interpret, particular words with view to their place in statutory scheme)
(we, interpret, particular words in their context with view to their place in overall statutory scheme)
(we, interpret, words in their context with view to their place in overall statutory scheme)
(we, interpret, particular words in their context with view)
(we, interpret, particular words with view to their place in overall scheme)
(we, Rather interpret, particular words with view)
(we, interpret, particular words)
(we, Rather interpret, particular words in their context with view to their place)
(we, interpret, particular words with view to their place in overall statutory scheme)
(we, Rather interpret, words with view)
(we, interpret, words with view to their place in scheme)
(we, interpret, particular words in their context with view to their place in scheme)
(their place, is in, overall statutory scheme)
(we, Rather interpret, words in their context with view to their place in overall statutory scheme)
(we, Rather interpret, words with view to their place)
(we, Rather interpret, words)
(we, interpret, particular words in their context with view to their place in statutory scheme)
(we, interpret, words with view to their place in statutory scheme)
(we, interpret, words in their context with view)
(we, interpret, words with view to their place in overall statutory scheme)
(we, Rather interpret, words in their context with view to their place in statutory scheme)
(we, Rather interpret, particular words in their context with view to their place in overall scheme)
(we, interpret, words with view to their place)
(words, is in, their context)
(we, Rather interpret, words with view to their place in scheme)
(words, is with, view to their place in overall statutory scheme)
(we, interpret, words with view)
(we, Rather interpret, particular words in their context with view)
(we, Rather interpret, particular words in their context)
(we, Rather interpret, words in their context with view to their place in overall scheme)
(further evidence, Stepping from, words)
(evidence, Stepping back from, words)
(Stepping, provides, evidence)
(evidence, Stepping from, words)
(Stepping, provides, further evidence)
(further evidence, Stepping back from, words)
(Stepping, provides, only further evidence)
(words, reinforce, breadth)
(words, reinforce breadth at, issue)
(surrounding words, is in, § 1519)
(surrounding words, reinforce, breadth)
(surrounding words, breadth of, term)
(words, reinforce, breadth of term)
(surrounding words, reinforce, breadth of term)
(surrounding words, reinforce breadth at, issue)
(words, breadth of, term)
(Section, thus indicating in, line)
(Section, refers to, tangible object)
(Section 1519, indicating in, line with word 's meaning)
(Section 1519, thus indicating in, line)
(Section, indicating in, line with word 's meaning)
(Section, indicating in, line with word 's plain meaning)
(Section 1519, indicating in, line)
(Section 1519, thus indicating in, line with word 's plain meaning)
(line, is with, word 's plain meaning)
(Section, thus indicating in, line with word 's meaning)
(Section 1519, refers to, tangible object)
(Section, indicating in, line)
(Section 1519, thus indicating in, line with word 's meaning)
(Section, thus indicating in, line with word 's plain meaning)
(Section 1519, indicating in, line with word 's plain meaning)
(word, with, plain meaning)
(Webster, has, Third New International Dictionary 97)
(Webster, 's Dictionary is, 2002)
(statute, within, reach)
(any, has, meaning)
(any, has, expansive meaning)
(Court, has, time)
(Housing Development, of Department is, 535 U. S. 125 131 2002)
(Congress, wrote, statute)
(Congress, wrote, statute with wide scope)
(statute, is with, wide scope)
(adjacent laundry list, is in, § 1519)
(Congress, wrote, statute with scope)
(words, ensure as, just tangible object)
(words, are supposed, ensure as tangible object)
(words, are supposed, ensure)
(words, are supposed, ensure just as object)
(words, are supposed, ensure just as tangible object)
(words, are, supposed)
(words, ensure as, tangible object)
(supposed, is, meant)
(words, ensure as, just object)
(supposed, is, meant to)
(words, are supposed, ensure as object)
(words, ensure as, object)
(United States, definition of, statutory term)
(it, clashes strongly with, sweeping language in same sentence)
(it, clashes strongly with, language in sentence)
(United States, technical definition of, statutory term)
(it, clashes with, sweeping language in same sentence)
(it, clashes with, language)
(United States, definition of, term)
(it, clashes strongly with, sweeping language)
(United States, narrow technical definition of, statutory term)
(it, clashes strongly with, language)
(it clashes, is with, sweeping language in same sentence)
(it, clashes strongly with, language in same sentence)
(it, clashes with, sweeping language)
(it, clashes with, language in sentence)
(it, clashes strongly with, sweeping language in sentence)
(United States, technical definition of, term)
(it, clashes with, language in same sentence)
(United States, narrow definition of, statutory term)
(it, clashes with, sweeping language in sentence)
(United States, narrow definition of, term)
(sweeping language, is in, same sentence)
(United States, narrow technical definition of, term)
(tangible object, appears as, part of phrase including records)
(tangible object, appears as, part of phrase including also records)
(tangible object, appears as, part)
(tangible object, appears as, part of phrase)
(Model Penal Code, has, evidence-tampering section drafted more 50 years ago)
(offense, described in, provision)
(Code, has, commentary)
(179, at Id. is, Comment 3)
(language, Rather extends to, physical object)
(language, extends to, physical object)
(courts, is in, more 15 States)
(Model Code, based on, tampering provision apply to tangible objects including drugs)
(phrase, has, scope to objects)
(document, also track, language)
(object, record in, § 1519)
(record, track, language)
(object, track, language)
(language, record in, § 1519)
(tangible object, record in, § 1519)
(record, is in, § 1519)
(object, also track, language)
(tangible object, also track, language)
(tangible object, track, language)
(record, also track, language)
(words, is in, 18 U. S. C. § 1512)
(12 physical evidence, is in, its forms)
(document, track, language)
(Section 1512, is in, its original version)
(Victim, of § is, a)
(courts, have agreed for, decades)
(itself, derived from, Model Penal Code)
(itself, likely derived from, Model Penal Code)
(Congress, intended in, provisions dealing)
(Congress, intended language in, provisions dealing with subjects)
(Congress, intended language in, provisions dealing with related subjects)
(compelling evidence, will persuade, Court)
(Congress, intended in, provisions dealing with subjects)
(Congress, intended in, provisions)
(Congress, intended language in, provisions dealing)
(Congress, intended language in, provisions)
(Congress, intended, nearly identical language)
(Congress, intended in, provisions dealing with related subjects)
(Congress, intended, identical language)
(Congress, intended, language)
(history, puts, extra icing)
(history, puts icing on, cake frosted)
(history, puts icing on, cake already frosted)
(legislative history, puts icing on, cake)
(legislative history, puts icing on, cake already frosted)
(legislative history, puts, extra icing)
(legislative history, puts icing on, cake frosted)
(history, puts, icing)
(legislative history, puts, icing)
(history, puts icing on, cake)
(Enron Corporation, after, collapse)
(Section 1519, see as, plurality notes)
(Section, see as, plurality notes)
(case study, exposing, shortcomings in our laws)
(provision, began, its life)
(Enron, was, only case study)
(shortcomings, is in, our current laws)
(case study, exposing, shortcomings in our current laws)
(Enron, was, case study)
(case study, exposing, shortcomings)
(provision, prohibited, person)
(provision, inducing, another)
(limits, is in, part of § 1512)
(ante, enacted, § 1519)
(it, covered, records)
(it, only covered, records)
(§ 1519, was, written)
(§ 1519, was, written as long)
(§ 1519, was, written long)
(technical distinctions, prevent, prosecution)
(distinctions, prevent, prosecution)
(legal distinctions, prevent, prosecution)
(technical legal distinctions, prevent, prosecution)
(person, destroys, evidence)
(today, has, Court)
(reat, is, illogical)
(large loophole, is in, statute designed)
(sensible basis, is in, penal policy)
(Congress, using, broad term)
(Congress, using, term)
(murder victim, has, body)
(vessel, has, catch log for same reason)
(fisherman, is, blameworthy)
(Congress, thus treated offenders in, way)
(Congress, thus treated, offenders)
(Congress, treated, offenders)
(Congress, treated offenders in, same way)
(Congress, treated offenders in, way)
(Congress, thus treated offenders in, same way)
(It, enacting, § 1519)
(evidence, destroying, evidence)
(evidence, takes, documentary form)
(its fishing expedition, comes up, empty)
(records, is in, Federal investigations)
(plurality 's analysis, starts with, § 1519 's title)
(§ 1519, with, title)
(plurality, has, analysis)
(something, is, amiss)
(plain meaning, title of, statute)
(matters, accordingly are unreflected in, headings)
(matters, are frequently unreflected in, headings)
(matters, are, accordingly frequently unreflected)
(matters, accordingly are frequently unreflected in, headings)
(matters, are unreflected in, headings)
(matters, are, frequently unreflected)
(matters, are, unreflected)
(matters, are, accordingly unreflected)
(matters, is in, text)
(Court, observed at_time, last year)
(Court, observed at_time, Just last year)
(reference, take, place of detailed provisions of text)
(short-hand reference, take, place of detailed provisions of text)
(two titles, is in, nearby section of Sarbanes-Oxley)
(Court, observed at_time, year)
(Court, observed at_time, Just year)
(528, at Trainmen is, 331 U. S.)
(___, at Lawson is, 571 U. S.)
(§ 1519, for, title)
