(UNITED STATES, v. MARINELLO is, 2018)
(Government, used Omnibus Clause sparingly during, few decades after enactment)
(Government, True used sparingly during, first few decades after enactment)
(Government, True used Omnibus Clause only sparingly during, first decades after enactment)
(Government, used only sparingly during, decades after its enactment)
(Government, used Omnibus Clause sparingly during, decades after its enactment)
(Government, used Omnibus Clause sparingly during, first few decades after its enactment)
(Government, True used during, decades after enactment)
(Government, True used during, first few decades after its enactment)
(Government, True used only sparingly during, first few decades after enactment)
(Government, True used Omnibus Clause only sparingly during, decades after enactment)
(Government, used during, decades after its enactment)
(Government, True used sparingly during, first decades after its enactment)
(Government, used sparingly during, few decades after its enactment)
(Government, True used Omnibus Clause during, first decades after its enactment)
(Government, True used during, decades after its enactment)
(Government, True used Omnibus Clause sparingly during, decades after enactment)
(Government, True used Omnibus Clause during, few decades after enactment)
(it, used more often after, after early 1990)
(it, used clause often after, after early 1990)
(it, used often after, after early 1990)
(it, used more often, clause)
(it, used clause after, after early 1990)
(it, used, clause)
(it, used often, clause)
(it, used after, after early 1990)
(it, used clause more often after, after early 1990)
(Government, told, us)
(defendant, to, conduct)
(criminal statute, of, highly abstract general statutory language places)
(great power, is in, hands of prosecutor)
(juries, pursue, their personal predilections)
(juries, pursue, their predilections)
(undermining, necessary confidence in, criminal justice system)
(undermining, confidence in, justice system)
(it, undermining, confidence)
(it, undermining, confidence in criminal justice system)
(undermining, necessary confidence in, justice system)
(it, undermining, necessary confidence in justice system)
(it, undermining, necessary confidence in criminal justice system)
(necessary confidence, is in, criminal justice system)
(undermining, confidence in, criminal justice system)
(it, undermining, necessary confidence)
(it, undermining, confidence in justice system)
(United States, v. McDonnell is, ___ 2016)
(restraint, assessing, reach of statute)
(restraint, assessing, reach of federal statute)
(restraint, assessing, reach of criminal statute)
(restraint, assessing, reach of federal criminal statute)
(restraint, assessing, reach)
(600, at Aguilar is, supra)
(we, have taken in, cases)
(we, interpreting, § 7212 a 's Omnibus Clause)
(a, has, Omnibus Clause)
(we, have taken in, similar cases)
(language, here differ, sure)
(language, here differ somewhat from, that)
(language, differ from, that)
(language, here differ from, that)
(language, here differ somewhat, sure)
(history, here differ somewhat from, that)
(history, differ somewhat from, that)
(history, differ somewhat, sure)
(history, here differ from, that)
(history, differ, sure)
(language, differ, sure)
(history, differ from, that)
(history, here differ somewhat, sure)
(language, differ somewhat, sure)
(language, differ somewhat from, that)
(history, here differ, sure)
(use, is in, official proceeding)
(Government, urge, us)
(dissent, urge, us)
(us, ignore precedents because of, differences)
(us, ignore, precedents)
(we, interpreted in, 18 U. S. C. § 1503)
(witness, is in, court of United States)
(Congress, leaving prohibition against, obstruction)
(Congress, leaving prohibition against, obstruction of due administration)
(Congress, deleted, therein)
(Congress, leaving prohibition against, obstruction of administration of justice)
(Congress, leaving, broadly worded prohibition)
(Congress, leaving prohibition against, obstruction of due administration of justice)
(Congress, leaving, only worded prohibition)
(Congress, leaving, only broadly worded prohibition)
(Congress, leaving, worded prohibition)
(Congress, subsequently deleted, therein)
(Congress, leaving, prohibition)
(Congress, leaving prohibition against, obstruction of administration)
(Congress, leaving, only prohibition)
(amended formulation, prohibiting, obstruction of due administration of Tax Code)
(same amended formulation, prohibiting, obstruction of Tax Code)
(Congress, used, same amended formulation)
(Congress, used, amended formulation)
(formulation, prohibiting, obstruction)
(prohibiting, obstruction of, Tax Code)
(amended formulation, prohibiting, obstruction)
(prohibiting, obstruction of, due administration)
(same amended formulation, prohibiting, obstruction of administration of Tax Code)
(formulation, prohibiting, obstruction of due administration of Tax Code)
(same formulation, prohibiting, obstruction of administration of Tax Code)
(prohibiting, obstruction of, administration)
(Congress, used, same formulation)
(same formulation, prohibiting, obstruction)
(formulation, prohibiting, obstruction of administration of Tax Code)
(same formulation, prohibiting, obstruction of due administration)
(it, enacted, § 7212)
(same amended formulation, prohibiting, obstruction of administration)
(formulation, prohibiting, obstruction of due administration)
(Congress, used, formulation)
(same formulation, prohibiting, obstruction of administration)
(same amended formulation, prohibiting, obstruction of due administration)
(amended formulation, prohibiting, obstruction of administration of Tax Code)
(same formulation, prohibiting, obstruction of Tax Code)
(amended formulation, prohibiting, obstruction of Tax Code)
(same formulation, prohibiting, obstruction of due administration of Tax Code)
(amended formulation, prohibiting, obstruction of administration)
(amended formulation, prohibiting, obstruction of due administration)
(same amended formulation, prohibiting, obstruction of due administration of Tax Code)
(same amended formulation, prohibiting, obstruction)
(formulation, prohibiting, obstruction of administration)
(formulation, prohibiting, obstruction of Tax Code)
(we, interpreted, obstruction statutes)
(we, considering, § 7212)
(we, interpreted, other obstruction statutes)
(it, is, helpful)
(it, is helpful Given, similarity)
(language, are, similar)
(We, find, precedents instructive for use as guide toward proper resolution of issue)
(We, consequently find, precedents highly instructive for use as guide now before us)
(We, consequently find, precedents instructive for use as guide toward proper resolution of issue before us)
(We, find, precedents highly instructive for use now before us)
(We, consequently find, precedents instructive for use before us)
(We, consequently find, precedents highly instructive for use as guide toward proper resolution of issue now before us)
(We, find, precedents instructive for use as guide before us)
(We, find, precedents instructive)
(We, find, precedents instructive for use as guide)
(We, find, precedents highly instructive for use as guide toward proper resolution of issue now before us)
(We, consequently find, precedents instructive for use as guide toward resolution before us)
(We, consequently find, precedents instructive for use as guide now before us)
(We, find, precedents instructive for use as guide toward resolution)
(We, consequently find, precedents instructive for use as guide toward proper resolution of issue now before us)
(We, consequently find, precedents instructive for use)
(precedents, highly instructive for, use as guide toward proper resolution of issue)
(precedents, highly instructive for, use as guide toward resolution)
(We, find, precedents instructive for use as guide toward resolution now before us)
(We, consequently find, precedents highly instructive for use)
(We, find, precedents instructive for use as guide toward proper resolution)
(We, consequently find, precedents instructive for use now before us)
(We, consequently find, precedents instructive before us)
(precedents, highly instructive before, now us)
(We, consequently find, precedents highly instructive for use as guide toward proper resolution)
(We, consequently find, precedents highly instructive for use as guide toward resolution before us)
(We, consequently find, precedents highly instructive)
(We, find, precedents instructive for use as guide toward resolution of issue before us)
(We, consequently find, precedents highly instructive for use as guide toward resolution of issue)
(We, consequently find, precedents instructive for use as guide toward proper resolution)
(We, find, precedents instructive for use as guide toward resolution of issue)
(We, find, precedents instructive for use as guide toward resolution of issue now before us)
(We, find, precedents highly instructive for use as guide toward resolution of issue now before us)
(We, consequently find, precedents highly instructive for use as guide toward resolution now before us)
(We, consequently find, precedents highly instructive for use now before us)
(We, consequently find, precedents highly instructive for use as guide toward resolution of issue now before us)
(We, find, precedents highly instructive for use as guide toward proper resolution of issue)
(We, consequently find, precedents highly instructive for use as guide toward resolution)
(We, find, precedents instructive for use now before us)
(We, find, precedents highly instructive for use)
(We, consequently find, precedents instructive for use as guide toward proper resolution before us)
(We, find, precedents highly instructive for use as guide toward resolution now before us)
(We, consequently find, precedents instructive for use as guide toward resolution of issue before us)
(precedents, highly instructive before, us)
(precedents, highly instructive for, use)
(We, find, precedents highly instructive for use as guide toward resolution of issue)
(We, consequently find, precedents instructive for use as guide toward resolution of issue)
(We, consequently find, precedents instructive)
(We, find, precedents highly instructive for use as guide toward resolution before us)
(precedents, instructive before, us)
(We, find, precedents highly instructive for use as guide)
(We, find, precedents highly instructive for use as guide before us)
(We, find, precedents highly instructive for use as guide toward proper resolution of issue before us)
(We, find, precedents instructive for use)
(We, find, precedents instructive for use as guide toward proper resolution of issue now before us)
(We, find, precedents highly instructive for use as guide toward proper resolution now before us)
(We, find, precedents highly instructive for use as guide toward resolution)
(We, consequently find, precedents instructive for use as guide before us)
(precedents, highly instructive for, use as guide)
(We, consequently find, precedents highly instructive for use before us)
(We, find, precedents instructive for use as guide toward resolution before us)
(We, consequently find, precedents highly instructive before us)
(precedents, instructive for, use)
(We, consequently find, precedents highly instructive for use as guide toward resolution of issue before us)
(We, consequently find, precedents highly instructive now before us)
(We, consequently find, precedents instructive for use as guide toward proper resolution now before us)
(We, find, precedents highly instructive)
(precedents, instructive for, use as guide toward resolution)
(We, find, precedents instructive for use as guide toward proper resolution now before us)
(We, consequently find, precedents instructive for use as guide toward proper resolution of issue)
(We, find, precedents instructive for use as guide toward proper resolution before us)
(precedents, highly instructive for, use as guide toward proper resolution)
(precedents, highly instructive for, use as guide toward resolution of issue)
(We, find, precedents highly instructive for use as guide toward resolution of issue before us)
(We, find, precedents highly instructive now before us)
(We, find, precedents highly instructive before us)
(We, find, precedents highly instructive for use before us)
(We, consequently find, precedents highly instructive for use as guide)
(We, find, precedents instructive for use as guide now before us)
(We, consequently find, precedents highly instructive for use as guide toward proper resolution now before us)
(We, consequently find, precedents instructive for use as guide toward resolution)
(precedents, instructive for, use as guide toward resolution of issue)
(We, find, precedents instructive before us)
(precedents, instructive for, use as guide toward proper resolution)
(We, consequently find, precedents instructive now before us)
(We, consequently find, precedents instructive for use as guide toward resolution of issue now before us)
(We, consequently find, precedents instructive for use as guide)
(We, find, precedents highly instructive for use as guide toward proper resolution before us)
(We, consequently find, precedents highly instructive for use as guide toward proper resolution of issue before us)
(We, consequently find, precedents instructive for use as guide toward resolution now before us)
(precedents, instructive before, now us)
(We, find, precedents highly instructive for use as guide now before us)
(We, find, precedents instructive now before us)
(We, consequently find, precedents highly instructive for use as guide toward proper resolution before us)
(We, find, precedents highly instructive for use as guide toward proper resolution)
(We, consequently find, precedents highly instructive for use as guide toward proper resolution of issue)
(We, consequently find, precedents highly instructive for use as guide before us)
(precedents, instructive for, use as guide toward proper resolution of issue)
(precedents, instructive for, use as guide)
(We, find, precedents instructive for use as guide toward proper resolution of issue before us)
(We, find, precedents instructive for use before us)
(Government, secure, conviction under Omnibus Clause)
(defendant, between, conduct)
(Government, secure, conviction)
(nexus, requires, relationship in time)
(relationship, is in, time)
(nexus, requires, relationship in time with proceeding)
(nexus, requires, relationship with proceeding)
(relationship, is with, proceeding)
(nexus, requires, relationship)
(processing, is, part)
(tax returns, processing of is, part)
(processing, is part of, administration of Internal Revenue Code)
(processing, is part of, administration)
(same, have, could have said)
(defendant, of, effort mislead)
(investigating agent, is in, Aguilar)
(agent, has, investigation)
(defendant, has, conduct)
(we, find In, light of our decision)
(we, find In, light of our decision in Aguilar)
(it, construe more narrowly, § 7212 's Omnibus Clause)
(we, find In, light)
(our decision, is in, Aguilar)
(§ 7212, has, Omnibus Clause)
(it, construe narrowly, § 7212 's Omnibus Clause)
(it, construe, § 7212 's Omnibus Clause)
(defendant, engaged in, obstructive conduct)
(defendant, engaged in, conduct)
(their use, is in, official proceeding)
(proceeding, use, maritime analogy)
(proceeding, must in, must offing)
(case, is remanded for, further proceedings consistent)
(case, is remanded for, further proceedings)
(case, is remanded for, further proceedings consistent with opinion)
(case, is remanded for, proceedings consistent)
(case, is, remanded)
(case, is remanded for, proceedings)
(Second Circuit 's judgment, is reversed For, reasons)
(Second Circuit 's judgment, is, reversed)
(Second Circuit, has, judgment)
(case, is remanded for, proceedings consistent with opinion)
(It, is, ordered)
(It, is, so ordered)
(employee, acting in, official capacity)
(employee, acting in, capacity)
(term, means, threats)
(term, means, threats of bodily harm to officer)
(term, means, threats to member of his family)
(term, means, threats of bodily harm to member of his family)
(term, means, threats to officer to member)
(term, means, threats to member)
(term, means, threats of harm to member of his family)
(term, means, threats to officer)
(term, means, threats of harm to member)
(term, means, threats to officer to member of his family)
(term, means, threats to officer of United States)
(term, means, threats of bodily harm)
(term, means, threats of harm to officer)
(term, means, threats of harm)
(term, means, threats of bodily harm to member)
(term, means, threats of bodily harm to officer of United States)
(term, means, threats of harm to officer of United States)
(his, magistrate on account of, performance)
(other committing magistrate, is in, his person)
(his, being on account of, magistrate judge)
(his, magistrate on account of, performance of his duties)
(threat, term of, imprisonment)
(physical force, of threat is, maximum term)
(connection, is with, trial of criminal case)
(act, is in, violation of section)
(Justice Alito, joins, dissenting)
(26 U. S. C. § 7212, of Clause is, Tax Code)
(Internal Revenue Code, of C. is, a)
(Tax Code, authorizes, Internal Revenue Service)
(Tax Code, authorizes, IRS)
(entire Tax Code, authorizes, Internal Revenue Service)
(entire Tax Code, authorizes Internal Revenue Service, calculate)
(Tax Code, authorizes Internal Revenue Service, calculate)
(entire Tax Code, authorizes, IRS)
(corrupt efforts, impede, IRS)
(efforts, impede, IRS)
(Court, however reads, title)
(Court, reads, title)
(Court, mean, proceeding)
(Court, mean, particular proceeding)
(proceeding, must in, must offing)
(Court, may well prefer, statute)
(Court, may prefer, statute)
(He, shredded, most business records)
(He, shredded, business records)
(he, pay, his personal expenses)
(he, pay, his expenses)
(IRS, investigating, him)
(IRS, enough information about, Marinello 's earnings)
(Marinello, about, earnings)
(both, advised, him)
(tax returns, keep, business records)
(he, file, tax returns)
(Marinello, did, neither)
(IRS, investigate, Marinello)
(IRS, decided In, 2009)
(IRS, investigate again, Marinello)
(Marinello, claimed In, interview)
(Marinello, claimed In, interview with IRS agent)
(interview, is with, IRS agent)
(Marinello, initially claimed In, interview with IRS agent)
(Marinello, initially claimed In, interview)
(Marinello, however changed, his story)
(Marinello, changed, his story)
(he, earned, $ 1,000)
(he, used, company 's income)
(he, used, company 's income for bills)
(company, has, income for personal bills)
(he, used, company 's income for personal bills)
(he, took out, way)
(he, took out, easy way)
(a, has, Omnibus Clause)
(impede, refer, conduct)
(due administration, refer, conduct)
(administration, together refer, conduct)
(Court, with, interpretations)
(administration, refer, conduct)
(impede, together refer, conduct)
(I, agree with, Court 's interpretations)
(due administration, together refer, conduct)
(person, obstructing, administration)
(person, obstructing, administration of)
(person, obstructing, due administration of)
(person, obstructing, due administration)
(object, is, title)
(words, object of is, title)
(person, is, prohibited)
(I, part, ways)
(text, prohibits In, my view)
(plain text, obstructing, administration of Tax Code)
(text, obstructing, due administration of Tax Code)
(plain text, obstructing administration in, its entirety)
(plain text, obstructing, administration)
(plain text, prohibits In, my view)
(plain text, obstructing, due administration)
(plain text, obstructing, due administration of Tax Code)
(text, obstructing, administration of Tax Code)
(text, obstructing, due administration)
(text, obstructing administration in, its entirety)
(text, obstructing, administration)
(Iran, of Rubin is, ___ 2018)
(Congress, used, refer to Tax Code in its entirety)
(Congress, used, refer to Tax Code)
(Congress, used, refer in its entirety)
(Congress, used, refer)
(Congress, used title throughout, Title 26)
(Congress, used throughout, Title 26)
(title, refer to, Tax Code)
(Congress, used, title)
(title, refer in, its entirety)
(title, must refer as, whole)
(title, Thus must refer as, whole)
(title, Thus must refer to, Tax Code)
(title, must refer to, Tax Code)
(due administration, refers to, administration of Tax Code)
(administration, refers to, due administration of entire Tax Code)
(due administration, refers to, due administration)
(administration, refers to, administration of Tax Code)
(due administration, likewise refers to, administration of Tax Code)
(administration, refers to, due administration of Tax Code)
(administration, refers to, due administration)
(due administration, likewise refers to, due administration)
(administration, refers to, administration)
(administration, likewise refers to, due administration of Tax Code)
(due administration, likewise refers to, due administration of entire Tax Code)
(due administration, refers to, due administration of entire Tax Code)
(administration, likewise refers to, due administration)
(due administration, likewise refers to, administration of entire Tax Code)
(administration, likewise refers to, administration)
(administration, likewise refers to, administration of entire Tax Code)
(due administration, refers to, administration of entire Tax Code)
(due administration, refers to, administration)
(administration, refers to, administration of entire Tax Code)
(administration, likewise refers to, due administration of entire Tax Code)
(due administration, likewise refers to, administration)
(administration, likewise refers to, administration of Tax Code)
(due administration, likewise refers to, due administration of Tax Code)
(due administration, refers to, due administration of Tax Code)
(administration, includes, four basic steps)
(administration, includes, four steps)
(tax administration procedure, first phase of is, information gathering)
(tax administration procedure, phase of is, information gathering)
(phase, is, information gathering)
(first phase, is, information gathering)
(step, reporting of, information used)
(step, reporting of, information)
(step, private reporting of, information)
(step, private reporting of, information used)
(next step, is in, process)
(taxpayer, of, liability)
(taxpayer, has, liability)
(Levy, refers to, mode)
(Levy, refers to, specific mode under which)
(Levy, refers to, specific mode)
(Levy, refers to, specific mode of collection)
(Levy, refers to, mode of collection)
(Levy, refers to, specific mode of collection under which)
(Levy, refers to, mode of collection under which)
(Levy, refers to, mode under which)
(recalcitrant taxpayer, has, property)
(Subtitle F, contains, directives related)
(Subtitle F, contains, directives)
(Subtitle F, contains, directives related to each steps)
(directives, related to, each steps)
(Subtitle F, contains, directives related to each of steps)
(directives, related to, each of steps)
(records, file, returns)
(§ 6001, keep, records)
(returns, taxpayers with, incomes)
(taxpayers, file, returns)
(records, file, certain returns)
(returns, taxpayers with, qualifying incomes)
(certain records, file, returns)
(taxpayers, is with, qualifying incomes)
(Secretary, create, returns)
(certain records, file, certain returns)
(§ 6001, keep, certain records)
(Secretary, make, assessments)
(Secretary, make, assessments of tax liabilities)
(It, requires, Secretary)
(Secretary, make, determinations)
(Secretary, make, inquiries)
(Secretary, collect, taxes)
(it, authorizes, Secretary)
(Subtitle F, conduct investigations into, accuracy)
(Subtitle F, conduct investigations into, accuracy of returns)
(Subtitle F, also gives, Secretary)
(Subtitle F, conduct investigations into, accuracy of particular returns)
(Subtitle F, gives, Secretary)
(Subtitle F, conduct, § § 7601-7613)
(Subtitle F, conduct, investigations)
(administration, gathering, information)
(administration, refers to, entire process of taxation)
(due administration, refers to, process of taxation)
(due administration, refers to, entire process)
(due administration, refers to, process)
(due administration, gathering, information)
(administration, refers to, entire process)
(due administration, refers to, entire process of taxation)
(administration, refers to, process)
(administration, refers to, process of taxation)
(Court, describing, language of Omnibus Clause)
(Court, describing language as, neutral)
(Court, describing, literal language of Omnibus Clause)
(Court, rejects, straightforward reading)
(Court, describing, literal language)
(Court, describing, language)
(Court, rejects, reading)
(Court, reads into, it)
(some, are, covered)
(processes, is in, Tax Code)
(its proposed limit, is in, text)
(Court, turns to, context)
(clauses, are limited to, actions taken)
(other clauses, are limited to, actions taken against individual persons)
(clauses, are limited to, actions)
(clauses, are, limited)
(clauses, are limited to, actions taken against persons)
(clauses, are limited to, actions taken against individual identifiable persons)
(Omnibus Clause, be limited, limited to actions taken against individual identifiable persons)
(Omnibus Clause, be limited to, pending proceedings)
(Omnibus Clause, be limited, limited to actions)
(Omnibus Clause, be limited to, proceedings)
(other clauses, are limited to, actions taken against identifiable persons)
(clauses, are limited to, actions taken against identifiable persons)
(Omnibus Clause, be limited, limited to actions taken against identifiable persons)
(Omnibus Clause, be, limited)
(other clauses, are limited to, actions taken against individual identifiable persons)
(other clauses, are limited to, actions)
(Omnibus Clause, be limited, limited)
(Omnibus Clause, be limited, limited to actions taken against persons)
(other clauses, are limited to, actions taken against persons)
(other clauses, are limited to, actions taken)
(Omnibus Clause, be limited, limited to actions taken)
(other clauses, are, limited)
(clauses, are limited to, actions taken against individual persons)
(Omnibus Clause, be limited, limited to actions taken against individual persons)
(specific clauses, is in, statute)
(other clauses, do contain, pending-or-imminent-proceeding requirement)
(other clauses, do contain, requirement)
(other clauses, is in, § 7212)
(clauses, do contain, pending-or-imminent-proceeding requirement)
(clauses, do contain, requirement)
(Court, reads into, Omnibus Clause)
(certain misdemeanors, is in, Tax Code)
(act, be, done)
(act, be, done)
(act, be, done corruptly)
(act, be, done willfully)
(difference, is, significant)
(he, voluntarily and intentionally violated, duty)
(proof, requires, proof)
(defendant, knew of, duty)
(law, duty on, defendant)
(he, voluntarily violated, duty)
(law, imposed, duty on defendant)
(law, imposed, duty)
(he, violated, duty)
(act, is with, intent procure)
(proof, only requires, proof)
(purpose, obtain, unlawful benefit)
(he, obtaining, benefit)
(he, obtaining, unlawful benefit)
(purpose, obtain, benefit)
(difference, is important under, principles of law)
(difference, is important under, basic principles of law)
(Court, dismisses, significance of different mens rea requirements)
(difference, is important under, basic principles of criminal law)
(Court, dismisses, significance)
(difference, is important under, principles)
(difference, is important under, basic principles)
(Court, see, ante)
(Court, dismisses significance at, 8)
(difference, is, important)
(difference, is important under, principles of criminal law)
(Court, dismisses, significance of mens rea requirements)
(mens rea requirements, differentiate culpability For, reason)
(different mens rea requirements, differentiate culpability For, reason)
(mens rea requirements, often differentiate, culpability)
(different mens rea requirements, differentiate culpability for, conduct)
(mens rea requirements, often differentiate culpability for, conduct)
(different mens rea requirements, differentiate, culpability)
(mens rea requirements, differentiate culpability for, conduct)
(different mens rea requirements, often differentiate, culpability)
(different mens rea requirements, differentiate culpability for, same conduct)
(mens rea requirements, often differentiate culpability For, reason)
(mens rea requirements, differentiate culpability for, same conduct)
(different mens rea requirements, often differentiate culpability For, reason)
(different mens rea requirements, often differentiate culpability for, conduct)
(mens rea requirements, often differentiate culpability for, same conduct)
(mens rea requirements, differentiate, culpability)
(different mens rea requirements, often differentiate culpability for, same conduct)
(defendant, on, state of mind)
(Court, cast doubt on, well-established principle)
(Court, cast doubt on, principle)
(Court, cast, doubt)
(Omnibus Clause, did overlap with, misdemeanors)
(Omnibus Clause, Even did overlap with, misdemeanors)
(Omnibus Clause, Even did overlap with, other misdemeanors)
(Omnibus Clause, did overlap with, other misdemeanors)
(redundancy, better abounds in, criminal law)
(redundancy, abounds in, law)
(redundancy, better or worse abounds in, criminal law)
(redundancy, better or worse abounds in, law)
(redundancy, better abounds in, law)
(redundancy, abounds in, criminal law)
(conduct, would, would criminalized)
(same conduct, would, would criminalized)
(conduct, would, simply would criminalized)
(Court, depart from, meaning)
(Court, has declined, depart from meaning of text)
(Court, depart, would criminalized)
(Court, has repeatedly declined, depart)
(Court, has repeatedly declined, depart from plain meaning)
(Court, has declined, depart from plain meaning)
(Court, has repeatedly declined, depart from meaning of text)
(Court, has declined, depart from meaning)
(same conduct, would, simply would criminalized)
(Court, has declined, depart from plain meaning of text)
(Court, has repeatedly declined, depart from plain meaning of text)
(Court, has declined, depart)
(Court, depart from, meaning of text)
(Court, depart from, plain meaning)
(Court, depart from, plain meaning of text)
(Court, has repeatedly declined, depart from meaning)
(Court, depart, simply would criminalized)
(two misdemeanors, is in, Tax Code)
(Court, has, interpretation of Omnibus Clause)
(Certain misdemeanor offenses, is in, Tax Code)
(summons, apply, conduct)
(place, violate, Omnibus Clause)
(place, still violate Omnibus Clause under, Court 's interpretation)
(place, still violate, Omnibus Clause)
(place, violate Omnibus Clause under, Court 's interpretation)
(Court, under, interpretation)
(Court, has, interpretation)
(Court 's interpretation, makes, Omnibus Clause redundant)
(Court 's interpretation, also makes, Omnibus Clause redundant)
(Court 's interpretation, also makes, Omnibus Clause largely redundant)
(Court 's interpretation, makes, Omnibus Clause largely redundant)
(Court, has, interpretation)
(he, canon against, surplusage)
(its narrow reading, is supported, it admits)
(history, differ somewhat from, obstruction provisions)
(history, differ from, other obstruction provisions)
(its reading, is, supported)
(its reading, is supported by, three decisions)
(history, differ somewhat from, other obstruction provisions)
(history, language of, Omnibus Clause)
(language, differ somewhat from, obstruction provisions)
(history, differ from, obstruction provisions)
(its narrow reading, is supported by, three decisions)
(language, differ from, obstruction provisions)
(language, differ from, other obstruction provisions)
(language, differ somewhat from, other obstruction provisions)
(its reading, is supported, it admits)
(its narrow reading, is, supported)
(iffer, is putting, it)
(iffer, is putting lightly, it)
(Aguilar, interpreted, 18 U. S. C. § 1503)
(omnibus clause, forbids, endeavoring)
(omnibus clause, forbids, corruptly endeavoring)
(language, requires, prosecution)
(prosecution, prove, nexus between defendant 's act)
(prosecution, prove, nexus)
(prosecution, prove, nexus between defendant 's obstructive act)
(defendant, between, obstructive act)
(nexus requirement, was based on, history)
(nexus requirement, was based on, history of § 1503)
(nexus requirement, was based on, specific history of § 1503)
(nexus requirement, was based on, specific history)
(nexus requirement, was, based)
(predecessor, obstructing administration in, court of United States)
(§ 1503, refer to, administration of justice)
(Court, assumed Based on, statutory history)
(Court, assumed Based on, history)
(§ 1503, continued, refer to administration of justice in court)
(§ 1503, continued, refer to administration)
(§ 1503, refer in, court)
(§ 1503, continued, refer in court)
(§ 1503, continued, refer to administration of justice)
(§ 1503, continued, refer)
(§ 1503, refer to, administration)
(§ 1503, continued, refer to administration in court)
(599, at Aguilar is, supra)
(None, is, present here)
(None, is, present)
(Arthur Anderson, is, even further afield)
(Arthur Anderson, is, afield)
(Arthur Anderson, is, even afield)
(Arthur Anderson, is, further afield)
(person, is with, intent to cause)
(Court, interpreted, b)
(Court, interpreted, 18 U. S. C. § 1512)
(Government, show, nexus)
(Government, show, nexus with particular proceeding)
(Government, show, nexus with proceeding)
(nexus, is with, particular proceeding)
(Court, Relying on, Aguilar)
(Court 's interpretation, against cuts is, A)
(Court, against, interpretation of Omnibus Clause)
(341, at Jama is, 543 U. S.)
(Yates, underscores, point)
(Section, covers, conduct intended)
(four Justices, is in, plurality)
(Section 1519, covers, conduct intended)
(Section 1519, covers, conduct)
(Section, covers, conduct)
(official proceeding, is with, phrase of matter within jurisdiction of department)
(plurality, contrasted, term)
(latter, is, broader)
(same, is true for, language of Omnibus Clause)
(same, is true for, broad language)
(same, is true for, language)
(same, is true for, broad language of Omnibus Clause)
(same, is, true)
(Court, include, proceeding requirement)
(Court, interprets, obstruction statutes)
(text, justify, it)
(history, justify, it)
(cases, demonstrate In, sum)
(Court, does precisely at_time, Today)
(Court, does at_time, Today)
(Court, invokes, concerns justify)
(Court, invokes, lenity-sounding concerns justify)
(ambiguity, is in, statute Court must simply guess)
(rule, only applying, ordinary tools of statutory interpretation)
(uncertainty, ambiguity in, statute Court must guess)
(uncertainty, ambiguity in, statute Court must simply guess)
(rule, applying, ordinary tools of interpretation)
(rule, only applying, ordinary tools of interpretation)
(rule, only applying, tools of statutory interpretation)
(uncertainty, grievous ambiguity in, statute Court must guess)
(rule, applying, tools of interpretation)
(rule, applying, ordinary tools)
(rule, applying, tools of statutory interpretation)
(rule, only applying, tools of interpretation)
(uncertainty, grievous ambiguity in, statute Court must simply guess)
(rule, applying, tools)
(rule, applying, ordinary tools of statutory interpretation)
(rule, only applying, ordinary tools)
(rule, only applying, tools)
(such grievous ambiguity, is in, Omnibus Clause)
(Omnibus Clause, is, broad)
(Omnibus Clause, is, very broad)
(___, at Yates is, supra)
(Court, outlines, its proceeding requirement in vaguest of terms)
(its atextual proceeding requirement, is in, only vaguest of terms)
(Court, outlines, its proceeding requirement in vaguest)
(Court, outlines, its proceeding requirement in only vaguest of terms)
(Court, outlines, its atextual proceeding requirement in vaguest of terms)
(Court, outlines, its proceeding requirement in only vaguest)
(Court, outlines, its atextual proceeding requirement in only vaguest)
(Court, outlines, its proceeding requirement)
(Court, outlines, its atextual proceeding requirement)
(Court, outlines, its atextual proceeding requirement in only vaguest of terms)
(Court, outlines, its atextual proceeding requirement in vaguest)
(prosecution, must prove nexus Under, its interpretation)
(defendant, between, conduct)
(prosecution, must prove, nexus)
(prosecution, must prove, nexus between defendant 's conduct)
(prosecution, must prove Under, its interpretation)
(P articular proceeding, is, defined)
(act, carried out by, IRS employees)
(P proceeding, is, defined)
(P administrative proceeding, is, defined)
(act, carried out in, course)
(proceeding, was reasonably foreseeable to, defendant)
(proceeding, was, foreseeable)
(proceeding, was, reasonably foreseeable)
(proceeding, was foreseeable to, defendant)
(foreseeable, is, again defined)
(IRS, catch onto, his scheme)
(foreseeable, is again defined, defendant knew)
(foreseeable, is, defined)
(foreseeable, is defined, defendant knew)
(foreseeable, is, defined negatively)
(foreseeable, is defined negatively, defendant knew)
(IRS, catch eventually onto, his scheme)
(IRS, catch onto, his unlawful scheme)
(IRS, catch eventually onto, his unlawful scheme)
(foreseeable, is again defined negatively, defendant knew)
(foreseeable, is, again defined negatively)
(Court 's statute, is, vague)
(Court, has, statute)
(It, is, hard)
(Court 's statute, is, less vague)
(Court 's statute, is, how vague)
(Court 's statute, is, how less vague)
(§, is, sweeping)
(§, is, sweeping obstruction statute)
(§, is, obstruction statute)
(Government, depends upon, faith of potential taxpayer)
(Government, depends upon, good faith of potential taxpayer)
(broad statute, was warranted, based)
(statute, was warranted, based on system)
(statute, was warranted, based)
(our tax structure, is based on, system of self-reporting)
(Government, disclose, information relevant to tax liability)
(statute, was warranted, based on system of self-reporting)
(our tax structure, is based on, system)
(Government, disclose honestly, information relevant to tax liability)
(our tax structure, is, based)
