(UNITED STATES, v. ELONIS is, 2015)
(484, at Jeffries is, 692 F. 3d)
(reasonable person, regards, communication)
(1 C. Torcia, pp., 171-172 15th ed)
(Wharton, has, Criminal Law § 27)
(he, could, could held for evil intent actually existing)
(he, could, could held for evil intent existing in his mind)
(he, could, could only held for intent existing in his mind)
(he, could, could held for evil intent existing)
(he, could, could only held for intent)
(he, could, could only held criminally for evil intent existing in his mind)
(he, could, could only held criminally for intent existing in his mind)
(intent, existing in, his mind)
(he, could, could held)
(he, could, could held criminally for intent existing in his mind)
(he, could, could only held for intent actually existing in his mind)
(he, could, could held criminally for evil intent existing)
(he, could, could held for evil intent)
(he, could, could only held criminally for evil intent actually existing)
(he, could, could held criminally for evil intent actually existing in his mind)
(he, could, could held for evil intent actually existing in his mind)
(he, could, could only held criminally)
(he, could, could held for intent)
(he, could, could only held criminally for intent)
(evil intent, existing in, his mind)
(he, could, could only held for evil intent existing)
(he, could, could held criminally for intent existing)
(he, could, could only held for evil intent actually existing in his mind)
(he, could, could only held for intent actually existing)
(he, could, could held for intent actually existing)
(he, could, could only held criminally for intent actually existing)
(he, could, could only held)
(he, could, could held criminally for intent)
(he, could, could only held criminally for intent actually existing in his mind)
(he, could, could held criminally for intent actually existing)
(he, could, could held for intent existing)
(he, could, could held criminally)
(he, could, could only held for evil intent actually existing)
(he, could, could only held for evil intent existing in his mind)
(evil intent, actually existing in, his mind)
(he, could, could only held for intent existing)
(he, could, could held for intent existing in his mind)
(liability, is in, civil action for negligence)
(he, could, could held criminally for evil intent existing in his mind)
(he, could, could held criminally for evil intent)
(he, could, could only held criminally for evil intent existing)
(he, could, could only held criminally for intent existing)
(he, could, could only held for evil intent)
(he, could, could only held criminally for evil intent actually existing in his mind)
(he, could, could held for intent actually existing in his mind)
(he, could, could held criminally for intent actually existing in his mind)
(intent, actually existing in, his mind)
(he, could, could only held criminally for evil intent)
(he, could, could held criminally for evil intent actually existing)
(context, contents of, communication)
(defendant, contents of, communication)
(its approach, require, proof)
(defendant, comprehended, contents)
(defendant, comprehended, contents of communication)
(defendant, comprehended, context)
(Government, gives, two examples)
(Government, require, defendant)
(Criminal negligence standards, often incorporate, circumstances known)
(Criminal negligence standards, often incorporate circumstances to, defendant)
(Criminal negligence standards, incorporate, circumstances known)
(Criminal negligence standards, incorporate circumstances to, defendant)
(Criminal negligence standards, often incorporate, circumstances)
(Criminal negligence standards, incorporate, circumstances)
(372-373, at LaFave is, Substantive Criminal Law)
(he, knew, contents)
(posts, be read as, genuine threats)
(he, knew, contents of his posts)
(he, contents of, his posts)
(he, knew, context)
(context, contents of, his posts)
(posts, be, read)
(posts, be read as, threats)
(Government, relies on, Hamling States)
(Government, relies most heavily on, Hamling States)
(Government, relies most heavily on, 418 U. S. 87)
(Government, relies heavily on, Hamling States)
(Government, relies heavily on, 418 U. S. 87)
(Government, relies on, 418 U. S. 87)
(they, knew, status of materials)
(they, legal status of, materials)
(they, only knew, legal status of materials)
(they, only knew, legal status)
(they, knew, legal status of materials distributed)
(they, legal status of, materials distributed)
(individuals, be convicted of, mailing material)
(individuals, be convicted, they knew)
(they, status of, materials)
(they, knew, legal status of materials)
(individuals, be, convicted)
(individuals, be convicted of, mailing obscene material)
(Court, rejected, argument)
(they, knew, status)
(individuals, be convicted, only they knew)
(they, status of, materials distributed)
(they, knew, status of materials distributed)
(Court, rejected argument In, case)
(they, only knew, status)
(they, only knew, legal status of materials distributed)
(they, knew, legal status)
(they, only knew, status of materials distributed)
(they, only knew, status of materials)
(defendant, avoid, prosecution)
(materials, were, obscene)
(materials, were, legally obscene)
(he, lacked, knowledge)
(It, was enough for, liability)
(he, knew, character)
(It, was, instead enough)
(defendant, knowledge of, contents)
(It, was, enough)
(It, was instead enough for, liability)
(he, character of, materials)
(defendant, had, knowledge)
(defendant, had, knowledge of contents)
(nature, character of, materials)
(he, knew, character of materials)
(he, knew, nature)
(Court, is in, Hamling)
(Court, approved, state court 's conclusion)
(state court, has, conclusion)
(vital element, character of, material)
(element, character of, material)
(calculated purveyance, is In, case)
(Elonis, know, nature)
(Elonis, know, nature of his communication)
(Elonis, know, threatening nature)
(Elonis, know, threatening nature of his communication)
(Elonis, threatening nature of, his communication)
(Elonis, nature of, his communication)
(dissent, Contrary to, suggestion)
(defendant 's contention, is in, Rosen)
(defendant, has, contention in Rosen)
(material, be, properly characterized)
(material, be characterized as, obscene)
(material, be properly or justly characterized as, obscene)
(material, be, characterized)
(material, be properly characterized as, obscene)
(Elonis, has, conviction)
(reasonable person, regard, Elonis 's communications)
(reasonable person, only regard, Elonis 's communications)
(jury, was, instructed)
(person, only regard, Elonis 's communications)
(that, was, error)
(Elonis, has, communications)
(person, regard, Elonis 's communications)
(Federal criminal liability, considering, defendant 's mental state)
(Federal liability, considering, defendant 's mental state)
(Federal liability, considering, mental state)
(Federal criminal liability, considering, mental state)
(Congress, left, it intact here)
(wrongdoing, must, must conscious)
(Congress, left, it intact)
(wrongdoing, must, Under Section 875 must conscious)
(252, at Morissette is, 342 U. S.)
(Elonis, stated In, response to question at oral argument)
(Elonis, stated In, response)
(Elonis, stated In, response to question at argument)
(Elonis, stated In, response to question)
(we, address, it)
(Government, has briefed, point)
(party, argued, post)
(party, argued, issue)
(party, argued at, 2)
(party, argued issue at, 2)
(That, is, wrong)
(Our holding, makes contrary to, view of nine Courts of Appeals)
(Our holding, makes contrary to, view)
(Our holding, makes contrary to, view of nine Courts)
(prudence, is, nothing new)
(prudence, is, nothing)
(Such prudence, is, nothing)
(Such prudence, is, nothing new)
(lower court, has, order impermissible under First Amendment)
(mental state, suffice for, liability)
(defendant, has, challenge to obscenity law)
(court, even may someday confront, case)
(state, suffice for, criminal liability)
(mental state, suffice under, 18 U. S. C. § 751)
(state, suffice under, 18 U. S. C. § 751)
(court, may confront, case)
(court, even may confront, case)
(court, may someday confront, case)
(state, suffice for, liability)
(mental state, suffice for, criminal liability)
(we, decide correctly, it)
(we, decide, it)
(We, be, capable)
(We, deciding, recklessness issue)
(case, is remanded for, further proceedings consistent)
(case, is remanded for, further proceedings)
(case, is remanded for, further proceedings consistent with opinion)
(case, is, remanded)
(case, is remanded for, proceedings consistent)
(case, is remanded for, proceedings)
(case, is remanded for, proceedings consistent with opinion)
(judgment, is, reversed)
(It, is, ordered)
(It, is, so ordered)
(ANTHONY DOUGLAS ELONIS, PETITIONER v., UNITED STATES)
(It, is, province of judicial department say)
(It, is, emphatically province of department say)
(It, is emphatically province, say)
(It, is, emphatically province of judicial department say)
(It, is, province of department say)
(1 Cranch 137 177, is In, Marbury)
(It, is province, say)
(It, is emphatically prerogative of, Court)
(It, is, prerogative)
(It, is prerogative of, Court)
(It, is, emphatically prerogative)
(Court 's disposition, is, certain)
(Court 's disposition, cause, problems)
(Court 's disposition, cause, serious problems)
(Court, has, disposition of case)
(Court 's disposition, cause, confusion)
(judges, need, know)
(Attorneys, need, know)
(Court, provides, partial answer)
(Court, provides, answer)
(Court, provides, only partial answer)
(case, squarely presents, issue)
(Court, provides, only answer)
(case, presents, issue)
(jury instructions, were, defective)
(they, required, negligence)
(they, conveying, threat)
(jury instructions, is in, case)
(they, required, only negligence)
(jury instructions, were defective, they required)
(Court, refuses, explain)
(Court, declines, say)
(Attorneys, are, left)
(This, will have, regrettable consequences)
(They, must actually decide, cases)
(They, must decide, cases)
(defendant, may, may wrongly convicted)
(defendant, may, may convicted)
(purpose, is, needed)
(jury, is, told)
(We, granted review in, case)
(We, granted, review)
(We, resolve, disagreement)
(We, resolve, disagreement among Circuits)
(parties, addressed issue in, fact)
(parties, addressed, issue)
(we, can order, argument)
(we, can order, briefing)
(we, can order, further briefing)
(we, should resolve, question)
(we, are, however capable)
(we, should resolve now, question)
(we, are, capable)
(we, however are capable In, my view)
(we, deciding, recklessness issue)
(we, are capable In, my view)
(transmission, was in, interstate commerce)
(conviction, Thus requires, proof)
(transmission, was in, commerce)
(defendant, transmitted, something)
(conviction, requires, proof)
(issue, is in, case)
(Court, construing, term)
(Court, distinguished, threat from remarks)
(Court, distinguished, threat from facetious remarks)
(Court, true threat from, facetious remarks)
(Court, construing term in, statute)
(Court, distinguished, threat)
(Court, construing term in, related statute)
(Court, distinguished, true threat)
(Court, distinguished, true threat from remarks)
(Court, distinguished, true threat from facetious remarks)
(Court, construing, same term)
(Court, true threat from, remarks)
(Court, threat from, facetious remarks)
(Court, threat from, remarks)
(curiam, per S. is, 1969)
(Watts, S. per, curiam)
(term threat, can, can fairly defined)
(term threat, can, In my view can fairly defined)
(term threat, can, In my view can defined)
(term threat, is in, § 875)
(term threat, can, can defined)
(Webster, 's Dictionary is, 1976)
(Webster, has, Third New International Dictionary 2382)
(defendant, has, transmission)
(it, interpret transmission as, expression)
(Conviction, demands, proof)
(defendant 's transmission, was in, fact)
(it, interpret, transmission)
(it, is, reasonable)
(defendant, was reckless at, least)
(transmission, met, requirement)
(it, must, must shown)
(it, must, In addition must shown)
(defendant, was, reckless)
(My analysis, follows, same track)
(My analysis, follows, track as)
(My analysis, follows, same track as)
(My analysis, follows, track)
(criminal statutes, sort for, conviction)
(statutes, require, sort for conviction)
(criminal statutes, require, sort)
(criminal statutes, require, sort for conviction)
(I, agree with, Court)
(statutes, require, sort of mens rea for conviction)
(criminal statutes, sort of, mens rea)
(criminal statutes, require, sort of mens rea)
(statutes, require, sort)
(statutes, sort of, mens rea)
(statutes, require, sort of mens rea)
(statutes, sort for, conviction)
(criminal statutes, require, sort of mens rea for conviction)
(we, generally interpret, statutes)
(we, interpret, statutes)
(presumption, marks, departure)
(presumption, marks departure, sure)
(We, reading, words)
(We, reading, elements)
(step, is justified by, well-established pattern)
(step, is justified by, pattern in our criminal laws)
(step, is justified by, pattern)
(well-established pattern, is in, our criminal laws)
(step, is, justified)
(step, is justified by, pattern in our laws)
(step, is justified by, well-established pattern in our criminal laws)
(step, is justified by, well-established pattern in our laws)
(law crimes, have, have so defined)
(different common law crimes, have, have so defined)
(defendant, has, acts)
(different law crimes, have, For centuries have defined)
(different common law crimes, have, For centuries have defined)
(different common law crimes, have, For several centuries have defined)
(law crimes, require for, guilt)
(different common law crimes, have, have defined)
(common law crimes, have, have defined)
(common law crimes, require for, guilt)
(law crimes, have, For several centuries have so defined)
(different law crimes, have, For centuries have so defined)
(common law crimes, have, For several centuries have so defined)
(defendant 's acts, be, accompanied)
(common law crimes, have, For centuries have defined)
(different common law crimes, have, For centuries have so defined)
(common law crimes, have, For centuries have so defined)
(different law crimes, have, have defined)
(different law crimes, require for, guilt)
(different law crimes, have, have so defined)
(different law crimes, have, For several centuries have defined)
(law crimes, have, have defined)
(law crimes, have, For several centuries have defined)
(law crimes, have, For centuries have defined)
(common law crimes, have, have so defined)
(law crimes, have, For centuries have so defined)
(different law crimes, have, For several centuries have so defined)
(common law crimes, have, For several centuries have defined)
(different common law crimes, have, For several centuries have so defined)
(indication, dispense as, element of crime)
(we, require, indication of intent)
(we, require, indication)
(requirement, is, firmly embedded)
(indication, dispense as, element)
(we, require, indication of congressional intent)
(requirement, is, embedded)
(indication, dispense with, mens rea)
(I, agree with, Court)
(more, offense like, that created)
(I, agree For, similar reason)
(offense, requires, more than negligence)
(more, offense like, that)
(I, agree For, reason)
(offense, requires, more)
(answer, is, sufficiently debatable)
(offense, require, more)
(answer, justify, presumption)
(serious offense, be, presumed)
(culpable, is, interesting question)
(culpable, is, question)
(negligence, is, culpable)
(answer, is, debatable)
(negligence, is, morally culpable)
(offense, be, presumed)
(serious offense, require, more)
(mens, rea above, just negligence)
(mens rea, is, recklessness)
(mens rea, is In, hierarchy of mental states)
(mens, rea above, negligence)
(It, is, quite unusual)
(It, is, unusual)
(we, have reached, recklessness)
(we, Once have reached, recklessness)
(we, have described conduct In, wide variety of contexts)
(we, have described conduct as, culpable)
(we, have described conduct In, wide variety)
(we, have described, conduct)
(we, have described, reckless conduct)
(we, have described conduct In, variety)
(we, have described conduct In, variety of contexts)
(we, have described conduct as, morally culpable)
(inmate, to, harm)
(death penalty, reckless disregard for, life)
(death penalty, disregard for, life)
(disregard, justify, death penalty)
(death penalty, reckless disregard for, human life)
(death penalty, disregard for, human life)
(reckless disregard, justify, death penalty)
(others, regard, his statements)
(he, delivers anyway, them)
(he, delivers, them)
(He, is, aware)
(he, consciously disregards, risk)
(she, consciously disregards, risk)
(communication, be, interpreted)
(he, disregards, risk)
(defendant, be convicted under, § 875)
(defendant, be, convicted)
(she, disregards, risk)
(communication, be interpreted as, threat)
(defendant, be convicted under, c)
(communication, be interpreted as, true threat)
(Court, in, non-committal opinion)
(Nothing, prevents, courts)
(Nothing, is in, Court 's non-committal opinion)
(Nothing, prevents, lower courts)
(Nothing, adopting, standard)
(First Amendment, interpreting, c)
(First Amendment, interpreting, § 875)
(I, would reject, argument)
(707-708, at Watts is, 394 U. S.)
(True threats, inflict, harm)
(threats, have, little if social value)
(True threats, have, little if social value)
(threats, inflict, harm)
(True threats, inflict, great harm)
(threats, inflict, great harm)
(threat, may cause, serious emotional stress for person)
(threat, may cause, serious stress)
(threat, may cause, serious emotional stress for person threatened)
(threat, may cause, emotional stress for person threatened)
(threat, may cause, emotional stress)
(threat, may cause, stress for person threatened)
(threat, may cause, serious stress for person)
(threat, may cause, stress for person)
(threat, may cause, serious stress for person threatened)
(threat, may cause, serious emotional stress)
(threat, may cause, stress)
(threat, may cause, emotional stress for person)
(value, are entitled to, protection)
(It, is, true)
(value, are, entitled)
(person, cause, harm)
(person, making, statement)
(threat, is made for, therapeutic)
(threat, is, made)
(purpose, is In, his view)
(threat, is, protected)
(person, is, same)
(damage, is, same)
(threat, cause, harm)
(effect, making, threat)
(fact, justify, constitutional protection)
(they, carry out, threat)
(their words, cause, harm)
(words, uttered in, performances)
(words, uttered by, rappers)
(they, are similar to, words uttered)
(they, are similar to, words)
(words, uttered in, public performances)
(they, are similar to, words uttered in public performances)
(they, are similar to, words uttered by rappers)
(they, are similar to, words uttered by rappers in performances)
(they, are, similar)
(they, are similar to, words uttered by rappers in public performances)
(they, are similar to, words uttered in performances)
(his brief, includes, lengthy excerpt)
(his ex-wife, dumping, her body)
(his brief, includes, excerpt)
(his brief, includes, lengthy excerpt from lyrics)
(his brief, includes, excerpt from lyrics)
(his brief, make, point)
(Elonis pleads, post, similar things)
(Elonis pleads, post, similar things on media)
(Elonis pleads, post, things on media)
(Elonis pleads, post, things on social media)
(Elonis pleads, post, similar things on social media)
(celebrity, can utter, words)
(Elonis pleads, amateurs like, him)
(celebrity, can utter, such words)
(Elonis pleads, post, things)
(Elonis pleads, should, should able)
(lyrics, be interpreted as, real threat)
(lyrics, be, interpreted)
(lyrics, is in, songs)
(lyrics, be interpreted as, threat to real person)
(lyrics, be interpreted as, threat to person)
(lyrics, be interpreted as, real threat to person)
(lyrics, be interpreted as, real threat to real person)
(lyrics, be interpreted as, threat)
(lyrics, are, unlikely)
(708, at Watts is, supra)
(something similar, dress up, threat)
(something similar, dress up, threat in guise)
(parody, is, clever enough)
(something similar, is, clever)
(hold, would grant, license)
(parody, is, clever)
(something similar, dress up, real threat in guise)
(something, dress up, threat in guise)
(something similar, dress up, real threat in guise of rap lyrics)
(something, dress up, real threat in guise)
(something, dress up, real threat)
(something, is, clever)
(something similar, dress up, threat in guise of rap lyrics)
(something, is, clever enough)
(something, dress up, threat)
(something similar, is, clever enough)
(something, dress up, real threat in guise of rap lyrics)
(real threat, is in, guise of rap lyrics)
(something, dress up, threat in guise of rap lyrics)
(something similar, dress up, real threat)
(facts, illustrate, point)
(I, dumped, your body)
(I, dropped off, you)
(it, look like, rape)
(Elonis, on, estranged wife)
(your protection, put, it)
(it, Is stop, bullet)
(Elonis, made, sure)
(his wife, saw, his posts)
(she, was, was stalked)
(they, made, afraid)
(they, made, extremely afraid)
(Threats, are among, weapons of domestic abusers)
(Threats, are among, favored weapons of domestic abusers)
(Threats, are among, favored weapons of abusers)
(violence, Threats of are, favored weapons of domestic abusers)
(Threats, are among, weapons of abusers)
(Threats, are among, weapons)
(violence, Threats of are, weapons)
(rise, has only made, tactics more commonplace)
(Threats, are among, favored weapons)
(violence, Threats of are, favored weapons)
(violence, Threats of are, favored weapons of abusers)
(violence, Threats of are, weapons of domestic abusers)
(violence, Threats of are, weapons of abusers)
(rise, has made, tactics commonplace)
(rise, has only made, tactics commonplace)
(rise, has made, tactics more commonplace)
(National Network, End, Violence et al.)
(National Network, End Violence as, Amici Curiae 4-16)
(National Network, End, Domestic Violence et al.)
(National Network, End, Domestic Violence)
(National Network, End, Violence)
(It, can, can argued)
(it, exten, measure of protection to unprotected false statements)
(it, exten, measure of strategic protection)
(it, exten, measure of strategic protection to false statements of fact)
(it, exten, measure of protection to unprotected false statements of fact)
(it, exten, measure of strategic protection to unprotected false statements of fact)
(it, exten, measure of protection to false statements)
(it, exten, measure of strategic protection to unprotected false statements)
(it, exten, measure of protection to otherwise unprotected false statements of fact)
(it, exten, measure of strategic protection to otherwise unprotected false statements)
(it, exten, measure of protection to otherwise unprotected false statements)
(it, exten, measure of protection to false statements of fact)
(it, exten, measure of strategic protection to otherwise unprotected false statements of fact)
(it, is, necessary)
(it, exten, measure of strategic protection to false statements)
(it, exten, measure of protection)
(it, exten, measure)
(argument, might, might made)
(similar argument, might, might made)
(false statements, were made with, reckless disregard)
(false statements, were made with, reckless disregard of their falsity)
(false statements, were, made)
(false statements, were made with, disregard)
(it, requires, proof)
(false statements, were made with, disregard of their falsity)
(law, provides, adequate breathing space)
(law, provides, breathing space)
(74-75, at Garrison is, 379 U. S.)
(I, remand for, Court)
(Elonis, has, conviction)
(jury instructions, proof of, recklessness)
(I, remand, decide)
(Elonis 's conviction, be, upheld)
(I, remand, decide in instance)
(Elonis 's conviction, be upheld under, recklessness standard)
(I, remand, decide in first instance)
(jury instructions, is in, case)
(I, remand for, Court of Appeals)
(defendant, benefit from, ruling)
(defendant, benefit from, favorable ruling on appeal)
(defendant, benefit from, ruling on appeal)
(defendant, benefit from, favorable ruling)
(defendant, inform, court of specific objection)
(defendant, inform, court)
(defendant, inform, court of objection)
(Federal Rules, of Rule is, d)
(court, grounds for, objection)
(It, must identify, alleged error)
(It, must specifically identify, error)
(It, must specifically identify, alleged error)
(It, must identify, error)
(failure, lodge, objection)
(failure, lodge, sufficient objection)
(District Court, to, instruction)
(He, advanced, position on appeal)
(He, advanced, position)
(He, advanced, same position)
(He, advanced, same position on appeal)
(Section, requires, proof)
(Corrected Brief, is in, No. 12-3798)
(true threat, has, has uttered)
(speaker, only acted with, intent threaten)
(speaker, only acted with, subjective intent threaten)
(threat, has, has uttered)
(speaker, acted with, subjective intent threaten)
(speaker, acted with, intent threaten)
(emphasis, is in, original)
(Elonis, has, failure argue for recklessness)
(Elonis, 's failure is, indeed refusal)
(I, would remand, Third Circuit determine)
(I, would therefore remand, Third Circuit determine)
(Third Circuit, should have, opportunity consider)
(Third Circuit, should also have, opportunity consider)
(conviction, be upheld on, grounds)
(conviction, be upheld on, harmless-error grounds)
(conviction, be, upheld)
(We, have applied harmless-error analysis to, cases)
(cases, involving, improper instructions)
(We, have often applied, harmless-error analysis)
(We, have often applied harmless-error analysis to, cases)
(We, have applied, harmless-error analysis)
(cases, involving, instructions)
(erroneous jury instructions, proved, harmless)
(ANTHONY DOUGLAS ELONIS, PETITIONER v., UNITED STATES)
(We, resolve, conflict over appropriate mental state)
(We, resolve, conflict over appropriate mental state for threat prosecutions under 18 U. S. C. § 875)
(We, resolve, conflict over appropriate state for threat prosecutions under 18 U. S. C. § 875)
(We, resolve, conflict for threat prosecutions under 18 U. S. C. § 875)
(We, resolve, conflict in courts over state)
(We, resolve, conflict in lower courts over state)
(We, resolve, conflict over appropriate state for threat prosecutions)
(We, resolve, conflict in courts over appropriate mental state)
(We, resolve, conflict in lower courts over appropriate state for threat prosecutions)
(We, resolve, conflict in courts over mental state for threat prosecutions under 18 U. S. C. § 875)
(We, resolve, conflict in lower courts over appropriate mental state for threat prosecutions)
(We, resolve, conflict in lower courts over appropriate state)
(We, resolve, conflict in courts over state for threat prosecutions under 18 U. S. C. § 875)
(We, resolve, conflict in courts over mental state)
(We, resolve, conflict in lower courts for threat prosecutions)
(We, resolve, conflict in courts over appropriate state for threat prosecutions)
(We, resolve, conflict in lower courts for threat prosecutions under 18 U. S. C. § 875)
(We, granted, certiorari)
(We, resolve, conflict over state for threat prosecutions under 18 U. S. C. § 875)
(We, resolve, conflict in courts)
(We, resolve, conflict over appropriate state)
(We, resolve, conflict in lower courts)
(We, resolve, conflict)
(We, resolve, conflict in lower courts over appropriate mental state)
(We, resolve, conflict in courts over mental state for threat prosecutions)
(We, resolve, conflict in lower courts over mental state for threat prosecutions)
(conflict, is in, lower courts)
(We, resolve, conflict in lower courts over mental state)
(We, resolve, conflict in lower courts over appropriate state for threat prosecutions under 18 U. S. C. § 875)
(We, resolve, conflict in lower courts over appropriate mental state for threat prosecutions under 18 U. S. C. § 875)
(We, resolve, conflict for threat prosecutions)
(We, resolve, conflict over appropriate mental state for threat prosecutions)
(We, resolve, conflict in courts over appropriate state)
(We, resolve, conflict over mental state for threat prosecutions)
(We, resolve, conflict over mental state for threat prosecutions under 18 U. S. C. § 875)
(We, resolve, conflict in lower courts over state for threat prosecutions under 18 U. S. C. § 875)
(We, resolve, conflict in courts over appropriate mental state for threat prosecutions)
(We, resolve, conflict in courts over appropriate state for threat prosecutions under 18 U. S. C. § 875)
(We, resolve, conflict over state)
(We, resolve, conflict in courts over appropriate mental state for threat prosecutions under 18 U. S. C. § 875)
(We, resolve, conflict in lower courts over mental state for threat prosecutions under 18 U. S. C. § 875)
(We, resolve, conflict over state for threat prosecutions)
(We, resolve, conflict in courts for threat prosecutions)
(We, resolve, conflict over mental state)
(We, resolve, conflict in lower courts over state for threat prosecutions)
(We, resolve, conflict in courts for threat prosecutions under 18 U. S. C. § 875)
(We, resolve, conflict in courts over state for threat prosecutions)
(ordinary meaning, is in, relevant context)
(understood, meaning of, words)
(understood, ordinary meaning in, relevant context)
(understood, ordinary meaning in, context)
(understood, ordinary meaning of, words)
(understood, meaning in, context)
(issue 11, is in, total)
(understood, meaning in, relevant context)
(proof, was necessary for, conviction)
(proof, was, necessary)
(First Amendment, require, proof of intent threaten)
(Elonis, urges, us)
(First Amendment, proof of, intent threaten)
(First Amendment, require, proof)
(Elonis, Adopting, minority position)
(§, require, proof of intent threaten)
(§, require, proof)
(Government, advocates, approach)
(Government, is in, turn)
(Government, advocates, general-intent approach)
(Court, casts, approach used in nine Circuits)
(Court, casts aside, approach used in nine Circuits)
(Court, casts aside, approach used)
(Court, casts, approach)
(Court, casts aside, approach)
(Court, leaves, nothing)
(Court, resolve, conflict)
(Court, casts, approach used)
(Court, leaves nothing in, its place)
(courts, are left, guess at state)
(Lower courts, guess at, appropriate state)
(courts, are, thus left)
(courts, are thus left, guess at state)
(Lower courts, guess for, c)
(courts, guess at, appropriate mental state)
(courts, are left, guess at appropriate mental state for § 875)
(Lower courts, guess at, appropriate mental state)
(Lower courts, are left, guess at appropriate state for § 875)
(courts, are thus left, guess)
(Lower courts, are, thus left)
(courts, guess at, state)
(Lower courts, guess at, state)
(Lower courts, are left, guess at appropriate state)
(Lower courts, are left, guess at mental state)
(courts, are thus left, guess for § 875)
(courts, are thus left, guess at mental state for § 875)
(courts, are left, guess at appropriate mental state)
(Lower courts, are left, guess at state for § 875)
(courts, are left, guess at mental state for § 875)
(Lower courts, are thus left, guess for § 875)
(Lower courts, are thus left, guess at mental state for § 875)
(courts, are left, guess)
(Lower courts, are thus left, guess at state)
(courts, are, left)
(courts, are thus left, guess at appropriate state for § 875)
(Lower courts, guess at, mental state)
(Lower courts, are thus left, guess at state for § 875)
(courts, are thus left, guess at appropriate mental state for § 875)
(Lower courts, are left, guess at appropriate mental state for § 875)
(courts, guess for, c)
(Lower courts, guess for, § 875)
(Lower courts, are left, guess)
(courts, are left, guess at appropriate state)
(courts, are left, guess at mental state)
(courts, are thus left, guess at appropriate state)
(courts, guess for, § 875)
(Lower courts, are left, guess at mental state for § 875)
(Lower courts, are left, guess for § 875)
(Lower courts, are thus left, guess)
(Lower courts, are thus left, guess at appropriate mental state for § 875)
(courts, are left, guess at appropriate state for § 875)
(Lower courts, are, left)
(courts, are thus left, guess at mental state)
(courts, guess at, appropriate state)
(courts, guess at, mental state)
(courts, are left, guess for § 875)
(courts, are left, guess at state for § 875)
(Lower courts, are thus left, guess at mental state)
(courts, are thus left, guess at state for § 875)
(Lower courts, are thus left, guess at appropriate state for § 875)
(Lower courts, are thus left, guess at appropriate state)
(Lower courts, are thus left, guess at appropriate mental state)
(Lower courts, are left, guess at appropriate mental state)
(courts, are thus left, guess at appropriate mental state)
(Lower courts, are left, guess at state)
(they, know, today 's decision is)
(today, has, decision)
(they, know, All)
(intent-to-threaten requirement, majority of, Court)
(we, adhered to, background rule)
(we, adhered to, background rule of law)
(we, simply adhered to, background rule)
(we, simply adhered to, background rule of common law)
(we, adhered to, background rule of common law)
(uncertainty, could, could have avoided)
(we, simply adhered to, background rule of law)
(communications, were, true threats unprotected)
(I, would affirm judgment, true threats unprotected by First Amendment)
(I, would affirm, judgment)
(Court, applied, standard)
(communications, were, threats unprotected)
(I, would affirm judgment below, threats unprotected by First Amendment)
(communications, were, threats unprotected by First Amendment)
(I, would affirm judgment below, true threats unprotected)
(communications, were, threats)
(I, would affirm judgment, threats unprotected by First Amendment)
(I, would affirm judgment below, true threats)
(I, would affirm judgment, true threats unprotected)
(Court, applied, general-intent standard)
(I, would affirm judgment, threats)
(I, would affirm judgment below, threats unprotected)
(I, would affirm judgment below, true threats unprotected by First Amendment)
(Court, properly applied, general-intent standard)
(communications, were, true threats unprotected by First Amendment)
(I, would affirm judgment, true threats)
(I, would affirm judgment, threats unprotected)
(communications, transmitted by, Elonis)
(communications, were, true threats)
(Court, properly applied, standard)
(I, would affirm judgment below, threats)
(I, would affirm below, judgment)
(term threat, be limited to, class)
(term threat, be limited to, narrow class)
(term threat, be limited to, class called)
(term threat, be limited to, narrow class of unprotected communications)
(term threat, be, limited)
(term threat, be limited to, narrow class of communications)
(term threat, be limited to, class of communications)
(term threat, be limited to, narrow class of communications called)
(term threat, be limited to, class of communications called)
(term threat, be limited to, class of historically unprotected communications)
(term threat, be limited to, narrow class of historically unprotected communications)
(term threat, be limited to, class of unprotected communications)
(term threat, be limited to, narrow class called)
(term threat, be limited to, narrow class of unprotected communications called)
(term threat, be limited to, narrow class of historically unprotected communications called)
(term threat, be limited to, class of unprotected communications called)
(term threat, be limited to, class of historically unprotected communications called)
(communication, must, must serious expression)
(communication, be, serious)
(communication, qualify as, true threat)
(communication, qualify as, threat)
(communication, must, must expression)
(curiam, per S. is, 1969)
(Watts, S. per, curiam)
(It, instead be determined by, interpretation of reasonable recipient familiar with context of communication)
(protected speech, lest Darby is, 37 F. 3d 1059)
(only dispute, is about, state necessary)
(dispute, is about, state)
(only dispute, is about, state of mind necessary)
(only dispute, is about, state of mind)
(only dispute, is in, case)
(dispute, is about, state necessary)
(dispute, is about, state of mind necessary)
(dispute, is about, state of mind)
(only dispute, is about, state)
(we, read, statutes)
(we, statutes in, light)
(indication, dispense as, element of crime)
(we, criminal statutes in, light)
(we, require, indication)
(criminal statutes, is in, light of background rules of common law)
(indication, dispense as, element)
(we, read, criminal statutes in light)
(we, read, criminal statutes)
(we, read, statutes in light)
(indication, dispense with, mens rea)
(we, ordinarily apply presumption at_time, indicia)
(we, require, only proof)
(we, require, only proof of general intent)
(we, apply presumption at_time, indicia)
(we, apply presumption at_time, such indicia)
(we, apply presumption at_time, Absent such indicia)
(we, require, proof of general intent)
(defendant, posses knowledge with respect to, actus reus of crime)
(we, apply presumption at_time, Absent indicia)
(we, apply, presumption in favor of scienter)
