(UNITED STATES, v. BECKLES is, 2017)
(sentencing court, may rely exclusively on, Guidelines range)
(court, must make, assessment)
(court, must make, individualized assessment)
(court, rather must make, individualized assessment)
(sentencing court, may rely on, Guidelines range)
(Guidelines, guide, district courts)
(United States, v. Peugh is, ___ 2013)
(they, merely guide, district courts ' discretion)
(they, guide, district courts ' discretion)
(system, was, constitutionally permissible)
(system, was constitutionally permissible, discussed)
(system, was permissible, discussed above)
(system, was constitutionally permissible, discussed above)
(system, was, permissible)
(system, was permissible, discussed)
(notice, preventing, enforcement)
(notice, preventing, arbitrary enforcement)
(person, avoid, enhanced sentence)
(person, so avoid, sentence under guideline)
(person, avoid, enhanced sentence under guideline)
(person, avoid, sentence)
(person, so avoid, enhanced sentence under guideline)
(person, avoid, enhanced sentence under career-offender guideline)
(person, so avoid, enhanced sentence)
(discretion, impose, sentence)
(discretion, impose, enhanced sentence)
(person, so avoid, enhanced sentence under career-offender guideline)
(person, so avoid, sentence)
(person, so avoid, sentence under career-offender guideline)
(person, avoid, sentence under guideline)
(person, avoid, sentence under career-offender guideline)
(district court, impose sentence in, appropriate cases)
(district court, impose, sentence)
(Commission, with, views)
(disagreement, is with, Commission 's views)
(district court, impose, non-Guidelines sentence)
(district court, impose sentence in, cases)
(notice, is in, world of mandatory Guidelines)
(we, held in, 2008)
(we, held in, 555 U. S. 708)
(our decision, is in, Booker)
(court, of, sentencing discretion)
(sentences, sentencing, available)
(it, leaves jurors without, legally fixed standards)
(range, is, penalty affixed)
(range, is, penalty)
(402-403, at S. is, 570 U. S.)
(law, invites, enforcement)
(vague law, invites enforcement in, sense)
(them, prescribe, sentences)
(vague law, invites, enforcement)
(sentences, sentencing, range available)
(range, is, penalty affixed to crime)
(law, invites enforcement in, sense)
(it, leaves judges without, legally fixed standards)
(396, at Mistretta is, 488 U. S.)
(courts, exercise, their discretion)
(Guidelines, sentencing, courts)
(petitioner, has, conduct)
(petitioner, of, sentence)
(It, enforced, g)
(court, relied merely on, career-offender Guideline)
(court, relied merely on, Guideline)
(court, relied on, career-offender Guideline)
(court, relied on, Guideline)
(defendant 's conviction, is, crime)
(Justice Sotomayor 's concurrence, suggests, judge 's feelings decide)
(Justice Sotomayor, has, concurrence)
(judge, has, own feelings decide)
(judges, interpreting, vague sentencing Guideline)
(Justice Sotomayor 's concurrence, suggests, gut instinct)
(judges, rely on, analysis)
(Justice Sotomayor 's concurrence, suggests, judge 's own feelings decide)
(judges, interpreting, sentencing Guideline)
(judges, rely on, statistical analysis)
(defendant 's conviction, is crime of, violence)
(defendant, has, conviction)
(opinion concurring, is in, judgment)
(discretion, determining, defendant 's sentence)
(unfettered discretion, determining, defendant 's sentence)
(unfettered discretion, use, same approaches)
(defendant, has, sentence)
(discretion, use, approaches)
(discretion, use, same approaches)
(unfettered discretion, use, approaches)
(their view s, federal judges before, Guidelines)
(judges, considered, their view s of sentencing policy among considerations)
(judges, considered, their view s of proper sentencing policy among considerations)
(federal judges, considered, their view s)
(federal judges, considered, their view s of sentencing policy among considerations)
(judges, considered, their own view s of proper sentencing policy among considerations)
(judges, considered, their view s of proper sentencing policy)
(federal judges, considered, their view s among considerations)
(judges, considered, their own view s among other considerations)
(federal judges, considered, their own view s)
(federal judges, considered, their own view s of sentencing policy)
(judges, considered, their view s)
(judges, considered, their view s among considerations)
(judges, considered, their view s among other considerations)
(federal judges, considered, their own view s of proper sentencing policy among considerations)
(judges, considered, their own view s of proper sentencing policy among other considerations)
(federal judges, considered, their view s of proper sentencing policy among other considerations)
(federal judges, considered, their own view s among considerations)
(federal judges, considered, their view s of proper sentencing policy among considerations)
(federal judges, considered, their own view s among other considerations)
(their own view s, judges before, Guidelines)
(judges, considered, their own view s)
(federal judges, considered, their own view s of sentencing policy among other considerations)
(federal judges, considered, their own view s of proper sentencing policy among other considerations)
(federal judges, considered, their own view s of sentencing policy among considerations)
(judges, considered, their own view s of proper sentencing policy)
(judges, considered, their view s of proper sentencing policy among other considerations)
(federal judges, considered, their view s of sentencing policy among other considerations)
(judges, considered, their view s of sentencing policy)
(judges, considered, their own view s of sentencing policy among considerations)
(judges, considered, their own view s of sentencing policy)
(judges, considered, their view s of sentencing policy among other considerations)
(judges, considered, their own view s of sentencing policy among other considerations)
(judges, considered, their own view s among considerations)
(federal judges, considered, their own view s of proper sentencing policy)
(federal judges, considered, their view s among other considerations)
(their own view s, federal judges before, Guidelines)
(federal judges, considered, their view s of sentencing policy)
(federal judges, considered, their view s of proper sentencing policy)
(their view s, judges before, Guidelines)
(discretion, be, void)
(unfettered discretion, be, void)
(unfettered discretion, be void for, vagueness)
(discretion, be void for, vagueness)
(Our, holding at_time, today)
(Court, held for, example)
(retrospective increase, range, applicable)
(Court, held in, Peugh)
(increase, range, applicable to defendant)
(retrospective increase, range, applicable to defendant)
(increase, range, applicable)
(retrospective increase, is in, Guidelines)
(void-for-vagueness, are, analytically distinct)
(void-for-vagueness, are, distinct)
(ex post facto inquiries, are, distinct)
(ex post facto inquiries, are, analytically distinct)
(change, is in, law)
(change, creates, significant risk)
(significant risk, change in, law)
(change, creates, risk of sentence)
(change, creates, significant risk of sentence)
(change, creates, significant risk of higher sentence)
(risk, change in, law)
(change, creates, risk of higher sentence)
(change, creates, risk)
(change, creates risk, anchored)
(sentencing decisions, are, anchored)
(retroactive change, creates risk, anchored)
(retroactive change, creates, such risk)
(retroactive change, creates, risk)
(change, creates, such risk)
(retroactive change, is in, Guidelines)
(change, creates, risk)
(doctrine, requires, inquiry)
(doctrine, requires, different inquiry)
(void-for-vagueness doctrine, requires, inquiry)
(void-for-vagueness doctrine, requires, different inquiry)
(doctrine, requires inquiry In, contrast)
(void-for-vagueness doctrine, requires inquiry In, contrast)
(law, regulating, private conduct)
(law notice, regulating, conduct)
(law notice, regulating, private conduct)
(law, avoids, arbitrary enforcement)
(law, regulating, conduct)
(law, provides, notice)
(law, avoids, enforcement)
(doctrines, are concerned with, fundamental justice)
(Government, has, rebuttal)
(Court, has also recognized in, Eighth Amendment context)
(district court 's reliance, indirectly taint, sentence)
(Court, has recognized in, Eighth Amendment context)
(district court 's reliance, even indirectly taint, sentence)
(district court, has, reliance on vague sentencing factor in capital case)
(vague sentencing factor, is in, capital case)
(district court 's reliance, taint, sentence)
(Our decision, is in, Espinosa)
(252, at Williams is, 337 U. S.)
(factors, is in, indeterminate-sentencing schemes)
(Guidelines, are subject to, vagueness challenges)
(Guidelines, are subject to, vagueness challenges under Due Process Clause)
(Guidelines, are subject to, vagueness challenges under Process Clause)
(Guidelines, are, subject)
(other factors, appear, unclear as § 4B1 .2)
(other factors, appear, unclear)
(other factors, appear, as unclear as § 4B1 .2)
(other factors, appear, as unclear)
(provide, defendant with, training)
(courts, must assess, need for sentence imposed)
(provide, defendant with, needed training)
(need, provide, punishment)
(need, promote, respect for law)
(need, provide, just punishment for offense)
(need, provide, just punishment)
(certain goals, reflect, seriousness)
(adequate deterrence, provide, defendant with needed educational training)
(goals, reflect, seriousness of offense)
(defendant, is with, needed educational training)
(goals, reflect, seriousness)
(deterrence, provide, defendant with needed training)
(adequate deterrence, provide, defendant with needed training)
(certain goals, reflect, seriousness of offense)
(courts, must assess, need)
(courts, must assess need For, example)
(adequate deterrence, provide, defendant)
(deterrence, provide, defendant with needed educational training)
(need, provide, punishment for offense)
(deterrence, provide, defendant with training)
(provide, defendant with, educational training)
(courts, must assess, need for sentence)
(deterrence, provide, defendant)
(deterrence, provide, defendant with educational training)
(need, promote, respect)
(provide, defendant with, needed educational training)
(adequate deterrence, provide, defendant with educational training)
(adequate deterrence, provide, defendant with training)
(promote, respect for, law)
(we, be, pressed)
(adequate notice, prevent, arbitrary enforcement)
(we, be hard pressed, find)
(we, be, hard pressed)
(we, find, factors sufficiently definite)
(notice, prevent, enforcement)
(we, be pressed, find)
(residual clause, were subject to, vagueness challenge)
(we, find, factors definite)
(adequate notice, prevent, enforcement)
(notice, prevent, arbitrary enforcement)
(residual clause, were, subject)
(petitioner, were, correct)
(clause, were, subject)
(clause, were subject to, vagueness challenge)
(factors, is different in, kind from that required by Guidelines)
(factors, is different in, kind)
(factors, is different in, kind from that)
(Government, tries, arguing)
(Government, have, ways)
(factors, is, by other § 3553 different in kind from that required by Guidelines)
(factors, is, by other § 3553 different in kind from that)
(factors, is, different)
(factors, is, by other § 3553 different in kind from that required)
(factors, is different by, other § 3553)
(factors, is, by other § 3553 different in kind)
(factors, is different in, kind from that required)
(Government, arguing, that)
(clause, implicates, concerns)
(residual clause, implicates, concerns of vagueness)
(residual clause, implicates, twin concerns of vagueness)
(residual clause, twin concerns of, vagueness)
(it, is far from, obvious)
(clause, concerns of, vagueness)
(residual clause, implicates, twin concerns)
(clause, twin concerns of, vagueness)
(clause, implicates, twin concerns)
(residual clause, implicates, concerns)
(clause, implicates, twin concerns of vagueness)
(residual clause, concerns of, vagueness)
(clause, implicates, concerns of vagueness)
(other § factors, implicate, concerns)
(other § 3553 factors, implicate, concerns)
(§ factors, implicate, concerns)
(§ 3553 factors, implicate, concerns)
(district courts, impose sentence, comply with purposes set forth)
(district courts, impose sentence, comply)
(district courts, impose sentence, comply with purposes set)
(district courts, impose sentence, comply with purposes)
(district courts, impose, sentence)
(district courts, comply with, purposes set forth)
(district courts, comply with, purposes set)
(district courts, comply with, purposes)
(Guidelines, offer, concrete advice)
(Guidelines, imposing, sentence)
(sentence, make, it review)
(Guidelines, generally offer, advice)
(court, abused, its substantial discretion)
(particular sentence, make, it review)
(Guidelines, offer, advice)
(Guidelines, offer advice In, fact)
(Guidelines, generally offer advice In, fact)
(court, abused, its discretion)
(Guidelines, imposing, particular sentence)
(judgment, is, accordingly affirmed)
(judgment, is, affirmed)
(It, is, ordered)
(It, is, so ordered)
(TRAVIS BECKLES, PETITIONER v., UNITED STATES)
(laws, continue, evolve)
(sentencing laws, continue, evolve)
(standards, continue, evolve)
(formulation, leads challenged to, sentence)
(formulation, leads to, sentence)
(cases, may arise, sentencing laws continue)
(cases, may arise, laws continue)
(cases, may arise, standards continue)
(cases, may arise, laws standards continue)
(cases, may arise, sentencing laws standards continue)
(word, vague in, general sense)
(sentencing decision, was, flawed)
(word, vague in, sense)
(it, seems, unlikely)
(it, seems, most unlikely)
(explication, would, would required)
(other explication, would, would required)
(other explication, would, likely would required)
(explication, would, likely would required)
(considerations, inform, my reading)
(Court, of, opinion)
(Ginsburg, concurring in, judgment)
(TRAVIS BECKLES, PETITIONER v., UNITED STATES)
(case, has, simple solution)
(case, has, solution)
(Travis Beckles, was, When convicted)
(Travis Beckles, was, convicted)
(Travis Beckles, violating, g)
(Travis Beckles, was, When convicted in 2007)
(Travis Beckles, violating, 18 U. S. C. § 922)
(shotgun, crime of, violence)
(sawed-off shotgun, crime of, violence)
(Travis Beckles, was convicted in, 2007)
(commentary, was, authoritative)
(his conduct, was, clearly proscribed)
(his conduct, was, proscribed)
(he, applied to, conduct of others)
(I, would defer, more encompassing ruling)
(I, requires, one)
(I, would accordingly defer, more encompassing ruling)
(Sotomayor, concurring in, judgment)
(TRAVIS BECKLES, PETITIONER v., UNITED STATES)
(Court, holding, today)
(Court, is, unnecessary)
(Court, is, why unnecessary)
(1-2 opinion concurring, is in, judgment)
(we, held, vague)
(commentary, interpreting, sentencing provision identical)
(we, held in, in Johnson United States)
(commentary, interpreting, sentencing provision identical to residual clause)
(Petitioner Travis Beckles, was, sentenced)
(we, held ago in, in Johnson United States)
(we, held ago in, 576 U. S. ___)
(Petitioner Travis Beckles, was sentenced to, 30 years in prison)
(commentary, interpreting, sentencing provision)
(commentary, promulgated by, U. S. Sentencing Commission)
(we, held in, 576 U. S. ___)
(we, held ago, unconstitutionally vague)
(30 years, is in, prison)
(we, held, unconstitutionally vague)
(we, held ago, vague)
(Petitioner Travis Beckles, was sentenced to, 30 years)
(commentary, interpreting, sentencing provision identical to clause)
(he, was, sentenced)
(majority, Had limited to, conclusion)
(majority, Had limited, itself)
(majority, reaches, far necessary)
(majority, reaches, necessary)
(majority, Instead reaches, far necessary)
(majority, Instead reaches, necessary)
(U. S. Sentencing Guidelines, are immune from, vagueness challenges)
(U. S. Sentencing Guidelines, are, immune)
(Guidelines, anchor, sentence imposed in federal district courts)
(United States, v. Molina-Martinez is, ___ 2016)
(ordinary people, understand, them)
(people, understand, them)
(it, give, ordinary people)
(it, give, standardless)
(Due Process Clause, taking, property)
(it, give, people)
(it, give, fair notice)
(Process Clause, prohibits, Government)
(Due Process Clause, prohibits, Government)
(Due Process Clause, taking property under, law)
(Due Process Clause, taking, liberty)
(Process Clause, taking property under, criminal law)
(Process Clause, taking liberty under, law)
(Due Process Clause, taking liberty under, criminal law)
(Process Clause, taking liberty under, criminal law)
(it, invites, enforcement)
(it, give, notice)
(Process Clause, taking, property)
(Due Process Clause, taking liberty under, law)
(Process Clause, taking property under, law)
(Process Clause, taking, liberty)
(Due Process Clause, taking property under, criminal law)
(it, invites, arbitrary enforcement)
(someone, has, life)
(it, give, so standardless)
(___, at Johnson is, 576 U. S.)
(prohibition, is, well-recognized requirement)
(prohibition, is in, criminal proceedings)
(prohibition, rules of, law)
(prohibition, settled rules of, law)
(prohibition, is, well-recognized)
(prohibition, is, requirement)
(doctrine, rests on, two justifications)
(notice, is, prohibited)
(fair notice, is, prohibited)
(it, safeguards, integrity)
(it, safeguards, integrity of judicial system)
(it, Second safeguards, integrity)
(it, Second safeguards, integrity of system)
(it, Second safeguards, integrity of judicial system)
(it, safeguards, integrity of system)
(principles statutes, fixing, sentences)
(___, at Johnson is, 576 U. S.)
(Armed Career Criminal Act, has, residual clause)
(Armed Career Criminal Act, 's clause is, 18 U. S. C. § 924)
(We, spent, time vagueness doctrine applied to such provisions)
(We, spent, little time vagueness doctrine applied)
(vagueness doctrine, applied to, such provisions)
(We, spent, time vagueness doctrine applied to provisions)
(vagueness doctrine, applied to, provisions)
(We, spent, little time vagueness doctrine applied to such provisions)
(We, spent, little time vagueness doctrine applied to provisions)
(We, spent, time vagueness doctrine applied)
(statute, imposes deprivation for, reason)
(statute, imposes deprivation, our Sixth Amendment jurisprudence makes)
(statute, imposes deprivation for, good reason)
(statute, imposes deprivation, our Sixth Amendment jurisprudence makes plain)
(statute, fixing, sentence)
(statute, imposes, deprivation)
(statute, imposes, deprivation of liberty)
(statute, defining, crime)
(We, analyzed, clause in light of ine years ' experience trying)
(We, analyzed, clause in light of ine years ' experience)
(We, instead analyzed, 576 U. S.)
(clause, is in, light of ine years ' experience trying)
(We, instead analyzed, clause in light of ine years ' experience trying)
(We, instead analyzed, clause in light of ine years ' experience)
(We, instead analyzed, clause in light)
(We, analyzed, declared)
(___, at clause is, 576 U. S.)
(We, analyzed, clause)
(We, analyzed, clause in light)
(We, instead analyzed, clause)
(We, instead analyzed, declared)
(light, in clause is, 576 U. S.)
(We, analyzed, 576 U. S.)
(principles, apply to, U. S. Guidelines)
(principles, apply to, U. S. Sentencing Guidelines)
(Congress, address dissatisfaction with, then-prevailing regime of sentencing)
(Congress, address dissatisfaction with, regime)
(Congress, address dissatisfaction with, regime of discretionary sentencing)
(Congress, address dissatisfaction with, then-prevailing regime of discretionary sentencing)
(Congress, established, U. S. Sentencing Commission)
(Congress, address dissatisfaction with, then-prevailing regime)
(Congress, established U. S. Sentencing Commission in, 1984)
(Congress, address, undamental dissatisfaction)
(Congress, address, dissatisfaction)
(Congress, address dissatisfaction with, regime of sentencing)
(It, reducing, great variation among sentences imposed by judges upon situated offenders)
(It, reducing, great variation among sentences imposed)
(It, reducing, variation among sentences imposed by judges upon similarly situated offenders)
(It, reducing, variation among sentences imposed upon offenders)
(It, reducing, great variation among sentences imposed by different judges upon situated offenders)
(It, reducing, variation among sentences)
(It, reducing, variation among sentences imposed by judges upon offenders)
(It, reducing, variation among sentences imposed upon situated offenders)
(It, reducing, great variation among sentences imposed by different judges upon offenders)
(offender, would spend in, prison)
(It, reducing, great variation)
(It, reducing, variation among sentences imposed by different judges upon offenders)
(It, reducing, great variation among sentences imposed upon offenders)
(It, reducing, great variation among sentences imposed by different judges)
(It, reducing, great variation among sentences imposed upon similarly situated offenders)
(It, reducing, variation among sentences imposed by judges upon situated offenders)
(It, reducing, great variation among sentences imposed by different judges upon similarly situated offenders)
(It, reducing, variation among sentences imposed)
(It, reducing, variation among sentences imposed by different judges)
(It, reducing, variation among sentences imposed by different judges upon situated offenders)
(It, reducing, variation among sentences imposed by different judges upon similarly situated offenders)
(It, reducing, great variation among sentences imposed upon situated offenders)
(It, reducing, variation among sentences imposed upon similarly situated offenders)
(It, reducing, great variation among sentences)
(It, reducing, great variation among sentences imposed by judges upon similarly situated offenders)
(It, charged, Commission)
(It, reducing, variation among sentences imposed by judges)
(It, reducing, variation)
(It, reducing, great variation among sentences imposed by judges upon offenders)
(It, reducing, great variation among sentences imposed by judges)
(366, at Mistretta is, 488 U. S.)
(Sentencing Guidelines, are product of, mandate)
(Guidelines, are, product)
(Sentencing Guidelines, are, product)
(Guidelines, are product of, mandate)
(Guidelines, establish, framework under which)
(set, characteristics of, offense)
(inputs specific, of set is, particular characteristics)
(Guidelines, establish, framework)
(___, at Peugh is, 569 U. S.)
(Guidelines, ensure, uniformity in sentencing imposed)
(Guidelines, ensure, proportionality sentencing)
(Guidelines, ensure, doing so)
(Guidelines, ensure, uniformity)
(Guidelines, ensure uniformity, doing)
(Guidelines, ensure, doing)
(Guidelines, ensure, uniformity in sentencing)
(Guidelines, ensure, uniformity imposed)
(Guidelines, ensure uniformity, doing so)
(uniformity, is in, sentencing)
(Guidelines, play role in, federal sentencing)
(Guidelines, play, role)
(Guidelines, play role at_time, today)
(Guidelines, play, central role)
(Guidelines, play role in, sentencing)
(___, at Molina-Martinez is, 578 U. S.)
(district court, must begin, sentencing proceedings)
(factors, set forth as, possible grounds deviation Guidelines)
(factors, set forth as, possible grounds deviation)
(factors, set in, 18 U. S. C. § 3553)
(factors, set forth as, possible grounds)
(factors, set as, possible grounds)
(factors, set as, possible grounds deviation)
(factors, set as, possible grounds deviation Guidelines)
(factors, set forth in, 18 U. S. C. § 3553)
(justification, support, degree of variance)
(justification, support, degree)
(it, must explain, deviation from range on record)
(justification, is, sufficiently compelling)
(justification, is, compelling)
(we, explained, last Term)
(importance, makes, them point for most federal sentencing proceedings)
(them, point for, most federal sentencing proceedings)
(importance, is in, process)
(we, explained, Term)
(importance, makes, them starting point for most federal sentencing proceedings)
(them, point for, federal sentencing proceedings)
(importance, makes, we explained)
(them, starting point for, most federal sentencing proceedings)
(importance, makes, them starting point for federal sentencing proceedings)
(importance, makes, them point for federal sentencing proceedings)
(them, starting point for, federal sentencing proceedings)
(___, at Molina-Martinez is, 578 U. S.)
(range, minimum of, imprisonment)
(most cases, In range is, minimum of imprisonment set by statute)
(range, is In, most cases)
(defendant, will spend in, prison)
(District courts, impose sentence within, Guidelines)
(District courts, impose, sentence)
(Figure G, online at, http)
(court, is, informed)
(it, applying, them)
(___, at Peugh is, 569 U. S.)
(___, at Molina-Martinez is, 578 U. S.)
(they, be susceptible to, vagueness challenges under Process Clause)
(they, be, susceptible)
(they, be susceptible to, vagueness challenges under Due Clause)
(Guidelines, play, sentencing)
(they, be susceptible to, vagueness challenges under Clause)
(they, be susceptible to, vagueness challenges under Due Process Clause)
(they, be susceptible to, vagueness challenges)
(majority, Contrary to, conclusion)
(district court 's reliance, deprives, person of fair notice)
(district court 's reliance, First deprives, ordinary person of fair notice of consequences)
(district court 's reliance, deprives, ordinary person of notice)
(district court 's reliance, deprives, ordinary person of fair notice of consequences)
(district court 's reliance, First deprives, ordinary person of notice of consequences of his actions)
(district court 's reliance, First deprives, ordinary person of fair notice of consequences of his actions)
(district court 's reliance, deprives, person of fair notice of consequences of his actions)
(district court 's reliance, First deprives, person of notice of consequences of his actions)
(district court 's reliance, First deprives, person of fair notice of consequences)
(district court 's reliance, First deprives, ordinary person of fair notice)
(district court 's reliance, First deprives, ordinary person of notice)
(district court 's reliance, deprives, ordinary person)
(district court 's reliance, First deprives, person of notice of consequences)
(district court 's reliance, deprives, ordinary person of notice of consequences of his actions)
(district court 's reliance, First deprives, person)
(district court 's reliance, deprives, ordinary person of fair notice)
(district court 's reliance, First deprives, ordinary person of notice of consequences)
(district court 's reliance, deprives, ordinary person of fair notice of consequences of his actions)
(district court 's reliance, deprives, person of notice of consequences)
(district court 's reliance, deprives, person of notice)
(district court 's reliance, First deprives, person of notice)
(district court, has, reliance on Guideline)
(district court 's reliance, deprives, person)
(district court 's reliance, deprives, ordinary person of notice of consequences)
(district court 's reliance, deprives, person of fair notice of consequences)
(district court 's reliance, deprives, person of notice of consequences of his actions)
(district court 's reliance, First deprives, person of fair notice)
(district court 's reliance, First deprives, ordinary person)
(district court 's reliance, First deprives, person of fair notice of consequences of his actions)
(defendant, is, entitled)
(We, explained in, Johnson)
(they, were, required)
(provision, created disagreement among, courts)
(courts, imposing, sentences)
(provision, created, disagreement)
(worded provision, created, disagreement)
(disagreement, provision in, ACCA)
(pervasive disagreement, provision in, ACCA)
(worded provision, is in, ACCA)
(pervasive disagreement, worded provision in, ACCA)
(pervasive disagreement, identically worded provision in, ACCA)
(courts, imposing sentences as, nature)
(they, were required, conduct)
(provision, created, pervasive disagreement)
(disagreement, identically worded provision in, ACCA)
(courts, imposing sentences as, nature inquiry)
(disagreement, worded provision in, ACCA)
(worded provision, created disagreement among, courts)
(worded provision, created, pervasive disagreement)
(result, was, law)
(district court 's reliance, Second creates, risk)
(district court 's reliance, creates, risk of enforcement)
(district court 's reliance, Second creates, risk of enforcement)
(district court 's reliance, creates, serious risk of arbitrary enforcement)
(district court 's reliance, creates, serious risk of enforcement)
(district court 's reliance, Second creates, serious risk of arbitrary enforcement)
(district court 's reliance, Second creates, serious risk of enforcement)
(district court 's reliance, Second creates, risk of arbitrary enforcement)
(district court 's reliance, creates, risk)
(district court 's reliance, Second creates, serious risk)
(district court, has, reliance on vague Guideline)
(district court 's reliance, creates, serious risk)
(district court 's reliance, creates, risk of arbitrary enforcement)
(district court, has, discretion)
(___, at Peugh is, 569 U. S.)
(It, sentencing, proceedings)
(It, introduces, unacceptable degree of arbitrariness)
(It, introduces, unacceptable degree)
(It, introduces, degree of arbitrariness)
(It, introduces, degree)
(It, sentencing proceedings, begin)
(___, at Johnson is, 576 U. S.)
(judge, may conduct, statistical analysis)
(judge, may conduct, analysis)
(One judge, may conduct, analysis)
(One judge, may conduct, statistical analysis)
(defendant, has, crime of conviction)
(Another, may rely, conclude)
(Another, may rely on, gut instinct)
(third, give, rein)
(third, give, free rein)
(third, give rein to, own feelings)
(third, may throw, our opinions)
(third, give rein to, feelings)
(decision, is, Importantly end)
(decision, is, end)
(decision, is end of, ballgame for criminal defendant)
(decision, is end of, ballgame for defendant)
(decision, Importantly is end of, ballgame for defendant)
(decision, Importantly is end of, ballgame)
(decision, Importantly is end of, ballgame for criminal defendant)
(decision, is end of, ballgame)
(he, must take range as, starting point for his request)
(he, may ask, judge)
(he, must take range as, point)
(he, must take range as, starting point)
(judge, vary from, Guidelines)
(he, must take, range)
(judge, vary downward from, Guidelines)
(he, must take range as, point for his request)
(He, may ask for, month month there)
(He, may ask for, month there)
(He, may ask for, month here month there)
(He, may ask for, month here)
(He, may ask for, month)
(He, may ask for, month here there)
(result, is, sentencing proceeding hopelessly skewed by unpredictability)
(result, is, sentencing proceeding)
(result, is, sentencing proceeding skewed from outset)
(result, is, sentencing proceeding skewed by unpredictability)
(result, is, sentencing proceeding hopelessly skewed)
(result, is, sentencing proceeding hopelessly skewed from outset by unpredictability)
(result, is, sentencing proceeding skewed from outset by unpredictability)
(result, is, sentencing proceeding skewed)
(result, is, sentencing proceeding hopelessly skewed from outset)
(result, is, skewed)
(___, at Johnson is, 576 U. S.)
(Beckles, was convicted in, violation)
(Beckles, was convicted in, violation of 18 U. S. C. § 922)
(Beckles, sentenced to, 360 months in prison)
(Beckles, sentenced to, 360 months)
(18 U. S. C. § 922, of violation is, 1)
(Beckles, possessing, firearm)
(Beckles, was, convicted)
(Beckles, possessing firearm as, felon)
(Beckles, possessing firearm as, convicted felon)
(Beckles, was convicted in, 1)
(360 months, is in, prison)
(sentence, sat at, end of applicable Guidelines)
(sentence, sat at, end of Guidelines)
(sentence, sat at, bottom end of applicable Guidelines)
(sentence, sat at, end)
(sentence, sat at, bottom end)
(sentence, sat at, bottom end of Guidelines)
(between 33 fewer months, is in, prison)
(Beckles, been, sentenced)
(District Court, admitted, as much)
(District Court, admitted, much)
(Years, thus turned, career-offender Guideline applied)
(Years, thus turned, Guideline applied)
(Years, turned solely, Guideline applied)
(Years, turned solely, career-offender Guideline applied)
(Years, thus turned solely, Guideline applied)
(Years, turned, Guideline applied)
(Years, thus turned solely, career-offender Guideline applied)
(Years, turned, career-offender Guideline applied)
(fix Beckles, ', sentenc in meaningful way)
(fix Beckles ' sentenc, is in, meaningful way)
(___, at Johnson is, 576 U. S.)
(we, held, susceptible to vagueness challenges)
(we, held, susceptible to vagueness challenges in Johnson)
(we, held, susceptible)
(person, spends in, prison)
(vagueness challenges, is in, Johnson)
(Due Clause, should apply to, each)
(Clause, should apply to, each)
(Process Clause, should apply to, each)
(Process Clause, should apply equally to, each)
(Due Clause, should apply equally to, each)
(Clause, should apply equally to, each)
(Due Process Clause, should apply equally to, each)
(Due Process Clause, should apply to, each)
(logic, is in, its decision shield from vagueness challenges)
(it, upends, law of every Court of Appeals)
(.3 None, justify, its novel conclusion)
(it, casts, our sentencing jurisprudence)
(it, upends, law of Court of Appeals)
(.3 None, justify, its conclusion)
(it, upends, law of nearly every Court of Appeals)
(they, range of, sentences)
(they, permissible range of, sentences)
(505 U. S. 1079 1081 1992, is In, Espinosa)
(state, has, capital aggravating factor)
(judge, defer to, jury 's recommendation)
(judge, defer to, recommendation)
(kind, creates, potential as direct weighing of invalid factor)
(kind, creates, potential for arbitrariness as direct)
(kind, creates, same potential for arbitrariness as direct weighing)
(kind, creates, potential for arbitrariness as direct weighing of factor)
(kind, creates, same potential as direct weighing of invalid factor)
(kind, creates, same potential for arbitrariness as direct weighing of aggravating factor)
(kind, creates, same potential for arbitrariness as direct weighing of invalid aggravating factor)
(kind, creates, potential as direct weighing of aggravating factor)
(kind, creates, potential for arbitrariness)
(kind, creates, same potential as direct weighing of invalid aggravating factor)
(kind, creates, same potential as direct weighing of aggravating factor)
(kind, creates, same potential as direct weighing of factor)
(kind, creates, potential as direct weighing)
(kind, creates, potential for arbitrariness as direct weighing of invalid factor)
(kind, creates, same potential for arbitrariness as direct weighing of invalid factor)
(kind, creates, potential as direct weighing of factor)
(kind, creates, same potential as direct)
(kind, creates, same potential as direct weighing)
(kind, creates, same potential)
(kind, creates, potential for arbitrariness as direct weighing of aggravating factor)
(kind, creates, potential for arbitrariness as direct weighing of invalid aggravating factor)
(kind, creates, same potential for arbitrariness)
(kind, creates, same potential for arbitrariness as direct weighing of factor)
(kind, creates, potential as direct)
(kind, creates, potential)
(kind, creates, same potential for arbitrariness as direct)
(kind, creates, potential as direct weighing of invalid aggravating factor)
(kind, creates, potential for arbitrariness as direct weighing)
(sentencing guidelines, are subject to, limits)
(advisory sentencing guidelines, are subject to, limits)
(sentencing guidelines, are subject to, constitutional limits)
(advisory sentencing guidelines, are subject to, constitutional limits)
(advisory sentencing guidelines, are, subject)
(sentencing guidelines, are, subject)
(nature, rendered, them immune from claims)
(nature, rendered, them immune)
(nature, rendered, them immune from such claims)
(advisory nature, rendered, them immune)
(advisory nature, rendered, them immune from claims)
(them, immune from, such claims)
(advisory nature, rendered, them immune from such claims)
(them, immune from, claims)
(Guidelines, lodestone of, sentencing)
(Guidelines, have, intended effect)
(Guidelines, have, effect)
(Government, has, invitation limit to rules)
(rule, binding effect for, review)
(rule, binding effect through, procedural rules)
