(March 29 2017, Decided at_time, June 22 2017)
(it, was, largely cumulative)
(jury, heard about, Eleby 's frequent PCP use including Eleby 's own testimony)
(jury, heard about, Eleby 's PCP use)
(she, smoked, PCP)
(jury, heard about, Eleby 's PCP use including Eleby 's testimony)
(they, shortly witnessed, Fuller 's attack)
(Fuller, has, attack)
(jury, heard For, example)
(jury, heard at_time, times)
(jury, heard about, Eleby 's frequent PCP use)
(jury, heard at_time, multiple times)
(Eleby, about, frequent PCP use including own testimony)
(Jacobs, smoked, PCP)
(jury, heard about, Eleby 's PCP use including Eleby 's own testimony)
(they, witnessed, Fuller 's attack)
(jury, heard about, Eleby 's frequent PCP use including Eleby 's testimony)
(Eleby, including, own testimony)
(Porter, was, minor)
(she, agreed with, Eleby 's claims)
(she, changed, her mind)
(Eleby, with, claims)
(changes, is in, her testimony over time)
(she, was impeached on, stand)
(jury, was, well aware)
(jury, was well aware, impeached on stand)
(jury, was, aware)
(jury, was, also well aware)
(jury, was well aware, impeached)
(jury, was also well aware, impeached on stand)
(jury, was aware of, Jacobs ' vacillation)
(she, was, impeached)
(jury, was also aware of, Jacobs ' vacillation)
(jury, was, also aware)
(jury, was also aware, impeached on stand)
(jury, was aware, impeached)
(jury, was aware, impeached on stand)
(jury, was also well aware of, Jacobs ' vacillation)
(jury, was well aware of, Jacobs ' vacillation)
(jury, was also well aware, impeached)
(jury, was also aware, impeached)
(interview, is with, her)
(detective, raised, his voice)
(jury knew, call aunt as, witness)
(petitioners, argue As for, James Blue)
(likelihood, is undercut by, notes)
(likelihood, is seriously undercut by, her false accusations)
(likelihood, is, seriously undercut by notes by her false accusations)
(likelihood, is seriously undercut by, notes)
(likelihood, is, undercut by notes about Davis ' demeanor by her false accusations)
(likelihood, is undercut by, her false accusations)
(likelihood, is seriously undercut by, notes about Davis ' demeanor)
(likelihood, is, seriously undercut by notes about Davis ' demeanor by her false accusations)
(likelihood, is, undercut by notes by her false accusations)
(likelihood, is undercut by, notes about Davis ' demeanor)
(Blue, committed, murder)
(likelihood, is, undercut)
(likelihood, is, seriously undercut)
(Blue, committed, different murder)
(effect, is, insufficient)
(jury, 's verdict is, 565 U. S.)
(jury, in, verdict)
(effect, is insufficient with, with witnesses)
(cumulative effect, is, in context of trial with to witnesses insufficient)
(cumulative effect, is insufficient with, with witnesses)
(cumulative effect, is, insufficient)
(cumulative effect, is insufficient in, context of trial)
(cumulative effect, is insufficient in, context)
(effect, is, in context with to witnesses insufficient)
(cumulative effect, is, in context with to witnesses insufficient)
(confidence, is in, jury 's verdict)
(effect, is, in context of trial with to witnesses insufficient)
(effect, is insufficient in, context of trial)
(effect, is insufficient in, context)
(jury, 's verdict is, Smith)
(evidence, outcome of, petitioners ' trial)
(we, agree On, basis)
(we, agree On, basis of our review of record)
(we, agree On, basis of our review)
(we, agree with, lower courts)
(withheld evidence, outcome of, petitioners ' trial)
(we, agree with, courts)
(judgment, is, accordingly affirmed)
(judgment, is, affirmed)
(It, is, ordered)
(It, is, so ordered)
(Justice Ginsburg, joins, dissenting)
(government, accuses, ten defendants acting)
(government, accuses, ten defendants acting together)
(attack, occurred exactly, government describes)
(attack, occurred, government describes)
(defendant, accepts At, trial)
(attack, occurred almost exactly, government describes)
(other, has, arguments)
(government, makes arguments as, before)
(government, makes arguments In, second case)
(government, makes arguments In, case)
(government, makes, arguments)
(government, makes, same arguments)
(challenge, credibility of, its investigation)
(defendants, Armed with, evidence)
(someone else, perpetrated, murder)
(government, has, gang-attack narrative)
(defendants, vigorously dispute, government 's gang-attack narrative)
(defendants, challenge, credibility of its investigation)
(defendants, challenge, credibility)
(defendants, dispute, government 's gang-attack narrative)
(someone, perpetrated, murder)
(defendants, Armed with, new evidence)
(Government, withheld, evidence of perpetrator)
(Government, so prevented, defendants)
(withheld, evidence of, alternative perpetrator)
(Government, so prevented defendants, coming)
(Government, prevented defendants, coming together)
(Government, so prevented defendants, coming together)
(Government, prevented, defendants)
(Government, withheld, evidence)
(withheld, evidence of, perpetrator)
(Government, withheld, evidence of alternative perpetrator)
(Government, prevented defendants, coming)
(Court 's decision, is in, Brady)
(Court, has, decision in Brady)
(Government 's non-disclosure, was, material)
(I, think in, end)
(Government, has, witnesses)
(6, at defense is, ante)
(I, share, common ground)
(I, explaining, view)
(majority, share, ground)
(I, share, ground)
(majority, share, common ground)
(majority 's description, held without, it)
(trial, held without, it)
(majority, has, description)
(Courts, are, ask)
(evidence, withheld in, case)
(ways, is with, majority)
(evidence, falls into, three basic categories)
(evidence, falls into, three basic categories discussed below)
(evidence, falls into, three categories discussed below)
(evidence, falls into, three basic categories discussed)
(evidence, falls into, three categories discussed)
(evidence, falls into, three categories)
(confidence, is in, guilty verdicts reached)
(434, at Kyles is, 514 U. S.)
(information, identifying, possible perpetrator)
(information, identifying, possible alternative perpetrator)
(Government, suppressed, information)
(Government, First suppressed, information)
(witnesses, observed, two men)
(witnesses, observed, shortly police arrived)
(witnesses, observed, two men acting suspiciously)
(witnesses, observed, police arrived)
(Catherine Fuller, has, body)
(witnesses, observed, two men acting)
(McMillan, assaulted in, neighborhood)
(McMillan, assaulted in, weeks)
(McMillan, robbed, two women of age)
(Fuller, following, murder)
(McMillan, assaulted in, weeks following Fuller 's murder)
(McMillan, robbed, two other women of age)
(defendants, Equipped with, information)
(McMillan, robbed, two women)
(McMillan, robbed, two other women of comparable age)
(McMillan, robbed, two other women)
(McMillan, assaulted in, same neighborhood)
(McMillan, robbed, two women of comparable age)
(defendants, using, information)
(Fuller, has, murder)
(he, committed, Fuller 's murder)
(perpetrators, carried out, attack)
(Government, Second suppressed, witness statements)
(Government, suppressed, witness statements)
(statements, were, given)
(Fuller, of, death)
(garage 's doors, were, closed)
(They, told, police)
(garage, has, doors)
(garage 's doors, were closed at, time)
(doubt, Introducing, evidence)
(Government, about, group-attack narrative)
(doubt, Introducing evidence at, trial)
(McMillan, committed, murder)
(Government, suppressed, raft)
(Government, Third and finally suppressed, raft)
(Government, suppressed, raft of evidence)
(Government, Third suppressed, raft of evidence)
(its investigation, impeaching, its witnesses)
(Government, Third and finally suppressed, raft of evidence)
(Government, Third suppressed, raft)
(files, showed for, example)
(police, took, look into witness 's claim)
(witness, into, claim)
(Undisclosed files, showed for, example)
(police, look into, witness 's claim)
(police, took, look)
(jurors, wonder about, competence of police work done in case)
(she, encouraged, friend)
(she, identify, participants)
(she, met with, investigators)
(she, identify, participants in crime)
(participants, is in, crime)
(she, also encouraged, friend)
(friend, lie to, police)
(Government, of, main witnesses)
(defendants, even presenting, their own account of murder)
(Government, has, witnesses)
(defendants, presenting, their account)
(defendants, presenting, their own account)
(defendants, presenting, their own account of murder)
(defendants, presenting, their account of murder)
(defendants, even presenting, their own account)
(defendants, even presenting, their account)
(defendants, even presenting, their account of murder)
(majority, argues In, reply)
(Government, of, case)
(Government, of, case)
(choice, accept, Government 's framing of crime)
(little choice, accept, Government 's framing)
(Government, has, framing of crime)
(little choice, accept, Government 's framing of crime)
(choice, accept, Government 's framing)
(defendants, worked at, cross-purposes)
(defendants, often worked at, cross-purposes)
(witness, 's credibility is, matter)
(witness, has, credibility)
(defense lawyer, remarked after, another 's cross-examination)
(They, got now in, courtroom)
(one defense lawyer, remarked after, another 's supposed cross-examination of Government witness)
(defense lawyer, remarked after, another 's cross-examination of Government witness)
(one defense lawyer, remarked after, another 's cross-examination of Government witness)
(defense lawyer, remarked after, another 's supposed cross-examination of Government witness)
(one defense lawyer, remarked after, another 's supposed cross-examination)
(one defense lawyer, remarked after, another 's cross-examination)
(They, got in, courtroom)
(another, after, supposed cross-examination of Government witness)
(defense lawyer, remarked after, another 's supposed cross-examination)
(defendants, escape, cycle of mutually assured destruction)
(defendants, escape, cycle of assured destruction)
(defendants, escape, cycle)
(defendants, escape, cycle of destruction)
(Government, has, cornerstone theory)
(Government, ample evidence of, group attack)
(Government, had, evidence)
(Government, had, ample evidence)
(Government, had, evidence of group attack)
(Government, evidence of, group attack)
(they, participated in, it)
(Government, had, ample evidence of group attack)
(Government, has, case)
(Government 's five eyewitnesses, had credibility deficits, majority recognizes)
(Government 's five eyewitnesses, had credibility deficits, even majority recognizes)
(Government 's eyewitnesses, had, serious credibility deficits)
(Government 's eyewitnesses, had credibility deficits, majority recognizes)
(Government 's five eyewitnesses, had, serious credibility deficits)
(Government, has, five eyewitnesses)
(Government 's eyewitnesses, had credibility deficits, even majority recognizes)
(Government 's five eyewitnesses, had, credibility deficits)
(Government 's eyewitnesses, had, credibility deficits)
(Two, agreed, testify in exchange for favorable plea deals)
(Two, had, had charged)
(Two, agreed, testify only in exchange)
(Two, agreed, testify only in exchange for favorable plea deals)
(Two, agreed, testify)
(Two, had, had charged as defendants)
(Two, agreed, testify in exchange for plea deals)
(Two, agreed, testify only in exchange for plea deals)
(Two, agreed, testify in exchange)
(they, were, high on PCP at time)
(they, were, high)
(they, were high at, time)
(they, were high on, PCP)
(one, was, high)
(she, identify, culprits)
(she, later met with, police)
(one, was, also high)
(one, was also high, noted)
(she, met with, police)
(one, was high, noted above)
(one, was also high, noted above)
(one, was high, noted)
(aunt, contradicted, parts of his trial testimony)
(own aunt, parts of, his trial testimony)
(own aunt, contradicted, parts)
(own aunt, contradicted, parts of his trial testimony)
(aunt, parts of, his trial testimony)
(aunt, contradicted, parts)
(defendants, Had offered, counter-narrative)
(defendants, Had offered, unified counter-narrative)
(issue, concerns, difference)
(issue, concerns, difference between two cases)
(issue, concerns, difference between two criminal cases)
(issue, Again concerns, difference between two criminal cases)
(issue, Again concerns, difference between two cases)
(issue, Again concerns, difference)
(defendants, each in, effort save)
(Government, in, files)
(prosecutors, nonetheless chose, suppress)
(prosecutors, chose, suppress)
(trial, to, outcome)
(I, dissent For, reason)
(I, respectfully dissent For, reason)
