(April 29 2015, Decided at_time, June 29 2015)
(Mark Christeson, be executed for, his role in murder of Susan Brouk)
(Mark Christeson, be executed for, his role in murder)
(Mark Christeson, be executed in, October 2014)
(Mark Christeson, was, due)
(Mark Christeson, be, executed)
(Mark Christeson, be, executed in October 2014 for his role in murder)
(her, children, Adrian)
(he, drove, family)
(his accomplice, raping, Ms. Brouk)
(he, drove family to, remote pond)
(his accomplice, drove family to, pond)
(he, drove family to, pond)
(Ms. Brouk, has, throat)
(cut, is with, bone knife)
(his accomplice, raping Ms. Brouk at, gunpoint)
(his accomplice, drove family to, remote pond)
(his accomplice, drove, family)
(she, loved, them)
(she, stayed, bleeding)
(Christeson, murdered, them)
(she, stayed, bleeding profusely)
(Christeson, drown on top of, her children)
(his accomplice, threw Ms. Brouk, drown)
(Christeson, threw, Ms. Brouk)
(Christeson, threw Ms. Brouk, drown)
(Christeson, threw Ms. Brouk into, pond)
(Christeson, drown on top of, her dead children)
(his accomplice, threw Ms. Brouk into, pond)
(his accomplice, threw, Ms. Brouk)
(Court, granted, stay of execution)
(Court, granted, stay)
(Court, granted, him)
(girlfriend, has, son)
(She, was executed on, September 17 2014)
(She, was, executed)
(She, murdering, her girlfriend 's son)
(She, slowly starving, him)
(She, starving, him)
(Davontae, had, over 250 distinct injuries including cigarette burns on his frame)
(Davontae, had, over 250 distinct injuries)
(Davontae, had, over 250 distinct injuries on his 36-pound frame)
(Davontae, had, over 250 injuries)
(Davontae, had, over 250 distinct injuries including cigarette burns)
(Davontae, had, over 250 injuries on his 36-pound frame)
(Davontae, had, over 250 injuries including cigarette burns)
(Davontae, had, over 250 injuries including cigarette burns on his 36-pound frame)
(Davontae, had, over 250 distinct injuries on his frame)
(Davontae, had, over 250 injuries including cigarette burns on his frame)
(Davontae, had, over 250 distinct injuries including cigarette burns on his 36-pound frame)
(Davontae, had, over 250 injuries on his frame)
(Infections, contributed to, his other cause of death)
(Infections, contributed to, his cause)
(Infections, contributed to, his other cause)
(Infections, contributed to, his cause of death)
(her, perform, oral sex)
(his two accomplices, home of, couple)
(his accomplices, home of, married couple)
(his two accomplices, home of, married couple)
(his accomplices, invaded, home of married couple)
(her, perform sex at, gunpoint)
(his accomplices, invaded, home of couple)
(his two accomplices, invaded, home of married couple)
(wife, forcing, her)
(his two accomplices, invaded, home)
(her, perform, sex)
(her, perform sex at, one point)
(his two accomplices, invaded, home of couple)
(his accomplices, invaded, home)
(husband, in, head)
(his accomplices, home of, couple)
(we, have granted, relief)
(decision, is in, Atkins)
(we, have granted, relief)
(we, have granted relief For, example)
(Court, based on, decision)
(her unborn child, murdered, sheriff 's deputy acting in line of duty)
(her unborn child, murdered, sheriff 's deputy acting)
(her child, murdered, sheriff 's deputy acting)
(her unborn child, murdered, sheriff 's deputy)
(her child, murdered, sheriff 's deputy acting in line)
(sheriff, has, deputy acting in line of duty)
(her unborn child, murdered, sheriff 's deputy acting in line)
(Court, granted, relief)
(her child, murdered, sheriff 's deputy)
(her child, murdered, sheriff 's deputy acting in line of duty)
(Court, drove, him)
(him, withdraw money from, bank)
(Court, shot, him)
(Court, forced, him)
(Court, granted, relief)
(him, bleed to, death)
(him, withdraw, money)
(S. E., 2d, 449-450 1999)
(510 S. E., 2d, 449-450 1999)
(Court, grant relief in, cases)
(Court, grant, relief)
(Court, grant relief in, egregious cases)
(Court, has misinterpreted, Eighth Amendment)
(Court, has also misinterpreted, Eighth Amendment)
(rape, tore, perineum)
(rape, tore, entire perineum from posterior fourchette to anus)
(rape, tore, perineum from fourchette to anus)
(her rectum, protrude into, vaginal structure)
(her rectum, protrude into, structure)
(rape, was, violent)
(rape, tore, entire perineum from fourchette)
(rape, tore, entire perineum from fourchette to anus)
(rape, tore, perineum from posterior fourchette)
(rape, tore, entire perineum from posterior fourchette)
(rape, tore, perineum from posterior fourchette to anus)
(it, causing, her rectum)
(rape, tore, entire perineum)
(rape, tore, perineum from fourchette)
(petitioner, spent half, even his stepdaughter bled)
(petitioner, spent hour, his stepdaughter bled from her injuries)
(his stepdaughter, bled from, her injuries)
(petitioner, spent half, even his stepdaughter bled profusely from her injuries)
(petitioner, spent half, even his stepdaughter bled from her injuries)
(petitioner, spent hour, his stepdaughter bled profusely from her injuries)
(his stepdaughter, even bled from, her injuries)
(petitioner, spent hour, even his stepdaughter bled from her injuries)
(petitioner, spent half, his stepdaughter bled from her injuries)
(petitioner, spent, at least hour)
(petitioner, spent hour, his stepdaughter bled)
(his stepdaughter, bled profusely from, her injuries)
(petitioner, spent half, his stepdaughter bled)
(petitioner, spent hour, even his stepdaughter bled)
(petitioner, spent, half)
(petitioner, spent, half attempting)
(petitioner, spent hour, his stepdaughter bled profusely)
(petitioner, spent hour, even his stepdaughter bled profusely)
(petitioner, spent half, his stepdaughter bled profusely from her injuries)
(petitioner, spent half, even his stepdaughter bled profusely)
(petitioner, spent half, his stepdaughter bled profusely)
(his stepdaughter, even bled profusely from, her injuries)
(petitioner, spent, hour)
(petitioner, spent hour, even his stepdaughter bled profusely from her injuries)
(U. S. 584, raped, her)
(U. S. 584, kidnaped, her)
(wife, bind, her husband)
(433 U. S. 584, kidnaped, her)
(U. S. 584, granted, relief)
(433 U. S. 584, forced, wife)
(433 U. S. 584, raped, her)
(433 U. S. 584, gagged, her husband)
(433 U. S. 584, granted relief in, Coker)
(U. S. 584, forced, wife)
(U. S. 584, granted relief in, Coker)
(U. S. 584, gagged, her husband)
(433 U. S. 584, granted, relief)
(592, at Coker is, 433 U. S.)
(413, at child is, Kennedy)
(413, at child is, supra)
(Court, has, recent decision finding)
(Eighth Amendment, prohibits, execution)
(he, was, shy)
(Court, had rejected, claim earlier)
(he, was, few)
(Court, had rejected, claim)
(his friends, kidnaped in, middle of night)
(he, kidnaped in, middle)
(he, threw off, bridge drown in river below)
(he, threw off, bridge drown)
(his friends, kidnaped in, middle)
(he, bound with, duct tape)
(he, kidnaped in, middle of night)
(he, threw off, bridge drown in river)
(State, is in, case)
(Alabama, of, brief)
(State, warned, Court)
(Amici Curiae, is in, Roper)
(father, has, girlfriend)
(Mark Duke, murdered, his father)
(He, shot, his father 's girlfriend pointblank)
(they, pleaded for, their lives)
(father, has, girlfriend pointblank)
(He, shot, his father)
(He, tracked, girls)
(He, tracked down, girls)
(He, slit, their throats)
(He, leaving for, several minutes)
(they, drowned in, their own blood)
(He, leaving for, minutes)
(He, leaving, they drowned in their own blood)
(He, leaving, they drowned)
(He, leaving, they drowned in their blood)
(He, leaving, them alive)
(they, drowned in, their blood)
(society, has, offer)
(one, has, views on permissibility of death penalty)
(only constitutional problem, is with, fact)
(their amnesty, came in, form)
(their amnesty, came in, form of unfounded claims)
(criminals, were spared, condemnation)
(their amnesty, came in, form of claims)
(Eighth Amendment, end death penalty through, means)
(nothing, do with, it)
(Arbitrariness, has, nothing do)
(Eighth Amendment, end death penalty through, undemocratic means)
(Court, is, stop)
(best solution, is, stop)
(Eighth Amendment, claims in, its ceaseless quest)
(Eighth Amendment, end, death penalty)
(solution, is, stop)
(Eighth Amendment, claims in, its quest)
(ease, is with, disparate outcomes)
(Arbitrariness, has, nothing do with it)
(it, seems to, me)
(GLOSSIP, PETITIONERS v., KEVIN J. GROSS)
(JUSTICE GINSBURG, joins, dissenting)
(I, dissent For, reasons stated)
(Court, from, holding)
(I, dissent For, reasons stated in JUSTICE SOTOMAYOR 's opinion)
(I, dissent from, Court 's holding)
(I, dissent For, reasons)
(JUSTICE SOTOMAYOR, in, opinion)
(I, would ask for, briefing on basic question)
(I, would ask, try to patch up death penalty 's wounds one)
(I, try to, patch up death penalty 's legal wounds one)
(I, would ask, try to patch up death penalty 's legal wounds one at time)
(death penalty, violates, Constitution)
(I, would ask, try to patch at time)
(I, would ask, try to patch)
(I, would ask, try at time)
(I, would ask for, briefing on more basic question)
(I, would ask, try to patch up death penalty 's wounds one at time)
(I, would ask for, briefing)
(I, would ask, try to patch up death penalty 's legal wounds one)
(I, try to, patch)
(I, try at, time)
(I, would ask for, full briefing on more basic question)
(I, would ask, try)
(I, would ask for, full briefing on question)
(I, would ask for, full briefing)
(death penalty, up, legal wounds one)
(I, try to, patch up death penalty 's wounds one)
(I, would ask for, briefing on question)
(I, would ask for, full briefing on basic question)
(relevant legal standard, is set in, Eighth Amendment)
(relevant legal standard, is, set)
(relevant standard, is set forth in, Eighth Amendment)
(legal standard, is standard set forth in, Eighth Amendment)
(relevant standard, is, set forth)
(relevant legal standard, is standard set forth in, Eighth Amendment)
(standard, is set forth in, Eighth Amendment)
(relevant standard, is set in, Eighth Amendment)
(standard, is standard set forth in, Eighth Amendment)
(standard, is, set)
(standard, is set in, Eighth Amendment)
(standard, is, standard set forth)
(legal standard, is set in, Eighth Amendment)
(legal standard, is, set)
(standard, is, set forth)
(relevant legal standard, is, set forth)
(standard set, is in, Eighth Amendment)
(relevant standard, is, standard set)
(relevant standard, is, set)
(legal standard, is, standard set)
(relevant standard, is, standard set forth)
(legal standard, is set forth in, Eighth Amendment)
(relevant legal standard, is set forth in, Eighth Amendment)
(standard, is standard set in, Eighth Amendment)
(relevant legal standard, is standard set in, Eighth Amendment)
(relevant legal standard, is, standard set forth)
(standard, is, standard set)
(relevant legal standard, is, standard set)
(legal standard, is, set forth)
(relevant standard, is standard set in, Eighth Amendment)
(relevant standard, is standard set forth in, Eighth Amendment)
(legal standard, is standard set in, Eighth Amendment)
(legal standard, is, standard set forth)
(Constitution, there forbids, inflict)
(Constitution, forbids, inflict)
(Constitution, forbids, inflict of cruel punishments)
(Constitution, there forbids, inflict of cruel punishments)
(Constitution, there forbids, inflict of punishments)
(Constitution, forbids, inflict of punishments)
(Blackstone, in, day)
(4 W. Blackstone, Commentaries on, Laws of England 369-370)
(Court, ago upheld, death penalty)
(Court, upheld, death penalty)
(Court, in, view)
(penalty, be, applied)
(evidence, have changed radically since, then)
(death penalty, of, application)
(circumstances, have changed radically since, then)
(circumstances, have changed since, then)
(evidence, have changed since, then)
(I, believe Given, changes)
(Court, is in, effect)
(Court, delegated, responsibility)
(significant responsibility, Court in, effect)
(constitutional infirmities, is in, death penalty)
(Court, delegated responsibility to, States)
(responsibility, Court in, effect)
(Court, delegated, significant responsibility)
(Today 's administration, involves, three defects)
(arbitrariness, is in, application)
(Today, has, administration of death penalty)
(death penalty, has, penological purpose)
(Today 's administration, involves, three constitutional defects)
(I, shall describe, each considerations)
(I, shall describe, each of considerations)
(finality, creates, qualitative difference between death penalty)
(finality, creates, difference)
(finality, creates, qualitative difference)
(difference, finality of, death)
(finality, creates, difference between death penalty)
(life, is in, prison)
(qualitative difference, finality of, death)
(305, at Woodson is, 428 U. S.)
(difference, creates, corresponding difference in need)
(qualitative difference, creates, corresponding difference in need for reliability in determination)
(corresponding difference, is in, need for reliability)
(reliability, is in, determination)
(difference, creates, corresponding difference)
(difference, creates, difference in need)
(qualitative difference, creates, difference in need for reliability in determination)
(qualitative difference, creates, corresponding difference)
(qualitative difference, creates, difference)
(qualitative difference, creates, difference in need)
(difference, creates, corresponding difference in need for reliability)
(difference, creates, difference)
(difference, creates, corresponding difference in need for reliability in determination)
(qualitative difference, creates, difference in need for reliability)
(difference, creates, difference in need for reliability)
(qualitative difference, creates, corresponding difference in need for reliability)
(appropriate punishment, is in, specific case)
(difference, creates, difference in need for reliability in determination)
(qualitative difference, creates, corresponding difference in need)
(death penalty, lacks, reliability)
(death penalty, lacks, requisite reliability)
(constitute, body of, fact)
(constitute, new body of, fact)
(researchers, have found, evidence)
(researchers, have found evidence For, one thing)
(innocent people, been, executed)
(people, been, executed)
(people, been executed in, past three decades)
(researchers, have found, convincing evidence)
(innocent people, been executed in, past three decades)
(Faster, is, Dangerous)
(Grann, Trial By, Fire)
(Carlos DeLuna, has, Execution)
(Faster, is, Idea)
(Faster, is, Dangerous Idea)
(Gov. Ritter Grants Posthumous Pardon, is in, Case)
(man, is with, IQ of 46)
(Joe Arridy, man with, IQ of 46)
(Wilkie Collins, has, Dead Alive)
(Case, in Pardon is, Jan. 7 2011)
(death penalty, been, imposed)
(death penalty, been, wrongly imposed)
(evidence, is, striking)
(evidence, is striking For, another)
(individuals, had, had sentenced to death)
(individuals, had, had sentenced)
(Court, used As of, 2002)
(Court, used, word disturbing)
(Court, describe, number)
(60 exonerations, is in, capital cases)
(National Registry, online at, http://www.law.umich.edu/special/exoneration/Pages/about)
(320, at Atkins is, 536 U. S.)
(defendant, of, innocence)
(I, refer from, legal consequences of capital conviction)
(exonerations, is in, capital cases)
(number, has risen to, 115)
(number, has risen Since, 2002)
(List, online at, http://www.deathpenaltyinfo)
(Exonerations, Exonerations in, United States)
(Exonerations, is in, United States)
(National Registry, defining, exoneration)
(Freed, of List is, online at http://www.deathpenaltyinfo)
(death row inmates, were, year in 2014 exonerated)
(six death row inmates, were exonerated at_time, year)
(death row inmates, were exonerated at_time, year)
(six death row inmates, were, Last year in 2014 exonerated)
(death row inmates, were exonerated at_time, Last year)
(death row inmates, were exonerated based on, innocence)
(death row inmates, were exonerated based on, actual innocence)
(six death row inmates, were exonerated based on, innocence)
(six death row inmates, were, year in 2014 exonerated)
(six death row inmates, were exonerated at_time, Last year)
(six death row inmates, were exonerated in, 2014)
(death row inmates, were, Last year in 2014 exonerated)
(six death row inmates, were exonerated based on, actual innocence)
(death row inmates, were, exonerated)
(six death row inmates, were, exonerated)
(death row inmates, were exonerated in, 2014)
(All, had, had imprisoned)
(All, had, had imprisoned at time of their exonerations)
(All, had, had imprisoned at time)
(Exonerations, is in, 2014)
(Exonerations, of Registry is, p. 2)
(2014, in Exonerations is, Exonerations)
(stories exonerated, are, illustrative)
(stories, exonerated within, year)
(stories, exonerated within, last year)
(Katz, Clears, p. A1)
(DNA Evidence, Clears, Sept. 3 2014)
(Eckholm, Clears, p. A1)
(Katz, Clears, Two Men)
(Katz, Clears, Sept. 3 2014)
(DNA Evidence, Clears N. Y. Times in, 1983 Murder)
(Eckholm, Clears, N. Y. Times)
(DNA Evidence, Clears, p. A1)
(DNA Evidence, Clears, Two Men)
(Katz, Clears N. Y. Times in, 1983 Murder)
(Eckholm, Clears N. Y. Times in, 1983 Murder)
(Eckholm, Clears, Two Men)
(Katz, Clears, N. Y. Times)
(DNA Evidence, Clears, N. Y. Times)
(Eckholm, Clears, Sept. 3 2014)
(forensic evidence, was, flawed)
(he, was exonerated, flawed)
(he, was exonerated at_time, year)
(he, was, exonerated)
(forensic evidence, used against, him)
(he, was exonerated at_time, earlier year)
(further hearings, is in, state court)
(evidence, used against, him)
(evidence, was, flawed)
(State, has, Case)
(curiam, per ___ is, 2014)
(Glenn Ford, was, exonerated)
(Glenn Ford, was, when exonerated)
(Stroud, Apologizes for, Role)
(I, return to, examples infra)
(courts, are, likely)
(death sentence, is at, issue)
(courts, are, more likely)
(death sentence, is at, where issue)
(noncapital murder, is at, where issue)
(murder, is at, where issue)
(noncapital murder, is at, issue)
(They, exonerate at, issue)
(capital murder, is at, where issue)
(capital murder, is at, issue)
(murder, is at, issue)
(They, are, more likely)
(They, exonerate at, where issue)
(They, are, likely)
(it, must be To, degree)
(it, must be, more complex)
(it, must be, complex)
(it, must reflect, fact)
(courts, scrutinize closely, capital cases)
(courts, scrutinize more closely, capital cases)
(it, must reflect fact To, degree)
(courts, scrutinize, capital cases)
(it, reflects likelihood to, degree)
(it, reflects, likelihood)
(it, also reflects, greater likelihood of conviction)
(it, reflects, likelihood of initial conviction)
(it, likely also reflects, greater likelihood of wrongful conviction)
(it, likely also reflects, likelihood of initial conviction)
(it, likely also reflects, likelihood of initial wrongful conviction)
(it, reflects, greater likelihood of wrongful conviction)
(it, likely reflects, likelihood)
(it, likely reflects, likelihood of conviction)
(it, reflects, greater likelihood of initial wrongful conviction)
(it, reflects, greater likelihood of initial conviction)
(it, likely reflects, likelihood of wrongful conviction)
(it, likely reflects, greater likelihood of conviction)
(it, also reflects likelihood to, degree)
(it, also reflects, greater likelihood)
(it, likely also reflects likelihood to, degree)
(it, likely reflects, likelihood of initial conviction)
(it, also reflects, likelihood of conviction)
(it, also reflects, likelihood of initial conviction)
(it, likely reflects, greater likelihood)
(it, likely also reflects, likelihood of conviction)
(it, also reflects, likelihood of wrongful conviction)
(it, also reflects, likelihood of initial wrongful conviction)
(it, likely also reflects, greater likelihood of initial wrongful conviction)
(it, also reflects, greater likelihood of wrongful conviction)
(it, likely also reflects, greater likelihood of conviction)
(it, likely also reflects, likelihood)
(it, likely reflects, greater likelihood of initial conviction)
(it, also reflects, greater likelihood of initial wrongful conviction)
(it, likely also reflects, greater likelihood of initial conviction)
(it, reflects, likelihood of conviction)
(it, reflects, greater likelihood)
(it, also reflects, greater likelihood of initial conviction)
(it, likely reflects, greater likelihood of wrongful conviction)
(it, reflects, likelihood of wrongful conviction)
(it, reflects, greater likelihood of conviction)
(it, likely reflects, likelihood of initial wrongful conviction)
(it, reflects, likelihood of initial wrongful conviction)
(it, likely reflects, greater likelihood of initial wrongful conviction)
(it, likely reflects likelihood to, degree)
(it, likely also reflects, likelihood of wrongful conviction)
(it, likely also reflects, greater likelihood)
(it, also reflects, likelihood)
(crimes, are, In view could so murders)
(crimes, are, In view could horrendous murders)
(it, are, could so horrendous murders)
(crimes, are, could so typically murders)
(it, are, could so murders)
(crimes, are, could horrendous murders)
(crimes, are, could typically horrendous murders)
(crimes, are, In view could typically murders)
(it, are, In view could so murders)
(it, are, In view could typically horrendous murders)
(crimes, are, could typically murders)
(it, are, In view could horrendous murders)
(could horrendous murders, is In, view of researchers)
(it, are, could horrendous murders)
(crimes, are, could so murders)
(crimes, are, could so typically horrendous murders)
(it, are, In view could so typically horrendous murders)
(crimes, are, could murders)
(crimes, are, In view could murders)
(it, are, In view could so horrendous murders)
(crimes, are, could so horrendous murders)
(it, are, could so typically horrendous murders)
(crimes, are, In view could so typically murders)
(it, are, could murders)
(it, are, could so typically murders)
(it, are, In view could typically murders)
(it, are, could typically murders)
(it, are, In view could murders)
(crimes, are, In view could so horrendous murders)
(it, are, could typically horrendous murders)
(it, are, In view could so typically murders)
(crimes, are, In view could so typically horrendous murders)
(issue, is in, capital cases)
(crimes, are, In view could typically horrendous murders)
(Gross, Exonerations in, United States 1989 Through 2003)
(Exonerations, is in, United States 1989 Through 2003)
(Criminal Prosecutions, discussing, common causes including false confessions)
(Criminal Prosecutions, discussing, common causes of wrongful convictions including false confessions)
(Criminal Prosecutions, discussing, common causes)
(Criminal Prosecutions, discussing, common causes of convictions including false confessions)
(Criminal Prosecutions, discussing, other common causes of wrongful convictions including false confessions)
(Criminal Prosecutions, discussing, other causes of wrongful convictions)
(Criminal Prosecutions, discussing, other common causes of wrongful convictions)
(Criminal Prosecutions, discussing, causes of convictions)
(Criminal Prosecutions, discussing, common causes of convictions)
(Criminal Prosecutions, discussing, other causes generally including false confessions)
(Criminal Prosecutions, discussing, other common causes of convictions)
(Criminal Prosecutions, discussing, common causes of wrongful convictions)
(Criminal Prosecutions, discussing, causes generally including false confessions)
(Criminal Prosecutions, discussing, common causes of convictions generally including false confessions)
(Criminal Prosecutions, discussing, causes of wrongful convictions)
(Criminal Prosecutions, discussing, causes of convictions including false confessions)
(Criminal Prosecutions, discussing, other causes including false confessions)
(Criminal Prosecutions, discussing, other causes)
(Criminal Prosecutions, discussing, causes including false confessions)
(Criminal Prosecutions, discussing, other common causes including false confessions)
(Little, So Know is, 5 J. Empirical L. Studies 927 956-957 2008)
(Criminal Prosecutions, discussing, other causes of wrongful convictions generally including false confessions)
(Criminal Prosecutions, discussing, common causes of wrongful convictions generally including false confessions)
(Criminal Prosecutions, discussing, other common causes of wrongful convictions generally including false confessions)
(Criminal Prosecutions, discussing, other causes of wrongful convictions including false confessions)
(Criminal Prosecutions, discussing, common causes generally including false confessions)
(Criminal Prosecutions, discussing, causes of convictions generally including false confessions)
(Criminal Prosecutions, discussing, other common causes)
(Criminal Prosecutions, discussing, other causes of convictions)
(Criminal Prosecutions, discussing, other common causes of convictions including false confessions)
(Criminal Prosecutions, discussing, other common causes of convictions generally including false confessions)
(Criminal Prosecutions, discussing, causes of wrongful convictions including false confessions)
(Criminal Prosecutions, discussing, other causes of convictions generally including false confessions)
(Criminal Prosecutions, discussing, causes)
(Criminal Prosecutions, discussing, causes of wrongful convictions generally including false confessions)
(Criminal Prosecutions, discussing, other common causes generally including false confessions)
(Criminal Prosecutions, discussing, other causes of convictions including false confessions)
(State Bar, filed, misconduct charges)
(State Bar, filed misconduct charges against, lead prosecutor)
(State Bar, recently filed misconduct charges against, lead prosecutor)
(State Bar, recently filed, misconduct charges)
(Willingham, to, conviction)
(State Bar, recently filed, formal misconduct charges)
(State Bar, filed, formal misconduct charges)
(State Bar, filed misconduct charges for, his actions)
(Possley, Accused of, Misconduct)
(Possley, Accused in, Case)
(Prosecutor Accused, is in, Case)
(he, was responsible for, Ford 's conviction)
(he, was responsible for, Ford 's wrongful conviction)
(he, was partly responsible for, Ford 's wrongful conviction)
(he, was partly responsible for, Ford 's conviction)
(he, was, responsible)
(Ford, of, conviction)
(Ford, for, wrongful conviction)
(he, was, partly responsible)
(prosecutor, admitted in, Glenn Ford 's case)
(Glenn Ford, in, case)
(Other factors, may play, role)
(factors, may also play, role)
(factors, may play, role)
(Other factors, may also play, role)
(Mandatory Voir Dire Questions, is in, Capital Cases)
(death qualification, skews, juries)
(death qualification, skews juries toward, guilt)
(Another, is problem of, flawed forensic testimony)
(Another, is general problem of, forensic testimony)
(Another, is more general problem of, forensic testimony)
(Another, is general problem of, testimony)
(Another, is more general problem of, testimony)
(Another, is general problem of, flawed forensic testimony)
(Another, is, more general problem)
(Another, is problem of, flawed testimony)
(Another, is problem of, forensic testimony)
(Another, is general problem of, flawed testimony)
(Another, is, general problem)
(Another, is more general problem of, flawed forensic testimony)
(Another, is more general problem of, flawed testimony)
(Another, is, problem)
(Another, is problem of, testimony)
(Investigation, of Bureau is, FBI)
(Federal Bureau, found for, example)
(Federal Bureau, recently found for, example)
(FBI, Testimony on, Microscopic Hair Analysis)
(Cases, is in, Ongoing Review)
(FBI, Contained in, Errors)
(FBI, Contained, Errors)
(death penalty, five of, seven defendants)
(Hsu, Admits, Errors)
(cases, is with, flawed hair analysis testimony)
(Hsu, Admits Errors at, Trials)
(death penalty, five in, cases with flawed hair analysis testimony)
(researchers, estimate In, light of these)
(researchers, estimate In, light)
(Death, Proceeding of, National Academy)
(Gross, Rate of, False Conviction)
(suggesting, rate of, between 3.3 %)
(suggesting, analogous rate of, 3.3 %)
(suggesting, analogous rate of, between 3.3 %)
(suggesting, rate of, 3.3 %)
(DNA exonerations, is in, death penalty cases)
(we, expand, our definition)
(we, limited to, errors)
(courts, follow, required procedures)
(we limited, was, innocent)
(we limited, was, actually innocent)
(courts, follow, legally required procedures)
(courts, follow, procedures)
(courts, identified, errors)
(courts, identified errors before, them)
(courts, identified, prejudicial errors)
(prejudicial errors, is in, 68 % of capital cases)
(courts, identified, prejudicial errors in 68 % of capital cases)
(courts, identified, errors in 68 % of capital cases)
(courts, identified, prejudicial errors in 68 %)
(courts, identified, errors in 68 %)
(Death Sentences, is in, United States)
(State courts, overturned, 47 %)
(error, is in, 40 % of cases)
(Federal courts, found, error)
(Federal courts, found, error in 40 %)
(Federal courts, reviewing, capital cases in habeas corpus proceedings)
(capital cases, is in, habeas corpus proceedings)
(Federal courts, reviewing, capital cases)
(Federal courts, found, error in 40 % of cases)
(figures, are, controversial)
(figures, are, likely controversial)
(research, are, controversial)
(research, are, likely controversial)
(Full briefing, would allow, us)
(briefing, would allow, us)
(they, suggest, serious problem of reliability)
(they, suggest problem at, minimum)
(they, suggest, serious problem)
(they, suggest, problem of reliability)
(they, suggest at, minimum)
(they, suggest, problem)
(many instances, is in, which)
(Earley, IQ of, 63)
(death penalty, is, based)
(death penalty, is based on, false premise)
(death penalty, is based on, false utopian premise)
(we, have, accuracy)
(we, have accuracy in, death penalty convictions)
(we, have, 100 % accuracy)
(I, Oversaw, 36 Executions)
(I, Earley Oversaw, 36 Executions)
(Death Penalty Supporters, Can Push for, Change)
(Death Penalty Supporters, Can Push for, Guardian)
(Death Penalty Supporters, Can Push for, May 12 2014)
(Death Penalty Supporters, see, ante)
(we, now have, plausible evidence)
(we, have, plausible evidence)
(we, ago now have, plausible evidence of unreliability)
(we, have, plausible evidence of unreliability)
(we, ago have, plausible evidence of unreliability)
(we, now have, plausible evidence of unreliability)
(we, ago now have, plausible evidence)
(we, ago have, plausible evidence)
(law, in, view)
(research-based evidence, indicating, that)
(research-based evidence, is In, sum)
(research-based evidence, is at_time, today)
(whose convictions, is in, law 's view)
(arbitrary imposition, is antithesis of, rule of law)
(imposition, is antithesis of, rule)
(imposition, is, antithesis)
(punishment, imposition of is, antithesis)
(arbitrary imposition, is, antithesis)
(punishment, arbitrary imposition of is, antithesis)
(imposition, is antithesis of, rule of law)
(arbitrary imposition, is antithesis of, rule)
(death penalty, unconstitutional, administered in 1972)
(Justice Potter Stewart, found, death penalty unconstitutional)
(holdings, is in, Furman)
(death penalty, unconstitutional, administered)
(Justice Potter Stewart, found For, reason)
(curiam, per S. is, 1972)
(death penalty, administered in, 1972)
(death sentences, are, cruel in same way struck)
(death sentences, are, cruel in way struck)
(death sentences, are, cruel)
(death sentences, are, cruel in same way struck by lightning)
(cruel, is, cruel)
(death sentences, are, cruel in way struck by lightning)
(petitioners, are, random)
(sentence, has, has imposed)
(petitioners, are, selected)
(sentence, has, has in fact imposed)
(309-310, at Furman is, 408 U. S.)
(Eighth Amendments, infliction of, sentence of death)
(many cases, is in, which)
(death penalty, was, When reinstated)
(death penalty, was reinstated in, 1976)
(death penalty, was, When reinstated in 1976)
(death penalty, was, reinstated)
(188, at Gregg is, 428 U. S.)
(discretion, here is afforded sentencing body on, matter)
(discretion, is afforded, sentencing body)
(discretion, be, suitably directed)
(discretion, minimize, risk)
(discretion, so minimize, risk of arbitrary action)
(discretion, here is afforded, sentencing body)
(discretion, is afforded sentencing body on, matter)
(discretion, so minimize, risk)
(discretion, minimize, risk of action)
(discretion, here is afforded sentencing body on, matter grave)
(discretion, is afforded sentencing body on, matter so grave)
(discretion, minimize, risk of arbitrary action)
(discretion, be, directed)
(discretion, here is afforded sentencing body on, matter so grave)
(discretion, so minimize, risk of action)
(discretion, minimize, risk of wholly arbitrary action)
(discretion, so minimize, risk of wholly arbitrary action)
(discretion, is afforded sentencing body on, matter grave)
(Court, make, application arbitrary)
(Court, has sought, make)
(Court, make, application less arbitrary)
(Court, has consequently sought, make)
(Court, make, application of death penalty arbitrary)
(Court, make, application of death penalty less arbitrary)
(Justice Souter, called, worst of worst)
(Justice Souter, called, worst)
(206, at Kansas is, 548 U. S.)
(Constitution, with, commands)
(its use, is with, Constitution 's commands)
(it, is, imposed)
(Gregg Court, Despite, hope for fair administration of death penalty)
(studies, support, conclusion)
(Thorough studies, support, conclusion)
(Donohue, Evaluation Since, 1973)
(Donohue, Evaluation of, Connecticut Death Penalty System)
(study, reviewed, treatment of homicide defendants)
(Connecticut law, made defendant eligible for, death sentence)
(Connecticut law, made, defendant eligible)
(Courts, imposed, death sentence)
(murderer 's conduct, is in, 9 cases)
(study, measured, egregiousness)
(developing, system of, metrics designed)
(study, measured, egregiousness of murderer 's conduct in 9 cases)
(study, measured, egregiousness of murderer 's conduct)
(murderer, of, conduct in 9 cases)
(developing, system of, metrics)
(It, compared, egregiousness of conduct of 9 defendants sentenced to death with egregiousness of conduct of defendants)
(It, compared, egregiousness of conduct)
(It, compared, egregiousness of conduct of 9 defendants sentenced to death with egregiousness of conduct in 196 cases)
(It, compared, egregiousness)
(It, compared, egregiousness of conduct of 9 defendants)
(It, compared, egregiousness of conduct of 9 defendants sentenced)
(It, compared, egregiousness of conduct of 9 defendants sentenced to death with egregiousness)
