(UNITED STATES, v. SALMAN is, 2016)
(Dirks 's standard, is unconstitutionally vague, applied)
(Dirks 's gift-giving standard, is vague, applied to case)
(We, reject, Salman 's argument)
(Dirks 's gift-giving standard, is unconstitutionally vague, applied to case)
(Dirks 's standard, is unconstitutionally vague, applied to case)
(Dirks 's standard, is, unconstitutionally vague)
(Dirks, has, gift-giving standard)
(Dirks 's gift-giving standard, is unconstitutionally vague, applied)
(Salman, has, argument)
(Dirks 's gift-giving standard, applied to, case)
(Dirks 's standard, is vague, applied)
(Dirks 's standard, is, vague)
(Dirks 's standard, applied to, case)
(Dirks 's gift-giving standard, is vague, applied)
(Dirks 's standard, is vague, applied to case)
(itself, 10, b)
(assessing, liability for, gift-giving)
(Salman, shows At, most)
(circumstances, assessing, liability)
(factual circumstances, assessing, liability for gift-giving)
(circumstances, assessing, liability for gift-giving)
(factual circumstances, assessing, liability)
(We, reject, Salman 's appeal to rule)
(We, reject, Salman 's appeal)
(We, also reject, Salman 's appeal)
(We, also reject, Salman 's appeal to rule)
(We, reject, Salman 's appeal to rule of lenity)
(Salman, has, appeal to rule of lenity)
(We, also reject, Salman 's appeal to rule of lenity)
(Salman 's conduct, is in, To contrary heartland)
(Dirks, of, rule concerning)
(Salman 's conduct, is in, heartland)
(Salman 's conduct, is in, heartland of Dirks 's rule)
(Salman, has, conduct)
(Salman 's conduct, is in, To contrary heartland of Dirks 's rule)
(insider, benefits from, disclosure)
(insider, personally benefits from, particular disclosure)
(insider, personally benefits from, disclosure)
(insider, benefits from, particular disclosure)
(case, question of, fact)
(benefit one, making, gift of information)
(benefit one, making gift to, trading relative)
(benefit one, simply making, gift of information)
(benefit, making gift to, trading)
(benefit, simply making gift to, trading)
(benefit, making, gift)
(benefit one, simply making gift to, trading)
(benefit, making, gift of information)
(Salman 's jury, was, instructed)
(benefit, simply making, gift)
(benefit, making, gift of confidential information)
(benefit one, simply making, gift)
(Salman 's jury, was, properly instructed)
(benefit one, making gift to, trading)
(benefit, making gift to, trading relative)
(benefit one, making, gift of confidential information)
(benefit one, making, gift)
(benefit, simply making, gift of information)
(benefit, simply making, gift of confidential information)
(benefit one, simply making, gift of confidential information)
(benefit one, simply making gift to, trading relative)
(benefit, simply making gift to, trading relative)
(Salman, has, jury)
(disclosure, was intended as, gift of market-sensitive information)
(Government, presented, direct evidence)
(disclosure, was intended as, gift)
(disclosure, was intended as, gift of information)
(Government, presented evidence, Court noted)
(Government, presented evidence, Court of Appeals noted)
(Government, presented, evidence)
(disclosure, was, intended)
(evidence, is, sufficient)
(evidence, sustain, his conviction)
(evidence, is sufficient, Salman conceded below)
(evidence, is sufficient, Salman conceded)
(Maher, gift of, confidential information)
(Appellant, has, Supplemental Brief in No. 14-10204)
(Appellant 's Supplemental Brief, is in, No. 14-10204)
(Maher, gift of, information)
(Ninth Circuit, has, judgment)
(Ninth Circuit 's judgment, is, Accordingly affirmed)
(Ninth Circuit 's judgment, is, affirmed)
(It, is, ordered)
(It, is, so ordered)
(Second Circuit, reversed, Newman defendants ' convictions)
(Second Circuit, also reversed, Newman defendants ' convictions)
(463 U. S. 646, established framework in, case brought under classical theory)
(U. S. 646, established framework in, case brought)
(463 U. S. 646, established framework in, case brought under theory)
(U. S. 646, established framework in, case brought under classical theory)
(463 U. S. 646, established framework in, case brought)
(463 U. S. 646, established, framework)
(U. S. 646, established, personal-benefit framework)
(463 U. S. 646, established framework in, case)
(U. S. 646, established framework in, case)
(tipper, of, corporation)
(463 U. S. 646, established, personal-benefit framework)
(his tippee trades, is in, securities of tipper 's corporation)
(U. S. 646, established, framework)
(U. S. 646, established framework in, case brought under theory)
(defendant, takes, shareholders of his corporation)
(defendant, breaches, duty)
(defendant, takes, shareholders)
(defendant, takes, advantage)
(he, confidential information for, securities trading purposes)
(he, information for, securities trading purposes)
(he, misappropriates information in, breach of duty owed)
(he, misappropriates, information for securities trading purposes)
(he, misappropriates information in, breach of duty owed to source)
(he, misappropriates information in, breach)
(he, misappropriates information in, breach of duty owed to source of information)
(misappropriation theory, holds By, contrast)
(person, commits, securities fraud)
(he, misappropriates information in, breach of duty)
(he, misappropriates, confidential information for securities trading purposes)
(he, misappropriates, information)
(he, misappropriates, confidential information)
(defendant, defrauds, opposed to shareholders of his corporation)
(defendant, defrauds, opposed to shareholders)
(defendant, breaches, duty)
(defendant, defrauds, opposed)
