(October 5 2016, Decided at_time, February 22 2017)
(State, stressed, crime 's brutal nature)
(State, stressed, Buck 's lack of remorse)
(State, stressed, Buck 's lack)
(Buck, of, own experts)
(Buck, has, lack of remorse)
(that, be, continuing)
(jury, deliberated over, course)
(jury, deliberated over, course of two days)
(reports, were, provided)
(jury, returned, sentence of death)
(jury, returned, sentence)
(Buck 's conviction, were, affirmed)
(Buck, has, conviction)
(Buck 's conviction, were, affirmed on appeal)
(Buck 's conviction, were, affirmed on direct appeal)
(it, has wandered for, better part of two decades)
(it, has wandered for, better part)
(it, has wandered for, part of two decades)
(it, has wandered for, part)
(Buck, filed, his first petition)
(Buck, filed, his petition)
(writ, is in, Texas state court)
(four claims, advanced in, petition)
(four claims, advanced in, his petition)
(defense counsel, has, introduction of expert testimony)
(petition, mention, defense counsel 's introduction)
(Buck 's race, increased, his propensity for violence)
(petition, mention, defense counsel 's introduction of expert testimony)
(Buck 's race, increased, his propensity)
(Buck, has, race)
(Buck, has, first habeas petition)
(Dr. Quijano, had testified too in, cases)
(Dr. Quijano, had testified in, cases)
(Dr. Quijano, had testified in, other cases)
(Dr. Quijano, had testified too in, other cases)
(Saldano 's Hispanic heritage, was, factor weighing in favor of future dangerousness)
(Saldano 's Hispanic heritage, was, factor weighing)
(Saldano 's Hispanic heritage, weighing in, favor of future dangerousness)
(Saldano 's heritage, was, factor weighing in favor)
(his death sentence, been tainted by, Dr. Quijano 's testimony)
(Dr. Quijano, by, testimony)
(his death sentence, been, tainted)
(Saldano 's Hispanic heritage, weighing in, favor)
(Saldano 's heritage, was, factor)
(Saldano 's heritage, weighing in, favor of future dangerousness)
(Saldano 's Hispanic heritage, was, factor weighing in favor)
(Saldano, has, Hispanic heritage)
(Saldano 's heritage, was, factor weighing in favor of future dangerousness)
(Saldano 's Hispanic heritage, was, factor)
(Saldano 's heritage, was, factor weighing)
(Saldano 's heritage, weighing in, favor)
(Texas, vacate, state court judgment)
(Texas, confessed, error)
(Court, grant, Saldano 's petition for certiorari)
(Court, grant, Saldano 's petition)
(Saldano, has, petition for certiorari)
(Texas, confessed error on, ground)
(Texas, remand, case)
(Texas, asked, Court)
(Court, did In, June 2000)
(Court, did so In, June 2000)
(Texas Attorney General, issued statement Within, days)
(Texas Attorney General, issued, public statement)
(Texas Attorney General, issued, statement)
(it, allow, race)
(race, be considered as, factor in our justice system)
(it, allow, considered)
(race, be, considered)
(it, allow, considered as factor in our justice system)
(factor, is in, our criminal justice system)
(it, allow, considered as factor in our criminal justice system)
(it, is, inappropriate)
(race, be considered as, factor in our criminal justice system)
(race, be considered as, factor)
(it, allow, considered as factor)
(Attorney General, explained, keeping)
(his office, conducted, thorough audit)
(Attorney General, keeping with, principle)
(his office, conducted, audit)
(Attorney General, explained, keeping with principle)
(letters, had, had sent)
(letters, had, had sent to counsel)
(letters, had, in cases had sent to counsel)
(Attorney General, of, findings)
(letters, had, in cases had sent)
(statement, identifying, defendants)
(statement, identifying defendants in, six cases)
(Attorney General, consented, resentencing in cases)
(Attorney General, had confessed error By, close)
(Attorney General, waived, available procedural defenses)
(Attorney General, had confessed error By, close of 2002)
(Attorney General, had confessed, error)
(Attorney General, consented, resentencing)
(Final Judgment, is in, Gonzales)
(Memorandum, is in, Blue)
(Order, is in, Garcia)
(Order, is in, Broxton)
(Buck 's attorney, filed state habeas In, 2002)
(trial counsel, introducing, Dr. Quijano 's testimony)
(Dr. Quijano, has, testimony)
(trial counsel, rendered, assistance)
(Buck 's attorney, filed, new state habeas)
(Buck, has, attorney)
(Buck 's attorney, filed, state habeas)
(trial counsel, rendered, ineffective assistance)
(Texas Court, dismissed, it)
(Buck 's petition, was, successive)
(Buck, has, petition)
(Buck, turned to, courts)
(Buck, turned to, federal courts)
(Attorney General Cornyn, had left, office)
(He, filed, petition for habeas corpus)
(He, filed, petition)
(He, filed petition in, October 2004)
(He, filed petition under, 28 U. S. C. § 2254)
(trial counsel 's introduction, was, constitutionally ineffective)
(trial counsel, has, introduction of testimony)
(trial counsel 's introduction, was, ineffective)
(Buck, sought, relief)
(Buck, sought relief on, ground)
(Dr. Quijano, of, testimony)
(Buck, press, it)
(Buck 's assistance claim, raising, it)
(state court, dismissed, Buck 's assistance claim)
(Buck 's ineffective assistance claim, raising, it)
(Buck, has, ineffective assistance claim)
(state court, dismissed, Buck 's ineffective assistance claim)
(such reliance, was, state ground)
(adequate state ground, precluding, review)
(state ground, precluding, review)
(reliance, was, adequate)
(reliance, was, state ground)
(adequate state ground, precluding, federal review)
(reliance, was, adequate state ground)
(state ground, precluding, federal review)
(such reliance, was, adequate state ground)
(it, waived, similar procedural defenses in Saldano 's case)
(it, waived, defenses)
(it, waived, similar defenses in Saldano 's case)
(it, similar procedural defenses in, Saldano 's case)
(it, waived, procedural defenses)
(Saldano, in, case)
(it, waived, procedural defenses in Saldano 's case)
(it, waived, similar procedural defenses)
(it, waived, defenses in Saldano 's case)
(it, similar defenses in, Saldano 's case)
(similar procedural defenses, is in, Saldano 's case)
(it, procedural defenses in, Saldano 's case)
(it, defenses in, Saldano 's case)
(it, waived, similar defenses)
(Buck 's case, was different, i n Saldano 's case Dr. Quijano testified for State)
(Buck 's case, was, different)
(it, argued in, in Buck)
(i n Saldano 's case Dr. Quijano, testified for, State)
(Buck, has, case)
(Buck 's case, was different, i n Saldano 's case Dr. Quijano testified)
(i n Saldano, has, case Dr. Quijano)
(Answer, is in, No. 4:04)
(District Court, reach, merits)
(District Court, reach merits, failure do so would result in miscarriage of justice)
(District Court, merits of, his claim)
(District Court, reach, merits of his claim)
(District Court, reach merits, failure do so would result in miscarriage)
(District Court, reach merits, failure do would result in miscarriage of justice)
(District Court, reach merits, failure do would result)
(District Court, reach merits notwithstanding, his procedural default)
(District Court, reach merits, failure do so would result)
(District Court, reach merits, failure do would result in miscarriage)
(District Court, reach merits notwithstanding, his default)
(attorney, has, failure raise during state postconviction review)
(our decision, is in, Coleman)
(Buck, filed, his § 2254 petition)
(his ineffective assistance claim, was unreviewable because of, his procedural default)
(his assistance claim, was unreviewable because of, his default)
(his assistance claim, was unreviewable because of, his procedural default)
(Buck, has, miscarriage of justice argument)
(his ineffective assistance claim, was, unreviewable)
(his ineffective assistance claim, was unreviewable because of, his default)
(District Court, rejected, Buck 's miscarriage)
(his assistance claim, was, unreviewable)
(District Court, rejected, Buck 's miscarriage of justice argument)
(* 8, at Buck is, 2006 WL 8411481)
(Buck, sought, review)
(Buck, unsuccessfully sought, review of District Court 's ruling)
(Buck, unsuccessfully sought, review)
(District Court, of, ruling)
(Buck, sought, review of District Court 's ruling)
(curiam, per 923 is, cert)
(curiam, per 923 is, CA5 2009)
(Buck, reopen, his case)
(Buck, sought, arguing)
(Dr. Quijano, referring to, his testimony)
(Buck, sought In, 2011)
(Dr. Quijano, referring to, his testimony during summation)
(prosecution, violated, Equal Protection)
(Dr. Quijano, by, testimony justified)
(Buck, argued, that)
(District Court, of, adverse judgment)
(State, has, decision treat differently from other defendants affected by testimony justified)
(Buck, also argued, that)
(we, denied, Buck)
(we, denied, certiorari)
(curiam, per 427-428 is, CA5 2011)
(we, denied, Thaler)
(Buck, barred by, Coleman)
(Buck, still barred by, Coleman)
(attorney, has, ignorance)
(ignorance, is in, postconviction proceeding)
(Court modif unqualified statement, is In, 2012)
(Court modif unqualified statement, is in, Coleman)
(9, at Martinez is, 566 U. S.)
(state, formally limits, adjudication)
(state, adjudication of, claims of ineffective assistance)
(state, limits, adjudication of claims of assistance)
(state, limits, adjudication)
(state, adjudication of, claims)
(counsel, is in, proceeding)
(state, formally limits, adjudication of claims)
(claim, is, substantial)
(state, formally limits, adjudication of claims of assistance of trial counsel)
(state, formally limits, adjudication of claims of assistance)
(state, limits, adjudication of claims of ineffective assistance of trial counsel)
(claim, is, underlying)
(state, limits, adjudication of claims of ineffective assistance)
(state, limits, adjudication of claims of assistance of trial counsel)
(state, adjudication of, claims of assistance of trial counsel)
(state, limits, adjudication of claims)
(prisoner, cause for, procedural default)
(state, formally limits, adjudication of claims of ineffective assistance)
(state, adjudication of, claims of assistance)
(prisoner, cause for, default)
(state, adjudication of, claims of ineffective assistance of trial counsel)
(state, formally limits, adjudication of claims of ineffective assistance of trial counsel)
(Buck, of, conviction)
(exception, announced in, Martinez)
(system, is in, Texas)
(system, was, such)
(petitioner, had, where had convicted)
(petitioner, had, had convicted)
(system, was, such system)
(system, was, system)
(state postconviction counsel, been, ineffective)
(state postconviction counsel, been constitutionally ineffective, failing)
(state postconviction counsel, been ineffective, failing)
(state postconviction counsel, been, constitutionally ineffective)
(Martinez, Had, Had decided)
(claim, had, merit)
(Buck, has, ineffective assistance claim)
(Buck, filed, his § 2254 petition)
(14, at Martinez is, 566 U. S.)
(Buck, has, third state habeas petition)
(Trevino, was, When decided)
(Buck 's third state habeas petition, was pending in, Texas court)
(Buck 's state habeas petition, was pending in, Texas court)
(Trevino, was, decided)
(petition, was denied in, November 2013)
(petition, was, denied)
(he, filed, motion)
(he, reopen, his § 2254 case)
(party, may, may relieved of effect)
(party, may, may relieved of effect of judgment)
(party, may, may relieved)
(Rule, concludes with, catchall category)
(Rule, concludes with, catchall category providing)
(Relief, is available under, 6)
(Relief, is, available under subdivision only in extraordinary circumstances)
(Relief, is available however under, subdivision)
(s uch circumstances, rarely occur in, habeas context)
(Relief, is, available under subdivision in extraordinary circumstances)
(Relief, is, available however)
(Relief, is, available under subdivision however in extraordinary circumstances)
(Relief, is available under, b)
(Relief, is available however under, 6)
(Relief, is available however under, b)
(s uch circumstances, occur in, habeas context)
(Relief, is, available under subdivision however in circumstances)
(Relief, is, available under subdivision however only in extraordinary circumstances)
(Relief, is available however in, extraordinary circumstances)
(Relief, is available under, subdivision)
(Relief, is available however in, circumstances)
(Relief, is, available under subdivision in circumstances)
(Relief, is, available under subdivision only in circumstances)
(Relief, is available in, only circumstances)
(Relief, is, available under subdivision however only in circumstances)
(Relief, is available however in, only extraordinary circumstances)
(Relief, is available in, extraordinary circumstances)
(Relief, is, available)
(Relief, is available in, only extraordinary circumstances)
(Relief, is available in, circumstances)
(Relief, is available however in, only circumstances)
(535, at Gonzalez is, 545 U. S.)
(Buck, identified, 11 factors)
(Buck, of, defaulted claim)
(Dr. Quijano 's testimony, is in, summation)
(Buck, in, case)
(Dr. Quijano, on, testimony in summation)
(State 's confession, is in, other cases)
(prosecution, has, questions about race on cross-examination on testimony in summation)
(attorney, has, introduction of expert testimony linking to violence)
(Buck, has, race)
(error, is in, Buck 's case)
(change, is in, law effected by Martinez)
(State, has, confession of error in other cases)
(District Court, denied, relief)
(District Court, denied relief on, two grounds)
(Buck, demonstrate, circumstances)
(Buck, demonstrate, extraordinary circumstances)
(change, is, extraordinary)
(change, is extraordinary by, itself)
(change, is rarely extraordinary by, itself)
(change, is in, decisional law)
(change, is, rarely extraordinary)
(court, observed To, end)
(Buck, in, lawyer)
(State, has, promise oppose)
(Buck, has, case)
(Buck 's case, first elicited, objectionable testimony)
(nature, reopening, case)
(Dr. Quijano, of, testimony)
(Dr. Quijano, connection between, race)
(Dr. Quijano, discussed, connection between race)
(Dr. Quijano, discussed, connection)
(Dr. Quijano, discussed only twice, connection between race)
(Dr. Quijano, discussed twice, connection)
(Dr. Quijano, discussed only twice, connection)
(Dr. Quijano, discussed twice, connection between race)
(court, in, view)
(Buck, make out, predicate)
(Buck, make out, predicate for Rule 60)
(court, determined, that)
(court, Second determined, that)
(Buck, has, claim)
(counsel, has, performance)
(counsel 's performance, was, deficient)
(Buck, was obliged, show)
(Buck, was obliged under, Strickland)
(Buck, was, obliged)
(Buck, has, lawyer)
(Buck 's lawyer, calling, Dr. Quijano)
(Dr. Quijano, give, testimony)
(Buck, demonstrate, prejudice)
(Buck 's crime, been, horrific)
(Buck, has, crime)
(Dr. Quijano, for, testimony about race)
(Buck, appeal, denial of his Rule 60 motion)
(Buck, appeal, denial of his Rule 60)
(Buck, sought, appeal)
(Buck, appeal, denial)
(his, Rule, b)
(COA, is with, Fifth Circuit)
(He, accordingly filed, application)
(He, accordingly filed, application for COA with Fifth Circuit)
(He, filed, application)
(He, accordingly filed, application for COA)
(He, filed, application for COA)
(He, filed, application for COA with Fifth Circuit)
(Buck, make, substantial showing of denial of right)
(Buck, make, showing of denial of right)
(Buck, make, substantial showing)
(Buck, obtain, COA)
(Buck, was, required)
(Buck, make, substantial showing of denial of constitutional right)
(Buck, make, showing of denial of constitutional right)
(Buck, make, substantial showing of denial)
(Buck, make, showing)
(Buck, make, showing of denial)
(Buck, has, case)
(Fifth Circuit, denied, COA)
(significant factors, is in, analysis)
(Buck, had identified as, variations on merits)
(Buck, had identified as, variations)
(It, characterized, most)
(Buck, has, argument)
(his case, confessed error in, cases)
(he, was, entitled)
(his case, confessed error in, cases identified)
(panel, rejected, Buck 's argument)
(panel, likewise rejected, Buck 's argument)
(State, had issued, press release indicating)
(his case, confessed error in, other cases identified)
(his case, confessed, error)
(his case, be, treated)
(he, was entitled to, relief)
(State, had issued, press release)
(his case, confessed error in, other cases)
(his case, be treated like, like Saldano)
(Buck 's motion, was, denied)
(Buck 's motion, was denied over, two dissenting votes)
(Buck, has, motion for rehearing en banc)
(Buck 's motion, was denied over, two votes)
(curiam, per 251 is, CA5 2015)
(We, granted, certiorari)
(petition, is denied by, district court)
(petition, is, denied)
(petition, is denied by, federal district court)
(he, first obtain, COA)
(he, obtain, COA)
(he, obtain COA from, circuit justice)
(he, first obtain COA from, circuit justice)
(applicant, only has made, showing of denial of right)
(applicant, only has made, showing of denial of constitutional right)
(applicant, showing of, denial of right)
(applicant, only has made, substantial showing of denial of right)
(applicant, has made, substantial showing of denial)
(applicant, has made, showing of denial of right)
(applicant, only has made, substantial showing of denial of constitutional right)
(applicant, substantial showing of, denial)
(applicant, showing of, denial)
(applicant, substantial showing of, denial of constitutional right)
(applicant, has made, showing of denial of constitutional right)
(applicant, showing of, denial of constitutional right)
(applicant, has made, showing of denial)
(applicant, substantial showing of, denial of right)
(applicant, only has made, showing)
(applicant, only has made, substantial showing)
(applicant, has made, substantial showing)
(applicant, only has made, showing of denial)
(applicant, has made, substantial showing of denial of constitutional right)
(applicant, has made, substantial showing of denial of right)
(applicant, has made, showing)
(applicant, only has made, substantial showing of denial)
(prisoner, secures, COA)
(issues, are, adequate)
(jurists, disagree with, district court 's resolution)
(question, is At, COA stage)
(issues, deserve encouragement, proceed)
(jurists, disagree with, district court 's resolution of his constitutional claims)
(issues, deserve, encouragement)
(issues, deserve encouragement, proceed further)
(jurists, disagree with, district court 's resolution of his claims)
(only question, is At, COA stage)
(district court, with, resolution of constitutional claims)
(threshold question, should, should decided without consideration of factual bases adduced)
(threshold question, should, should decided)
(threshold question, should, should decided without full consideration of factual bases adduced in support)
(threshold question, should, should decided without full consideration of bases adduced)
(threshold question, should, should decided without consideration of bases)
(threshold question, should, should decided without consideration of bases adduced in support)
(threshold question, should, should decided without full consideration of bases adduced in support of claims)
(threshold question, should, should decided without consideration of factual bases)
(threshold question, should, should decided without consideration of factual bases adduced in support)
(threshold question, should, should decided without consideration of bases adduced)
(threshold question, should, should decided without full consideration of factual bases adduced)
(threshold question, should, should decided without full consideration of factual bases adduced in support of claims)
(threshold question, should, should decided without consideration)
(threshold question, should, should decided without consideration of bases adduced in support of claims)
(threshold question, should, should decided without full consideration of factual bases)
(threshold question, should, should decided without consideration of factual bases adduced in support of claims)
(threshold question, should, should decided without full consideration)
(threshold question, should, should decided without full consideration of bases adduced in support)
(threshold question, should, should decided without full consideration of bases)
(it, deciding, appeal)
(court, justifying, its denial)
(deciding, appeal without, jurisdiction)
(court, deciding, merits)
(it, deciding, appeal without jurisdiction)
(court, sidesteps, process)
(court, deciding, merits of appeal)
(court, first deciding, merits of appeal)
(court, justifying, its denial of COA)
(court, sidesteps, COA)
(court, first deciding, merits)
(process, court of, appeals)
(its determination, is in, proper terms)
(it, only deciding, case on merits)
(it, only essentially deciding, case)
(it, essentially deciding, case on merits)
(it, reached, conclusion)
(it, deciding, case on merits)
(it, only essentially deciding, case on merits)
(it, deciding, case)
(it, essentially deciding, case)
(it, only deciding, case)
(court, put, it)
(Fifth Circuit, of, opinion)
(balance, reflects, same approach)
(balance, reflects, approach)
(change, is in, law effected by Martinez)
(he, be, resentenced)
(Texas, has, broken promise)
(District Court, has, decision)
(327, at Miller-El is, 537 U. S.)
(court, properly applies, COA standard)
(court, applies, COA standard)
(prisoner, has, claim)
(COA standard, court of, appeals)
(prisoner, make, ultimate showing)
(prisoner, make, showing)
(336-337, at Miller-El is, 537 U. S.)
(Miller-El, flatly prohibits, departure from procedure)
(Miller-El, flatly prohibits, such departure from procedure prescribed)
(Miller-El, prohibits, departure from procedure prescribed by § 2253)
(Miller-El, flatly prohibits, such departure from procedure)
(Miller-El, prohibits, such departure from procedure prescribed by § 2253)
(Miller-El, flatly prohibits, such departure)
(Miller-El, flatly prohibits, departure from procedure prescribed)
(Miller-El, prohibits, departure from procedure prescribed)
(Miller-El, flatly prohibits, departure from procedure prescribed by § 2253)
(Miller-El, prohibits, such departure from procedure)
(Miller-El, prohibits, such departure from procedure prescribed)
(Miller-El, prohibits, departure)
(Miller-El, prohibits, such departure)
(Miller-El, prohibits, departure from procedure)
(Miller-El, flatly prohibits, departure)
(Miller-El, flatly prohibits, such departure from procedure prescribed by § 2253)
(court 's consideration, is, thorough)
(court 's consideration, is, quite thorough)
(Fifth Circuit, has, approach)
(court, has, consideration of application for COA)
(court 's consideration, is, often thorough)
(State, defends, Fifth Circuit 's approach)
(court 's consideration, is, often quite thorough)
(court, occasionally hears, oral argument)
(court, hears, oral argument)
(court, occasionally hears, argument)
(court, hears, argument)
(parties ' supplemental authorities, invited letter briefs from, sides)
(it, Indeed received, nearly 200 pages)
(it, permitted, reply brief considered)
(parties ' authorities, invited letter briefs from, sides)
(it, received, nearly 200 pages of initial briefing)
(it, received, nearly 200 pages)
(it, permitted, reply brief)
(it, Indeed received, nearly 200 pages of briefing)
(parties ' authorities, invited supplemental letter briefs from, sides)
(it, received, nearly 200 pages of briefing)
(parties ' supplemental authorities, invited supplemental letter briefs from, sides)
(it, Indeed received, nearly 200 pages of initial briefing)
(State, has, case)
(COA, has, has granted)
(case, has received, full consideration)
(claim, can, can debatable)
(case, has received, consideration)
(338, at Miller-El is, 537 U. S.)
(statute, sets, process)
(statute, sets forth, two-step process)
(appeal, is in, normal course)
(statute, sets, two-step process)
(claim, is, debatable)
(statute, sets forth, process)
(claim, is, reasonably debatable)
(employed, should, should consonant with limited nature)
(employed, should, should consonant with limited nature of inquiry)
(employed, should, should consonant with nature)
(employed, should, should consonant with nature of inquiry)
(employed, should, should consonant)
(parties, briefed, underlying merits at length)
(it, is understandable Given, approach of court)
(it, is, understandable)
(it, is, below perhaps understandable)
(it, below is understandable Given, approach of court)
(parties, briefed, merits)
(parties, underlying merits at, length)
(it, below is understandable Given, approach)
(parties, merits at, length)
(parties, essentially briefed, underlying merits)
(it, is, below understandable)
(it, is perhaps understandable Given, approach)
(it, below is perhaps understandable Given, approach of court)
(parties, essentially briefed, merits)
(it, below is perhaps understandable Given, approach)
(parties, briefed, underlying merits)
(parties, essentially briefed, merits at length)
(it, is understandable Given, approach)
(it, is, perhaps understandable)
(parties, briefed, merits at length)
(it, is perhaps understandable Given, approach of court)
(parties, essentially briefed, underlying merits at length)
(T rial counsel, rendered, deficient performance)
(T rial counsel, rendered, performance)
(T counsel, rendered performance under, Strickland)
(T counsel, rendered, deficient performance)
(T counsel, rendered, performance)
(T rial counsel, rendered performance under, Strickland)
(reasonable probability, id. is at, T)
(reasonable probability, is at, T)
(Dr. Quijano 's race-as-dangerousness opinion, swayed judgment in, favor of death)
(Dr. Quijano 's race-as-dangerousness opinion, swayed, judgment)
(Dr. Quijano, has, race-as-dangerousness opinion)
(probability, id. is at, T)
(Dr. Quijano 's race-as-dangerousness opinion, judgment of, jurors)
(probability, is at, T)
(Dr. Quijano 's race-as-dangerousness opinion, swayed, judgment of jurors)
(Dr. Quijano 's race-as-dangerousness opinion, swayed judgment in, favor)
(petitioner, of, case)
(we, think at, juncture)
(Buck, has, request for COA)
(District Court, has, procedural holding)
(District Court, has, conclusion)
(Buck 's request, raised, two questions)
(Buck 's constitutional claim, failed on, merits)
(Buck, has, constitutional claim)
(Buck 's claim, failed on, merits)
(District Court, with, determination)
(Sixth Amendment right, is right to, assistance of counsel)
(Sixth Amendment right, is right to, effective assistance of counsel)
(Sixth Amendment right, is right to, effective assistance)
(Sixth Amendment right, is, right)
(Sixth Amendment right, is right to, assistance)
(686, at Strickland is, 466 U. S.)
(counsel, has, deficient performance)
(counsel 's performance, caused, him prejudice)
(counsel 's deficient performance, caused, him prejudice)
(Strickland, has, first prong)
(Strickland 's first prong, sets, bar)
(Strickland 's prong, sets, high bar)
(Strickland 's prong, sets, bar)
(Strickland 's first prong, sets, high bar)
(defense lawyer, navigating, criminal proceeding)
(defense lawyer, navigating, proceeding)
(lawyer, has discharged, his responsibility)
(lawyer, has discharged so long, his constitutional responsibility)
(lawyer, has discharged long, his responsibility)
(lawyer, has discharged long, his constitutional responsibility)
(lawyer, has discharged, his constitutional responsibility)
(lawyer, has discharged so long, his responsibility)
(Strickland, has, first prong)
(Strickland 's prong, is, satisfied)
(lawyer, has, errors)
(Strickland 's first prong, is, satisfied)
(counsel, has, performance)
(counsel 's performance, fell outside, bounds)
(counsel 's performance, fell outside, bounds of competent representation)
(counsel 's performance, fell in, case)
(counsel 's performance, fell outside, bounds of representation)
(trial, during, penalty phase)
(Buck, act violently in, future)
(Buck, was, likely)
(Dr. Quijano 's report, reflected, view)
(Dr. Quijano, has, report)
(Buck 's race, predisposed, him)
(Buck, act in, future)
(Buck, has, race)
(Buck 's race, disproportionately predisposed, him)
(Counsel, nevertheless called to, stand)
(Counsel, called to, stand)
(Counsel, specifically elicited, testimony about connection between Buck 's race)
(Counsel, put, Dr. Quijano 's expert report)
(Counsel, elicited, testimony about connection)
(Counsel, put, Dr. Quijano 's report)
(Counsel, specifically elicited, testimony about connection)
(Counsel, specifically elicited, testimony)
(Counsel, elicited, testimony)
(Buck, between, race)
(Dr. Quijano, has, expert report)
(Counsel, elicited, testimony about connection between Buck 's race)
(jury, make, finding of future dangerousness)
(it, could impose, death sentence)
(Dr. Quijano, has, report)
(Buck, of, skin)
(Dr. Quijano 's report, said in, effect)
(jury, make, finding)
(defendant, is, liable)
(defendant, be, future danger)
(It, be, would patently unconstitutional)
(It, be, would unconstitutional)
(defendant, be future danger because of, his race)
(Buck, has, case)
(litigant, must demonstrate, prejudice)
(result, been different for, counsel 's unprofessional errors)
(result, been, different)
(result, been different for, counsel 's errors)
(counsel, for, unprofessional errors)
(litigant, must also demonstrate, prejudice)
(Dr. Quijano, without, testimony on race)
(State, primarily emphasizes, brutality)
(State, primarily emphasizes, his lack of remorse)
(State, primarily emphasizes, his lack)
(Buck, of, crime)
(State, emphasizes, brutality)
(State, emphasizes, brutality of Buck 's crime)
(State, emphasizes brutality, arguing)
(State, primarily emphasizes, brutality of Buck 's crime)
(State, primarily emphasizes brutality, arguing)
(State, emphasizes, his lack)
(State, emphasizes, his lack of remorse)
(crime, has, vicious nature)
(crime 's vicious nature, calls for, sentence of death)
(crime 's vicious nature, calls for, sentence)
(crime 's nature, calls for, sentence)
(crime 's nature, calls for, sentence of death)
(curiam, per S. is, 2009)
(Wong, S. per, curiam)
(it, is probable notwithstanding, nature)
(his behavior, is in, its aftermath)
(it, is reasonably probable notwithstanding, nature)
(proceeding, had, counsel rendered competent representation)
(considerations, convince, us)
(it, is, reasonably probable)
(proceeding, had, counsel representation)
(several considerations, however convince, us)
(it, is probable notwithstanding, nature of Buck 's crime)
(considerations, however convince, us)
(it, is reasonably probable notwithstanding, nature of Buck 's crime)
(Buck, of, crime)
(it, is, probable)
(several considerations, convince, us)
(proceeding, had, counsel competent representation)
(proceeding, had, counsel rendered representation)
(Buck, in, sentencing)
(Dr. Quijano, testified at, issue in Buck 's sentencing)
(Dr. Quijano, testified at, issue)
(issue, is in, Buck 's sentencing)
(Dr. Quijano, testified on, point)
(Dr. Quijano, testified on, key point)
(jury, True was asked, decide)
(Buck, be, future danger)
(mitigating circumstances, nevertheless justified, sentence of life imprisonment)
(jury, was asked, decide)
(circumstances, justified, sentence)
(circumstances, justified, sentence of life imprisonment)
(jury, was, asked)
(mitigating circumstances, justified, sentence)
(circumstances, sentence of, life imprisonment)
(mitigating circumstances, justified, sentence of life imprisonment)
(circumstances, nevertheless justified, sentence)
(Buck, was, likely)
(mitigating circumstances, nevertheless justified, sentence)
(mitigating circumstances, sentence of, life imprisonment)
(jury, decide, two issues)
(jury, was, True asked)
(circumstances, nevertheless justified, sentence of life imprisonment)
(proceeding, focus of was, question)
(proceeding, focus of was, first question)
(focus, was on, first question)
(focus, was on, question)
(Much, was directed to, future dangerousness)
(penalty phase testimony, Much of were, summations for sides)
(Much, were summations for, sides)
(Much, was, directed)
(Much, was directed, summations for sides)
(jury, consistent with, focus of parties)
(jury consistent, see, expert reports)
(jury, see, reports on dangerousness)
(jury, see, expert reports on dangerousness)
(jury, see, reports)
(jury consistent, asked during, deliberations)
(jury consistent, see, reports on dangerousness)
(jury, asked during, deliberations)
(jury, see, expert reports)
(jury consistent, see, reports)
(jury, consistent with, focus)
(jury consistent, see, expert reports on dangerousness)
(inquiry, Deciding, issue)
(unusual inquiry, Deciding, key issue)
(unusual inquiry, Deciding, key issue of Buck 's dangerousness)
(Deciding, key issue of, Buck 's dangerousness)
(Buck, of, dangerousness)
(Deciding, issue of, Buck 's dangerousness)
(inquiry, Deciding, issue of Buck 's dangerousness)
(inquiry, Deciding, key issue)
(unusual inquiry, Deciding, issue of Buck 's dangerousness)
(unusual inquiry, Deciding, issue)
(inquiry, Deciding, key issue of Buck 's dangerousness)
(jurors, render, predictive judgment)
(jurors, render, judgment)
(romantic relationships, is with, women)
(Buck 's violent acts, had occurred outside of, prison)
(Buck 's prior acts, had occurred outside of, prison)
(Buck 's acts, had occurred outside of, prison)
(Buck, has, prior violent acts)
(Buck 's prior violent acts, had occurred outside of, prison)
(life, is in, prison)
(changes, minimize, prospect)
(changes, minimize, prospect of future dangerousness)
(changes, prospect of, future dangerousness)
(Buck, of, skin)
(Buck, be, would black)
(Buck, be, would always black)
(it, was, evidence)
(it, was, potent evidence)
(Dr. Quijano 's testimony, appealed to, powerful stereotype)
(Dr. Quijano 's testimony, appealed to, racial stereotype)
(Dr. Quijano 's testimony, appealed to, powerful racial stereotype)
(Dr. Quijano, has, testimony)
(Dr. Quijano 's testimony, appealed to, stereotype)
(combination, is with, substance of jury 's inquiry)
(jury, of, inquiry)
(itself, coincided precisely with, central question)
(Dr. Quijano 's opinion, coincided precisely with, noxious strain)
(Dr. Quijano 's opinion, coincided precisely with, strain)
(Dr. Quijano 's opinion, coincided with, noxious strain)
(itself, coincided with, question)
(Dr. Quijano 's opinion, coincided with, strain)
(Dr. Quijano, has, opinion)
(itself, coincided precisely with, question)
(itself, coincided with, question at sentencing)
(itself, coincided precisely with, question at sentencing)
(itself, coincided with, central question at sentencing)
(itself, coincided precisely with, central question at sentencing)
(Dr. Quijano 's opinion, coincided precisely with, particularly noxious strain)
(itself, coincided with, central question)
(Dr. Quijano 's opinion, coincided with, particularly noxious strain)
(support, making decision on, basis)
(support, making decision on, basis of race)
(support, making, decision on life)
(support, making, decision)
(effect, was heightened due to, source)
(effect, was heightened due to, source of testimony)
(effect, was, heightened)
(Dr. Quijano, took stand as, medical expert)
(Dr. Quijano, took stand as, expert)
(court, has, imprimatur)
(Dr. Quijano, took, stand)
(he, held doctorate in, clinical psychology)
(he, been appointed by, trial judge at expense)
(he, conducted evaluations in, some 70 capital murder cases)
(he, held, doctorate)
