(November 29 2016, Decided at_time, March 28 2017)
(CCA, retained, Briseno 's instructions)
(Briseno, has, instructions)
(AAIDD, has, positions regarding diagnosis of intellectual disability)
(AAIDD 's positions, changed since, Atkins)
(i t, may, may true)
(CCA, Thus retained, Briseno 's instructions)
(S. W., 3d at, 486-487)
(470 S. W., 3d at, 486-487)
(medical community, by, diagnostic framework)
(Moore, prove, intellectual functioning)
(Moore, prove, subaverage intellectual functioning)
(Moore, prove, subaverage functioning)
(Moore, prove, significantly subaverage intellectual functioning)
(Moore, failed, prove)
(CCA first, Employing, Briseno)
(Moore, prove, functioning)
(Moore, prove, significantly subaverage functioning)
(S. W., 3d at, 514-519)
(470 S. W., 3d at, 514-519)
(CCA, limited, its appraisal to Moore 's scores of 78)
(Moore, to, scores of 78)
(CCA, limited, its appraisal to Moore 's scores)
(CCA, limited, its appraisal)
(CCA, limited in, 1989)
(court, discounted, end of standard-error range)
(court, discounted, lower end of standard-error range associated with scores)
(court, discounted, end of standard-error range associated with scores)
(court, discounted, end of range associated with scores)
(court, discounted, lower end of standard-error range)
(court, discounted, end)
(court, discounted, lower end)
(court, discounted, lower end of standard-error range associated)
(court, discounted, lower end of range associated)
(court, discounted, lower end of range)
(court, discounted, end of range)
(court, discounted, end of standard-error range associated)
(court, discounted, lower end of range associated with scores)
(court, discounted, end of range associated)
(court, Regarding, score of 74)
(court, Regarding, score)
(Moore, has, history of academic failure)
(470 S. W., 3d at, 519)
(S. W., 3d at, 519)
(Moore, has, scores)
(significant limitations, is in, adaptive functioning)
(he, prove, significant limitations)
(he, suffers from, intellectual functioning)
(he, prove, limitations in functioning)
(he, suffers from, sub-average functioning)
(he, suffers from, sub-average general functioning)
(he, suffers from, significantly sub-average general functioning)
(he, suffers from, general intellectual functioning)
(he, suffers from, significantly sub-average general intellectual functioning)
(he, prove, limitations)
(he, suffers from, general functioning)
(he, suffers from, significantly sub-average functioning)
(he, suffers from, significantly sub-average intellectual functioning)
(he, suffers from, sub-average intellectual functioning)
(he, prove, significant limitations in adaptive functioning)
(he, prove, significant limitations in functioning)
(he, prove, limitations in adaptive functioning)
(he, suffers from, sub-average general intellectual functioning)
(he, suffers from, functioning)
(Moore 's test scores, fell below, mean)
(Moore, has, experts)
(Moore, has, adaptive-functioning test scores)
(Moore 's adaptive-functioning test scores, fell below, mean)
(State, has, expert)
(check, using, microwave oven)
(test, writing, check)
(470 S. W., 3d at, 521-522)
(S. W., 3d at, 521-522)
(expert, Instead emphasized, Moore 's strengths in school)
(expert, Instead emphasized, Moore 's strengths)
(expert, Instead emphasized, Moore 's adaptive strengths)
(expert, emphasized, Moore 's adaptive strengths)
(expert, Instead emphasized, Moore 's adaptive strengths in school)
(expert, emphasized, Moore 's strengths)
(Moore, has, adaptive strengths in school)
(Moore 's adaptive strengths, is in, school)
(expert, emphasized, Moore 's adaptive strengths in school)
(expert, emphasized, Moore 's strengths in school)
(CCA, credited, state expert 's appraisal)
(state expert, has, appraisal)
(Moore, on, adaptive weaknesses)
(habeas court, concentrating on, Moore 's weaknesses)
(habeas court, concentrating on, Moore 's adaptive weaknesses)
(Moore, had demonstrated, developing skills in prison)
(CCA, spelled out, living)
(CCA, spelled out, living on streets)
(Moore, had demonstrated, developing skills)
(developing skills, is in, prison)
(pool, mowing, lawns)
(CCA, living on, streets)
(pool, mowing lawns for, money)
(Moore, had demonstrated, skills in prison)
(Moore, had demonstrated, skills)
(Moore, of, adaptive limitations)
(CCA, history of, failure)
(CCA, suggested Among, causes for Moore 's adaptive deficits)
(CCA, suggested Among, causes)
(CCA, were, abuse-filled)
(Moore, for, adaptive deficits)
(CCA, were, abuse-filled childhood)
(CCA, were abuse-filled childhood at, school)
(CCA, suggested Among, causes for Moore 's deficits)
(CCA, history of, academic failure)
(CCA, were, childhood)
(CCA, were childhood at, school)
(Moore 's significant improvement, is in, CCA 's view)
(CCA, in, view)
(Moore, has, significant improvement in prison in view)
(Moore 's significant improvement, is in, prison)
(court, examined, each of seven Briseno evidentiary factors)
(court, see, supra)
(factors, weigh, finding)
(Moore, satisfied, relatedness requirement)
(factors, weigh heavily, finding)
(court, examined, each seven Briseno evidentiary factors)
(470 S. W., 3d at, 526-527)
(S. W., 3d at, 526-527)
(courts, consult, current standards)
(courts, consult, medical standards)
(courts, consult, standards)
(courts, consult, current medical standards)
(courts, consult standards, determine)
(470 S. W., 3d at, 530)
(S. W., 3d at, 530)
(She, criticized, majority)
(She, criticized majority, relying id. id.)
(She, criticized majority, relying on manuals superseded in medical community id. id.)
(She, criticized majority, relying on manuals superseded in medical community)
(She, relying id. id. on, manuals superseded in community)
(habeas court, has, credibility determinations)
(She, relying at, 538-539)
(She, relying on, manuals superseded)
(She, relying id. id. on, manuals)
(She, relying id. id. on, manuals superseded in medical community)
(She, criticized majority, relying on manuals superseded in medical community id.)
(She, criticized majority, relying on manuals superseded in medical community id.)
(She, relying id. id. at, 538-539)
(She, criticized majority, relying on manuals superseded in community)
(She, criticized majority, relying on manuals id.)
(She, criticized majority, relying on manuals id.)
(She, relying on, manuals)
(She, relying id. at, 538-539)
(She, relying id. at, 538-539)
(She, criticized majority, relying on manuals id. id.)
(She, criticized majority, relying on manuals superseded id. id.)
(She, criticized majority, relying on manuals superseded in community id. id.)
(She, relying id. id. on, manuals superseded)
(She, criticized majority, relying id.)
(She, criticized majority, relying id.)
(She, criticized majority, relying)
(She, relying id. on, manuals superseded)
(She, relying id. on, manuals superseded)
(She, relying id. on, manuals superseded in medical community)
(She, relying id. on, manuals superseded in medical community)
(She, relying id. on, manuals)
(She, relying id. on, manuals)
(She, relying on, manuals superseded in community)
(She, criticized majority, relying on manuals superseded id.)
(She, criticized majority, relying on manuals superseded id.)
(She, criticized majority, relying on manuals superseded in community id.)
(She, criticized majority, relying on manuals superseded in community id.)
(She, criticized majority, relying on manuals)
(She, relying on, manuals superseded in medical community)
(She, relying id. on, manuals superseded in community)
(She, relying id. on, manuals superseded in community)
(She, criticized majority, relying on manuals superseded)
(they, deviate from, current consensus)
(they, deviate from, medical consensus)
(Judge Alcala, questioned, legitimacy of seven Briseno factors)
(Judge Alcala, questioned, legitimacy)
(Judge Alcala, recounting, criticism of factors)
(they, deviate from, current medical consensus)
(Judge Alcala, recounting, wide criticism of factors)
(Judge Alcala, recounting, criticism)
(Judge Alcala, recounting, wide criticism)
(they, deviate from, consensus)
(S. W., 3d at, 529-530)
(470 S. W., 3d at, 529-530)
(defendant, is, intellectually disabled)
(medical community, has, views)
(defendant, is, disabled)
(We, granted certiorari, determine)
(CCA 's adherence, comply with, Eighth Amendment)
(We, granted, certiorari)
(Court, has, precedents)
(CCA, has, adherence to superseded medical standards)
(Eighth Amendment, reaffirms, duty of government)
(Eighth Amendment, reaffirms, duty)
(evolving standards, to loo is, k)
(Constitution, has, protection of human dignity)
(___, at Hall is, 572 U. S.)
(State, has, power take)
(563-564, at Roper is, 543 U. S.)
(we, concluded in, Atkins)
(we, see, 536 U. S. at 318-320)
(we, runs up against, consensus against practice)
(death penalty, be, imposed)
(we, Executing, individuals)
(we, creates, risk)
(we, see, 536 U. S.)
(we, Executing, disabled individuals)
(we, Executing, intellectually disabled individuals)
(we, runs up against, consensus)
(we, runs up against, national consensus)
(we, runs up against, national consensus against practice)
(State, entertain, other evidence of intellectual disability)
(medical community, by, diagnostic framework)
(determination, be, informed)
(determination, be informed by, medical community 's framework)
(determination, be informed by, community 's framework)
(determination, be informed by, community 's diagnostic framework)
(determination, be informed by, medical community 's diagnostic framework)
(We, relied on, most recent of leading manuals)
(We, relied on, most recent of leading diagnostic manuals)
(We, relied on, recent)
(We, relied on, most recent)
(We, relied on, recent of manuals)
(We, relied on, most recent of diagnostic manuals)
(We, relied on, recent of diagnostic manuals)
(We, relied on, recent of leading diagnostic manuals)
(We, relied on, most recent of manuals)
(We, relied on, recent of leading manuals)
(___, at ___ is, ___)
(ways, is with, practices in other States)
(Florida, parted, ways with practices in other States)
(practices, is in, other States)
(Florida, parted, ways with practices in States)
(Florida, parted, ways)
(Florida, parted, ways with practices)
(neither, does, our precedent license disregard)
(neither, does, our precedent license disregard of standards)
(neither, does, our precedent license disregard of current standards)
(neither, does, our precedent license disregard of medical standards)
(neither, does, our precedent license disregard of current medical standards)
(Moore, has, IQ scores)
(CCA 's conclusion, is irreconcilable with, Hall)
(CCA, has, conclusion)
(IQ score, is, close above)
(IQ score, is, where close to above)
(IQ score, is, where close)
(test, for, standard error of measurement)
(IQ score, is, close to)
(IQ score, is, where close above)
(courts, account for, test 's error)
(IQ score, is, where close to)
(courts, account for, test 's standard error)
(IQ score, is, close)
(IQ score, is, close to above)
(courts, account for, test 's standard error of measurement)
(courts, account for, test 's error of measurement)
(measurement, error of is, fact)
(error, is, statistical)
(standard error, is fact, we explained in Hall)
(error, is, statistical fact)
(standard error, is, statistical fact)
(standard error, is fact, we explained)
(measurement, standard error of is, statistical fact)
(standard error, is statistical fact, we explained)
(standard error, is, fact)
(error, is fact, we explained in Hall)
(error, is, fact)
(measurement, standard error of is, fact)
(measurement, error of is, statistical fact)
(error, is statistical fact, we explained in Hall)
(statistical fact, reflection of, inherent imprecision)
(error, is fact, we explained)
(we, explained in, Hall)
(error, is statistical fact, we explained)
(standard error, is statistical fact, we explained in Hall)
(imprecision, means For, purposes of IQ tests)
(individual, has, true IQ score)
(individual 's score, is, understood)
(individual 's score, is, best understood)
(individual, has, score)
(imprecision, is in, testing instrument)
(imprecision, means For, purposes of most IQ tests)
(test, has, standard error of measurement)
(individual, has, intellectual functioning)
(User, has, Guide)
(470 S. W., 3d at, 519)
(State, has, retained expert)
(S. W., 3d at, 519)
(S. W., 3d, State 's expert acknowledged)
(Moore 's score, yields, range)
(Moore 's score, yields, range of 69 to 79)
(Moore, has, score of 74 adjusted for standard error of measurement)
(470 S. W., 3d, State 's retained expert acknowledged)
(470 S. W., 3d, State 's expert acknowledged)
(S. W., 3d, State 's retained expert acknowledged)
(CCA, move on, consider)
(CCA, had, lower end of Moore 's score range falls)
(Moore, of, score range)
(CCA, had, end of Moore 's score range falls)
(CCA, had, lower end falls)
(CCA, had, end falls)
(CCA, had, lower end of Moore 's score range falls at 70)
(lower end, falls at, 70)
(Moore, has, adaptive functioning)
(CCA, had, end falls at 70)
(CCA, had, lower end falls at 70)
(CCA, had, end of Moore 's score range falls at 70)
(end, falls at, 70)
(standards, would require, examine)
(current standards, would require at, Alcala)
(medical standards, would still require, examine)
(medical standards, would require at, Alcala)
(standards, would still require at, Alcala)
(standards, would still require, examine)
(current medical standards, would require, examine)
(current standards, would still require, examine)
(current medical standards, would require at, Alcala)
(medical standards, would still require at, Alcala)
(current standards, would still require at, Alcala)
(current standards, would require, examine)
(current medical standards, would still require at, Alcala)
(medical standards, would require, examine)
(standards, would require at, Alcala)
(current medical standards, would still require, examine)
(CCA, considered, factors)
(CCA, considered, factors unique)
(CCA, properly considered, factors unique)
(CCA, properly considered, factors)
(factors, unique to, Moore)
(CCA, considered, factors unique to Moore)
(CCA, properly considered, factors unique to Moore)
(470 S. W., 3d at, 519)
(S. W., 3d at, 519)
(CCA, move on, consider)
(we, requiring, CCA)
(adaptive, functioning in, light of his IQ evidence)
(adaptive, functioning in, light)
(experts, would consider, evidence)
(evidence, experts in, field)
(cutoff, took, IQ score)
(cutoff, took IQ score as, final of defendant 's capacity)
(experts, is in, field)
(Florida, has, strict IQ cutoff)
(cutoff, took IQ score as, final of defendant 's intellectual capacity)
(Hall, invalidated, Florida 's IQ cutoff)
(experts, would consider, other evidence)
(Hall, invalidated, Florida 's strict IQ cutoff)
(defendant, of, intellectual capacity)
(cutoff, took IQ score as, final)
(other evidence, experts in, field)
(Moore, on, IQ score)
(individual 's IQ score, falls within, clinically established range)
(individual 's IQ score, falls within, established range)
(individual 's IQ score, falls for, intellectual-functioning deficits)
(courts, consider, other evidence)
(individual 's IQ score, falls for, deficits)
(test, for, standard error)
(line, is with, Hall)
(individual 's IQ score, falls within, range)
(individual, has, IQ score adjusted for standard error)
(courts, continue, inquiry)
(courts, consider, evidence)
(court, claimed, apply)
(CCA, has, consideration of adaptive functioning)
(CCA 's consideration, prevailing, clinical standards)
(Moore, of, adaptive functioning)
(CCA 's consideration, prevailing, standards)
(CCA, overemphasized, Moore 's adaptive strengths)
(CCA, overemphasized, Moore 's strengths)
(CCA, overemphasized, Moore 's perceived adaptive strengths)
(Moore, has, perceived adaptive strengths)
(CCA, overemphasized, Moore 's perceived strengths)
(Moore, lived on, streets)
(CCA, played pool for, money)
(CCA, mowed, lawns)
(CCA, played, pool)
(470 S. W., 3d at, 526-527)
(S. W., 3d at, 526-527)
(Moore 's strengths, constituted, evidence)
(Moore 's strengths, constituted, evidence adequate)
(Moore, has, adaptive strengths in view)
(Moore 's adaptive strengths, constituted, evidence adequate)
(Moore, of, adaptive deficits)
(CCA, in, view)
(Moore 's adaptive strengths, constituted, evidence)
(Moore 's adaptive strengths, is in, CCA 's view)
(470 S. W., 3d at, 526-527)
(S. W., 3d at, 526-527)
(medical community, focuses, inquiry)
(community, focuses, adaptive-functioning inquiry on adaptive deficits)
(community, focuses, adaptive-functioning inquiry on deficits)
(community, focuses, adaptive-functioning inquiry)
(medical community, focuses, adaptive-functioning inquiry on deficits)
(medical community, focuses, adaptive-functioning inquiry on adaptive deficits)
(medical community, focuses, inquiry on deficits)
(community, focuses, inquiry on deficits)
(community, focuses, inquiry)
(community, focuses, inquiry on adaptive deficits)
(medical community, focuses, inquiry on adaptive deficits)
(medical community, focuses, adaptive-functioning inquiry)
(disabled persons, have, strengths)
(disabled persons, have, strengths)
(persons, have, strengths in one aspect)
(disabled persons, have, strengths in adaptive skill areas)
(persons, have, strengths)
(persons, have, strengths)
(disabled persons, strengths in, skill areas)
(strengths, strengths in, one aspect)
(persons, have, strengths in adaptive skill areas)
(persons, strengths in, social capabilities)
(persons, strengths in, skill areas)
(disabled persons, have, strengths in one aspect)
(persons, strengths in, one aspect)
(disabled persons, strengths in, social capabilities)
(strengths, is in, social capabilities)
(strengths, is in, one aspect of adaptive skill)
(strengths, strengths in, adaptive skill areas)
(disabled persons, have, strengths in skill areas)
(strengths, is in, adaptive skill areas)
(persons, strengths in, adaptive skill areas)
(persons, have, strengths in skill areas)
(significant limitations, is in, conceptual adaptive skills)
(strengths, strengths in, skill areas)
(disabled persons, strengths in, adaptive skill areas)
(persons, strengths in, capabilities)
(47, at E.g. is, AAIDD-11)
(disabled persons, strengths in, capabilities)
(disabled persons, strengths in, one aspect)
(Moore 's improved behavior, is in, prison)
(CCA, stressed, Moore 's improved behavior in prison)
(CCA, stressed, Moore 's improved behavior)
(CCA, stressed, Moore 's behavior)
(Moore, has, improved behavior in prison)
(CCA, stressed, Moore 's behavior in prison)
(470 S. W., 3d at, 526-527)
(S. W., 3d at, 526-527)
(behavior, is in, jail)
(his deficits, were, related)
(Moore 's record, detracted from, determination)
(his intellectual deficits, were, related)
(Moore, has, record of academic failure along childhood abuse)
(count, is in, medical community)
(CCA, requiring, Moore)
(CCA, departed from, practice)
(CCA, also departed from, practice)
(CCA, departed from, clinical practice)
(CCA, also departed from, clinical practice)
(Moore 's problems, is in, kindergarten)
(Moore 's problems, were, at 526 more likely cause by problems)
(Moore 's problems, were more likely cause by, problems)
(Moore 's problems, were likely cause by, emotional problems than by intellectual disability)
(Moore 's problems, were, at 526 likely cause by emotional problems than by intellectual disability)
(Moore 's problems, were, at 526 more likely cause by emotional problems than by disability)
(Moore 's problems, were likely cause by, problems than by disability)
(Moore 's problems, were, more likely cause)
(Moore 's problems, were likely cause by, problems than by intellectual disability)
(Moore 's problems, were, at 526 more likely cause by problems than by disability)
(Moore 's problems, were, at 526 more likely cause by emotional problems)
(Moore 's problems, were more likely cause at, 526)
(Moore 's problems, were more likely cause by, emotional problems than by intellectual disability)
(Moore 's problems, were, at 526 likely cause by problems than by disability)
(Moore 's problems, were, likely cause)
(Moore 's problems, were more likely cause by, problems than by intellectual disability)
(Moore 's problems, were likely cause at, 526)
(Moore 's problems, were more likely cause by, emotional problems)
(Moore 's problems, were likely cause by, emotional problems than by disability)
(Moore 's problems, were likely cause by, problems)
(Moore 's problems, were, at 526 more likely cause by problems than by intellectual disability)
(Moore, has, problems in kindergarten)
(Moore 's problems, were more likely cause by, emotional problems than by disability)
(Moore 's problems, were, at 526 likely cause by problems)
(Moore 's problems, were, at 526 likely cause by emotional problems)
(Moore 's problems, were, at 526 likely cause by problems than by intellectual disability)
(Moore 's problems, were, at 526 more likely cause by emotional problems than by intellectual disability)
(Moore 's problems, were, at 526 likely cause by emotional problems than by disability)
(emotional problems, by cause is, d)
(Moore 's problems, were likely cause by, emotional problems)
(526, at cause is, d)
(Moore 's problems, were more likely cause by, problems than by disability)
(conditions, encountered in, individuals)
(Coexisting conditions encountered, have, have described in clinical literature)
(conditions encountered, have, have described in literature)
(Coexisting conditions, encountered in, intellectually disabled individuals)
(conditions, encountered in, disabled individuals)
(Coexisting conditions encountered, have, have described)
(Coexisting conditions, frequently encountered in, individuals)
(Coexisting conditions, frequently encountered in, intellectually disabled individuals)
(conditions encountered, have, have described in clinical literature)
(Coexisting conditions, encountered in, individuals)
(Coexisting conditions, frequently encountered in, disabled individuals)
(conditions, frequently encountered in, individuals)
(Coexisting conditions, encountered in, disabled individuals)
(conditions encountered, have, have described)
(conditions, frequently encountered in, disabled individuals)
(conditions, frequently encountered in, intellectually disabled individuals)
(conditions, encountered in, intellectually disabled individuals)
(Coexisting conditions encountered, have, have described in literature)
(personality disorder, is in, short)
(CCA, has, attachment to seven Briseno evidentiary factors)
(Moore, of, adaptive functioning)
(persons, be, executed)
(persons, is with, intellectual disability)
(Briseno factors, creat risk in, operation)
(Briseno factors, creat, unacceptable risk)
(Briseno factors, creat risk By, design)
(Briseno factors, creat, risk)
(persons, be, treated under clinical standards than under Texas ' capital system)
(persons, be, treated differently under clinical standards than under Texas ' capital system)
(persons, be, treated)
(CCA, defined, its objective)
(persons, be treated differently under, standards)
(persons, be, treated under standards than under Texas ' capital system)
(persons, be treated under, clinical standards)
(persons, be treated differently under, under Texas ' capital system)
(persons, be treated under, under Texas ' capital system)
(persons, be treated differently under, clinical standards)
(persons, be, treated differently under standards than under Texas ' capital system)
(persons, be, treated differently)
(persons, be treated under, standards)
(persons, is with, mild intellectual disability)
(they, may fall outside, Texas citizens ' consensus)
(levels, see, Hall)
(563-564, at Roper is, 543 U. S.)
(308, at Atkins is, 536 U. S.)
(Mild levels, see, Hall)
(135 S. W., 3d at, 8)
(135 S. W., see, supra)
(S. W., 3d at, 8)
(S. W., see, supra)
(S. W., see supra at, 5-6)
(135 S. W., see supra at, 5-6)
(his, family, employers)
(his, family, teachers)
(his, family, friends)
(his, family, authorities)
(135 S. W., 3d at, 8)
(S. W., 3d at, 8)
(Moore, to, education)
(CCA, referred in, normal classrooms during his school career)
(CCA, Addressing here, question)
(CCA, referred in, classrooms)
(father, has, reactions to academic challenges)
(CCA, Addressing, question)
(Moore, of, intellectual abilities)
(CCA, referred in, normal classrooms)
(sister, has, perceptions of intellectual abilities)
(CCA, referred to, Moore 's education)
(CCA, referred in, classrooms during his school career)
(470 S. W., 3d at, 526-527)
(S. W., 3d at, 526-527)
(profession, counter, stereotypes)
(medical profession, counter, stereotypes of disabled)
(profession, counter, lay stereotypes of intellectually disabled)
(medical profession, counter, stereotypes)
(profession, counter, lay stereotypes)
(medical profession, counter, lay stereotypes of intellectually disabled)
(profession, counter, stereotypes of disabled)
(medical profession, counter, stereotypes of intellectually disabled)
(profession, counter, stereotypes of intellectually disabled)
(profession, counter, lay stereotypes of disabled)
(medical profession, counter, lay stereotypes of disabled)
(medical profession, counter, lay stereotypes)
(stereotypes, should spark, skepticism .9)
(Briseno factors, are outlier in, comparison to other States ' handling to Texas ' own practices in contexts)
(Briseno factors, are outlier in, comparison to States ' handling to Texas ' own practices)
(Briseno factors, are outlier in, comparison to Texas ' own practices in other contexts)
(Briseno factors, are outlier in, comparison to other States ' handling of intellectual-disability pleas to Texas ' own practices in other contexts)
(Briseno factors, are outlier in, comparison to States ' handling of intellectual-disability pleas to Texas ' practices in other contexts)
(Briseno factors, are outlier in, comparison to other States ' handling to Texas ' own practices)
(Briseno factors, are outlier in, comparison to Texas ' own practices in contexts)
(Briseno factors, are, outlier)
(Briseno factors, are outlier in, comparison to States ' handling of intellectual-disability pleas to Texas ' practices)
(Briseno factors, are outlier in, comparison to States ' handling to Texas ' practices in contexts)
(Briseno factors, are outlier in, comparison to States ' handling to Texas ' own practices in other contexts)
(Briseno factors, are outlier in, comparison to States ' handling of intellectual-disability pleas)
(Briseno factors, are outlier in, comparison to other States ' handling of intellectual-disability pleas to Texas ' practices in other contexts)
(Briseno factors, are outlier in, comparison to Texas ' practices)
(Briseno factors, are outlier in, comparison to Texas ' practices in contexts)
(Briseno factors, are outlier in, comparison to other States ' handling of intellectual-disability pleas to Texas ' practices in contexts)
(Briseno factors, are outlier in, comparison to other States ' handling of intellectual-disability pleas to Texas ' own practices in contexts)
(Briseno factors, are outlier in, comparison to other States ' handling of intellectual-disability pleas)
(Briseno factors, are outlier in, comparison to other States ' handling to Texas ' practices)
(Briseno factors, are outlier in, comparison to Texas ' own practices)
(Briseno factors, are outlier in, comparison to States ' handling to Texas ' practices)
(Briseno factors, are outlier in, comparison to other States ' handling of intellectual-disability pleas to Texas ' own practices)
(Briseno factors, are outlier in, comparison to other States ' handling to Texas ' practices in contexts)
(Briseno factors, are outlier in, comparison to other States ' handling to Texas ' practices in other contexts)
(Briseno factors, are outlier in, comparison to States ' handling to Texas ' practices in other contexts)
(Briseno factors, are outlier in, comparison to States ' handling of intellectual-disability pleas to Texas ' own practices in contexts)
(Briseno factors, are outlier in, comparison to States ' handling)
(Briseno factors, are outlier in, comparison to States ' handling of intellectual-disability pleas to Texas ' own practices)
(Briseno factors, are outlier in, comparison to States ' handling of intellectual-disability pleas to Texas ' practices in contexts)
(Briseno factors, are outlier in, comparison to Texas ' practices in other contexts)
(Texas ' own practices, is in, other contexts)
(outlier, is in, comparison)
(Briseno factors, are outlier in, comparison to other States ' handling to Texas ' own practices in other contexts)
(Briseno factors, are outlier in, comparison to States ' handling of intellectual-disability pleas to Texas ' own practices in other contexts)
(Briseno factors, are outlier in, comparison)
(Briseno factors, are outlier in, comparison to other States ' handling of intellectual-disability pleas to Texas ' practices)
(Briseno factors, are outlier in, comparison to States ' handling to Texas ' own practices in contexts)
(Briseno factors, are outlier in, comparison to other States ' handling)
(consensus, provides, indicia)
(consensus, is in, States)
(consensus, provides, indicia of society 's standards)
(consensus, provides, objective indicia of society 's standards)
(consensus, provides indicia in, context of Eighth Amendment)
(society, of, standards)
(consensus, provides, objective indicia)
(consensus, provides indicia in, context)
(State, assess, students)
(State, assess, students for intellectual disabilities)
(State, assess, students for disabilities)
(State, requires, based on latest edition of DSM)
(State, requires within, even Texas ' criminal-justice system)
(State, requires, based on edition)
(State, requires, based)
(State, requires within, Texas ' criminal-justice system)
(State, requires, based on latest edition)
(State, requires, based on edition of DSM)
(States, have, flexibility)
(States, have discretion As, supra)
(States, have discretion at, 9)
(States, have discretion As, noted supra)
(States, have, unfettered discretion)
(States, have flexibility As, noted supra)
(States, have flexibility at, 9)
(States, enforcing, Atkins ' holding)
(States, have flexibility As, supra)
(States, have, discretion)
(___, at Hall is, 572 U. S.)
(complete autonomy, define disability, they wished)
(autonomy, define, disability)
(autonomy, define disability, they wished)
(Atkins, become, nullity)
(complete autonomy, define, disability)
(Eighth Amendment, has, protection of human dignity)
(complete autonomy, define, intellectual disability)
(autonomy, define, intellectual disability)
(community 's standards, supply, one constraint)
(community 's current standards, supply, one constraint)
(medical community, has, current standards)
(States ' leeway, is in, area)
(medical community 's standards, supply, one constraint)
(medical community 's current standards, supply, one constraint)
(current manuals, offer, best available description)
(manuals, offer, best available description)
(current manuals, offer, best description of disorders)
(manuals, offer, available description of mental disorders)
(AAIDD-11, best available description of, mental disorders)
(AAIDD-11, are, expressed)
(current manuals, offer, available description of mental disorders)
(manuals, offer, description of disorders)
(current manuals, offer, description of how mental disorders)
(manuals, offer, available description of disorders)
(AAIDD-11, available description of, disorders)
(AAIDD-11, description of, how mental disorders)
(current manuals, offer, available description of how mental disorders)
(description, are, expressed)
(manuals, offer, best description)
(AAIDD-11, best available description of, disorders)
(current manuals, offer, available description)
(AAIDD-11, offer, available description of disorders)
(AAIDD-11, offer, best description of mental disorders)
(AAIDD-11, available description of, how mental disorders)
(AAIDD-11, offer, available description of mental disorders)
(current manuals, offer, best description of how mental disorders)
(AAIDD-11, description of, mental disorders)
(AAIDD-11, offer, description)
(current manuals, offer, best available description of mental disorders)
(AAIDD-11, offer description at, xiv-xv)
(AAIDD-11, offer, description of mental disorders)
(manuals, offer, available description of how mental disorders)
(AAIDD-11, offer, description of how mental disorders)
(AAIDD-11, best description of, mental disorders)
(AAIDD-11, offer, available description)
(manuals, offer, best available description of mental disorders)
(current manuals, offer description at, xiv-xv)
(AAIDD-11, offer, best description of disorders)
(best description, are, expressed)
(manuals, offer, best description of mental disorders)
(manuals, offer, description of mental disorders)
(AAIDD-11, description of, disorders)
(current manuals, offer, available description of disorders)
(AAIDD-11, offer, best available description of mental disorders)
(AAIDD-11, offer, best description)
(manuals, offer, best description of disorders)
(AAIDD-11, offer, best description of how mental disorders)
(available description, are, expressed)
(AAIDD-11, offer, best available description of how mental disorders)
(manuals, offer description at, xiv-xv)
(manuals, offer, description of how mental disorders)
(current manuals, offer, description of mental disorders)
(current manuals, offer, best available description of how mental disorders)
(best available description, are, expressed)
(manuals, offer, description)
(current manuals, offer, description of disorders)
(manuals, offer, best description of how mental disorders)
(AAIDD-11, offer, best available description of disorders)
(AAIDD-11, best available description of, how mental disorders)
(AAIDD-11, available description of, mental disorders)
(current manuals, offer, best description of mental disorders)
(AAIDD-11, offer, best available description)
(current manuals, offer, best description)
(manuals, offer, available description)
(AAIDD-11, offer, available description of how mental disorders)
(current manuals, offer, description)
(manuals, offer, best available description of how mental disorders)
(manuals, offer, best available description of disorders)
(AAIDD-11, offer, description of disorders)
(AAIDD-11, best description of, how mental disorders)
(AAIDD-11, best description of, disorders)
(current manuals, offer, best available description of disorders)
(Moore, is disabled for, death penalty)
(Moore, is intellectually disabled for, death penalty)
(habeas court, applied standards, concluding)
(habeas court, applied, current medical standards)
(habeas court, applied, standards)
(habeas court, applied, current standards)
(habeas court, applied, medical standards)
(Moore, is, intellectually disabled)
(Moore, is, disabled)
(habeas court, applied standards In, Moore 's case)
(Moore, In, case)
(CCA, faulted habeas court for, disregarding)
(CCA, faulted, habeas court)
(CCA, has, case law)
(CCA, however faulted, habeas court)
(CCA, however faulted habeas court for, disregarding)
(470 S. W., 3d at, 486)
(S. W., 3d at, 486)
(it, adopted for, Atkins claims)
(it, adopted in, Briseno)
(it, adopted for, Atkins claims presented)
(it, adopted for, Atkins claims presented in Texas death-penalty cases)
(CCA, instead fastened, its intellectual-disability determination)
(CCA, fastened, its intellectual-disability determination)
(AAMR, to, 1992 definition of intellectual disability)
(habeas court, has, application of medical guidance)
(___, slip at, 19-20)
(___, slip at, 19-20)
(___, slip op. at, 19-20)
(medical community, of, diagnostic framework)
(CCA, inform, itself)
(it, laid out in, Briseno)
(CCA, has, analysis)
(Briseno, infected, CCA 's analysis)
(Briseno, pervasively infected, CCA 's analysis)
(judgment, is vacated For, reasons)
(judgment, is vacated For, reasons stated)
(case, is, remanded)
(judgment, is, vacated)
(It, is, ordered)
(It, is, so ordered)
(BOBBY JAMES MOORE, PETITIONER v., TEXAS)
(Justice Thomas, join, dissenting)
(Justice Alito, join, dissenting)
(related significant deficits, significantly subaverage intellectual functioning in, behavior)
(related significant deficits, significantly subaverage functioning in, adaptive behavior)
