(HOLT, DEPARTMENT OF, CORRECTION)
(compelling interest test, is satisfied through, application of law to person)
(sincere exercise, is, is substantially burdened)
(compelling interest test, is satisfied through, application of law)
(compelling interest test, is satisfied through, application of challenged law to person)
(interest test, is, satisfied)
(interest test, is satisfied through, application of challenged law)
(interest test, is satisfied through, application of law to person)
(compelling interest test, is satisfied through, application)
(RLUIPA, contemplates like, RFRA)
(interest test, is satisfied through, application)
(sincere exercise, is, is burdened)
(exercise, is, is substantially burdened)
(compelling interest test, is satisfied through, application to person)
(interest test, is satisfied through, application to person)
(___, at Lobby is, 573 U. S.)
(challenged government action, is in, particular context)
(RLUIPA, requires, us)
(alteration, is in, original)
(___, at Lobby is, supra)
(Department, of, policy)
(prisoners, use, their beards)
(interest, be, seriously compromised)
(interest, be, compromised)
(interest, allowing, grow)
(interest, be compromised, allowing)
(interest, allowing, inmate)
(interest, be seriously compromised, allowing)
(it, was, almost preposterous)
(Magistrate Judge, observed, noted)
(it, was, preposterous)
(item, would have, small)
(inmate, hide, contraband)
(Magistrate Judge, dismissed, possibility)
(Department, to, assertion)
(contraband, be hidden in, beard)
(contraband, be hidden in, short beard)
(contraband, be, hidden)
(it, is obligation of, courts)
(it, is, obligation)
(RLUIPA, makes like, RFRA)
(exceptions, are required under, test set forth by Congress)
(exceptions, are required under, test set by Congress)
(exceptions, are required under, test set forth)
(exceptions, are required under, test set)
(RLUIPA, makes, clear)
(exceptions, are, required)
(434, at Centro is, supra)
(test, requires, Department)
(prisons, evaluating, likely effects)
(evaluating, likely effects of, altering prison rules)
(prisons, evaluating, likely effects of prison rules)
(prisons, evaluating, likely effects of altering prison rules)
(evaluating, likely effects of, prison rules)
(courts, should respect, expertise)
(respect, apply, rigorous standard)
(respect, apply, RLUIPA 's rigorous standard)
(Department, has, interest rooting)
(it, swallow, argument)
(it, is, hard)
(Department, could make, showing)
(Department, Even could make, showing)
(means, achieving, its goal)
(other means, achieving, its desired goal)
(other means, achieving, its goal)
(it, requires, government)
(means, achieving, its desired goal)
(___, at Lobby is, supra)
(Government, must use, it)
(it, simply searching, beard)
(it, simply searching, petitioner 's beard)
(inmates, is with, dermatological conditions)
(Department, searches, prisoners ' hair)
(it, examines, the)
(Department, searches, clothing)
(Department, already searches, prisoners ' hair)
(Department, already searches, clothing)
(it, presumably examines, the)
(risk, requiring, guards)
(razor, was, concealed)
(razor, was, concealed in beard)
(guards, search, prisoner 's beard)
(prisoner, has, beard)
(Department, has, interest eliminating)
(its grooming policy, is necessary to, interest)
(its policy, is necessary to, further compelling interest)
(its policy, is, necessary)
(its grooming policy, is, necessary)
(its policy, is necessary to, further interest)
(its policy, is necessary to, compelling interest)
(its policy, is necessary to, further additional interest)
(its grooming policy, is necessary to, further additional interest)
(its grooming policy, is necessary to, additional compelling interest)
(its grooming policy, is necessary to, further compelling interest)
(its grooming policy, is necessary to, further additional compelling interest)
(its policy, is necessary to, additional compelling interest)
(its grooming policy, is necessary to, additional interest)
(its policy, is necessary to, additional interest)
(its grooming policy, is necessary to, compelling interest)
(its grooming policy, is necessary to, further interest)
(its policy, is necessary to, interest)
(its policy, is necessary to, further additional compelling interest)
(security officers, identify quickly, prisoners)
(security officers, identify quickly and accurately, prisoners)
(Department, tells, us)
(security officers, identify, prisoners)
(policy, allows, security officers)
(no-beard policy, allows, security officers)
(prisons, interest in, quick identification)
(prisons, interest in, identification of prisoners)
(prisons, have, interest)
(prisons, compelling interest in, quick identification of prisoners)
(compelling interest, is in, quick identification of prisoners)
(prisons, compelling interest in, identification)
(prisons, interest in, quick identification of prisoners)
(prisons, compelling interest in, identification of prisoners)
(prisons, compelling interest in, quick identification)
(prisons, interest in, identification)
(policy, violates RLUIPA, applied in circumstances present here)
(policy, violates, RLUIPA)
(Department 's grooming policy, sufficiently furthers, its interest in identification of prisoners)
(policy, violates RLUIPA, applied)
(Department 's grooming policy, furthers, its interest in identification of prisoners)
(Department 's grooming policy, sufficiently furthers, its interest)
(policy, violates RLUIPA, applied in circumstances)
(Department 's policy, furthers, its interest in identification)
(its interest, is in, identification of prisoners)
(Department 's policy, furthers, its interest in identification of prisoners)
(policy, still violates RLUIPA, applied in circumstances present)
(policy, still violates RLUIPA, applied)
(Department 's grooming policy, sufficiently furthers, its interest in identification)
(policy, violates RLUIPA, applied in circumstances present)
(Department 's grooming policy, furthers, its interest in identification)
(policy, still violates RLUIPA, applied in circumstances)
(Department, has, grooming policy)
(policy, applied in, circumstances present)
(Department 's policy, sufficiently furthers, its interest in identification of prisoners)
(Department 's policy, sufficiently furthers, its interest)
(Department 's policy, sufficiently furthers, its interest in identification)
(Department 's policy, furthers, its interest)
(policy, applied in, circumstances)
(policy, applied in, circumstances present here)
(Department 's grooming policy, furthers, its interest)
(policy, still violates, RLUIPA)
(policy, still violates RLUIPA, applied in circumstances present here)
(he, is photographed for, identification purposes)
(he, is, when photographed)
(he, is, photographed)
(he, is, when photographed for identification purposes)
(Department, could solve problem, petitioner has argued)
(inmates, first admitted to, facility)
(inmates, admitted to, facility)
(inmates, be, photographed)
(Department, could largely solve problem, petitioner has argued)
(inmates, be photographed without, beards)
(Department, could largely solve problem, requiring)
(Department, could solve problem, requiring)
(Department, could largely solve, problem)
(Department, could solve, problem)
(inmate, be, photographed)
(that, is, Once done)
(inmate, grow, beard)
(inmate, grow, short beard)
(inmate, be, photographed again)
(inmate, could, could allowed)
(Prison guards, would have, photo use)
(Prison guards, would have, bearded photo use)
(method, is, unlikely)
(method, is inadequate, unlikely)
(method, assist, guards)
(dual-photo method, is, inadequate)
(inmate, alter, his appearance)
(method, is, inadequate)
(inmate, shaves, his beard)
(inmate, alter, his appearance within prison)
(method, is unlikely, even it might help)
(dual-photo method, is inadequate, unlikely)
(method, is unlikely, it might help)
(inmate, quickly shaves, his beard)
(petitioner, at, prison)
(inmates, live in, barracks)
(identification concern, is, acute)
(identification concern, is, particularly acute)
(inmates, live in, fields)
(prisoner, gain, entry)
(prisoner, entry to, restricted area)
(prisoner, shaving, his beard)
(prisoner, entry to, area)
(Counsel, suggested at, argument)
(prisoner, gain, entry to restricted area)
(his beard, swapping identification cards in, fields)
(his beard, swapping, identification cards)
(prisoner, gain, entry to area)
(Counsel, suggested at, oral argument)
(his beard, swapping identification cards in, out fields)
(We, are unpersuaded for, at least two reasons)
(We, are, unpersuaded by arguments for at least two reasons)
(We, are, unpersuaded)
(We, are unpersuaded by, arguments)
(Department, First failed, show)
(Department, show in, face)
(Department, failed, show in face)
(Department, First failed, show in face)
(Department, First failed, show in face of petitioner 's evidence)
(Department, show in, face of petitioner 's evidence)
(Department, failed, show)
(petitioner, of, evidence)
(Department, failed, show in face of petitioner 's evidence)
(moment, at, notice)
(petitioner, has, proposed alternatives)
(petitioner, has, request grow)
(Department, denied, petitioner 's request grow)
(beards, pose, risks)
(beards, pose, similar risks)
(beards, even pose, similar risks)
(beards, even pose, risks)
(Department, permits, inmates)
(grooming policy, provides With, With hair length)
(policy, provides With, With hair length)
(inmate, of, clothing)
(Department 's proclaimed objectives, stop, flow of contraband)
(Department 's proclaimed objectives, stop, flow)
(flow, facilitate, prisoner identification)
(Department 's objectives, stop, flow)
(Department 's objectives, stop, flow of contraband)
(Department, has, proclaimed objectives)
(Department, emphasizes, that)
(4-inch difference, is in, beard length)
(meaningful increase, is in, security risk)
(436, at Centro is, 546 U. S.)
(We, have rejected, argument)
(we, reject, it)
(We, have rejected, argument in contexts)
(407, at Sherbert is, 374 U. S.)
(we, reject again, it)
(We, have rejected, similar argument in contexts)
(similar argument, is in, analogous contexts)
(We, have rejected, similar argument)
(We, have rejected, argument in analogous contexts)
(We, have rejected, similar argument in analogous contexts)
(inmates, vast majority of, States)
(inmates, majority of, States)
(Department, show in, face)
(Federal Government, permit, inmates)
(inmates, grow, TLRdivsl)
(Department, show in, face of petitioner 's evidence)
(majority, permit, inmates)
(vast majority, permit, inmates)
(Federal Government, majority of, States)
(Federal Government, vast majority of, States)
(petitioner, of, evidence)
(other prisons, allow, inmates)
(many other prisons, allow, grow)
(inmates, grow, beards)
(other prisons, allow, grow)
(many other prisons, allow, inmates)
(Department, satisfy, its security concerns)
(many prisons, offer, accommodation)
(prisons, offer, accommodation)
(824, at Entertainment is, 529 U. S.)
(RLUIPA, provides, substantial protection for religious exercise of persons)
(RLUIPA, provides, protection for religious exercise of persons)
(RLUIPA, provides, substantial protection for exercise of institutionalized persons)
(RLUIPA, protection for, exercise)
(RLUIPA, substantial protection for, religious exercise of institutionalized persons)
(RLUIPA, provides, substantial protection)
(RLUIPA, protection for, religious exercise)
(RLUIPA, provides, protection for religious exercise)
(RLUIPA, protection for, exercise of persons)
(RLUIPA, provides, substantial protection for exercise of persons)
(RLUIPA, provides, protection for exercise of persons)
(RLUIPA, substantial protection for, exercise of persons)
(RLUIPA, protection for, exercise of institutionalized persons)
(RLUIPA, substantial protection for, religious exercise of persons)
(RLUIPA, substantial protection for, exercise of institutionalized persons)
(RLUIPA, protection for, religious exercise of persons)
(RLUIPA, provides, substantial protection for exercise)
(RLUIPA, protection for, religious exercise of institutionalized persons)
(ample ability, maintain, security)
(it, affords, prison officials)
(ability, maintain, security)
(RLUIPA, provides, protection for religious exercise of institutionalized persons)
(RLUIPA, provides, substantial protection for religious exercise of institutionalized persons)
(it, also affords, prison officials)
(RLUIPA, substantial protection for, exercise)
(RLUIPA, provides, protection for exercise)
(RLUIPA, substantial protection for, religious exercise)
(RLUIPA, provides, substantial protection for religious exercise)
(RLUIPA, provides, protection for exercise of institutionalized persons)
(RLUIPA, provides, protection)
(courts, applying, RLUIPA 's standard)
(RLUIPA, has, statutory standard)
(courts, applying, RLUIPA 's statutory standard)
(inmate, cloak, illicit conduct)
(inmate, cloak, conduct)
(prisoner 's religiosity, asserted as, basis for requested accommodation)
(inmate, using, activity)
(prisoner 's religiosity, asserted as, basis)
(prison officials, Second question, institution suspects)
(prisoner, has, religiosity)
(prison officials, Second appropriately question, institution suspects)
(prisoner 's religiosity, asserted as, basis for accommodation)
(inmate, using, religious activity)
(prison officials, question, institution suspects)
(prison officials, appropriately question, institution suspects)
(claimant 's religious belief, is, even sincere)
(claimant 's religious belief, is, sincere)
(claimant 's belief, is, sincere)
(exemption, is in, manner)
(Third, withdraw, accommodation)
(prison, has, compelling interests)
(institution, might, might entitled)
(claimant 's belief, is, even sincere)
(claimant, has, religious belief)
(Department 's grooming policy, violates, RLUIPA)
(it, insofar prevents, petitioner)
(Department, has, grooming policy)
(it, prevents, petitioner)
(Department 's policy, violates, RLUIPA)
(it, prevents petitioner, growing)
(we, hold In, sum)
(it, insofar prevents petitioner, growing)
(case, is remanded for, further proceedings consistent)
(case, is remanded for, further proceedings)
(case, is remanded for, further proceedings consistent with opinion)
(case, is remanded for, proceedings consistent)
(case, is, remanded)
(case, is remanded for, proceedings)
(case, is remanded for, proceedings consistent with opinion)
(judgment, is, reversed)
(It, is, ordered)
(It, is, so ordered)
(HOLT, PETITIONER v., RAY HOBBS)
(RAY HOBBS, DEPARTMENT OF, CORRECTION)
(JUSTICE SOTOMAYOR, joins, concurring)
(petitioner, has, belief)
(Court, has, opinion)
(I, join, Court 's opinion)
(HOLT, PETITIONER v., RAY HOBBS)
(RAY HOBBS, DEPARTMENT OF, CORRECTION)
(restrictive alternatives, were, why inadequate)
(restrictive alternatives, achieve, Department 's compelling security-related interests)
(less alternatives, were, inadequate)
(alternatives, achieve, Department 's compelling security-related interests)
(restrictive alternatives, achieve, Department 's compelling interests)
(restrictive alternatives, achieve, Department 's security-related interests)
(less restrictive alternatives, achieve, Department 's compelling interests)
(alternatives, achieve, Department 's compelling interests)
(alternatives, achieve, Department 's security-related interests)
(less alternatives, achieve, Department 's security-related interests)
(less restrictive alternatives, were, inadequate)
(alternatives, were, inadequate)
(less restrictive alternatives, were, why inadequate)
(restrictive alternatives, achieve, Department 's interests)
(Department, has, compelling security-related interests)
(alternatives, were, why inadequate)
(less alternatives, achieve, Department 's interests)
(less alternatives, achieve, Department 's compelling interests)
(less restrictive alternatives, achieve, Department 's security-related interests)
(Court, in, opinion)
(Department, failed, show)
(less restrictive alternatives, achieve, Department 's compelling security-related interests)
(less alternatives, achieve, Department 's compelling security-related interests)
(restrictive alternatives, were, inadequate)
(alternatives, achieve, Department 's interests)
(less restrictive alternatives, achieve, Department 's interests)
(less alternatives, were, why inadequate)
(I, explain, my understanding)
(I, explain, my understanding of applicable standard)
(I, explain, my understanding of standard)
(I, explain, my understanding of applicable legal standard)
(I, explain, my understanding of legal standard)
(our prior holding, is in, Cutter)
(c ontext matters, is in, application of Religious Land Use of 2000)
(Court, in, opinion)
(Nothing, is in, Court 's opinion)
(regulations consistent, is In, dangerous prison environment)
(deference, is, due)
(deference, is due to, institutional officials ' expertise in area)
(prison security, is, state interest)
(prison security, is, compelling state interest)
(deference, is due to, officials ' expertise in area)
(deference, is due to, officials ' expertise)
(security, is, compelling)
(institutional officials ' expertise, is in, area)
(deference, is due to, institutional officials ' expertise)
(725, at Cutter is, 544 U. S.)
(prison officials, offer, plausible explanation)
(expertise, experience of, prison administrators)
(Congress, enact, RLUIPA)
(Department, has, failure demonstrate)
(Department, to, position)
(RLUIPA, requires, more)
(One final point, bears, emphasis)
(final point, bears, emphasis)
(institutions, refusing, accommodation demonstrate)
(refusing, accommodation, demonstrate)
(RLUIPA, requires, institutions)
(he, is, relative)
(means, is, relative)
(It, necessarily implies, comparison with means)
(comparison, is with, other means)
(It, implies, comparison with means)
(It, implies, comparison with other means)
(It, necessarily implies, comparison with other means)
(It, implies, comparison)
(It, necessarily implies, comparison)
(nothing, is in, Court 's opinion)
(Court, in, opinion)
(they, considered alternatives in, time)
(they, considered, less restrictive alternatives at point)
(they, restrictive alternatives at, particular point)
(they, considered, alternatives at point)
(they, considered, restrictive alternatives)
(they, restrictive alternatives at, point)
(they, considered, alternatives)
(they, considered, less restrictive alternatives)
(they, considered, restrictive alternatives at point)
(they, considered, less restrictive alternatives at particular point)
(they, less restrictive alternatives at, particular point)
(they, considered in, time)
(they, alternatives at, point)
(they, considered, alternatives at particular point)
(they, considered, restrictive alternatives at particular point)
(they, less restrictive alternatives at, point)
(they, alternatives at, particular point)
(prisons, is in, New York)
(Department, to, attention)
(I, join, it)
(Court, has, opinion consistent with foregoing)
