(November 2 2015, Decided at_time, May 23 2016)
(Court, put on, any of them)
(court, reserving, determination in light of objections)
(reserving, determination in, light of objections urged by State)
(determination, is in, light of objections urged by State)
(court, was cognizant of, limitations)
(court, reserving, determination in light of objections urged)
(court, reserving, determination in light)
(reserving, determination in, light of objections)
(court, admitted file into, evidence)
(court, was, cognizant)
(We, agree with, approach)
(it, be error, must consulted)
(it, be Batson error, must consulted)
(478, at Snyder is, 552 U. S.)
(we, have said in, context)
(we, have said in, related context)
(purpose, was, motivating)
(we, are, comfortable)
(district attorney, in, office)
(we, are comfortable At, minimum)
(someone, is in, district attorney 's office)
(Foster, centers, his Batson claim on strikes)
(Foster, centers, his Batson claim on strikes of two black prospective jurors)
(Foster, centers, his Batson claim on strikes of two prospective jurors)
(Foster, centers, his Batson claim)
(Foster, centers, his Batson claim on strikes of two jurors)
(Foster, centers, his Batson claim on strikes of two black jurors)
(We, turn to, Marilyn Garrett)
(We, turn first to, Marilyn Garrett)
(he, strike, her)
(he, use, strike on black prospective juror)
(Lanier, Ultimately did strike, Garrett)
(Lanier, did strike, Garrett)
(he, articulated, laundry list of reasons)
(he, articulated, laundry list)
(he, justifying strike to, trial court)
(he, justifying, strike)
(she, worked with, disadvantaged youth)
(Lanier, gave, short answers)
(Lanier, was asked, questions)
(she, worked in, her job)
(Lanier, had, two jobs)
(Lanier, was asked questions by, defense)
(Lanier, kept, looking)
(Lanier, appeared, nervous)
(Lanier, misrepresented, her familiarity)
(Lanier, gave, answers)
(she, worked with, youth)
(Lanier, had, two children)
(Lanier, kept, looking at ground)
(Lanier, gave answers during, voir dire)
(Lanier, kept, looking at ground during voir dire)
(Lanier, failed, disclose)
(Lanier, was, divorced)
(Lanier, kept, looking during voir dire)
(her cousin, been arrested on, drug charge)
(she, worked as, teacher 's aide)
(teacher, as, aide)
(her cousin, been, arrested)
(Lanier, was asked, few questions)
(Record, is in, No. 45609)
(brief, is in, opposition to new trial)
(Lanier, has, justifications)
(trial court, accepted, Lanier 's justifications)
(Lanier 's justifications, seem On, their face)
(Lanier, has, justifications for strike)
(Lanier 's justifications, seem, reasonable enough)
(Lanier 's justifications, seem, reasonable)
(Lanier 's misrepresentations, began with, explanation how he ultimately came)
(Lanier 's misrepresentations, began with, explanation he ultimately came)
(Lanier, has, misrepresentations to trial court)
(Lanier 's misrepresentations, began with, elaborate explanation he came)
(Lanier 's misrepresentations, began with, elaborate explanation he ultimately came)
(Lanier 's misrepresentations, began with, elaborate explanation how he came)
(Lanier 's misrepresentations, began with, explanation how he came)
(Lanier 's misrepresentations, began with, elaborate explanation how he ultimately came)
(Lanier 's misrepresentations, began with, explanation he came)
(he, strike, Garrett)
(system, However took place on, morning)
(system, took place on, morning)
(system, took, place)
(system, However took, place)
(tate, listed, juror)
(tate, listed juror as, questionable)
(tate, had in, his jury notes)
(negative challenges, were, allocated)
(negative challenges, were allocated for, Hardge)
(four negative challenges, were, allocated)
(four negative challenges, were allocated for, Hardge)
(cause, is with, objections by efense counsel)
(Juror Powell, was excused on, morning of jury selection)
(Juror Powell, was, excused)
(Juror Powell, was excused on, morning)
(She, was, replaced)
(She, was replaced by, Juror Cadle)
(State, had left on, list)
(State, Consequently had, choose between Juror Blackmon)
(State, had, choose between Juror Blackmon)
(State, Consequently had, choose)
(State, choose between, Juror Blackmon)
(State, had, choose)
(Trial Record 438-440, brief in, opposition to new trial)
(brief, is in, opposition to new trial)
(Lanier, offered, list of reasons for Garrett)
(Lanier, offered, extensive list of reasons for Garrett)
(Lanier, offered, extensive list of reasons)
(Lanier, offered, extensive list of reasons for striking Garrett)
(Lanier, offered, list of reasons)
(Lanier, offered, list)
(Lanier, offered, extensive list)
(Lanier, offered, list of reasons for striking Garrett)
(Lanier, compared, Blackmon)
(Lanier, compared Blackmon to, Garrett)
(she, attended, Catholic church)
(She, was, employed)
(she, attended Catholic church on, irregular basis)
(She, was employed at, Northwest Georgia Regional Hospital)
(she, attended Catholic church on, basis)
(good eye contact, is with, prosecutor)
(She, had, good eye contact with prosecutor)
(She, had, eye contact with prosecutor)
(She, had, eye contact)
(She, gave answers on, insanity issue)
(She, had, good eye contact)
(She, gave, answers)
(She, gave, good answers)
(She, was, perceived)
(association, is with, disadvantaged youth organizations)
(She, was perceived by, prosecutor)
(She, having, home environment)
(She, having, stable home environment)
(factors, were, considered)
(factors, were, when considered than Juror Garrett)
(factors, were, when considered)
(factors, were considered than, Juror Garrett)
(Juror Garrett, was, excused)
(Juror Garrett, was, Consequently excused)
(Foster, has, motion)
(State, for, account)
(Garrett, making, strike race-neutral decision)
(Garrett, making, strike last-minute decision)
(predicate, was, false)
(Garrett, making, strike last-minute race-neutral decision)
(Garrett, making, strike decision)
(State, went During, jury selection)
(State, went first During, jury selection)
(State, had, select)
(State, had, pretty well select)
(State, Accordingly had, well select)
(State, Accordingly had, pretty well select)
(State, had, well select)
(State, Accordingly had, select)
(we, know up, front)
(we, felt, very uncomfortable)
(we, felt, uncomfortable)
(we, felt, very uncomfortable with)
(we, felt, uncomfortable with)
(much, is, evident)
(prosecution, in, file)
(definite NO 's list, is in, prosecution 's file)
(much, is evident from, NO 's list in prosecution 's file)
(much, is evident from, definite NO 's list in prosecution 's file)
(much, is evident from, definite NO 's list)
(definite NO, from, list in file)
(much, is evident from, NO 's list)
(Garrett, has, name)
(State, considered, allowing)
(State, allowing, Garrett)
(State, allowing, serve)
(Lanier, has, assertion)
(Garrett, was, definite)
(State, was, intent)
(State, was intent, ensuring)
(All, were, black)
(prosecution, informed, trial court)
(brief, is in, opposition to new trial)
(State, has, resolve strike)
(prosecution 's submissions, is In, short)
(Garrett, next to, name on juror list)
(State, explain away contradiction as, example of prosecutor)
(State, explain away contradiction as, example of prosecutor merely misspeak)
(State, explain away contradiction as, example of prosecutor misspeak)
(definite NO, between, list)
(State, explain away, contradiction)
(State, explain away, contradiction between definite NO 's list)
(Lanier, has, statements to trial court)
(State, explain away, contradiction between NO 's list)
(State, explain away contradiction as, example)
(Lanier, has, reasons why he chose over Blackmon)
(Lanier, told court for, example)
(Lanier, told, court)
(State, accepted, white jurors)
(State, willingly accepted, white jurors)
(State, willingly accepted, jurors)
(State, accepted, jurors)
(Lanier, told, trial court)
(he, strike, three)
(Juror No. 23, for Cty. is, hereinafter Juror Questionnaire)
(Juror No. 23, for Cty. is, Ga.)
(State, strike, eight white jurors)
(State, strike, eight white prospective jurors)
(State, strike, eight prospective jurors)
(State, strike, eight jurors)
(she, was, less)
(he, struck Garrett, he felt)
(she, was less in, her answers in voir dire)
(Lanier, explained to, trial court)
(she, was less than, truthful)
(he, struck, Garrett)
(her answers, is in, voir dire)
(Lanier, also explained to, trial court)
(she, was less in, her answers)
(State, pointed trial court to, following exchange)
(State, Specifically pointed to, following exchange)
(State, pointed trial court to, exchange)
(State, Specifically pointed, trial court)
(State, Specifically pointed trial court to, exchange)
(State, Specifically pointed trial court to, following exchange)
(State, pointed to, following exchange)
(State, pointed, trial court)
(State, Specifically pointed to, exchange)
(State, pointed to, exchange)
(Lanier, explaining, strike)
(blocks, is in, certainly neighborhood)
(Lanier, told, trial court)
(She, denied, knowledge of area)
(brief, is in, opposition to new trial)
(192, at 739 is, 374 S. E. 2d)
(739, at Foster is, 258 Ga.)
(legitimate reason, is difficult to, credit in light of State 's acceptance of juror Duncan)
(legitimate reason, is difficult to, credit in light of State 's acceptance)
(reason, is, difficult)
(reason, is difficult to, credit in light of State 's acceptance)
(credit, is in, light of State 's acceptance of juror Duncan)
(reason, is difficult to, credit)
(legitimate reason, is difficult to, credit)
(reason, is difficult to, credit in light)
(State, of, acceptance of juror Duncan)
(legitimate reason, is, difficult)
(reason, is difficult to, credit in light of State 's acceptance of juror Duncan)
(legitimate reason, is difficult to, credit in light)
(Garrett, did during, voir dire)
(Duncan, gave, same answer)
(Duncan, gave, practically answer)
(Duncan, gave, answer)
(Duncan, gave, practically same answer)
(Duncan, has, residence located less 250 yards away)
(brief, is in, opposition to new trial)
(we, evaluating, strike)
(we, evaluating, strike of Garrett)
(We, turn next to, strike)
(We, turn next to, strike of Hood)
(Lanier, According to what is, State)
(prosecution, struck, Hood)
(prosecution, giving, eight reasons doing)
(prosecution, giving, eight reasons doing so)
(prosecution, nonetheless struck, Hood)
(7, enough questions by, defense)
(brief, is in, opposition to new trial)
(Trial Record 433-435, brief in, opposition to new trial)
(examination, convinces, us)
(examination, however convinces, us)
(prosecution 's principal reasons, shifted As, initial matter)
(prosecution 's reasons, shifted, suggesting)
(prosecution 's principal reasons, shifted As, matter)
(prosecution 's reasons, shifted As, initial matter)
(prosecution 's reasons, shifted over, time)
(reasons, be, pretextual)
(prosecution, has, principal reasons for strike)
(prosecution 's principal reasons, shifted, suggesting)
(prosecution 's reasons, shifted As, matter)
(prosecution 's principal reasons, shifted over, time)
(District Attorney Lanier, noted, all eight reasons)
(Foster, to, pre-trial Batson challenge)
(District Attorney Lanier, noted In, response)
(District Attorney Lanier, noted In, response to Foster 's Batson challenge)
(District Attorney Lanier, noted In, response to Foster 's pre-trial Batson challenge)
(I, will state for, record)
(I, was, concerned)
(I, was, concerned about)
(I, will state, it)
(individuals, is In, my experience prosecuting over twenty-five murder cases)
(Lanier, has, focus)
(Lanier 's focus, had shifted by, time of Foster 's motion)
(Lanier 's focus, had shifted by, time of Foster 's subsequent motion for trial)
(Foster, of, subsequent motion for new trial)
(Lanier 's focus, had shifted by, time of Foster 's subsequent motion)
(Lanier 's focus, had shifted by, time of Foster 's motion for trial)
(Lanier 's focus, had shifted by, time of Foster 's subsequent motion for new trial)
(Lanier 's focus, had shifted by, time of Foster 's motion for new trial)
(Lanier 's focus, had shifted by, time)
(similarities, see at, trial hearing)
(similarities, see id. at, new trial hearing)
(similarities, see at, new trial hearing)
(Hood, between, son)
(similarities, see id. at, trial hearing)
(Hood 's membership, is in, Church of Christ)
(Lanier, instead told, court)
(Hood, has, membership in Church of Christ)
(Lanier, told, court)
(brief, is in, opposition to new trial)
(I, evaluated, Eddie Hood)
(Hood, 's religion is, Lanier)
(Hood, has, religion)
(I, evaluated, whole Eddie Hood)
(bottom line, is Church of, Christ affiliation)
(line, is Church of, Christ affiliation)
(bottom line, is, Church)
(line, is, Church)
(it, is possible Of, course)
(it, is, possible)
(we, would expect, were)
(we, would expect, were so)
(we, would expect, even were so)
(we, would expect, even were)
(Hood, has, son)
(Darrell Hood 's age, was, issue)
(Darrell Hood, has, age)
(she, even had, son)
(she, had, 20-year-old son)
(she, had, son)
(she, even had, 20-year-old son)
(comparison, is, particu-larly salient)
(comparison, is, salient)
(he, answered, None)
(he, answered, None whatsoever)
(prosecution, asked, Hood)
(Foster 's age, would, would factor)
(Foster 's age, would, would factor in sentencing)
(prosecution, asked Hood, would factor in sentencing)
(Foster 's age, would, would factor for him in sentencing)
(prosecution, asked Hood, would factor for him)
(prosecution, asked Hood, would factor)
(would factor, is in, sentencing)
(Foster 's age, would, would factor for him)
(prosecution, asked Hood, would factor for him in sentencing)
(Foster, has, age)
(Graves, answered on, hand)
(Graves, answered on, other hand)
(Graves, answered probably so on, hand)
(Graves, answered so on, other hand)
(Graves, answered probably so on, other hand)
(Graves, answered so on, hand)
(State, Yet struck, Hood)
(State, accepted, Graves)
(State, struck, Hood)
(Darrell Hood, has, conviction)
(them, insofar had, children)
(them, insofar had children near, age)
(them, had children near, age of Defendant)
(them, had children near, age)
(them, had, children)
(them, insofar had children near, age of Defendant)
(Darrell Hood, has, conviction to trial court)
(Lanier, being for, basically thing)
(Lanier, had described, Darrell Hood 's conviction to trial court)
(defendant, is, charged)
(defendant, is, charged with)
(Lanier, being for, same thing)
(Lanier, had described, Darrell Hood 's conviction)
(Lanier, being for, basically same thing)
(Lanier, being for, thing)
(car, is in, mall parking lot five years earlier)
(Hood, has, son)
(Foster, was, charged with capital murder after brutal assault)
(Foster, was, charged with capital murder of 79-year-old widow after assault)
(Foster, was charged with, capital murder)
(Foster, was, charged with capital murder of 79-year-old widow after sexual assault)
(Foster, was, charged with capital murder of widow after brutal sexual assault)
(Foster, was charged with, capital murder of 79-year-old widow)
(Foster, was charged after, brutal assault)
(Foster, was, charged with capital murder after assault)
(Foster, was charged with, capital murder of widow)
(Foster, was, charged)
(Foster, was, charged with capital murder of widow after sexual assault)
(Foster, was charged after, assault)
(Foster, was charged after, sexual assault)
(Foster, was, charged with capital murder of 79-year-old widow after brutal assault)
(Foster, was charged after, brutal sexual assault)
(Foster, was, charged with capital murder of widow after assault)
(Foster, was, charged with capital murder of 79-year-old widow after brutal sexual assault)
(Foster, was, charged with capital murder after sexual assault)
(Foster, was, charged with capital murder after brutal sexual assault)
(Foster, was, charged with capital murder of widow after brutal assault)
(two, been charged with, thing)
(implausible, supports, our conclusion)
(two, been charged with, basically same thing)
(focus, be regarded as, pretextual)
(assertion, supports, our conclusion)
(Hood, on, son)
(two, been charged with, basically thing)
(focus, be, only regarded)
(two, been charged with, same thing)
(two, been, charged)
(focus, be, regarded)
(fantastic assertion, supports, our conclusion)
(focus, only be regarded as, pretextual)
(Credibility, can, can measured by among factors)
(Credibility, can, can measured)
(Credibility, can, can measured by among other factors)
(church, has, alleged teachings on death penalty)
(prosecution, has, second principal justification for striking Hood)
(his affiliation, is with, Church of Christ)
(juror, has, voir dire answers)
(Hood, has, race)
(Lanier, has, true motivation)
(first indication, is, Lanier 's mischaracterization)
(indication, is, Lanier 's mischaracterization of record)
(Lanier, has, mischaracterization of record)
(indication, is, Lanier 's mischaracterization)
(first indication, is, Lanier 's mischaracterization of record)
(Lanier, asserted to, trial court)
(Lanier, asserted On, multiple occasions)
(Lanier, asserted On, occasions)
(brief, is in, opposition to new trial)
(she, was, pregnant)
(she, was pregnant, five-and-a-half months)
(Another, was, excused)
(it, ascertain, her views on capital punishment)
(it, ascertain, her precise views on capital punishment)
(Another, was excused, her answers made)
(it, ascertain, her views)
(it, ascertain, her precise views on punishment)
(it, ascertain, her precise views)
(it, ascertain, her views on punishment)
(Another, was excused, her answers on death penalty made)
(Another, was excused by, agreement of parties)
(unclear, are, equivocal)
(unclear, are equivocal at, best)
(I t, understood, any)
(trial court, of, questions)
(I t, was, unclear)
(I t, was, entirely unclear)
(See, Brief for, Respondent 39)
(I t, understood, any of trial court 's questions)
(Foster, about, guilt)
(she, had formed, opinion about Foster 's guilt)
(she, opinion about, Foster 's guilt)
(cause, dismiss, third)
(she, had already formed, opinion about Foster 's guilt)
(she, had already formed, opinion)
(she, had formed, opinion)
(prosecution 's file, fortifies, our conclusion)
(prosecution, has, file)
(file, contains, handwritten document titled)
(file, contains, document titled)
(file, contains, document)
(file, contains, handwritten document)
(issue, is left for, individual member)
(church, stand on, Death Penalty)
(document, states, NO)
(document, has, author)
(document 's author, is, unknown)
(State, downplay significance, emphasizing)
(State, downplay, significance)
(State, downplay, significance of document)
(uncertainty, is, pertinent)
(prosecution, about, account of strike)
(State, has, secondary justifications)
(State 's secondary justifications, come, undone)
(State 's secondary justifications, similarly come, undone)
(Lanier, told, trial court)
(brief, is in, opposition to new trial)
(Hood, has, answers)
(white juror Huffman, has, answers)
(death penalty questions, confusion 's, Hood)
(he, struck, Hood)
(Hood, has, wife)
(he, struck Hood, Hood 's wife worked)
(he, struck Hood, Hood 's wife worked as food services supervisor)
(he, struck Hood, Hood 's wife worked at Northwest Regional Hospital)
(Hood 's wife, worked as, food services supervisor)
(he, struck Hood, Hood 's wife worked at Northwest Regional Hospital as food services supervisor)
(Hood 's wife, worked at, Northwest Regional Hospital)
(lot, is with, mentally disturbed mentally ill people)
(Blackmon, served on, jury)
(age, about question is, s)
(trial transcripts, again indicate, contrary)
(trial transcripts, clearly indicate, contrary)
(trial transcripts, Yet again indicate, contrary)
(trial transcripts, indicate, contrary)
(trial transcripts, Yet again clearly indicate, contrary)
(trial transcripts, again clearly indicate, contrary)
(you, Do have, feeling about insanity defense)
(you, feeling about, insanity defense)
(I, opinion about, that)
(I, Do have, opinion about that)
(pub-licity, affected, your ability sit)
(pub-licity, affected, your ability sit as juror in case)
(pub-licity, affected, your ability sit as juror)
(pub-licity, affected, your ability sit in case)
(we, explained in, Miller-El)
(prosecutor, has, proffered reason)
(such evidence, is, compelling)
(evidence, is compelling With respect to, Garrett)
(evidence, is, compelling)
(such evidence, is compelling With respect to, Garrett)
(shifting explanations, persistent focus in, prosecution 's file)
(explanations, persistent focus on, race)
(explanations, persistent focus in, prosecution 's file)
(shifting explanations, misrepresentations of, record)
(explanations, focus in, prosecution 's file)
(shifting explanations, focus on, race)
(prosecution, in, file)
(persistent focus, is in, prosecution 's file)
(shifting explanations, persistent focus on, race)
(shifting explanations, focus in, prosecution 's file)
(explanations, focus on, race)
(explanations, misrepresentations of, record)
(478, at Snyder is, 552 U. S.)
(State, has, Indeed at times has indignant)
(State, has, has indignant)
(State, has, at times has indignant)
(State, has, at times has downright indignant)
(State, has, has downright indignant)
(State, has, Indeed at times has downright indignant)
(State, has, Indeed has downright indignant)
(State, has, Indeed has indignant)
(The Defenses, has, misapplication)
(Defenses 's misapplication, discredit, pro-secutor)
(Defenses 's misapplication, erroneous distortion of, facts)
(brief, is in, opposition to new trial)
(contents, however belie, State 's claim)
(contents, however plainly belie, State 's claim)
(prosecution, of, file)
(contents, belie, State 's claim)
(contents, plainly belie, State 's claim)
(State, has, claim)
(sheer number, is in, file)
(State, was thoughtful in, its consideration of prospective jurors)
(State, was, thoughtful)
(State, was thoughtful in, its consideration)
(State, was thoughtful in, its consideration of black prospective jurors)
(It, instead reflects, effort ensure)
(State, was thoughtful in, its consideration of black jurors)
(It, reflects, effort ensure)
(State, was thoughtful in, its consideration of jurors)
(Batson, had come at_time, only months)
(Foster, before, trial)
(Batson, had come down before, Foster 's trial)
(Batson, had come down at_time, months)
(Batson, had come down after, all)
(Batson, had come before, Foster 's trial)
(Batson, had come after, all)
(Batson, had come at_time, months)
(Batson, had come down at_time, only months)
(prosecutors, were, uncertain)
(prosecutors, were uncertain according to, State)
(prosecutors, wanted, prepared)
(argument, falls, flat)
(trial court, is in, state)
(prosecution, in, file)
(race, is in, prosecution 's file)
(it, seeking, juror)
(it, actively seeking, juror)
(it, actively seeking, black juror)
(it, seeking, black juror)
(N, appeared next to, each of names on jury venire list)
(N, appeared next to, each of black prospective jurors ' names on jury venire list)
(N, appeared next to, each names on jury venire list)
(N, appeared next to, each black prospective jurors ' names on jury venire list)
(definite NO, on, list)
(Garrett, might, might okay)
(it, comes down, having)
(it, comes, having)
(prosecution, from, investigator)
(references, are, inconsistent)
(Such references, are, inconsistent)
(State, has, new argument)
(order, is, reversed)
(case, is, remanded)
(It, is, ordered)
(It, is, so ordered)
(ALITO, concurring in, judgment)
(TIMOTHY TYRONE FOSTER, PETITIONER v., BRUCE CHATMAN)
(I, agree with, Court)
(case, must, must remanded)
(I, explain, my understanding)
(I, explain, my understanding of role of state law)
(role, is in, proceedings)
(I, explain, my understanding of role)
(her home, is in, Rome)
(Queen Madge White, was assaulted in, August 1986)
(Queen Madge White, was sexually assaulted, Court recounts)
(Queen Madge White, was assaulted, Court recounts)
(Queen Madge White, was, sexually assaulted)
(Queen Madge White, was, assaulted)
(Queen Madge White, brutally murdered in, her home in Rome)
(Queen Madge White, was sexually assaulted in, August 1986)
(Queen Madge White, murdered in, her home)
(Queen Madge White, murdered in, her home in Rome)
(Queen Madge White, brutally murdered in, her home)
(Her home, was, ransacked)
(household items, were, stolen)
(various household items, were, stolen)
(S. E., 2d, 1988)
(374 S. E., 2d, 1988)
(police officers, were called, respond to local disturbance)
(police officers, were called at_time, month after murder)
(police officers, were called at_time, About month)
(police officers, were called at_time, month)
(police officers, were called at_time, About month after murder)
(police officers, were, called)
(police officers, respond to, local disturbance)
(police officers, were called, respond)
(police officers, respond to, disturbance)
(police officers, were called, respond to disturbance)
(her, boyfriend, petitioner Timothy Foster)
(complainant, told, them)
(White, from, home to Stubbs members)
(Officers, arrested, 258 Ga.)
(White, for, murder convicted)
(Foster, was put for, White 's murder)
(Foster, sentenced to, death)
(Foster, was put for, White 's murder convicted)
(Foster, was put on, trial)
(Foster, was, put on trial for White 's murder)
(Foster, was, put on trial for White 's murder convicted)
(Foster, was, put)
(prosecution, violated, his rights)
(Court, under, decision)
(Foster, during argued after, his trial)
(decision, is in, Batson)
(Foster, argued after, his trial)
(Georgia Supreme Court, rejected, Foster 's Batson argument)
(he, filed petition for, writ)
(he, filed petition in, Court)
(he, filed, petition)
(Foster, has, Batson argument)
(he, filed petition for, writ of certiorari)
(state, habeas, petition in Superior Court of Butts County)
(petition, is in, Superior Court of Butts County)
(state, habeas, petition in Superior Court)
(state, habeas, petition)
(state, petition in, Superior Court)
(state, petition in, Superior Court of Butts County)
(Foster, filed In, July 1989)
(Foster, has, claim)
(Georgia courts, adjudicated, Foster 's claim)
(Foster, of, claims including Batson claim)
(S. E., 2d, 74 1991)
(406 S. E., 2d, 74 1991)
(Foster, was denied relief After, extensive court proceedings)
(Foster, was denied relief After, extensive court proceedings including two visits)
(Foster, was denied relief After, court proceedings)
(Foster, was denied, relief)
(Foster, was denied relief After, court proceedings including two visits)
(Foster, was denied relief After, extensive court proceedings including two visits to State Supreme Court)
(Foster, was denied relief After, court proceedings including two visits to State Supreme Court)
(Foster, was denied relief on, claim)
(many other claims, asserted in, his petition)
(many other claims, asserted in, his petition including his Batson claim)
(other claims, asserted in, his petition)
(other claims, asserted in, his petition including his Batson claim)
(He, amended, his habeas petition)
(Foster, offered, new evidence)
(Foster, offered namely, evidence)
(Foster, offered evidence namely In, support)
(Foster, offered evidence In, support of claim)
(he, had obtained through, Georgia open-records request)
(Foster, offered evidence In, support)
(prosecution, has, jury selection notes)
(Foster, offered namely, new evidence)
(Foster, offered, evidence)
(Foster, offered evidence namely In, support of claim)
(someone, names of, black jurors)
(someone, names of, jurors)
(someone, highlighted, names of jurors)
(someone, written, letter B)
(someone, highlighted, names)
(someone, highlighted, names of black jurors)
(someone, written letter B next to, their names)
(it, evaluated, Foster 's habeas claims)
(Foster, has, habeas claims)
(his claims, were barred by, res judicata)
(his claims, were, barred)
(opinion, began, noting)
(State, used, peremptory challenges)
(State, used in, violation of Batson)
(State, used in, discriminatory manner)
(State, used in, racially discriminatory manner)
(State, used challenges in, racially discriminatory manner)
(State, used, challenges)
(Petitioner, alleg, ation)
(State, used challenges in, violation)
(State, used challenges in, discriminatory manner)
(State, used in, manner)
(State, used challenges in, violation of Batson)
(State, used in, violation)
(State, used challenges in, manner)
(Superior Court, again referred to, Batson claim)
(Superior Court, again referred in, Later its opinion)
(Superior Court, wrote, follows)
(Superior Court, again referred in, its opinion)
(Superior Court, referred in, Later its opinion)
(Superior Court, referred in, its opinion)
(Superior Court, referred to, Batson claim)
(Foster, has, conviction on direct appeal)
(Georgia Supreme Court 's ruling, is in, Foster)
(Georgia Supreme Court, to, ruling in Foster)
(court, reviewed, evidence)
(court, found, thoroughly investigated)
(court, found, investigated)
(Petitioner, demonstrate, purposeful discrimination on basis)
(Petitioner, demonstrate, discrimination)
(race, noted on, various lists)
(State, exercised, its challenges)
(Petitioner, demonstrate, purposeful discrimination)
(race, was, either circled)
(race, noted on, lists)
(race, otherwise noted on, various lists)
(race, was, circled)
(State, exercised, its peremptory challenges)
(Petitioner, demonstrate, discrimination on basis)
(race, otherwise noted on, lists)
(Batson claim, was without, merit)
(court, issue certificate, appeal)
(Foster, sought, review)
(court, issue, certificate of probable cause)
(Foster, subsequently sought, review)
(Superior Court, of, decision in Georgia Supreme Court)
(Foster, sought, review of Superior Court 's decision)
(court, issue, certificate)
(Superior Court 's decision, is in, Georgia Supreme Court)
(Foster, subsequently sought, review of Superior Court 's decision)
(Foster, sought, review of Superior Court 's decision in Georgia Supreme Court)
(Foster, subsequently sought, review of Superior Court 's decision in Georgia Supreme Court)
(it, be, hereby denied)
(it, be, denied)
(Justices, concur except, J.)
(Court, review, decision of Georgia Supreme Court)
(Foster, sought, review)
(Foster, sought, review of decision)
(Court, review, decision)
(Court, granted, certiorari)
(decision, presented in, his state)
(decision, was, decision)
(decision, was decision, presented)
(Foster, of, Batson claim)
(decision, was decision on, merits)
(decision, was decision, presented in his state)
(decision, was decision on, merits of Foster 's Batson claim)
(Georgia Supreme Court, has, standard denying)
(Foster 's Batson claim, lacked, arguable merit)
(Foster, has, Batson claim)
(holding, was likely based, based part)
(holding, was, likely)
(holding, was likely based, based part on state law)
(Foster 's Batson claim, was barred by, res judicata)
(Foster 's Batson claim, was, barred)
(Superior Court, quite clearly held, noted)
(Superior Court, quite held, noted)
(Superior Court, clearly held, noted)
(Foster, has, Batson claim)
(Superior Court, held, noted)
(change, was, sufficient)
(Foster, obtain, reconsideration of his Batson claim)
(Superior Court, understood, state law)
(change, overcome, res bar)
(Foster, obtain reconsideration, able)
(Foster, obtain, reconsideration)
(change, is in, facts)
(he, was, only able)
(he, was, able)
(Foster, obtain, reconsideration of his previously rejected Batson claim)
(Foster, obtain reconsideration, only able)
(Superior Court, permit, Foster)
(Foster, obtain, reconsideration of his rejected Batson claim)
(change, overcome, res judicata bar)
(Foster, has, renewed Batson claim)
(Foster 's renewed Batson claim, meet, standard)
(Superior Court, following, established Georgia law)
(Foster 's Batson claim, meet, standard)
(Foster 's renewed Batson claim, was, required)
(Superior Court, appears, concluding)
(Foster 's Batson claim, meet, heightened standard)
(Foster 's renewed Batson claim, meet, heightened standard)
(Superior Court, following, Georgia law)
(Foster 's Batson claim, was, required)
(bar, is absolute in, circumstances)
(bar, is, absolute)
(Georgia cases, seem, stand)
(Georgia cases, seem, stand for proposition)
(Georgia cases, stand for, proposition)
(466 S. E., 2d, 839 1996)
(Martin, in, direct appeal)
(S. E., 2d, 839 1996)
(appellant, in, direct appeal)
(204 S. E., 2d, 1974)
(S. E., 2d, 1974)
(decisions, however allow, defendant)
(Other decisions, allow, defendant)
(defendant, overcome, res judicata)
(decisions, allow, defendant)
(Other decisions, however allow, defendant)
(Georgia, restricting, relitigation of rejected claims)
(Georgia, restricting, relitigation)
(Georgia, restricting, relitigation of previously rejected claims)
(Georgia, restricting, relitigation of claims)
(state prisoner 's federal habeas, asserts, claim)
(state prisoner 's federal habeas, asserts, federal constitutional claim based)
(state prisoner 's federal habeas, asserts, constitutional claim based)
(state prisoner 's federal habeas, asserts, new federal constitutional claim based)
(state prisoner 's habeas, asserts, constitutional claim based)
(state prisoner 's federal habeas, asserts, new federal claim based)
(state prisoner 's habeas, asserts, new federal constitutional claim)
(state prisoner 's federal habeas, asserts, new claim)
(state prisoner 's habeas, asserts, federal constitutional claim)
(claim, must, must dismissed)
(state prisoner 's federal habeas, asserts, new constitutional claim)
(state prisoner 's habeas, asserts, federal constitutional claim based)
(state prisoner 's federal habeas, asserts, claim based)
(state prisoner 's habeas, asserts, new federal claim based)
(demanding test, is, met)
(state prisoner 's habeas, asserts, new claim based)
(state prisoner 's federal habeas, asserts, federal claim)
(state prisoner 's federal habeas, asserts, new constitutional claim based)
(state prisoner, has, second federal habeas)
(state prisoner 's habeas, asserts, claim)
(state prisoner 's federal habeas, asserts, new federal claim)
(state prisoner 's federal habeas, asserts, new claim based)
(state prisoner 's habeas, asserts, federal claim based)
(state prisoner 's habeas, asserts, constitutional claim)
(state prisoner 's federal habeas, asserts, federal constitutional claim)
(state prisoner 's federal habeas, asserts, new federal constitutional claim)
(state prisoner 's habeas, asserts, claim based)
(state prisoner 's federal habeas, asserts, constitutional claim)
(state prisoner 's federal habeas, asserts, federal claim based)
(state prisoner 's habeas, asserts, new constitutional claim based)
(state prisoner 's habeas, asserts, new federal constitutional claim based)
(test, is, met)
(state prisoner 's habeas, asserts, new claim)
(state prisoner 's habeas, asserts, federal claim)
(state prisoner 's habeas, asserts, new federal claim)
(state prisoner 's habeas, asserts, new constitutional claim)
