(UNITED STATES, v. MCFADDEN is, 2015)
(we, adopt, his interpretation of statute)
(McFadden, invokes, canon of constitutional avoidance)
(it, be rendered, vague)
(McFadden, invokes, canon)
(we, adopt, his interpretation)
(argument, fails on, two grounds)
(canon, is, Under our precedents tool choosing between plausible interpretations)
(canon, is, Under our precedents tool choosing between competing plausible interpretations)
(canon, is tool, choosing between competing plausible interpretations)
(canon, is tool, choosing)
(canon, is, Under our precedents tool choosing between competing plausible interpretations of provision)
(canon, is, Under our precedents tool choosing)
(canon, is tool, choosing between plausible interpretations of provision)
(canon, is, Under our precedents tool choosing between plausible interpretations of provision)
(canon, is tool, choosing between plausible interpretations)
(canon, is tool, choosing between competing plausible interpretations of provision)
(McFadden, has, argument)
(statute, were, ambiguous)
(McFadden 's argument, would falter, Even ambiguous)
(statute, were, Even ambiguous)
(McFadden 's argument, would falter, ambiguous)
(scienter requirement, alleviate, s vagueness concerns)
(scienter requirement, is in, statute)
(scienter requirement, alleviate s vagueness concerns Under, our precedents)
(scienter requirement, is in, statute)
(McFadden, suggests to, extent)
(More-over, suggests to, extent)
(his alternative scienter requirement, do, nothing)
(his proposed alternative scienter requirement, cure, infirmity)
(his alternative scienter requirement, cure, infirmity)
(itself, is, indeterminate)
(his proposed alternative scienter requirement, do, nothing)
(District Court, has, instructions to jury)
(substance, effect on, central system similar to that of controlled substance)
(depressant, hallucinogenic effect on, nervous system substantially similar to that of controlled substance)
(substance, has, effect on nervous system)
(substance, has, effect on central nervous system substantially similar to that of substance)
(depressant, effect on, central system similar to that of controlled substance)
(substance, hallucinogenic effect on, system similar to that of controlled substance)
(substance, has, hallucinogenic effect on nervous system similar to that of controlled substance)
(depressant, hallucinogenic effect on, central nervous system)
(depressant, hallucinogenic effect on, central nervous system substantially similar to that of controlled substance)
(substance, effect on, central system similar)
(substance, effect on, nervous system similar to that of substance)
(depressant, hallucinogenic effect on, nervous system substantially similar to that of substance)
(substance, has, hallucinogenic effect on nervous system)
(substance, hallucinogenic effect on, central system substantially similar to that of substance)
(depressant, effect on, central system substantially similar to that)
(depressant, effect on, central nervous system similar to that)
(substance, effect on, central nervous system substantially similar to that)
(substance, has, hallucinogenic effect on central system substantially similar to that of controlled substance)
(substance, has, hallucinogenic effect on nervous system similar)
(substance, hallucinogenic effect on, nervous system substantially similar to that)
(depressant, effect on, central nervous system)
(substance, hallucinogenic effect on, central system substantially similar to that of controlled substance)
(depressant, hallucinogenic effect on, central system)
(substance, hallucinogenic effect on, central system substantially similar)
(substance, effect on, system similar to that)
(substance, hallucinogenic effect on, nervous system)
(substance, hallucinogenic effect on, central nervous system)
(substance, effect on, central nervous system similar to that of substance)
(substance, has, effect on central nervous system similar to that of substance)
(substance, hallucinogenic effect on, system substantially similar to that of substance)
(substance, has, effect on nervous system similar)
(depressant, effect on, central nervous system similar to that of substance)
(depressant, hallucinogenic effect on, nervous system similar to that of controlled substance)
(depressant, hallucinogenic effect on, system similar)
(substance, has, effect on central nervous system similar to that)
(depressant, hallucinogenic effect on, nervous system similar to that of substance)
(depressant, effect on, nervous system substantially similar to that of controlled substance)
(substance, hallucinogenic effect on, central system similar to that)
(substance, has, hallucinogenic effect on system similar to that of controlled substance)
(substance, hallucinogenic effect on, central nervous system substantially similar)
(substance, has, effect on central nervous system substantially similar to that of controlled substance)
(substance, has, hallucinogenic effect on central nervous system similar to that of substance)
(substance, has, hallucinogenic effect on central system similar)
(substance, has, effect on nervous system similar to that of substance)
(depressant, hallucinogenic effect on, central nervous system similar to that of controlled substance)
(substance, has, hallucinogenic effect)
(depressant, hallucinogenic effect on, central nervous system substantially similar)
(substance, effect on, central nervous system similar to that)
(substance, has, effect on central system similar to that of controlled substance)
(substance, has, effect on central nervous system similar)
(jury, was, instructed)
(substance, effect on, nervous system)
(substance, hallucinogenic effect on, system substantially similar)
(substance, effect on, nervous system substantially similar to that of substance)
(substance, effect on, system similar to that of substance)
(jury, was instructed, McFadden had)
(substance, has, hallucinogenic effect on system substantially similar)
(substance, hallucinogenic effect on, central system similar)
(depressant, effect on, central nervous system substantially similar)
(substance, has, hallucinogenic effect on central nervous system similar to that of controlled substance)
(depressant, hallucinogenic effect on, central system similar to that of controlled substance)
(substance, hallucinogenic effect on, central nervous system similar to that of controlled substance)
(depressant, hallucinogenic effect on, central system substantially similar to that of substance)
(substance, has, hallucinogenic effect on system substantially similar to that of controlled substance)
(depressant, effect on, central system similar to that of substance)
(depressant, hallucinogenic effect on, central system similar to that of substance)
(substance, has, hallucinogenic effect on system similar to that of substance)
(substance, has, effect on central system similar to that of substance)
(depressant, effect on, nervous system similar to that)
(substance, has, hallucinogenic effect on central nervous system substantially similar to that of substance)
(substance, hallucinogenic effect on, system similar)
(substance, effect on, central system similar to that)
(substance, has, hallucinogenic effect on central nervous system similar to that)
(depressant, effect on, central system substantially similar)
(depressant, hallucinogenic effect on, system substantially similar to that)
(substance, hallucinogenic effect on, central system similar to that of controlled substance)
(substance, effect on, nervous system substantially similar to that)
(depressant, effect on, system substantially similar to that of substance)
(substance, hallucinogenic effect on, central system similar to that of substance)
(substance, has, hallucinogenic effect on system substantially similar to that of substance)
(substance, has, effect on nervous system substantially similar to that of substance)
(substance, effect on, system substantially similar to that)
(substance, has, effect on nervous system substantially similar to that of controlled substance)
(substance, hallucinogenic effect on, system similar to that)
(substance, has, effect on system)
(substance, has, hallucinogenic effect on central nervous system substantially similar to that of controlled substance)
(substance, has, effect on system substantially similar to that)
(substance, has, hallucinogenic effect on nervous system substantially similar to that)
(depressant, effect on, nervous system substantially similar to that)
(substance, hallucinogenic effect on, central nervous system similar to that)
(substance, has, stimulant)
(substance, hallucinogenic effect on, central nervous system substantially similar to that of controlled substance)
(substance, hallucinogenic effect on, central system substantially similar to that)
(depressant, hallucinogenic effect on, system similar to that of controlled substance)
(substance, effect on, central nervous system similar to that of controlled substance)
(substance, has, effect on central system substantially similar to that of controlled substance)
(depressant, effect on, nervous system similar to that of controlled substance)
(substance, hallucinogenic effect on, nervous system similar to that)
(substance, has, hallucinogenic effect on central nervous system substantially similar to that)
(depressant, hallucinogenic effect on, nervous system substantially similar to that)
(substance, has, hallucinogenic effect on nervous system similar to that of substance)
(substance, has, effect on central nervous system similar to that of controlled substance)
(depressant, hallucinogenic effect on, system substantially similar)
(substance, has, effect on central nervous system substantially similar)
(depressant, effect on, system substantially similar to that of controlled substance)
(substance, hallucinogenic effect on, system substantially similar to that)
(depressant, hallucinogenic effect on, system substantially similar to that of substance)
(substance, has, effect on nervous system similar to that)
(substance, has, effect on system substantially similar to that of controlled substance)
(substance, effect on, central nervous system similar)
(substance, hallucinogenic effect on, nervous system similar to that of substance)
(substance, effect on, system substantially similar to that of substance)
(substance, hallucinogenic effect on, central nervous system similar to that of substance)
(substance, hallucinogenic effect on, system)
(substance, has, hallucinogenic effect on central system)
(substance, has, effect on central system substantially similar)
(depressant, effect on, system similar to that of controlled substance)
(substance, effect on, nervous system substantially similar to that of controlled substance)
(substance, effect on, central system substantially similar)
(depressant, hallucinogenic effect on, central system similar to that)
(depressant, hallucinogenic effect on, central nervous system similar to that of substance)
(depressant, effect on, system similar)
(substance, has, effect on nervous system substantially similar to that)
(depressant, hallucinogenic effect on, nervous system)
(substance, hallucinogenic effect on, nervous system similar to that of controlled substance)
(substance, has, hallucinogenic effect on central system substantially similar to that)
(substance, has, hallucinogenic effect on central system substantially similar to that of substance)
(depressant, effect on, central nervous system similar)
(substance, hallucinogenic effect on, central system)
(depressant, effect on, system substantially similar to that)
(depressant, hallucinogenic effect on, central nervous system substantially similar to that of substance)
(depressant, hallucinogenic effect on, system)
(depressant, effect on, system substantially similar)
(depressant, effect on, central nervous system substantially similar to that of substance)
(depressant, effect on, central system similar)
(depressant, effect on, nervous system similar to that of substance)
(substance, has, effect on central system substantially similar to that of substance)
(substance, has, hallucinogenic effect on nervous system substantially similar to that of controlled substance)
(substance, has, effect on system similar)
(substance, effect on, central nervous system substantially similar to that of controlled substance)
(substance, has, hallucinogenic effect on system substantially similar to that)
(depressant, hallucinogenic effect on, system similar to that of substance)
(substance, effect on, central system substantially similar to that)
(depressant, effect on, nervous system similar)
(depressant, hallucinogenic effect on, central system similar)
(substance, has, hallucinogenic effect on central nervous system similar)
(substance, hallucinogenic effect on, system substantially similar to that of controlled substance)
(depressant, hallucinogenic effect on, central system substantially similar)
(depressant, effect on, central nervous system substantially similar to that of controlled substance)
(substance, hallucinogenic effect on, nervous system substantially similar to that of controlled substance)
(substance, hallucinogenic effect on, central nervous system similar)
(substance, effect on, central nervous system substantially similar to that of substance)
(substance, has, hallucinogenic effect on nervous system substantially similar)
(substance, has, hallucinogenic effect on system similar)
(substance, has, hallucinogenic effect on central system similar to that)
(depressant, hallucinogenic effect on, central system substantially similar to that of controlled substance)
(substance, has, effect on nervous system substantially similar)
(depressant, hallucinogenic effect on, nervous system similar to that)
(depressant, hallucinogenic effect on, nervous system similar)
(substance, has, effect on central system)
(depressant, effect on, nervous system substantially similar to that of substance)
(depressant, effect on, central system substantially similar to that of controlled substance)
(substance, effect on, nervous system similar to that)
(substance, hallucinogenic effect on, system similar to that of substance)
(substance, has, effect on system similar to that of controlled substance)
(substance, has, hallucinogenic effect on central nervous system substantially similar)
(substance, has, hallucinogenic effect on nervous system substantially similar to that of substance)
(substance, hallucinogenic effect on, nervous system substantially similar to that of substance)
(substance, has, effect on system substantially similar)
(depressant, effect on, central system similar to that)
(substance, effect on, central system)
(substance, has, effect on central nervous system)
(substance, hallucinogenic effect on, central nervous system substantially similar to that of substance)
(substance, has, hallucinogenic effect on system similar to that)
(depressant, hallucinogenic effect on, system similar to that)
(substance, has, hallucinogenic effect on central system substantially similar)
(substance, effect on, system substantially similar to that of controlled substance)
(depressant, hallucinogenic effect on, central system substantially similar to that)
(substance, effect on, central system similar to that of substance)
(depressant, effect on, system similar to that of substance)
(substance, has, hallucinogenic effect on central system similar to that of controlled substance)
(substance, has, hallucinogenic effect on system)
(depressant, effect on, central nervous system substantially similar to that)
(substance, has, effect on central system substantially similar to that)
(substance, has, effect on system similar to that of substance)
(substance, effect on, central nervous system)
(substance, effect on, system substantially similar)
(substance, effect on, nervous system similar to that of controlled substance)
(depressant, hallucinogenic effect on, central nervous system similar to that)
(depressant, effect on, central system)
(depressant, hallucinogenic effect on, central nervous system substantially similar to that)
(substance, has, effect on system substantially similar to that of substance)
(substance, has, effect on central system similar to that)
(depressant, effect on, system)
(substance, hallucinogenic effect on, central nervous system substantially similar to that)
(depressant, effect on, system similar to that)
(substance, has, effect on nervous system similar to that of controlled substance)
(substance, effect on, system similar to that of controlled substance)
(substance, has, effect on system similar to that)
(substance, has, actual stimulant)
(substance, effect on, system similar)
(depressant, effect on, nervous system)
(substance, has, hallucinogenic effect on nervous system similar to that)
(substance, effect on, central system substantially similar to that of substance)
(substance, effect on, central nervous system substantially similar)
(substance, has, hallucinogenic effect on central system similar to that of substance)
(depressant, effect on, central system substantially similar to that of substance)
(substance, effect on, system)
(substance, has, effect on central system similar)
(substance, hallucinogenic effect on, nervous system substantially similar)
(substance, has, hallucinogenic effect on central nervous system)
(depressant, hallucinogenic effect on, central nervous system similar)
(depressant, effect on, central nervous system similar to that of controlled substance)
(depressant, hallucinogenic effect on, nervous system substantially similar)
(depressant, hallucinogenic effect on, system substantially similar to that of controlled substance)
(substance, effect on, central system substantially similar to that of controlled substance)
(substance, has, effect on central nervous system substantially similar to that)
(substance, effect on, nervous system substantially similar)
(substance, has, effect)
(substance, effect on, nervous system similar)
(depressant, effect on, nervous system substantially similar)
(substance, hallucinogenic effect on, nervous system similar)
(omission, is subject to, harmless-error analysis)
(omission, is subject to, analysis)
(omission, is, subject)
(court, consider, it)
(court, consider in, first instance)
(issue, Court of, Appeals)
(court, consider in, instance)
(we, vacate judgment For, reasons)
(we, vacate, judgment of Court)
(we, remand case for, further proceedings consistent)
(we, remand, case)
(we, remand case for, proceedings consistent)
(we, vacate judgment For, foregoing reasons)
(we, vacate, judgment of Court of Appeals)
(we, remand case for, proceedings)
(we, remand case for, proceedings consistent with opinion)
(we, vacate, judgment)
(we, remand case for, further proceedings)
(we, remand case for, further proceedings consistent with opinion)
(It, is, ordered)
(It, is, so ordered)
(STEPHEN DOMINICK MCFADDEN, PETITIONER v., UNITED STATES)
(Court, has, opinion)
(I, join, Court 's opinion)
(word, knowingly applies to, also object)
(word, applies to, statute 's verbs)
(word, applies to, object of verbs)
(word, knowingly applies to, object)
(word, knowingly applies to, also object of verbs)
(word, applies to, object)
(word, knowingly applies to, statute 's verbs)
(word, knowingly applies to, object of verbs)
(word, applies to, also object)
(word, applies to, also object of verbs)
(statute, to, verbs)
(defendant, needs, know)
(defendant, know, more than identity)
(substance, is, controlled)
(he, needs, know)
(defendant, know, more)
(defendant, know, more than identity of substance)
(involving, well-known drugs such as, heroin)
(can evidence, is, controlled)
(heroin, knowledge of, identity)
(involving, drugs such as, defendant 's knowledge of identity)
(defendant, has, knowledge of identity of substance)
(can compelling evidence, is, controlled)
(involving, drugs such as, heroin)
(involving, well-known drugs such as, defendant 's knowledge of identity of substance)
(cases, involving, drugs)
(can compelling evidence, is In, cases involving)
(heroin, knowledge 's, defendant)
(involving, well-known drugs such as, defendant 's knowledge)
(involving, drugs such as, defendant 's knowledge)
(involving, well-known drugs such as, defendant 's knowledge of identity)
(he, knows, substance)
(involving, drugs such as, defendant 's knowledge of identity of substance)
(cases, involving, well-known drugs)
(They, are both used as, recreational drugs)
(They, are used as, drugs)
(They, are both used as, drugs)
(They, are also both used as, drugs)
(They, are also used as, drugs)
(They, are, used)
(They, are also used as, recreational drugs)
(They, are also both used as, recreational drugs)
(They, are, also used)
(They, are, also both used)
(They, are, both used)
(They, are used as, recreational drugs)
(one, is, controlled)
(substance, of, iden-tity)
(that, is, typically true)
(legal element, is in, definition of offense)
(person, has, lack of knowledge regarding)
(Liparota, S. n., 9)
(legal element, is in, Section 841)
(Court, drew in, Liparota)
(it, was, illegal)
(it, possess, controlled substance)
(it, possess, substance)
(Court, has, statements on issue)
(Government, prove as, as mens rea requirements)
(Government, prove state as, as most mens rea requirements)
(Government, prove state as, as mens rea requirements)
(Government, prove as, as most mens rea requirements)
(Circumstantial evidence, could include, knowledge)
(Circumstantial evidence, could include, knowledge)
(substance, produces, similar to that produced by substances)
(evidence, could include, knowledge)
(evidence, could include, knowledge)
(substance, produces, similar to that produced)
(particular substance, produces, high similar to that)
(particular substance, produces, similar to that produced by controlled substances)
(substance, is subject to, seizure)
(particular substance, produces, high similar to that produced)
(substance, produces, similar)
(particular substance, is subject to, seizure at customs)
(substance, produces, similar to that)
(substance, is, subject)
(substance, produces, high similar to that produced by controlled substances)
(substance, is subject to, seizure at customs)
(particular substance, produces, high similar to that produced by substances)
(particular substance, is, subject)
(Circumstantial evidence, could include, defendant 's concealment)
(substance, produces, high similar to that produced by substances)
(evidence, could include, defendant 's concealment)
(substance, produces, similar to that produced by controlled substances)
(particular substance, produces, high similar to that produced by controlled substances)
(substance, produces, high similar)
(particular substance, produces, similar)
(substance, produces, high similar to that)
(particular substance, produces, similar to that produced by substances)
(particular substance, produces, similar to that)
(particular substance, produces, high similar)
(defendant, has, concealment)
(particular substance, produces, similar to that produced)
(substance, produces, high similar to that produced)
(particular substance, is subject to, seizure)
(alleged analogue, is, similar in structure to controlled substance)
(First, is, similar in chemical structure to controlled substance)
(alleged analogue, is, substantially similar in structure to controlled substance)
(First, is, substantially similar in structure to substance)
(analogue, is, similar)
(alleged analogue, is, substantially similar)
(First, is substantially similar in, chemical structure)
(analogue, is similar to, substance)
(analogue, is substantially similar in, structure)
(analogue, is similar to, controlled substance)
(analogue, is substantially similar to, controlled substance)
(analogue, is, substantially similar in structure to controlled substance)
(alleged analogue, is substantially similar in, chemical structure)
(alleged analogue, is, substantially similar in chemical structure to substance)
(First, is, similar)
(analogue, is, substantially similar)
(alleged analogue, is similar in, chemical structure)
(First, is similar to, substance)
(First, is substantially similar to, §)
(analogue, is, similar in structure to substance)
(alleged analogue, is similar in, structure)
(analogue, is, similar in chemical structure to substance)
(alleged analogue, is substantially similar in, structure)
(First, is, substantially similar in chemical structure to substance)
(First, is similar in, structure)
(substance, is, substance analogue under definition in § 802)
(alleged analogue, is similar to, controlled substance)
(analogue, is similar to, §)
(substance, is, controlled substance analogue)
(analogue, is substantially similar to, substance)
(First, is similar to, §)
(alleged analogue, is similar to, §)
(substance, is, substance analogue)
(First, is, substantially similar in chemical structure to controlled substance)
(substance, is, controlled substance analogue under definition in § 802)
(First, is similar in, chemical structure)
(First, is substantially similar to, substance)
(analogue, is, similar in structure to controlled substance)
(analogue, is similar in, structure)
(analogue, is, similar in chemical structure to controlled substance)
(analogue, is similar in, chemical structure)
(alleged analogue, is, similar in chemical structure to controlled substance)
(First, is similar to, controlled substance)
(substance, is, controlled)
(alleged analogue, is substantially similar to, controlled substance)
(substance, is, substance analogue under definition)
(alleged analogue, is, similar)
(First, is, similar in chemical structure to substance)
(First, is, similar in structure to substance)
(alleged analogue, is substantially similar to, §)
(First, is, substantially similar in structure to controlled substance)
(analogue, is, substantially similar in chemical structure to controlled substance)
(alleged analogue, is, similar in chemical structure to substance)
(First, is, substantially similar)
(analogue, is, substantially similar in structure to substance)
(alleged analogue, is, substantially similar in chemical structure to controlled substance)
(analogue, is substantially similar to, §)
(First, is, similar in structure to controlled substance)
(First, is substantially similar in, structure)
(alleged analogue, is substantially similar to, substance)
(substance, is, controlled substance analogue under definition)
(First, is substantially similar to, controlled substance)
(alleged analogue, is, similar in structure to substance)
(definition, is in, § 802)
(analogue, is substantially similar in, chemical structure)
(alleged analogue, is similar to, substance)
(alleged analogue, is, substantially similar in structure to substance)
(analogue, is, substantially similar in chemical structure to substance)
(substance, is in, question)
(substance, was, substance)
(substance, was, controlled substance)
(substance, was controlled substance under, law)
(substance, was substance under, law)
(substance, was substance under, federal law)
(substance, was, controlled)
(substance, was controlled substance under, federal law)
(substances, listed on, drug schedules)
(Government, may offer evidence As, As prosecutions)
(Government, may offer, evidence of knowledge)
(Government, may offer, evidence)
(substances, actually listed on, drug schedules)
(Government, may offer, circumstantial evidence)
(Government, may offer, circumstantial evidence of knowledge)
(substance, was, controlled substance)
(substance, was controlled substance under, CSA)
(substance, was substance under, CSA)
(it, will, will left to trier)
(it, will, will left)
(it, will, In such cases will left)
(substance, was, substance)
(it, will, will left to trier of fact)
(it, will, In cases will left)
(it, will, In cases will left to trier)
(substance, was, controlled)
(it, will, In such cases will left to trier)
(it, will, In such cases will left to trier of fact)
(it, will, In cases will left to trier of fact)
(answer, is, hydrocodone)
