(NORTH DAKOTA, v. BIRCHFIELD is, 2016)
(First-degree refusal, carries, mandatory minimum 3-year prison sentence)
(First-degree refusal, carries, highest maximum penalties)
(First-degree refusal, carries, maximum penalties)
(refusal, carries, highest maximum penalties)
(First-degree refusal, carries, mandatory minimum prison sentence)
(refusal, carries, mandatory minimum prison sentence)
(breath test, demanded of, Bernard)
(warrantless breath test, demanded of, Bernard)
(State Supreme Court, affirmed, judgment)
(Minnesota Court, reversed at, 46a)
(Minnesota Court, reversed id. at, 46a)
(N. W., 2d at, 766-772)
(859 N. W., 2d at, 766-772)
(police officer, spotted, our petitioner)
(police officer, spotted, our third petitioner)
(Beylund, try unsuccessfully, turn into driveway)
(Beylund, try, turn into driveway)
(Beylund, try unsuccessfully, turn)
(Beylund, try, turn)
(Beylund, turn into, driveway)
(Beylund 's car, hit, stop sign)
(Beylund 's car, nearly hit stop sign, coming to stop)
(Beylund 's car, nearly hit stop sign, coming to stop partly on public road)
(Beylund 's car, nearly hit stop sign, coming)
(Beylund 's car, coming on, road)
(Beylund 's car, nearly hit stop sign, coming on public road)
(Beylund 's car, nearly hit stop sign, coming to stop on road)
(Beylund 's car, hit stop sign, coming to stop on road)
(Beylund 's car, hit stop sign, coming)
(Beylund 's car, hit stop sign, coming to stop on public road)
(Beylund 's car, hit stop sign, coming to stop still partly on public road)
(Beylund 's car, nearly hit stop sign, coming still partly on public road)
(Beylund 's car, coming to, stop)
(Beylund 's car, nearly hit stop sign, coming on road)
(Beylund 's car, coming on, partly public road)
(Beylund 's car, hit stop sign, coming to stop)
(Beylund 's car, hit stop sign, coming to stop partly on public road)
(Beylund 's car, nearly hit stop sign, coming to stop still partly on road)
(Beylund 's car, hit stop sign, coming to stop partly on road)
(Beylund 's car, hit stop sign, coming on road)
(Beylund 's car, nearly hit stop sign, coming to stop still partly on public road)
(Beylund 's car, nearly hit stop sign, coming still partly on road)
(Beylund 's car, hit stop sign, coming partly on public road)
(Beylund 's car, coming on, public road)
(Beylund 's car, hit stop sign, coming to stop still partly on road)
(Beylund 's car, coming on, still partly public road)
(Beylund 's car, hit stop sign, coming on public road)
(Beylund 's car, hit stop sign, coming partly on road)
(Beylund 's car, nearly hit stop sign, coming partly on road)
(Beylund 's car, nearly hit stop sign In, process)
(Beylund 's car, hit stop sign, coming still partly on public road)
(Beylund 's car, coming on, partly road)
(Beylund 's car, coming on, still partly road)
(Beylund 's car, hit stop sign In, process)
(Beylund, has, car)
(Beylund 's car, nearly hit, stop sign)
(Beylund 's car, nearly hit stop sign, coming to stop partly on road)
(Beylund 's car, hit stop sign, coming still partly on road)
(Beylund 's car, nearly hit stop sign, coming partly on public road)
(Beylund 's car, nearly hit stop sign, coming to stop on public road)
(Beylund, had, empty wine glass)
(Beylund, had wine glass next to, him)
(Beylund, had, wine glass)
(Beylund, had wine glass in, center console)
(him, step out of, car)
(officer, asked, him)
(Beylund, smelled of, alcohol)
(Beylund, also smelled of, alcohol)
(he, keep, his balance)
(he, struggled, Beylund did so)
(he, struggled, Beylund did)
(officer, arrested Beylund, driving)
(officer, driving, impaired)
(officer, arrested, Beylund)
(Beylund North Dakota, has, implied consent advisory)
(he, read, Beylund North Dakota 's consent advisory)
(test refusal, is, itself)
(he, informing, him)
(test refusal, is in, circumstances)
(test refusal, is itself, crime)
(he, read, Beylund North Dakota 's implied consent advisory)
(Beylund, agreed Unlike, other two petitioners)
(Beylund, agreed Unlike, other two petitioners in cases)
(Beylund, agreed Unlike, two petitioners in cases)
(Beylund, agreed Unlike, two petitioners)
(other two petitioners, is in, cases)
(Beylund, agreed, have)
(Beylund 's driver 's license, was suspended for, two years)
(Beylund 's driver 's license, was suspended after, administrative hearing)
(Beylund 's driver 's license, was, suspended for two years after administrative hearing)
(Beylund 's driver 's license, was, suspended)
(driver, has, license)
(Beylund, has, driver)
(Beylund 's driver 's license, was, suspended for two years after hearing)
(Beylund 's driver 's license, was suspended, test results)
(Beylund 's driver 's license, was suspended after, hearing)
(Beylund, appealed, hearing officer 's decision)
(Beylund, appealed, hearing officer 's decision to Dakota District Court)
(Beylund, appealed, hearing officer 's decision to North Dakota District Court)
(his consent, was coerced by, officer 's warning)
(his consent, was, coerced)
(refusing, be, crime)
(hearing officer, has, decision to North Dakota District Court)
(itself, be, crime)
(officer, by, warning)
(District Court, rejected, argument)
(his consent, was voluntary because of, criminal penalties)
(his consent, was voluntary because of, announced penalties for refusal)
(his consent, was voluntary because of, criminal penalties for refusal)
(his consent, was insufficiently voluntary because of, announced criminal penalties for refusal)
(his consent, was voluntary because of, penalties for refusal)
(its Birchfield decision, upheld, constitutionality of penalties)
(his consent, was insufficiently voluntary because of, announced penalties)
(his consent, was insufficiently voluntary because of, announced criminal penalties)
(court, relied In, response)
(its then-recent Birchfield decision, upheld, constitutionality of penalties)
(Beylund, to, argument)
(his consent, was voluntary because of, penalties)
(his consent, was voluntary because of, announced penalties)
(his consent, was insufficiently voluntary because of, criminal penalties for refusal)
(his consent, was voluntary because of, announced criminal penalties for refusal)
(his consent, was insufficiently voluntary because of, penalties)
(his consent, was voluntary because of, announced criminal penalties)
(his consent, was insufficiently voluntary because of, penalties for refusal)
(his consent, was insufficiently voluntary because of, announced penalties for refusal)
(his consent, was, insufficiently voluntary)
(his consent, was insufficiently voluntary because of, criminal penalties)
(its Birchfield decision, constitutionality of, penalties)
(its then-recent Birchfield decision, constitutionality of, penalties)
(its Birchfield decision, upheld, constitutionality)
(court, relied In, response to Beylund 's argument)
(his consent, was, voluntary)
(its then-recent Birchfield decision, upheld, constitutionality)
(court, relied on, fact)
(859 N. W., 2d, 408-409)
(N. W., 2d, 408-409)
(consent, offered by, similarly situated motorist)
(consent, offered by, motorist)
(it, found, consent offered by situated motorist)
(it, found, consent)
(it, found, consent offered by similarly situated motorist)
(it, found, consent offered)
(consent, offered by, situated motorist)
(it, found, consent offered by motorist)
(North Dakota, has, implied consent advisory)
(measuring, alcohol in, their bloodstream)
(alcohol, is in, their bloodstream)
(cases, differ in, respects)
(facts, is in, three cases)
(Beylund, were, told)
(Birchfield, was convicted of, crime)
(Birchfield, was, convicted of crime for his refusal)
(Birchfield, was convicted for, his refusal)
(Birchfield, was, convicted)
(his license, was suspended in, proceeding)
(his license, was, suspended)
(his license, was suspended in, administrative proceeding)
(his license, was suspended in, proceeding based)
(his license, was, then suspended in proceeding based on test)
(his license, was suspended in, administrative proceeding based on test)
(his license, was suspended in, administrative proceeding based)
(his license, was, then suspended in administrative proceeding based on test)
(his license, was, then suspended in administrative proceeding)
(Beylund, complied with, demand for blood sample)
(Beylund, complied with, demand)
(his license, was, then suspended in administrative proceeding based)
(his license, was, then suspended)
(his license, was, then suspended in proceeding based)
(his license, was, then suspended in proceeding)
(his license, was suspended in, proceeding based on test)
(success, depends Despite, differences)
(it, follows, warrantless searches comport)
(it, follows, on hand such searches comport)
(it, follows, searches comport)
(it, follows, on other hand warrantless searches comport)
(it, follows, such warrantless searches comport with Amendment)
(it, follows, on other hand such searches comport)
(searches, comport on, other hand)
(warrantless searches, comport with, Amendment)
(such warrantless searches, comport on, other hand)
(it, follows, on other hand searches comport with Amendment)
(warrantless searches, comport on, hand)
(such searches, comport with, Amendment)
(it, follows, on hand searches comport with Fourth Amendment)
(State, just may make, it crime)
(such searches, comport with, Fourth Amendment)
(searches, comport on, hand)
(it, follows, on other hand warrantless searches comport with Fourth Amendment)
(it, follows, on hand such searches comport with Fourth Amendment)
(searches, comport with, Amendment)
(it, follows, on hand searches comport with Amendment)
(such searches, comport on, hand)
(warrantless searches, comport with, Fourth Amendment)
(it, follows, on hand warrantless searches comport with Fourth Amendment)
(such warrantless searches, comport on, hand)
(it, follows, on other hand such warrantless searches comport with Amendment)
(warrantless searches, comport on, other hand)
(it, follows, such searches comport)
(it, follows, on hand warrantless searches comport)
(it, follows, searches comport with Fourth Amendment)
(it, follows, on other hand such searches comport with Amendment)
(it, follows, on other hand searches comport with Fourth Amendment)
(State, criminalize, refusal comply with demand submit to required testing)
(it, follows, on hand such warrantless searches comport with Amendment)
(it, follows, on hand such searches comport with Amendment)
(it, follows, on other hand warrantless searches comport with Amendment)
(State, criminalize, refusal comply with demand submit to testing)
(it, follows, such searches comport with Amendment)
(it, follows, such searches comport with Fourth Amendment)
(it, follows, on hand searches comport)
(it, follows, on hand warrantless searches comport with Amendment)
(State, criminalize, refusal comply with demand submit)
(State, criminalize, refusal comply)
(such warrantless searches, comport with, Fourth Amendment)
(it, follows, on other hand such warrantless searches comport)
(it, follows, searches comport with Amendment)
(it, follows, warrantless searches comport with Amendment)
(State, may make, it crime)
(it, follows, on hand such warrantless searches comport with Fourth Amendment)
(it, follows, on other hand such warrantless searches comport with Fourth Amendment)
(searches, comport with, Fourth Amendment)
(it, follows, warrantless searches comport with Fourth Amendment)
(such searches, comport on, other hand)
(it, follows, such warrantless searches comport)
(it, follows, on other hand searches comport)
(it, follows, on other hand such searches comport with Fourth Amendment)
(it, follows, on hand such warrantless searches comport)
(it, follows, such warrantless searches comport with Fourth Amendment)
(such warrantless searches, comport with, Amendment)
(authority, search home under, warrant)
(authority, search, home)
(cf., Bumper v., North Carolina)
(We, therefore begin, considering)
(searches, demanded in, cases)
(We, begin, considering)
(place, be, searched)
(right, persons, seized)
(taking, is, search)
(Railway Labor Executives, ' Assn. is, 616-617 1989)
(Railway Labor Executives, ' Assn. is, 489 U. S. 602)
(searches, is, reasonable)
(searches, is, then reasonable)
(warrantless searches, is, reasonable)
(warrantless searches, is, then reasonable)
(question, is, reasonable)
(question, is, then reasonable)
(ultimate measure, is, reasonableness)
(constitutionality, ultimate measure of is, reasonableness)
(constitutionality, measure of is, reasonableness)
(measure, is, reasonableness)
(warrant, be, secured)
(459, at King is, 563 U. S.)
(usual requirement, is, however subject)
(usual requirement, is, subject)
(requirement, is, subject)
(requirement, is, however subject)
(We, have had, occasion examine)
(We, have previously had, occasion examine)
(emergency, leaves, police time)
(exigent circumstances exception, allows, warrantless search)
(circumstances exception, allows, search)
(exigent circumstances exception, allows, search)
(circumstances exception, allows, warrantless search)
(emergency, seek, warrant)
(emergency, leaves, police insufficient time)
(It, permits, entry of private property)
(It, permits, entry of property)
(It, permits, entry)
(460, at King is, supra)
(we, held In, Schmerber)
(officer, There directed, hospital personnel)
(officer, take, blood sample)
(officer, directed, hospital personnel)
(percentage, is in, blood)
(time, had, had lost)
(driver, investigating, accident)
(blood draw, even took, place)
(warrantless blood draw, took, place)
(blood draw, took, place)
(warrantless blood draw, took place over, driver 's objection)
(blood draw, took place over, driver 's objection)
(time, had, where had already lost)
(warrantless blood draw, even took place over, driver 's objection)
(driver, over, objection)
(warrantless blood draw, even took, place)
(time, had, had already lost)
(blood draw, even took place over, driver 's objection)
(time, had, where had lost)
(BAC evidence, is, evanescent)
(circumstances, exist, inherently evanescent)
(exigent circumstances, necessarily exist, inherently evanescent)
(circumstances, exist, evanescent)
(circumstances, necessarily exist, inherently evanescent)
(BAC evidence, is, inherently evanescent)
(exigent circumstances, necessarily exist, evanescent)
(officer, has, probable cause believe)
(exigent circumstances, exist, evanescent)
(rule, State of, Missouri)
(State, was seeking, rule)
(circumstances, necessarily exist, evanescent)
(exigent circumstances, exist, inherently evanescent)
(We, disagreed, emphasizing)
(We, depart from, careful case-by-case assessment of exigency)
(We, refused, depart from case-by-case assessment of exigency)
(We, refused, depart from case-by-case assessment)
(We, depart from, case-by-case assessment)
(We, depart from, assessment)
(We, refused, depart)
(We, refused, depart from assessment)
(We, refused, depart from careful case-by-case assessment of exigency)
(We, depart from, case-by-case assessment of exigency)
(We, refused, depart from assessment of exigency)
(We, refused, depart from careful assessment of exigency)
(We, depart from, careful assessment)
(We, depart from, careful case-by-case assessment)
(We, depart from, assessment of exigency)
(We, refused, depart from careful case-by-case assessment)
(We, refused, depart from careful assessment)
(We, depart from, careful assessment of exigency)
(exigent-circumstances exception, be applied on, basis)
(exigent-circumstances exception, be applied on, case-by-case basis)
(exigent-circumstances exception, be, applied)
(McNeely Court, noted, emphasizing)
(warrantless search, be conducted, incident)
(warrantless search, be conducted, incident to arrest)
(warrantless search, incident to, lawful arrest)
(warrantless search, be conducted, incident to lawful arrest)
(search, incident to, arrest)
(search, incident to, lawful arrest)
(warrantless search, incident to, arrest)
(search, be conducted, incident)
(search, be conducted, incident to lawful arrest)
(search, be conducted, incident to arrest)
(case, exception for, exigent circumstances)
(issue, is in, th)
(Neither, did, any)
(they, submit, placed)
(they, were, required)
(drivers, were searched In, three cases now before us)
(they, were required, submit)
(they, submit to, search)
(they, submit, placed under arrest for driving)
(drivers, were, searched)
(they, submit, placed under arrest)
(drivers, were searched In, three cases)
(they, submit, placed under arrest for drunk driving)
(drivers, were searched In, three cases before us)
(they, were required, submit to search)
(doctrine, applies to, breath)
(search-incident-to-arrest doctrine, applies to, arrests)
(search-incident-to-arrest doctrine, applies to, such arrests)
(doctrine, applies to, such arrests)
(search-incident-to-arrest doctrine, applies to, breath)
(doctrine, applies to, arrests)
(doctrine, has, ancient pedigree)
(doctrine, has, pedigree)
(search-incident-to-arrest doctrine, has, pedigree)
(search-incident-to-arrest doctrine, has, ancient pedigree)
(it, was, recognized)
(it, was recognized before, Nation 's founding)
(it, was recognized before, Well Nation 's founding)
(arrestee, of, person)
(18th-century manual, provides, representative picture of usual practice)
(manual, provides, picture)
(18th-century manual, provides picture before, shortly Fourth Amendment 's adoption)
(18th-century manual, provides, picture)
(manual, provides, representative picture of practice)
(18th-century manual, provides, representative picture)
(manual, provides picture before, shortly Amendment 's adoption)
(18th-century manual, provides picture before, Amendment 's adoption)
(18th-century manual, provides picture before, shortly Amendment 's adoption)
(manual, provides, representative picture)
(18th-century manual, provides, picture of practice)
(18th-century manual, provides picture before, Fourth Amendment 's adoption)
(manual, provides, representative picture of usual practice)
(manual, provides picture before, shortly Fourth Amendment 's adoption)
(18th-century manual, provides, representative picture of practice)
(18th-century manual, provides, picture of usual practice)
(manual, provides picture before, Fourth Amendment 's adoption)
(manual, provides picture before, Amendment 's adoption)
(manual, provides, picture of practice)
(manual, provides, picture of usual practice)
(he, be deprived of, instruments of mischief)
(felon, search of is, consequence to your safety)
(felon, thorough search of is, consequence)
(felon, search of is, consequence)
(search, is of, consequence to your own safety)
(he, be deprived of, instruments)
(felon, thorough search of is, consequence to your safety)
(felon, search of is, consequence to your own safety)
(thorough search, is of, consequence)
(felon, search of is, utmost consequence to your own safety)
(felon, thorough search of is, utmost consequence)
(search, is of, consequence to your safety)
(felon, thorough search of is, utmost consequence to your safety)
(thorough search, is of, utmost consequence to your own safety)
(he, be, deprived)
(he, find, means get)
(thorough search, is of, consequence to your safety)
(search, is of, utmost consequence)
(thorough search, is of, utmost consequence)
(felon, search of is, utmost consequence)
(thorough search, is of, consequence to your own safety)
(search, is of, utmost consequence to your own safety)
(felon, search of is, utmost consequence to your safety)
(thorough search, is of, utmost consequence to your safety)
(felon, thorough search of is, utmost consequence to your own safety)
(search, is of, utmost consequence to your safety)
(search, is of, consequence)
(felon, thorough search of is, consequence to your own safety)
(S. Welch, Observations on, Office)
(S. Welch, Observations on, Office of Constable 19)
(legitimacy, been thoroughly established in, colonial times)
(legitimacy, been established much in, times)
(legitimacy, been, thoroughly established so much)
(legitimacy, been thoroughly established much in, colonial times)
(legitimacy, been thoroughly established much in, times)
(legitimacy, been established so much in, times)
(their constitutionality, is in, 1789)
(legitimacy, been thoroughly established so much in, times)
(scholars, agree On, contrary)
(legal scholars, agree On, contrary)
(legitimacy, been thoroughly established so much in, colonial times)
(legitimacy, been, established so much)
(legitimacy, been, thoroughly established)
(legitimacy, been, established much)
(legitimacy, been, thoroughly established much)
(legitimacy, been established in, times)
(legitimacy, been established in, colonial times)
(legitimacy, been, established)
(legitimacy, been established much in, colonial times)
(legitimacy, been thoroughly established in, times)
(legitimacy, been established so much in, colonial times)
(Two Studies, is in, Constitutional Interpretation 28-29 39 45)
(Stuntz, Origins of, Criminal Procedure)
(T. Taylor, Studies in, Constitutional Interpretation 28-29 39 45)
(subject, came up often In, century)
(subject, came up In, 19th century)
(subject, came up more often for, discussion)
(subject, came up often for, discussion)
(subject, came up for, discussion)
(subject, came up more often In, century)
(treatises, confirmed, searches ' broad acceptance)
(subject, came up In, century)
(treatises, confirmed, searches ' acceptance)
(subject, came up more often In, 19th century)
(court decisions, confirmed, searches ' acceptance)
(subject, came up often In, 19th century)
(court decisions, confirmed, searches ' broad acceptance)
(Court, first addressed, question)
(evidence, fruits of, crime)
(Court, addressed, question)
(exception, became, fixture in our Fourth Amendment case law)
(exception, became, fixture in our Amendment case law)
(exception, quickly became, fixture)
(exception, fixture in, our Fourth Amendment case law)
(exception, fixture in, our Amendment case law)
(exception, became, fixture)
(exception, quickly became, fixture in our Amendment case law)
(fixture, is in, our Fourth Amendment case law)
(exception, quickly became, fixture in our Fourth Amendment case law)
(we, grappled with, question)
(we, grappled repeatedly with, question)
(arrestee, of, office)
(arrest, was, made)
(arrest, was, where made)
(arrestee, of, four-room apartment)
(We, attempted, 754 1969)
(officers, had searched, arrestee 's house)
(officers, had searched, arrestee 's entire house)
(395 U. S. 752, clarify, law)
(arrestee, has, entire three-bedroom house)
(officers, had searched, arrestee 's entire three-bedroom house)
(We, attempted, 395 U. S. 752)
(officers, had searched, arrestee 's three-bedroom house)
(weapon, destroying, evidence)
(Chimel, endorsed, rule)
(Chimel, endorsed, general rule)
(Chimel, on, meaning)
(U. S. 218, elaborated in, United States)
(U. S. 218, later elaborated in, United States)
(U. S. 218, elaborated on, Chimel 's meaning)
(U. S. 218, later elaborated on, Chimel 's meaning)
(414 U. S. 218, elaborated in, United States)
(414 U. S. 218, elaborated on, Chimel 's meaning)
(414 U. S. 218, later elaborated on, Chimel 's meaning)
(414 U. S. 218, later elaborated in, United States)
(rule, actually comprises, two propositions)
(search, be, made of person of arrestee by virtue of arrest)
(search, be made of, person of arrestee)
(search, be, made of person of arrestee by virtue)
(search, be made by, virtue)
(search-incident-to-arrest rule, comprises, two distinct propositions)
(search, be made of, person)
(search-incident-to-arrest rule, actually comprises, two propositions)
(search, be, made of person by virtue)
(search-incident-to-arrest rule, actually comprises, two distinct propositions)
(rule, comprises, two distinct propositions)
(rule, actually comprises, two distinct propositions)
(search, be made by, virtue of arrest)
(search, be, made of person by virtue of arrest)
(search, be, made of person by virtue of lawful arrest)
(search, be, made of person of arrestee by virtue of lawful arrest)
(search, be, made)
(rule, comprises, two propositions)
(search-incident-to-arrest rule, comprises, two propositions)
(search, be made by, virtue of lawful arrest)
(search, be made within, control)
(search, be made within, control of arrestee)
(search, be, made of area within control of arrestee)
(search, be, made)
(search, be, made of area within control)
(search, be made of, area)
(we, repudiated adjudication After, review of law history)
(we, repudiated adjudication After, thorough review of law history)
(we, repudiated adjudication After, review of relevant common law history)
(we, repudiated adjudication of, question)
(we, repudiated adjudication After, thorough review of relevant law history)
(we, repudiated adjudication After, thorough review of common law history)
(we, repudiated, adjudication)
(we, repudiated, case-by-case adjudication)
(arrestee, of, person)
(we, repudiated adjudication After, review of common law history)
(we, repudiated adjudication After, review)
(we, repudiated adjudication After, thorough review of relevant common law history)
(we, repudiated adjudication After, thorough review)
(we, repudiated adjudication After, review of relevant law history)
(weapons, be, in fact found upon person of suspect)
(weapons, be, in fact found)
(weapons, be, found upon person of suspect)
(weapons, be, found)
(probability, is in, particular arrest situation)
(weapons, be, in fact found upon person)
(weapons, be, found upon person)
(mere fact, justifies, search of person)
(mere fact, justifies, search)
(fact, justifies, search of person)
(fact, Instead justifies, search)
(mere fact, Instead justifies, search)
(mere fact, Instead justifies, full search)
(fact, justifies, search)
(mere fact, justifies, full search of person)
(fact, justifies, full search of person)
(mere fact, justifies, full search)
(mere fact, Instead justifies, search of person)
(fact, Instead justifies, full search of person)
(fact, Instead justifies, search of person)
(fact, justifies, full search)
(fact, Instead justifies, full search)
(mere fact, Instead justifies, full search of person)
(police, acted permissibly, searching inside package)
(police, acted, searching inside package of cigarettes found)
(police, acted, searching inside package)
(police, acted permissibly, searching inside package of cigarettes)
(police, searching inside, package)
(police, searching inside, package of cigarettes)
(police, acted permissibly, searching)
(police, acted, searching inside package of cigarettes)
(police, acted permissibly, searching inside package of cigarettes found)
(police, searching inside, package of cigarettes found)
(police, acted, searching)
(Riley, in decision is, reaffirmed Robinson 's categorical rule)
(Riley, in decision is, 573 U. S. ___)
(Our decision, is in, Riley)
(decision, rule 's, Robinson)
(Our, decision, reaffirmed categorical rule)
(rule, be, applied)
(rule, be, how applied)
(Our, decision, 573 U. S. ___)
(Riley, concerned, search of data)
(Riley, concerned, search of data contained)
(Riley, concerned, search of data contained in memory)
(Riley, concerned, search of data contained in memory of cell phone)
(Riley, concerned, search of data contained in memory of modern cell phone)
(Riley, concerned, search)
(it, intrudes upon, individual 's privacy)
(individual, upon, privacy)
(we, examine, degree)
(we, examine, degree to which)
(individual 's privacy, upon intrud is, e)
(individual, upon, privacy)
(We, considering, impact on individual privacy interests)
(We, considering, impact of breath on privacy interests)
(We, considering, impact of breath on individual privacy interests)
(we, type of, test)
(We, considering, impact of breath)
(We, considering, impact on privacy interests)
(we, will discuss, type of test)
(We, considering, impact)
(626, at Skinner is, 489 U. S.)
(That, remains at_time, so today)
(physical intrusion, is, almost negligible)
(intrusion, is, First negligible)
(intrusion, is, First almost negligible)
(physical intrusion, is, negligible)
(physical intrusion, is, First negligible)
(physical intrusion, is, First almost negligible)
(intrusion, is, negligible)
(intrusion, is, almost negligible)
(Minnesota, describes, its version)
(process, requires, arrestee)
(Minnesota, describes, its version of breath test)
(sources, describe breath test devices in, essentially terms)
(sources, describe, breath test devices)
(Independent sources, describe, breath test devices)
(Independent sources, describe breath test devices in, essentially same terms)
(Independent sources, describe, other breath test devices)
(Independent sources, describe breath test devices in, essentially terms)
(sources, describe breath test devices in, same terms)
(sources, describe breath test devices in, essentially same terms)
(Independent sources, describe breath test devices in, terms)
(sources, describe, other breath test devices)
(sources, describe breath test devices in, terms)
(Independent sources, describe breath test devices in, same terms)
(effort, blowing up, party balloon)
(process, is, nevertheless significant intrusion)
(process, is, significant)
(process, is, nevertheless intrusion)
(arrestee, must insert, mouthpiece)
(arrestee, must insert, mouthpiece of machine)
(arrestee, mouthpiece of, machine)
(process, is, intrusion)
(process, is, significant intrusion)
(arrestee, must insert mouthpiece into, his mouth)
(Reply Brief, is in, No. 14-1470)
(straw, use of is, practice)
(straw, use of is, common practice)
(use, is, common)
(Humans, assert, possessory interest)
(Humans, assert, interest)
(Exhalation, is, natural process)
(Exhalation, is, natural)
(Exhalation, is, process)
(we, have upheld searches In, prior cases)
(we, have upheld, searches)
(we, have upheld searches In, cases)
(we, have upheld, warrantless searches)
(person, of, cheek)
(We, have also upheld, scraping underneath suspect 's fingernails)
(We, have upheld, scraping underneath suspect 's fingernails)
(We, have upheld, calling)
(We, have upheld, scraping)
(We, have also upheld, scraping)
(suspect, underneath, fingernails)
(We, scraping underneath, suspect 's fingernails)
(We, have also upheld, calling)
(breath tests, are, Second capable)
(subject, in, breath)
(amount, is in, subject 's breath)
(breath tests, are, capable)
(breath tests, revealing, only one bit)
(breath tests, revealing, only one bit of information)
(they, contrast with, sample of cells collected by swab in Maryland)
(they, contrast In, respect)
(they, contrast sharply with, sample)
(they, contrast sharply with, sample of cells)
(they, contrast with, sample)
(they, contrast sharply In, respect)
(they, contrast sharply with, sample of cells collected by swab)
(they, contrast with, sample of cells)
(swab, is in, Maryland)
(they, contrast sharply with, sample of cells collected by swab in Maryland)
(they, contrast sharply with, sample of cells collected)
(they, contrast with, sample of cells collected by swab)
(they, contrast with, sample of cells collected)
(DNA, could, could used)
(DNA, could, could lawfully used)
(DNA, could, could used 569 U. S.)
(___, at S. is, process put into possession of law enforcement authorities)
(wealth, could, could obtained)
(wealth, could, could potentially obtained)
(DNA, could, could lawfully used 569 U. S.)
(participation, is in, breath test)
(minimum, See Skinner at, 625 breath test)
(minimum, See, Skinner)
(minimum, See, supra)
(such tests, Again are administered in, patrol car)
(such tests, Again are normally administered out of, public view)
(tests, are administered out of, public view)
(such tests, are, Again normally administered)
(tests, Again are normally administered in, testing facility)
(such tests, Again are normally administered in, patrol car)
(tests, are administered in, patrol car)
(such tests, are, Again administered at police station in patrol car in mobile testing facility)
(such tests, are, administered at police station in mobile testing facility)
(such tests, are, normally administered at police station in patrol car in mobile testing facility)
(such tests, are, administered at police station in testing facility)
(tests, are, Again normally administered at police station in patrol car in testing facility)
(tests, are, Again administered at police station in testing facility)
(such tests, are, Again administered at police station in patrol car)
(tests, are normally administered out of, public view)
(such tests, are normally administered in, patrol car)
(tests, Again are normally administered in, patrol car)
(such tests, are, Again administered at police station in patrol car in testing facility)
(tests, Again are administered in, mobile testing facility)
(such tests, are, normally administered in patrol car in mobile testing facility)
(such tests, Again are normally administered in, mobile testing facility)
(such tests, are, Again normally administered at police station in mobile testing facility)
(tests, are, Again administered)
(tests, are normally administered out of, view)
(tests, are, normally administered at police station in mobile testing facility)
(such tests, are, normally administered at police station in patrol car in testing facility)
(such tests, are, administered)
(tests, are, normally administered in patrol car in mobile testing facility)
(such tests, are normally administered out of, view)
(such tests, are, normally administered at police station in patrol car)
(tests, are normally administered in, private)
(tests, Again are administered out of, view)
(such tests, are, normally administered in patrol car in testing facility)
(tests, are normally administered in, mobile testing facility)
(such tests, are administered in, mobile testing facility)
(tests, Again are normally administered out of, view)
(such tests, are, administered at police station in patrol car in testing facility)
(such tests, are administered out of, public view)
(tests, are normally administered in, testing facility)
(such tests, are, Again normally administered in patrol car in mobile testing facility)
(tests, are, Again normally administered in patrol car in mobile testing facility)
(tests, Again are normally administered out of, public view)
(such tests, Again are administered out of, view)
(such tests, are administered at, police station)
(tests, Again are normally administered in, mobile testing facility)
(such tests, are normally administered out of, public view)
(tests, are, Again administered at police station in patrol car in testing facility)
(such tests, are, normally administered at police station in mobile testing facility)
(such tests, are, Again administered)
(such tests, are, Again administered at police station in testing facility)
(tests, are, Again administered at police station in patrol car in mobile testing facility)
(tests, Again are administered at, police station)
(tests, are, Again administered in patrol car in testing facility)
(such tests, Again are administered in, private)
(tests, are administered at, police station)
(tests, Again are normally administered in, private)
(such tests, Again are normally administered in, private)
(tests, are, administered at police station in patrol car in testing facility)
(tests, are administered in, private)
(such tests, are, Again administered in patrol car in mobile testing facility)
(tests, are, normally administered at police station in patrol car in mobile testing facility)
(such tests, are normally administered in, mobile testing facility)
(tests, Again are normally administered at, police station)
(such tests, Again are administered at, police station)
(such tests, are, administered in patrol car in testing facility)
(such tests, Again are administered out of, public view)
(tests, are, Again normally administered at police station in mobile testing facility)
(tests, are normally administered at, police station)
(such tests, are, Again normally administered at police station in testing facility)
(tests, are, normally administered)
(such tests, Again are administered in, testing facility)
(such tests, Again are normally administered at, police station)
(such tests, Again are administered in, mobile testing facility)
(tests, are, Again administered in patrol car in mobile testing facility)
(tests, are administered in, testing facility)
(tests, are, normally administered at police station in patrol car in testing facility)
(tests, are administered in, mobile testing facility)
(tests, are, administered in patrol car in testing facility)
(such tests, are, Again administered in patrol car in testing facility)
(tests, Again are administered in, testing facility)
(such tests, are, administered in patrol car in mobile testing facility)
(tests, are, administered at police station in testing facility)
(tests, are, Again administered at police station in patrol car)
(such tests, are normally administered in, testing facility)
(tests, are, Again normally administered at police station in patrol car in mobile testing facility)
(tests, are, normally administered at police station in patrol car)
(tests, Again are administered out of, public view)
(such tests, are administered in, patrol car)
(tests, Again are administered in, patrol car)
(tests, are, administered at police station in patrol car in mobile testing facility)
(tests, are, Again normally administered in patrol car in testing facility)
(such tests, Again are normally administered out of, view)
(tests, are, Again normally administered)
(such tests, are, normally administered)
(tests, are, administered in patrol car in mobile testing facility)
(tests, Again are administered in, private)
