(January 14 2015, Decided at_time, June 1 2015)
(state conviction, triggers removal, underlying crime falls within category of offenses defined)
(crime, falls within, category of removable offenses defined by federal law)
(state conviction, triggers removal, only underlying crime falls within category of offenses defined)
(state conviction, triggers removal, only underlying crime falls within category of offenses defined by law)
(crime, only falls by, definition)
(state conviction, triggers removal, only by definition crime falls within category of offenses defined by law)
(state conviction, triggers removal, by definition crime falls within category of removable offenses defined by federal law)
(state conviction, triggers removal, by definition crime falls)
(state conviction, triggers removal, only crime falls within category)
(crime, falls within, category of offenses defined by law)
(underlying crime, falls within, category of removable offenses defined)
(crime, only falls within, category of offenses defined by federal law)
(crime, only falls within, category of removable offenses defined)
(state conviction, triggers removal, only by definition underlying crime falls within category of removable offenses defined)
(state conviction, triggers removal, underlying crime falls within category of offenses defined by federal law)
(state conviction, triggers removal, only crime falls within category of offenses)
(state conviction, triggers removal, crime falls within category of offenses defined)
(state conviction, triggers removal, by definition underlying crime falls within category of removable offenses)
(state conviction, triggers removal, only by definition underlying crime falls within category of offenses defined by law)
(underlying crime, falls within, category of removable offenses defined by federal law)
(state conviction, triggers removal, by definition crime falls within category of offenses defined)
(state conviction, triggers removal, only by definition underlying crime falls within category of removable offenses defined by federal law)
(alien 's actual conduct, is irrelevant to, inquiry)
(conviction, rested upon, nothing)
(alien 's actual conduct, is irrelevant, adjudicator must presume)
(alien, has, actual conduct)
(alien 's actual conduct, is, irrelevant)
(alien 's conduct, is irrelevant, adjudicator must presume)
(alien 's conduct, is, irrelevant)
(conviction, rested upon, nothing more than least of acts)
(alien 's conduct, is irrelevant to, inquiry)
(approach, has pedigree in, our Nation 's immigration law)
(categorical approach, has, long pedigree)
(categorical approach, has, pedigree)
(approach, has, long pedigree)
(approach, has, pedigree)
(categorical approach, has pedigree in, our Nation 's immigration law)
(Nation, in, immigration law)
(Congress, limi, immigration adjudicator 's assessment of past criminal conviction)
(Congress, limi, immigration adjudicator 's assessment of past conviction to analysis of statutory offense)
(Congress, limi, immigration adjudicator 's assessment of past criminal conviction to analysis of statutory offense)
(Congress, tying, immigration penalties)
(courts, examining, federal immigration statute)
(Congress, limi, immigration adjudicator 's assessment of past criminal conviction to analysis of offense)
(Congress, limi, immigration adjudicator 's assessment of past criminal conviction to legal analysis of statutory offense)
(Congress, limi, immigration adjudicator 's assessment of past criminal conviction to legal analysis of offense)
(Congress, limi, immigration adjudicator 's assessment of past conviction)
(Congress, limi, immigration adjudicator 's assessment of past conviction to analysis of offense)
(Congress, limi, immigration adjudicator 's assessment of past criminal conviction to analysis)
(Congress, limi, immigration adjudicator 's assessment of past conviction to legal analysis of offense)
(Congress, tying immigration penalties to, convictions)
(courts, examining, immigration statute)
(Congress, limi, immigration adjudicator 's assessment of past criminal conviction to legal analysis)
(Congress, limi, immigration adjudicator 's assessment of past conviction to legal analysis of statutory offense)
(Congress, limi, immigration adjudicator 's assessment of past conviction to analysis)
(Congress, limi, immigration adjudicator 's assessment of past conviction to legal analysis)
(immigration adjudicator, has, assessment of past criminal conviction to legal analysis of statutory offense)
(Congress, limi, immigration adjudicator 's assessment)
(1688, at Das is, supra)
(approach, is suited to, realities)
(categorical approach, is suited to, realities of system)
(approach, is suited to, realities of system)
(approach, is, suited)
(categorical approach, is, suited)
(categorical approach, is suited to, realities)
(numbers, are resolved years by, immigration judges)
(numbers, are, resolved)
(numbers, are resolved often years by, immigration judges)
(large numbers, are resolved by, immigration judges)
(large numbers, years after, convictions)
(large numbers, are, resolved years)
(numbers, are resolved by, immigration judges)
(large numbers, are, resolved)
(numbers, are, resolved years after convictions)
(numbers, are, resolved by immigration judges often years after convictions)
(large numbers, are, resolved by immigration judges often years after convictions)
(large numbers, are, resolved often years)
(large numbers, are resolved years by, immigration judges)
(numbers, are, resolved years)
(large numbers, are resolved often years by, immigration judges)
(large numbers, are, resolved years after convictions)
(numbers, often years after, convictions)
(large numbers, often years after, convictions)
(numbers, are, resolved often years after convictions)
(numbers, are, resolved often years)
(large numbers, are, resolved often years after convictions)
(large numbers, are, resolved by immigration judges years after convictions)
(numbers, years after, convictions)
(numbers, are, resolved by immigration judges years after convictions)
(Koh, Better than, Sum)
(Categorical Approach, for Case is, 26 Geo)
(1725-1742, at Das is, supra)
(approach, anticipate, immigration consequences of pleas in court)
(approach, enter, harbor)
(approach, enter, harbor to risk)
(approach, anticipate, immigration consequences of pleas in criminal court)
(approach, enables, aliens)
(approach, enter, safe harbor to risk of immigration sanctions)
(approach, anticipate, immigration consequences of guilty pleas in criminal court)
(approach, enter, safe harbor to risk)
(approach, anticipate, immigration consequences of guilty pleas)
(approach, enables aliens In, particular)
(approach, anticipate, immigration consequences of guilty pleas in court)
(guilty pleas, is in, criminal court)
(approach, enter, harbor to risk of immigration sanctions)
(approach, anticipate, immigration consequences of pleas)
(approach, enter, safe harbor)
(approach, anticipate, immigration consequences)
(307, at Koh is, supra)
(state drug conviction, triggers, removal)
(categorical approach, has, has applied)
(categorical approach, has, has applied routinely)
(approach, has, has applied routinely)
(approach, has, has applied)
(state drug conviction, triggers removal under, immigration statute)
(removal statute, listed offenses, enacted)
(removal statute, specifically listed, offenses)
(removal statute, listed offenses, originally enacted)
(removal statute, listed, offenses)
(removal statute, listed, covered offenses)
(removal statute, specifically listed offenses, enacted)
(removal statute, specifically listed, covered offenses)
(removal statute, specifically listed offenses, originally enacted)
(Anti-Drug Abuse Act, replaced, list of substances with now familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, list of, substances with familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, replaced, increasingly long list of controlled substances with reference)
(Anti-Drug Abuse Act, increasingly long list of, controlled substances with reference to substance defined)
(Anti-Drug Abuse Act, list of, controlled substances with now familiar reference)
(Anti-Drug Abuse Act, replaced, increasingly long list of controlled substances with reference to controlled substance defined)
(Anti-Drug Abuse Act, replaced, long list of controlled substances with reference)
(Congress, include, additional narcotic drugs)
(Anti-Drug Abuse Act, list of, controlled substances with now familiar reference to substance defined)
(Anti-Drug Abuse Act, replaced, long list of controlled substances with now familiar reference to substance defined)
(Anti-Drug Abuse Act, increasingly long list of, substances with reference)
(Anti-Drug Abuse Act, list of, substances with reference to substance defined)
(Anti-Drug Abuse Act, replaced, list of substances)
(Anti-Drug Abuse Act, increasingly long list of, substances with now familiar reference)
(Anti-Drug Abuse Act, replaced, increasingly long list)
(Anti-Drug Abuse Act, replaced, increasingly long list of controlled substances with reference to substance defined)
(Anti-Drug Abuse Act, list of, substances)
(Anti-Drug Abuse Act, replaced, long list of controlled substances with now familiar reference)
(Anti-Drug Abuse Act, increasingly long list of, controlled substances with now familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, increasingly long list of, controlled substances with familiar reference)
(Anti-Drug Abuse Act, replaced, long list of controlled substances with familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, replaced, list of substances with reference)
(Anti-Drug Abuse Act, long list of, substances with reference to controlled substance defined)
(Anti-Drug Abuse Act, replaced, increasingly long list of controlled substances with now familiar reference)
(Anti-Drug Abuse Act, replaced, increasingly long list of substances with reference to substance defined)
(Anti-Drug Abuse Act, replaced, long list of substances with reference to substance defined)
(Anti-Drug Abuse Act, long list of, substances)
(Anti-Drug Abuse Act, list of, substances with now familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, replaced, long list of substances with reference)
(Anti-Drug Abuse Act, replaced, increasingly long list of substances with familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, replaced, long list of substances)
(Anti-Drug Abuse Act, replaced, long list of substances with now familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, replaced, long list of substances with familiar reference)
(Anti-Drug Abuse Act, list of, substances with familiar reference to substance defined)
(Anti-Drug Abuse Act, replaced, long list of controlled substances with reference to substance defined)
(Anti-Drug Abuse Act, replaced, list of controlled substances with reference to controlled substance defined)
(Anti-Drug Abuse Act, replaced, long list of controlled substances with reference to controlled substance defined)
(Anti-Drug Abuse Act, increasingly long list of, controlled substances with now familiar reference)
(Anti-Drug Abuse Act, replaced, long list of substances with now familiar reference)
(Anti-Drug Abuse Act, replaced, list of substances with familiar reference to substance defined)
(Anti-Drug Abuse Act, replaced, increasingly long list of substances with now familiar reference to substance defined)
(Congress, include, drugs)
(Anti-Drug Abuse Act, replaced, increasingly long list of controlled substances with familiar reference)
(Anti-Drug Abuse Act, replaced, increasingly long list of controlled substances with now familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, replaced, list of substances with familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, increasingly long list of, controlled substances with reference to controlled substance defined)
(Anti-Drug Abuse Act, replaced, long list of controlled substances)
(Anti-Drug Abuse Act, list of, controlled substances with reference)
(Anti-Drug Abuse Act, long list of, controlled substances with reference to controlled substance defined)
(Anti-Drug Abuse Act, increasingly long list of, controlled substances)
(Anti-Drug Abuse Act, replaced, long list of substances with familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, replaced, list of controlled substances with reference to substance defined)
(Anti-Drug Abuse Act, replaced, increasingly long list of substances with now familiar reference)
(Anti-Drug Abuse Act, replaced, increasingly long list of substances with reference)
(Anti-Drug Abuse Act, long list of, substances with familiar reference to substance defined)
(Anti-Drug Abuse Act, list of, controlled substances with reference to controlled substance defined)
(Anti-Drug Abuse Act, list of, controlled substances with familiar reference to substance defined)
(Anti-Drug Abuse Act, replaced, list of substances with now familiar reference to substance defined)
(Anti-Drug Abuse Act, list of, substances with now familiar reference)
(Anti-Drug Abuse Act, list of, substances with reference)
(Anti-Drug Abuse Act, increasingly long list of, substances with reference to controlled substance defined)
(Anti-Drug Abuse Act, replaced, increasingly long list of substances with familiar reference)
(Anti-Drug Abuse Act, replaced, long list of controlled substances with familiar reference)
(Anti-Drug Abuse Act, increasingly long list of, controlled substances with familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, long list of, controlled substances with familiar reference to substance defined)
(Anti-Drug Abuse Act, increasingly long list of, substances with familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, long list of, controlled substances with now familiar reference to substance defined)
(Anti-Drug Abuse Act, long list of, controlled substances with familiar reference)
(Congress, include, additional offenses)
(Anti-Drug Abuse Act, replaced, list)
(Anti-Drug Abuse Act, increasingly long list of, substances with now familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, replaced, increasingly long list of substances)
(Anti-Drug Abuse Act, list of, substances with now familiar reference to substance defined)
(Anti-Drug Abuse Act, replaced, long list of substances with familiar reference to substance defined)
(Anti-Drug Abuse Act, replaced, list of substances with now familiar reference)
(Anti-Drug Abuse Act, list of, controlled substances with familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, list of, substances with familiar reference)
(Congress, include, offenses)
(Anti-Drug Abuse Act, list of, controlled substances with familiar reference)
(Anti-Drug Abuse Act, replaced, increasingly long list of substances with now familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, replaced, list of controlled substances)
(Anti-Drug Abuse Act, increasingly long list of, substances with now familiar reference to substance defined)
(Anti-Drug Abuse Act, replaced, list of substances with familiar reference)
(Anti-Drug Abuse Act, replaced, increasingly long list of controlled substances with familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, list of, controlled substances)
(Anti-Drug Abuse Act, long list of, controlled substances)
(Anti-Drug Abuse Act, increasingly long list of, controlled substances with reference)
(Anti-Drug Abuse Act, replaced, list of controlled substances with familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, list of, substances with reference to controlled substance defined)
(Anti-Drug Abuse Act, replaced, increasingly long list of controlled substances with now familiar reference to substance defined)
(Anti-Drug Abuse Act, long list of, controlled substances with reference to substance defined)
(Anti-Drug Abuse Act, long list of, controlled substances with now familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, replaced, list of substances with reference to substance defined)
(Congress, include, additional drugs)
(Anti-Drug Abuse Act, replaced, long list)
(Anti-Drug Abuse Act, replaced, long list of controlled substances with familiar reference to substance defined)
(Anti-Drug Abuse Act, long list of, controlled substances with now familiar reference)
(Anti-Drug Abuse Act, replaced, long list of controlled substances with now familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, long list of, substances with reference)
(Anti-Drug Abuse Act, replaced, increasingly long list of substances with familiar reference to substance defined)
(Anti-Drug Abuse Act, replaced, list of substances with reference to controlled substance defined)
(Anti-Drug Abuse Act, long list of, substances with familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, increasingly long list of, substances with reference to substance defined)
(Anti-Drug Abuse Act, replaced, long list of substances with now familiar reference to substance defined)
(Anti-Drug Abuse Act, increasingly long list of, controlled substances with familiar reference to substance defined)
(Anti-Drug Abuse Act, long list of, substances with familiar reference)
(Anti-Drug Abuse Act, replaced, increasingly long list of controlled substances with familiar reference to substance defined)
(controlled substances, is with, now familiar reference to controlled substance defined in 802)
(Anti-Drug Abuse Act, long list of, substances with now familiar reference to substance defined)
(Anti-Drug Abuse Act, long list of, controlled substances with familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, replaced, list of controlled substances with now familiar reference)
(Congress, include, narcotic drugs)
(Anti-Drug Abuse Act, replaced, list of controlled substances with familiar reference)
(Anti-Drug Abuse Act, long list of, substances with reference to substance defined)
(Anti-Drug Abuse Act, replaced, long list of substances with reference to controlled substance defined)
(Anti-Drug Abuse Act, replaced, list of controlled substances with reference)
(Anti-Drug Abuse Act, long list of, substances with now familiar reference)
(Anti-Drug Abuse Act, increasingly long list of, substances with familiar reference)
(Anti-Drug Abuse Act, increasingly long list of, substances)
(Anti-Drug Abuse Act, long list of, controlled substances with reference)
(Anti-Drug Abuse Act, replaced, list of controlled substances with familiar reference to substance defined)
(Anti-Drug Abuse Act, replaced, list of controlled substances with now familiar reference to substance defined)
(Anti-Drug Abuse Act, increasingly long list of, substances with familiar reference to substance defined)
(Anti-Drug Abuse Act, list of, controlled substances with reference to substance defined)
(Anti-Drug Abuse Act, replaced, increasingly long list of controlled substances)
(Anti-Drug Abuse Act, list of, controlled substances with now familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, replaced, increasingly long list of substances with reference to controlled substance defined)
(Anti-Drug Abuse Act, long list of, substances with now familiar reference to controlled substance defined)
(Anti-Drug Abuse Act, increasingly long list of, controlled substances with now familiar reference to substance defined)
(Anti-Drug Abuse Act, replaced, list of controlled substances with now familiar reference to controlled substance defined)
(BIA, interpreting, versions)
(BIA, interpreting, successive versions)
(BIA, interpreting, versions of removal statute)
(BIA, interpreting, successive versions of removal statute)
(BIA, decided At, time)
(illicit possession, is in, of narcotic drugs)
(California, controlled, certain narcotics)
(California, controlled, narcotics)
(conviction, was, deportable)
(conviction, involved, substance)
(conviction, involved, substance controlled only under California law)
(conviction, involved, substance controlled under California law)
(conviction, involved, substance controlled)
(alien, has, California conviction offering)
(alien, has, conviction)
(Mellouli, pleaded, guilty)
(Mellouli, of, conviction)
(Mellouli, in, conviction)
(California statute, is in, Paulus)
(state law, involved in, Mellouli conviction)
(Mellouli, has, drug-paraphernalia conviction)
(he, was charged, categorically relat)
(he, was charged relat to, controlled substance)
(he, was charged, relat)
(he, was charged relat to, substance)
(BIA, however announced, approach in Matter)
(BIA, however announced, different approach in Matter of Martinez Espinoza)
(BIA, announced, approach in Matter)
(BIA, however announced, different approach)
(BIA, announced, different approach in Matter of Martinez Espinoza)
(BIA, however announced, approach)
(different approach, is in, Matter of Martinez Espinoza)
(BIA, announced, different approach in Matter)
(BIA, announced, different approach)
(BIA, however announced, different approach in Matter)
(BIA, however announced, approach in Matter of Martinez Espinoza)
(BIA, announced, approach)
(BIA, announced, approach in Matter of Martinez Espinoza)
(BIA, relating to, drug trade)
(BIA, There ranked, paraphernalia statutes)
(BIA, There ranked paraphernalia statutes, relating to drug trade in general)
(BIA, There ranked paraphernalia statutes, relating to drug trade)
(BIA, ranked paraphernalia statutes, relating to drug trade in general)
(BIA, ranked paraphernalia statutes, relating to drug trade)
(BIA, ranked paraphernalia statutes, relating)
(drug trade, is in, general)
(BIA, relating to, drug trade in general)
(BIA, There ranked paraphernalia statutes, relating)
(BIA, ranked, paraphernalia statutes)
(Immigration Judge, embraced by, Matter)
(Mellouli, has, removal)
(substance schedules, requirement of, correspondence between Federal)
(Immigration Judge, embraced by, Matter Paulus)
(requirement, controlled, substance schedules)
(Immigration Judge, quoting, decision)
(substance schedules, requirement of, correspondence)
(Immigration Judge, is in, case relied upon Martinez Espinoza)
(Mellouli 's conviction, involves, drug trade in general)
(BIA, affirmed, reasoning)
(drug trade, is in, general)
(Mellouli 's conviction, is, covered)
(Mellouli 's conviction, involves, drug trade)
(Mellouli, has, conviction for possession of drug paraphernalia)
(Mellouli 's conviction, is, thus covered)
(it, associated with, drug trade in general)
(Eighth Circuit, Denying, Mellouli 's petition)
(Kansas paraphernalia conviction, relates to, controlled substance)
(BIA, to, decision in Martinez Espinoza)
(Mellouli, has, petition for review)
(it, is, crime)
(drug trade, is in, general)
(BIA 's decision, is in, Martinez Espinoza)
(Kansas paraphernalia conviction, relates, crime)
(Eighth Circuit, Denying, Mellouli 's petition for review)
(Eighth Circuit, deferred to, BIA 's decision)
(Eighth Circuit, deferred to, BIA 's decision in Martinez Espinoza)
(Kansas paraphernalia conviction, relates to, federal controlled substance)
(Kansas paraphernalia conviction, relates to, substance)
(Kansas paraphernalia conviction, relates to, federal substance)
(it, associated with, drug trade)
(___, at Moncrieffe is, 569 U. S.)
(Statutes, should, should interpreted as symmetrical regulatory scheme)
(Statutes, should, should interpreted as regulatory scheme)
(Statutes, should, should interpreted as scheme)
(Statutes, should, should interpreted as symmetrical scheme)
(Statutes, should, should interpreted)
(BIA, distinguishing drug possession from, offenses)
(BIA, distinguishing distribution offenses from, offenses)
(BIA, however has adopted, conflicting positions on meaning)
(BIA, has adopted, positions)
(minor paraphernalia possession offenses, are, treated)
(paraphernalia possession offenses, are, treated harshly)
(minor paraphernalia possession offenses, are, treated more harshly)
(minor paraphernalia possession offenses, are, treated harshly)
(BIA, however has adopted, positions)
(BIA, has adopted, conflicting positions)
(minor paraphernalia possession offenses, are, treated more harshly than drug possession)
(BIA, however has adopted, conflicting positions)
(BIA, has adopted, positions on meaning)
(paraphernalia possession offenses, are, treated more harshly)
(paraphernalia possession offenses, are, treated harshly than drug possession)
(BIA, has adopted, conflicting positions on meaning)
(BIA, however has adopted positions with, anomalous result)
(BIA, has adopted positions with, anomalous result)
(BIA, however has adopted positions with, result)
(BIA, distinguishing, drug possession)
(paraphernalia possession offenses, are, treated)
(paraphernalia possession offenses, are, treated more harshly than drug possession)
(BIA, has adopted positions with, result)
(BIA, distinguishing, distribution offenses)
(BIA, however has adopted, positions on meaning)
(minor paraphernalia possession offenses, are, treated harshly than drug possession)
(N. Dec. 118, convictions for, offense)
(convictions, see, 25 I.)
(convictions, see, Martinez Espinoza)
(N. Dec. 118, convictions for, trigger removal)
(they, implicate, substance)
(they, only involve, controlled substance)
(N. Dec. 118, convictions for, offense grave)
(they, necessarily implicate, controlled substance)
(removal, see, 11 I.)
(they, only necessarily involve, substance)
(N. Dec. 118, convictions for, offense less grave than drug possession)
(removal, see, Paulus)
(they, only involve, substance)
(N. Dec. 118, convictions for, paraphernalia possession)
(removal, see, Paulus Dec. 274)
(N. Dec. 118, convictions for, offense grave than drug possession)
(they, implicate, federally controlled substance)
(they, necessarily implicate, substance)
(they, necessarily involve, federally controlled substance)
(N. Dec. 118, convictions for, offense less grave)
(they, necessarily involve, controlled substance)
(they, involve, federally controlled substance)
(they, involve, substance)
(distribution convictions, trigger, removal)
(they, necessarily implicate, federally controlled substance)
(N., Paulus at_time, Dec. 274)
(they, involve, controlled substance)
(they, implicate, controlled substance)
(they, only necessarily involve, federally controlled substance)
(removal, see, N.)
(they, necessarily involve, substance)
(Drug possession, trigger, removal)
(they, only necessarily involve, controlled substance)
(they, only involve, federally controlled substance)
(alien, possessing, substance controlled only under Kansas law)
(he, is, removable)
(he, using, sock)
(BIA, has, interpretation)
(it, makes, scant sense)
(doctrine, described in, Chevron U. S. A. Inc.)
(it, makes, sense)
(state paraphernalia possession conviction, categorically relates to, federally controlled substance)
(state paraphernalia possession conviction, relates to, federally controlled substance)
(Eighth Circuit, Offering, addition)
(state paraphernalia possession conviction, categorically relates to, substance)
(state paraphernalia possession conviction, categorically relates to, controlled substance)
(state paraphernalia possession conviction, relates so long to, substance)
(Offering, addition to, BIA 's rationale)
(state paraphernalia possession conviction, relates to, controlled substance)
(state paraphernalia possession conviction, relates so long to, controlled substance)
(state paraphernalia possession conviction, categorically relates long to, federally controlled substance)
(state paraphernalia possession conviction, categorically relates so long to, substance)
(BIA, to, rationale)
(state paraphernalia possession conviction, categorically relates long to, substance)
(state paraphernalia possession conviction, categorically relates so long to, controlled substance)
(state paraphernalia possession conviction, categorically relates so long to, federally controlled substance)
(state paraphernalia possession conviction, relates to, substance)
(state paraphernalia possession conviction, relates long to, federally controlled substance)
(state paraphernalia possession conviction, relates so long to, federally controlled substance)
(Eighth Circuit, Offering, addition to BIA 's rationale)
(state paraphernalia possession conviction, relates long to, substance)
(state paraphernalia possession conviction, relates long to, controlled substance)
(state paraphernalia possession conviction, categorically relates long to, controlled substance)
(BIA, has, anomalous separation of paraphernalia possession offenses from drug possession)
(removal, overlap between, state drug schedules)
(B, authorizes, removal)
(words, relating According to, Government)
(words, modify, law)
(words, modify, regulation)
(drug schedules, overlap, schedules)
(drug schedules, substantially overlap, schedules)
(drug schedules, overlap, federal schedules)
(drug schedules, substantially overlap, federal schedules)
(removal provision, is, satisfied)
(removal provision, is, thus satisfied)
(Government 's construction, reaching, state-court convictions)
(Government 's construction, reaching, convictions)
(Government, has, construction of federal removal statute)
(dissent, attaches, weight post)
(dissent, attaches, weight post at 2-3)
(dissent, attaches, great weight)
(dissent, attaches, great weight post at 2-3)
(dissent, attaches, great weight post)
(dissent, attaches, weight)
(we, cautioned in, New York State Conference)
(we, cautioned in, New York State Conference of Blue Cross)
(favor, in tu is, g)
(United States, v. Yates is, ___ 2015)
(Congress, long required, link between alien 's crime)
(BIA, link between, alien 's crime of conviction)
(BIA, long required, direct link)
(alien, between, crime of conviction)
(Congress, long required, direct link)
(Congress, long required, link)
(BIA, required, direct link)
(BIA, link between, alien 's crime)
(Congress, long required, direct link between alien 's crime)
(BIA, required, link between alien 's crime)
(Congress, long required, link between alien 's crime of conviction)
(Congress, long required, direct link between alien 's crime of conviction)
(Congress, required, direct link between alien 's crime)
(Congress, required, direct link between alien 's crime of conviction)
(BIA, long required, link)
(Congress, required, direct link)
(Congress, required, link between alien 's crime)
(Congress, required, link between alien 's crime of conviction)
(BIA, required, link between alien 's crime of conviction)
(BIA, direct link between, alien 's crime of conviction)
(BIA, required, direct link between alien 's crime of conviction)
(BIA, long required, direct link between alien 's crime)
(Congress, required, link)
(BIA, long required, link between alien 's crime of conviction)
(BIA, required, direct link between alien 's crime)
(BIA, required, link)
(BIA, long required, direct link between alien 's crime of conviction)
(BIA, long required, link between alien 's crime)
(BIA, direct link between, alien 's crime)
(Government 's position, here severs, that)
(Government 's position, severs, that)
(Government, has, position)
(statute overlap, be, related)
(statute overlap, would seem, related to drugs)
(statute overlap, be related to, federally controlled drugs)
(statute, is with, any)
(statute overlap, would seem, related)
(statute overlap, be related to, drugs)
(statute overlap, would seem, related to federally controlled drugs)
(statute overlap, would seem, related to controlled drugs)
(statute overlap, be related to, controlled drugs)
(drugs, let alone, drugs)
(convictions, let alone, federally controlled drugs)
(convictions, let, controlled drugs)
(drugs, let alone, federally controlled drugs)
(drugs, let, federally controlled drugs)
(convictions, let, drugs)
(convictions, let alone, controlled drugs)
(drugs, let, controlled drugs)
(drugs, let alone, controlled drugs)
(convictions, let alone, drugs)
(drugs, let, drugs)
(Government, has, position)
(convictions, let, federally controlled drugs)
(convictions, have, connection to drugs)
(convictions, have, might fall)
(convictions, connection to, drugs)
(Solicitor General, resisting, example)
(Solicitor General, resisting, particular example)
(convictions, have, connection)
(convictions, have indirectly, connection)
(convictions, have indirectly, connection to drugs)
(convictions, have indirectly, might fall within § 1227)
(convictions, have indirectly, might fall)
(convictions, have, might fall within § 1227)
(statute, from, text)
(construction, must, In sum must faithful)
(construction, must, must faithful)
(drug offense, renders, removable without regard to appearance of drug)
(drug offense, renders, removable without regard to appearance)
(drug offense, renders, alien removable without regard to appearance of drug)
(drug offense, renders, removable without regard)
(drug offense, renders, alien removable without regard to appearance)
(We, therefore reject, argument)
(drug offense, renders, removable)
(drug offense, renders, alien removable)
(drug offense, renders, alien removable without regard)
(drug offense, renders, removable without regard to appearance on § 802 schedule)
(drug offense, renders, removable without regard to appearance of drug on § 802 schedule)
(We, reject, argument)
(drug offense, renders, alien removable without regard to appearance on § 802 schedule)
(drug offense, renders, alien removable without regard to appearance of drug on § 802 schedule)
(Government, Instead must connect, element)
(Government, Instead must connect, element of alien 's conviction)
(Government, Instead must connect, element of alien 's conviction to drug defined)
(Government, Instead must connect, element of alien 's conviction to drug defined in § 802)
(Government, must connect, element of alien 's conviction to drug)
(alien, of, conviction to drug defined in § 802)
(Government, must connect, element of alien 's conviction to drug defined)
(Government, must connect, element)
(Government, trigger, removal)
(Government, must connect, element of alien 's conviction)
(Government, Instead must connect, element of alien 's conviction to drug)
(Government, must connect, element of alien 's conviction to drug defined in § 802)
(judgment, is reversed For, reasons stated)
(judgment, is reversed For, reasons)
(judgment, is, reversed)
(It, is, ordered)
(It, is, so ordered)
(MOONES MELLOULI, PETITIONER v., LORETTA E. LYNCH)
(JUSTICE ALITO, joins, dissenting)
(it, misapplied, federal removal statute)
(it, misapplied, removal statute)
(Court, reverses, decision of United States Court)
(Court, reverses, decision)
(Court, reverses, decision for Eighth Circuit)
(Court, reverses, decision of United States Court of Appeals for Eighth Circuit on ground)
(Court, reverses, decision of United States Court for Eighth Circuit)
(Court, reverses, decision of United States Court for Eighth Circuit on ground)
(Court, reverses, decision of United States Court of Appeals for Eighth Circuit)
(Court, reverses, decision of United States Court of Appeals)
(Court, reverses, decision for Eighth Circuit on ground)
(Government, has, interpretation of statute)
(Lower courts, are, left)
(Lower courts, are, thus left)
(Lower courts, are left, guess)
(courts, are, thus left)
(courts, are left, guess)
(courts, are thus left, guess)
(Lower courts, are thus left, guess)
(courts, are, left)
(he, violating, law)
(he, is, whenever convicted)
(he, is, convicted)
(conviction, arise under, law of State)
(conviction, arise under, law)
(Mellouli, Thus was subject to, removal)
(Mellouli, was subject, Kansas statute of conviction relat to controlled substance)
(Mellouli, Thus was subject, Kansas statute of conviction relat to substance)
(Mellouli, was subject regardless to, removal)
(Mellouli, was subject regardless, Kansas statute relat to controlled substance)
(Mellouli, was, Thus subject)
(controlled substance, to relat is, es)
(Mellouli, Thus was subject, Kansas statute relat to substance)
(Mellouli, was subject, Kansas statute relat to substance)
(Kansas statute, relat to, controlled substance)
(Mellouli, Thus was subject, Kansas statute relat to controlled substance)
(Mellouli, was subject regardless, Kansas statute relat to substance)
(Mellouli, was, subject)
(Mellouli, Thus was subject, Kansas statute of conviction relat)
(Mellouli, was subject, Kansas statute of conviction relat)
(Mellouli, was subject regardless, Kansas statute of conviction relat to substance)
(Mellouli, was subject regardless, Kansas statute of conviction relat to controlled substance)
(Kansas statute, defined in, section 802)
(Mellouli, was, subject regardless)
(Kansas statute, defined in, section 802 of title 21)
(Kansas statute, relat to, substance)
(Mellouli, was subject, Kansas statute relat)
(Mellouli, was subject, es)
(Mellouli, was subject to, removal)
(Kansas statute, defined in, section 802 title 21)
(Mellouli, was subject regardless, Kansas statute of conviction relat)
(Mellouli, was subject, Kansas statute of conviction relat to substance)
(Mellouli, Thus was subject, es)
(Mellouli, Thus was subject, Kansas statute of conviction relat to controlled substance)
(Mellouli, was subject regardless, Kansas statute relat)
(Mellouli, was subject, Kansas statute relat to controlled substance)
(Mellouli, Thus was subject, Kansas statute relat)
(alien, has, actual conduct)
(Mellouli, conceal, pills)
