(October 11 2016, Decided at_time, March 6 2017)
(it, added, admonition)
(it, be, in which impossible)
(it, added, important admonition)
(it, be, impossible)
(Court, required admission In, case)
(Court, required, admission)
(Court, required, admission of juror affidavits stating)
(Court, required In, following case)
(Court, required In, case)
(Court, required admission In, following case)
(Court, required, admission of juror affidavits)
(admission, be governed by, more flexible rule)
(admission, be governed by, rule)
(admission, be governed by, flexible rule)
(admission, be, governed)
(Court, Later rejected, Iowa rule)
(Court, however rejected, lenient Iowa rule)
(Court, rejected, more lenient Iowa rule)
(Court, Later however rejected, Iowa rule)
(Court, Later rejected, lenient Iowa rule)
(Court, rejected, Iowa rule)
(Court, rejected, lenient Iowa rule)
(Court, however rejected, Iowa rule)
(Court, however rejected, more lenient Iowa rule)
(Court, Later rejected, more lenient Iowa rule)
(Court, Later however rejected, more lenient Iowa rule)
(Court, Later however rejected, lenient Iowa rule)
(Court, affirmed, exclusion about events)
(Court, affirmed, exclusion about events in jury room)
(Court, exclusion about, objective events in jury room)
(Court, exclusion about, events)
(Court, affirmed, exclusion of juror testimony about events)
(Court, exclusion of, juror testimony)
(Court, affirmed, exclusion about objective events in jury room)
(objective events, is in, jury room)
(Court, affirmed, exclusion of juror testimony about objective events in jury room)
(Court, affirmed, exclusion of juror testimony about objective events)
(Court, affirmed, exclusion of juror testimony about events in jury room)
(Court, exclusion about, events in jury room)
(Court, affirmed, exclusion of juror testimony)
(Court, affirmed, exclusion about objective events)
(Court, affirmed, exclusion)
(238 U. S. 264 1915, is In, McDonald)
(Court, exclusion about, objective events)
(jury, averaging, numerical submissions of member)
(jury, There allegedly had calculated, damages award)
(jury, had calculated, damages award)
(jury, allegedly had calculated, damages award)
(jury, There had calculated, damages award)
(jury, averaging, submissions of member)
(Court, reiterated, its admonition)
(principles, exclusion of, juror affidavits)
(Court, reiterated, its admonition from Reid)
(Court, Yet reiterated, its admonition)
(Court, Yet reiterated, its admonition from Reid)
(exclusion, might well violate, plainest principles of justice)
(exclusion, might violate, plainest principles)
(plainest principles, exclusion of, juror affidavits)
(exclusion, might well violate, principles of justice)
(no-impeachment rule, recognize, exceptions)
(exclusion, might well violate, plainest principles)
(exclusion, might violate, plainest principles of justice)
(exclusion, might violate, principles)
(exclusion, might well violate, principles)
(exclusion, might violate, principles of justice)
(common-law development, reached, milestone)
(Congress, rejected, Iowa rule)
(Congress, rejected Iowa rule like, McDonald Court)
(it, endorsed, broad no-impeachment rule)
(it, endorsed no-impeachment rule with, only limited exceptions)
(it, Instead endorsed, no-impeachment rule)
(it, Instead endorsed no-impeachment rule with, limited exceptions)
(it, Instead endorsed no-impeachment rule with, only limited exceptions)
(it, endorsed no-impeachment rule with, exceptions)
(it, endorsed no-impeachment rule with, limited exceptions)
(it, Instead endorsed, broad no-impeachment rule)
(it, endorsed, no-impeachment rule)
(it, Instead endorsed no-impeachment rule with, only exceptions)
(it, Instead endorsed no-impeachment rule with, exceptions)
(it, endorsed no-impeachment rule with, only exceptions)
(___, at Warger is, 574 U. S.)
(first, at Committee is, prohibiting admission of juror testimony only)
(Advisory Committee, admission of, juror testimony)
(Department, expressed, concern)
(Department, however expressed, concern over preliminary rule)
(Department, however expressed, concern over rule)
(Department, expressed, concern over preliminary rule)
(Department, however expressed, concern)
(Department, expressed, concern over rule)
(version, prohibiting, juror testimony)
(Advisory Committee, drafted version in, effect)
(Advisory Committee, drafted, version)
(jury, had considered, prejudicial evidence)
(jury, had considered, prejudicial extraneous evidence)
(jury, had considered, extraneous evidence)
(jury, had considered, evidence)
(stringent version, prohibiting, juror testimony)
(Court, adopted, second version)
(Court, transmitted, it)
(Court, adopted, version)
(House, favored, Iowa approach)
(S. Rep. No. 93-1277, pp., 1974)
(S. Rep. No., pp., 1974)
(Court, has, proposed rule)
(President, signed, Court 's rule)
(President, signed, Court 's proposed rule)
(Conference Committee, Siding with, Senate)
(current version, states, follows)
(version, states, follows)
(juror, has, mental processes concerning verdict)
(jury, during, deliberations)
(juror, may testify about, whether)
(extraneous prejudicial information, was, brought)
(extraneous information, was, improperly brought)
(prejudicial information, was, improperly brought)
(information, was, brought)
(extraneous prejudicial information, was brought to, jury 's attention)
(jury, to, attention)
(information, was improperly brought to, jury 's attention)
(extraneous prejudicial information, was, improperly brought)
(extraneous prejudicial information, was improperly brought to, jury 's attention)
(extraneous information, was, brought)
(prejudicial information, was, brought)
(information, was brought to, jury 's attention)
(prejudicial information, was improperly brought to, jury 's attention)
(extraneous information, was brought to, jury 's attention)
(prejudicial information, was brought to, jury 's attention)
(extraneous information, was improperly brought to, jury 's attention)
(information, was, improperly brought)
(influence, was, improperly brought)
(outside influence, bear on, juror)
(influence, was, brought)
(influence, was brought, bear on juror)
(influence, bear on, juror)
(influence, was improperly brought, bear on juror)
(outside influence, was, improperly brought)
(outside influence, was, brought)
(outside influence, was improperly brought, bear on juror)
(outside influence, was brought, bear on juror)
(mistake, entering, verdict on verdict form)
(mistake, was, made)
(mistake, entering, verdict)
(version, has, substantial merit)
(version, has, merit)
(It, promotes, discussion)
(It, promotes, full discussion)
(they, being, discharged)
(It, providing, jurors)
(they, recount, deliberations)
(they, recount, their deliberations)
(rule, gives, stability)
(rule, gives, finality)
(rule, gives finality to, verdicts)
(rule, gives stability to, verdicts)
(it, appears as, general matter)
(jurisdictions, follow, Federal Rule)
(9, follow, Iowa Rule)
(Variations, make, classification imprecise)
(it, appears as, matter)
(42 jurisdictions, follow, Federal Rule)
(diversity, is Within, classifications)
(exceptions, other than, those)
(exceptions, other than, those listed in Federal Rule 606 b)
(exceptions, other than, those listed)
(racial bias, played part in, deliberations)
(11, follow, Federal Rule)
(bias, played, part)
(bias, played part in, deliberations)
(racial bias, played, part)
(federal courts, are, governed)
(courts, are governed by, b)
(their interpretations, deserve, further comment)
(their interpretations, deserve, comment)
(federal courts, are governed by, b)
(federal courts, are governed for, their part)
(courts, are, for their part governed by Federal Rule 606)
(courts, are, governed)
(federal courts, are, for their part governed by Federal Rule 606)
(federal courts, are governed by, Federal Rule 606)
(courts, are governed for, their part)
(courts, are governed by, Federal Rule 606)
(occasion, consider, bias exception)
(Courts, reached, different conclusions)
(Courts, have had, occasion consider)
(Various Courts, reached, conclusions)
(occasion, consider, racial bias exception)
(Various Courts, reached, different conclusions)
(Various Courts, have had, occasion consider)
(Courts, reached, conclusions)
(persuasive arguments, is in, favor of exception)
(exception, holding, Constitution)
(racial-bias exception, holding, Constitution)
(other safeguards, protect, defendants ' constitutional interests)
(reasoning, find, exception)
(safeguards inherent, protect, defendants ' constitutional interests)
(other safeguards inherent, protect, defendants ' constitutional interests)
(other safeguards inherent, protect, defendants ' interests)
(safeguards, protect, defendants ' interests)
(safeguards, inherent in, trial process)
(safeguards, protect, defendants ' constitutional interests)
(safeguards inherent, protect, defendants ' interests)
(other safeguards, protect, defendants ' interests)
(other safeguards, inherent in, trial process)
(exception, indicating in, dicta)
(evidence, is excluded by, Rule 606)
(evidence, is excluded, addressing)
(evidence, is, excluded)
(Constitution, demand, exception)
(Constitution, demand exception at, times)
(evidence, is excluded by, b)
(Reid Courts, addressing scope 's, b)
(Reid Courts, noted, possibility)
(rule, is in, gravest)
(Reid Courts, addressing, scope of common-law no-impeachment rule)
(Reid Courts, noted, possibility of exception to rule)
(Reid Courts, addressing, scope)
(Reid Courts, noted, possibility of exception to rule in gravest)
(Reid Courts, noted, possibility of exception)
(Reid Courts, addressing scope 's, Rule 606 's)
(269, at McDonald is, 238 U. S.)
(366, at Reid is, 12 How.)
(Constitution, mandates exception in, just two instances)
(Constitution, exception to, it)
(Court, has addressed question since, enactment)
(Court, Yet has addressed question since, enactment)
(Court, has addressed, question)
(Constitution, mandates, exception to it)
(Court, Yet has addressed question since, enactment of Rule 606)
(Constitution, mandates, exception)
(Court, Yet has addressed, precise question)
(Court, has addressed, precise question)
(Court, has addressed question since, enactment of Rule 606)
(Court, Yet has addressed, question)
(Central, supporting, protection)
(supporting, protection of, jury deliberations)
(Court, to, reasoning)
(Central, supporting, protection of jury deliberations from intrusive inquiry)
(Central, were, long-recognized)
(supporting, protection from, intrusive inquiry)
(Central, supporting, protection of jury deliberations)
(supporting, protection from, inquiry)
(Central, supporting, protection from intrusive inquiry)
(Central, supporting, protection of jury deliberations from inquiry)
(Central, supporting, protection from inquiry)
(jurors, be harassed by, party)
(jurors, be, harassed)
(Tanner Court, echoed, McDonald 's concern)
(jurors, be harassed by, defeated party)
(attorneys, could use juror testimony to, attack verdicts)
(McDonald, has, concern)
(attorneys, could use, juror testimony)
(Court, was, concerned)
(attempts, impeach, verdict)
(Court, was, concerned moreover)
(community, has, trust in system)
(community 's trust, is in, system)
(existing, significant safeguards for, defendant 's right)
(existing, safeguards for, defendant 's right to impartial jury beyond post-trial juror testimony)
(Tanner Court, existing, safeguards for defendant 's right to impartial jury)
(existing, significant safeguards for, defendant 's right to jury beyond post-trial juror testimony)
(existing, safeguards for, defendant 's right)
(existing, significant safeguards for, defendant 's right to impartial jury beyond post-trial juror testimony)
(Tanner Court, existing, safeguards for defendant 's right)
(existing, safeguards for, defendant 's right to impartial jury beyond juror testimony)
(Tanner Court, existing, safeguards for defendant 's right to jury)
(existing, significant safeguards for, defendant 's right to jury beyond juror testimony)
(Tanner Court, existing, significant safeguards for defendant 's right to jury)
(Tanner Court, existing, safeguards for defendant 's right to impartial jury beyond post-trial juror testimony)
(Tanner Court, existing, significant safeguards for defendant 's right)
(Tanner Court, existing, safeguards for defendant 's right to jury beyond juror testimony)
(existing, significant safeguards for, defendant 's right to jury)
(Tanner Court, existing, significant safeguards for defendant 's right to impartial jury beyond juror testimony)
(defendant, for, right to impartial jury beyond post-trial juror testimony)
(Tanner Court, existing, safeguards)
(Tanner Court, existing, significant safeguards)
(existing, significant safeguards for, defendant 's right to impartial jury beyond juror testimony)
(Tanner Court, existing, significant safeguards for defendant 's right to impartial jury)
(Tanner Court, existing, significant safeguards for defendant 's right to impartial jury beyond post-trial juror testimony)
(existing, significant safeguards for, defendant 's right to impartial jury)
(existing, safeguards for, defendant 's right to jury beyond juror testimony)
(Tanner Court, existing, significant safeguards for defendant 's right to jury beyond post-trial juror testimony)
(existing, safeguards for, defendant 's right to jury)
(Tanner Court, existing, significant safeguards for defendant 's right to jury beyond juror testimony)
(Tanner Court, existing, safeguards for defendant 's right to impartial jury beyond juror testimony)
(Tanner Court, existing, safeguards for defendant 's right to jury beyond post-trial juror testimony)
(existing, safeguards for, defendant 's right to jury beyond post-trial juror testimony)
(existing, safeguards for, defendant 's right to impartial jury)
(court, have, opportunity learn of juror misconduct)
(counsel, have, opportunity learn of juror misconduct)
(court personnel, have, opportunity learn of juror misconduct)
(jurors, can report misconduct before, verdict)
(jurors, can report, misconduct)
(jurors, can report misconduct to, court)
(evidence, can, Even after trial can used)
(evidence, can, can used)
(evidence, can, after trial can used)
(Court, affirmed, exclusion of affidavits pertaining to jury 's inebriated state)
(defendant 's Sixth Amendment interest, is in, case)
(Court, affirmed, exclusion of affidavits)
(Court, Balancing safeguards against, defendant 's Sixth Amendment interest in case)
(defendant, against, Sixth Amendment interest in case)
(Court, affirmed, exclusion of affidavits pertaining to jury 's state)
(Court, Balancing, interests)
(Court, Balancing interests against, defendant 's Sixth Amendment interest in case)
(jury, to, inebriated state)
(Court, affirmed, exclusion of affidavits pertaining)
(Court, Balancing safeguards against, defendant 's Sixth Amendment interest)
(Court, Balancing, safeguards)
(Court, affirmed, exclusion)
(Court, Balancing interests against, defendant 's Sixth Amendment interest)
(jury trial right, required exception in, circumstances there)
(jury trial right, required, exception)
(jury trial right, required, exception to no-impeachment rule)
(jury trial right, exception to, no-impeachment rule)
(jury trial right, required in, circumstances there)
(jury trial right, required in, circumstances)
(jury trial right, required exception in, circumstances)
(jury forewoman, disclose bias during, voir dire)
(jury forewoman, disclose, bias)
(party, sought, entered)
(jury forewoman, disclose, prodefendant bias)
(verdict, was, entered)
(losing party, proffer, evidence)
(losing party, sought, entered)
(party, proffer, evidence)
(Court, put reliance for, fair trial)
(Court, put reliance on, existing safeguards)
(Court, put, substantial reliance)
(Court, put reliance on, safeguards)
(Court, put, reliance)
(Court, put reliance for, trial)
(Court, put reliance As, As Tanner)
(juror impartiality, is, adequately assured)
(jurors, lie in, voir dire)
(jurors, employ evidence, even rendered)
(jurors, employ evidence, rendered)
(jurors, employ, evidence)
(Court, stated, jurors lie)
(juror impartiality, is, assured)
(verdict, is, even rendered)
(verdict, is, rendered)
(jurors, employ, nonjuror evidence)
(court, to, attention)
(Court, stated, jurors lie in voir dire)
(no-impeachment rule, admit, exceptions)
(Court, did reiterate In, Warger)
(Court, however did reiterate In, Warger)
(Court, warned of, juror bias)
(Court, warned As, As Reid)
(Court, warned of, juror bias extreme)
(Court, warned of, juror bias so extreme)
(recognition, is in, Warger)
(jury trial right, requires, exception to no-impeachment rule)
(jury trial right, exception to, no-impeachment rule)
(jury trial right, requires, exception)
(no-impeachment rule, seeks, protect)
(caution, is warranted, avoid)
(caution, is, warranted)
(Warger, left, open)
(McDonald, left, open)
(Reid, left, open)
(Constitution, requires, exception)
(racial animus, was motivating factor in, his finding)
(animus, was, significant factor)
(animus, was factor in, his finding of guilt)
(racial animus, was significant factor in, his finding)
(animus, was motivating factor in, his finding of guilt)
(racial animus, was, significant factor)
(racial animus, was factor in, his finding of guilt)
(animus, was factor in, his finding)
(significant motivating factor, is in, his finding of guilt)
(racial animus, was significant motivating factor in, his finding of guilt)
(animus, was, factor)
(racial animus, was significant motivating factor in, his finding)
(animus, was, significant)
(Constitution, requires, exception to no-impeachment rule)
(animus, was motivating factor in, his finding)
(racial animus, was, significant motivating factor)
(racial animus, was factor in, his finding)
(racial animus, was, factor)
(racial animus, was motivating factor in, his finding of guilt)
(animus, was, significant motivating factor)
(animus, was significant factor in, his finding of guilt)
(juror, has, statements)
(animus, was significant motivating factor in, his finding)
(animus, was, motivating factor)
(animus, was significant factor in, his finding)
(Constitution, exception to, no-impeachment rule)
(racial animus, was, motivating factor)
(racial animus, was significant factor in, his finding of guilt)
(animus, was significant motivating factor in, his finding of guilt)
(animus, was, motivating)
(It, must become, heritage rise)
(It, must become, heritage of our Nation rise)
(It, heritage, rise)
(he purpose, eliminate, racial discrimination emanating from official sources in States)
(he purpose, eliminate, discrimination emanating from sources)
(discrimination, emanating from, official sources in States)
(he central purpose, eliminate, racial discrimination emanating from official sources in States)
(racial discrimination, emanating from, sources)
(he purpose, eliminate, discrimination emanating from sources in States)
(he central purpose, eliminate, racial discrimination emanating from sources)
(racial discrimination, emanating from, official sources in States)
(he central purpose, eliminate, racial discrimination emanating)
(he central purpose, eliminate, discrimination emanating from official sources)
(official sources, is in, States)
(he central purpose, eliminate, racial discrimination emanating from sources in States)
(he central purpose, eliminate, racial discrimination)
(he purpose, eliminate, racial discrimination emanating)
(racial discrimination, emanating from, sources in States)
(he purpose, eliminate, discrimination)
(discrimination, emanating from, sources in States)
(he purpose, eliminate, discrimination emanating)
(he central purpose, eliminate, discrimination emanating from sources in States)
(discrimination, emanating from, official sources)
(he central purpose, eliminate, racial discrimination emanating from official sources)
(he central purpose, eliminate, discrimination emanating from official sources in States)
(he central purpose, eliminate, discrimination emanating)
(he purpose, eliminate, racial discrimination emanating from official sources)
(he central purpose, eliminate, discrimination)
(he purpose, eliminate, racial discrimination emanating from sources)
(he purpose, eliminate, racial discrimination)
(he purpose, eliminate, discrimination emanating from official sources)
(he central purpose, eliminate, discrimination emanating from sources)
(he purpose, eliminate, racial discrimination emanating from sources in States)
(racial discrimination, emanating from, official sources)
(discrimination, emanating from, sources)
(he purpose, eliminate, discrimination emanating from official sources in States)
(it, ratification of, Amendment)
(discrimination, posed, threat to promise)
(discrimination, posed, particular threat to promise)
(discrimination, posed, threat)
(discrimination, posed, particular threat to promise to integrity)
(racial discrimination, posed, threat)
(discrimination, posed, particular threat to integrity of jury trial)
(racial discrimination, posed, particular threat to integrity of jury trial)
(racial discrimination, posed, threat to promise)
(discrimination, posed, particular threat)
(racial discrimination, posed, threat to integrity of jury trial)
(racial discrimination, is in, jury system)
(discrimination, posed, particular threat to integrity)
(racial discrimination, posed, threat to promise to integrity)
(racial discrimination, posed, particular threat to promise to integrity)
(discrimination, posed, threat to promise to integrity of jury trial)
(racial discrimination, posed, threat to promise of Amendment to integrity)
(discrimination, posed, particular threat to promise of Amendment to integrity)
(it, ratification of, Fourteenth Amendment)
(discrimination, posed, threat to promise to integrity)
(particular threat, racial discrimination in, jury system)
(threat, racial discrimination in, jury system)
(racial discrimination, posed, particular threat to promise)
(racial discrimination, posed, particular threat to promise to integrity of jury trial)
(racial discrimination, posed, particular threat to promise of Amendment to integrity)
(discrimination, posed, threat to promise of Amendment to integrity)
(racial discrimination, posed, threat to integrity)
(discrimination, posed, particular threat to promise of Amendment)
(particular threat, discrimination in, jury system)
(racial discrimination, posed, threat to promise of Amendment to integrity of jury trial)
(discrimination, posed, threat to promise of Amendment to integrity of jury trial)
(discrimination, posed, threat to promise of Amendment)
(discrimination, posed, particular threat to promise to integrity of jury trial)
(discrimination, posed, threat to integrity)
(racial discrimination, posed, threat to promise of Amendment)
(racial discrimination, posed, particular threat to promise of Amendment)
(racial discrimination, posed, threat to promise to integrity of jury trial)
(racial discrimination, posed, particular threat to promise of Amendment to integrity of jury trial)
(racial discrimination, posed, particular threat to integrity)
(discrimination, posed, particular threat to promise of Amendment to integrity of jury trial)
(discrimination, posed, threat to integrity of jury trial)
(threat, discrimination in, jury system)
(racial discrimination, posed, particular threat)
(juries, punished particularly harshly, defendants)
(All-white juries, punished particularly harshly, black defendants)
(juries, punished defendants, refusing)
(juries, punished, black defendants)
(All-white juries, punished, black defendants)
(All-white juries, punished defendants particularly harshly, simultaneously refusing)
(All-white juries, punished defendants, simultaneously refusing)
(juries, punished defendants harshly, refusing)
(juries, punished harshly, defendants)
(juries, punished, defendants)
(All-white juries, punished particularly harshly, defendants)
(juries, punished defendants harshly, simultaneously refusing)
(All-white juries, punished, defendants)
(juries, punished defendants, simultaneously refusing)
(All-white juries, punished defendants harshly, refusing)
(All-white juries, punished harshly, black defendants)
(juries, punished particularly harshly, black defendants)
(All-white juries, punished defendants harshly, simultaneously refusing)
(All-white juries, punished harshly, defendants)
(juries, punished harshly, black defendants)
(All-white juries, punished defendants particularly harshly, refusing)
(juries, punished defendants particularly harshly, simultaneously refusing)
(All-white juries, punished defendants, refusing)
(juries, punished defendants particularly harshly, refusing)
(Forman, is in, Nineteenth Century)
(all-white juries, is in, Texas)
(they, deny, rights of African-Americans id. at 920-930)
(jury, was, bulwark id.)
(they, deny, rights of African-Americans at 920-930)
(stark nature, challenged, belief)
(nature, challenged, American belief)
(they, deny, rights of African-Americans)
(they, deny, rights of African-Americans id.)
(legislation, integrate jury system, they had conspired)
(they, deny, civil rights of African-Americans at 920-930)
(jury, was bulwark at, 909)
(stark nature, challenged, American belief)
(they, deny, civil rights of African-Americans id. at 920-930)
(they, deny, civil rights of African-Americans id.)
(they, deny, civil rights)
(they, deny, rights)
(nature, challenged, belief)
(jury, prompted, Congress)
(jury, was, bulwark)
(legislation, integrate, jury system)
(they, deny, civil rights of African-Americans)
(jury, was bulwark id. at, 909)
(right, guarantee, equal protection)
(right, guarantee, protection of laws)
(legislation, was, necessary)
(legislation, preserve, right to trial)
(legislation, preserve, right to fair trial)
(legislation, preserve, right)
(right, guarantee, equal protection of laws)
(right, guarantee, protection)
(Court, enforce, Constitution 's guarantee against state-sponsored racial discrimination)
(Court, enforce, Constitution 's guarantee against racial discrimination)
(Court, has, has called)
(Court, enforce, Constitution 's guarantee against discrimination)
(Court, has, has called upon)
(state-sponsored racial discrimination, is in, jury system)
(Constitution, has, guarantee against state-sponsored racial discrimination in jury system)
(Court, enforce, Constitution 's guarantee against racial discrimination in jury system)
(Court, enforce, Constitution 's guarantee)
(Court, enforce, Constitution 's guarantee against state-sponsored discrimination in jury system)
(Court, enforce, Constitution 's guarantee against state-sponsored racial discrimination in jury system)
(Court, enforce, Constitution 's guarantee against discrimination in jury system)
(Court, enforce, Constitution 's guarantee against state-sponsored discrimination)
(Amendment, prohibit, exclusion of jurors)
(Amendment, prohibit, exclusion)
(Fourteenth Amendment, prohibit, exclusion)
(Fourteenth Amendment, prohibit exclusion on, basis)
(Amendment, prohibit exclusion on, basis)
(Amendment, prohibit exclusion on, basis of race)
(Court, interpreted, Fourteenth Amendment)
(Fourteenth Amendment, prohibit, exclusion of jurors)
(Court, Beginning in, 1880)
(Fourteenth Amendment, prohibit exclusion on, basis of race)
(Court, interpreted, Amendment)
(practices, exclude minorities from, juries)
(practices, systematically exclude, minorities)
(practices, exclude, minorities)
(practices, exclude, racial minorities)
(practices, systematically exclude minorities from, juries)
(practices, systematically exclude, racial minorities)
(Hollins, S. per, curiam)
(curiam, per S. is, 1935)
(Court, guard against, discrimination in jury selection)
(Court, guard against, discrimination)
(discrimination, is in, jury selection)
(discrimination, is, pernicious)
(discrimination, is pernicious in, administration of justice)
(discrimination, is, especially pernicious)
(discrimination, is especially pernicious in, administration of justice)
(discrimination, is pernicious in, administration)
(discrimination, is especially pernicious in, administration)
(jury, be, criminal defendant 's protection of life against race)
(jury, be, criminal defendant 's fundamental protection of life)
(jury, be, criminal defendant 's fundamental protection of life against race)
(jury, is, criminal defendant 's protection of life)
(jury, be, criminal defendant 's fundamental protection)
(jury, be, defendant 's fundamental protection of life against race)
(jury, be, defendant 's protection)
(jury, is, defendant 's protection of life)
(jury, is, criminal defendant 's fundamental protection of life against race)
(jury, be, defendant 's fundamental protection of life)
(jury, be, defendant 's protection against race)
(jury, is, criminal defendant 's fundamental protection)
(jury, is, defendant 's fundamental protection)
(jury, is, defendant 's protection of life against race)
(jury, is, criminal defendant 's fundamental protection against race)
(jury, is, defendant 's fundamental protection against race)
(jury, is, defendant 's protection against race)
(jury, is, defendant 's fundamental protection of life)
(jury, is, criminal defendant 's protection against race)
(jury, is, defendant 's protection)
(jury, be, defendant 's protection of life against race)
(jury, be, criminal defendant 's protection)
(jury, be, defendant 's fundamental protection against race)
(jury, is, defendant 's fundamental protection of life against race)
(criminal defendant, has, fundamental protection of life against race)
(jury, be, defendant 's fundamental protection)
(jury, is, criminal defendant 's fundamental protection of life)
(jury, be, criminal defendant 's fundamental protection against race)
(jury, be, criminal defendant 's protection of life)
(jury, is, criminal defendant 's protection of life against race)
(jury, is, criminal defendant 's protection)
(jury, be, defendant 's protection of life)
(jury, be, criminal defendant 's protection against race)
(perception, Permitting, prejudice)
(perception, Permitting, racial prejudice)
(perception, Permitting prejudice in, jury system)
(jury, of, role)
(case, lies at, intersection)
(case, lies at, intersection of Court 's decisions)
(Court, of, decisions endorsing)
(compromise verdict, is in, McDonald)
(pro-defendant bias, is in, Warger)
(Racial bias, differs in, ways from compromise verdict)
(Racial bias, differs in, ways)
(bias, differs in, ways from compromise verdict)
(bias, differs in, ways)
(drug, is in, Tanner)
(behavior, is, troubling)
(behavior, is in, cases)
(jury system, is, rife)
(Jurors, are, presumed)
(Jurors, follow, their oath)
(jury system, is rife with, mischief)
(attempt, expose, it)
(120, at Tanner is, 483 U. S.)
(Court, has, decisions)
(racial bias, implicates, historical concerns)
(bias, implicates, unique concerns)
(racial bias, implicates, unique concerns)
(bias, implicates, unique historical concerns)
(bias, implicates, historical concerns)
(bias, implicates, concerns)
(racial bias, implicates, concerns)
(racial bias, implicates, unique historical concerns)
(bias, is distinct in, pragmatic sense)
(Racial bias, is distinct in, pragmatic sense)
(Racial bias, is, distinct)
(bias, is distinct in, sense)
(Racial bias, is distinct in, sense)
(bias, is, distinct)
(Court, has relied In, past cases)
(Court, protect, right to jury)
(Court, protect, right to impartial jury)
(Court, has relied on, safeguards)
(Court, protect, right)
(Court, has relied on, other safeguards)
(evidence, discovering, bias)
(Voir, observation of, juror demeanor)
(Voir, observation during, trial)
(Voir, dire at, outset)
(nonjuror evidence, discovering, bias)
(their operation, may, may compromised)
(they, may prove, insufficient)
(Court, has noted, dilemma faced by trial court judges)
(Court, has noted dilemma For, instance)
(Court, has noted, dilemma)
(Court, has noted, deciding)
(Court, has noted, dilemma faced)
(Court, has noted dilemma, deciding)
(Court, has noted For, instance)
(195, at Rosales-Lopez is, supra)
(it, report statements during, course of juror deliberations)
(juror, report, inappropriate statements)
(juror, report statements during, course of juror deliberations)
(juror, report statements during, course)
(it, report, statements)
(it, report, inappropriate statements)
(juror, report, statements)
(it, report statements during, course)
(her, consideration of, case)
(It, is, quite another)
(It, call, her bigot)
(It, is, another)
(certain, rooting out, bias than kinds)
(certain, rooting out, racial bias)
(certain, be, effective)
(certain, rooting out, racial bias than other kinds)
(certain, rooting out, bias than other kinds of bias)
(certain, rooting out, racial bias than kinds of bias)
(certain, rooting out, bias)
(certain, rooting out, racial bias than kinds)
(certain, rooting out, bias than other kinds)
(certain, be, less effective)
(certain, rooting out, bias than kinds of bias)
(certain, rooting out, racial bias than other kinds of bias)
(bias, be addressed including, has entered)
(constitutional rule, prevent, loss of confidence)
(rule, prevent, systemic loss of confidence)
(racial bias, be addressed including, has entered)
(bias, be addressed including, after verdict has entered)
(rule, prevent, loss)
(constitutional rule, prevent, systemic loss)
(rule, prevent, loss of confidence)
(confidence, is in, jury verdicts)
(rule, prevent, loss of confidence in jury verdicts)
(racial bias, is in, justice system)
(constitutional rule, prevent, systemic loss of confidence)
(constitutional rule, is, necessary)
(bias, been including, entered)
(racial bias, be addressed including, after verdict has entered)
(constitutional rule, prevent, loss of confidence in jury verdicts)
(racial bias, be, addressed)
(rule, is, necessary)
(bias, been including, after verdict entered)
(constitutional rule, prevent, loss)
(racial bias, been including, after verdict entered)
(rule, prevent, systemic loss)
(racial bias, been including, entered)
(constitutional rule, prevent, systemic loss of confidence in jury verdicts)
(bias, be, addressed)
(rule, prevent, systemic loss of confidence in jury verdicts)
(Court, holds For, reasons)
(she, relied on, stereotypes)
(trial court, consider, evidence)
(she, convict, defendant)
(she, relied on, racial stereotypes)
(juror, of, statement)
(Court, now holds For, reasons explained)
(no-impeachment rule, permit, trial court)
(she, convict, criminal defendant)
(no-impeachment rule, give, way)
(Court, holds For, reasons explained above)
(Court, now holds For, reasons explained above)
(Court, now holds For, reasons)
(Court, holds For, reasons explained)
(jurors, made, statements)
(jury, of, deliberations)
(racial animus, was, significant motivating factor)
(statement, must tend, show)
(racial animus, was, factor)
(statement, must tend, qualify)
(racial animus, was significant motivating factor in, juror 's vote convict)
(animus, was, significant factor)
(animus, was significant factor in, juror 's vote convict)
(animus, was, significant motivating factor)
(juror, in, vote convict)
(racial animus, was motivating factor in, juror 's vote convict)
(racial animus, was, significant factor)
(animus, was motivating factor in, juror 's vote convict)
(racial animus, was significant factor in, juror 's vote convict)
(animus, was factor in, juror 's vote convict)
(animus, was, factor)
(significant motivating factor, is in, juror 's vote convict)
(animus, was, significant)
(animus, was, motivating factor)
(racial animus, was, motivating factor)
(racial animus, was factor in, juror 's vote convict)
(animus, was significant motivating factor in, juror 's vote convict)
(animus, was, motivating)
(has satisfied, is, matter committed to discretion of trial court)
(has satisfied, is, matter committed to substantial discretion)
(matter, committed to, discretion)
(has satisfied, is, matter committed to discretion)
(matter, committed to, substantial discretion)
(has satisfied, is, matter committed to substantial discretion of trial court)
(substantial discretion, is in, light of circumstances including content of alleged statements)
(matter, committed to, substantial discretion trial court)
(has satisfied, is, matter committed)
(has satisfied, is, matter)
(threshold showing, has, has satisfied)
(matter, committed to, discretion trial court)
(Jurywork Systematic Techniques, §, 2016-2017)
(2 Jurywork Systematic Techniques, §, 2016-2017)
(they, return to, their affairs)
(they, return, has entered)
(limits, provide, jurors)
(verdict, has, has entered)
(they, return to, their daily affairs)
(limits, provide, protection)
(jurors, is in, instances)
(they, discuss, case)
(juror, can always tell, counsel)
