(December 10 2014, Decided at_time, April 22 2015)
(Tucker Act, has, time bar)
(we, explained in, Irwin)
(Government, pins, its hopes)
(Court, has, view of time bar)
(purported intent, is with, needed clear statement)
(Government, has, claim)
(Tucker Act, of, time bar)
(FTCA, of, enactment)
(court, has, jurisdiction over untimely claims)
(Congress, thought at, time of FTCA 's enactment)
(Congress, thought at, time)
(such time limits, function as, conditions on Government 's waiver of sovereign immunity)
(time limits, function as, conditions on Government 's waiver of immunity)
(Government, on, waiver of sovereign immunity)
(such time limits, function as, conditions on Government 's waiver)
(time limits, function as, conditions)
(time limits, function as, conditions on Government 's waiver)
(such time limits, function as, conditions on Government 's waiver of immunity)
(such time limits, function as, conditions)
(time limits, function as, conditions on Government 's waiver of sovereign immunity)
(conditions, be, observed)
(conditions, were supposed, observed)
(conditions, were generally supposed In, era)
(conditions, be, strictly observed)
(conditions, were generally supposed, strictly observed)
(conditions, were, generally supposed)
(conditions, were generally supposed, observed)
(conditions, were supposed, strictly observed)
(conditions, were, supposed)
(conditions, were supposed In, era)
(276, at Soriano is, 352 U. S.)
(courts, apply as, just conditions)
(courts, apply as, just conditions on waivers of sovereign immunity)
(courts, apply as, conditions on waivers of sovereign immunity)
(courts, apply as, conditions)
(courts, apply as, just conditions on waivers of immunity)
(courts, apply as, requirement)
(courts, apply as, jurisdictional requirement)
(courts, apply as, conditions on waivers)
(courts, apply as, just conditions on waivers)
(courts, apply as, conditions on waivers of immunity)
(Irwin, however forecloses, argument)
(Irwin, forecloses, argument)
(Irwin, also considered, time bar)
(Irwin, also considered, time bar attached to waiver of sovereign immunity)
(Irwin, also considered, pre-Irwin time bar attached)
(Irwin, considered time bar After, all)
(Irwin, considered, pre-Irwin time bar attached to waiver of immunity)
(Irwin, considered, time bar attached)
(Irwin, also considered, pre-Irwin time bar attached to waiver of sovereign immunity)
(Irwin, considered, pre-Irwin time bar attached to waiver of sovereign immunity)
(Irwin, considered, time bar attached to waiver of sovereign immunity)
(Irwin, also considered, pre-Irwin time bar attached to waiver of immunity)
(Irwin, considered, pre-Irwin time bar)
(Irwin, also considered, pre-Irwin time bar)
(Irwin, also considered time bar After, all)
(Irwin, considered, time bar attached to waiver of immunity)
(Irwin, considered, time bar attached to waiver)
(Irwin, considered After, all)
(Irwin, also considered After, all)
(Irwin, also considered, time bar attached)
(Irwin, considered, pre-Irwin time bar attached)
(Irwin, considered, pre-Irwin time bar attached to waiver)
(Irwin, also considered, pre-Irwin time bar attached to waiver)
(Irwin, also considered, time bar attached to waiver)
(Irwin, also considered, time bar attached to waiver of immunity)
(Irwin, considered, time bar)
(§ 2000e-16, has, statute of limitations)
(Government, argued, there)
(enactment, statutes for, suits against Government)
(Justice White, protested, Government does now)
(Justice White, protested, much Government does now)
(Justice White, protested, much Government does)
(Justice White, protested, Government does)
(97 opinion concurring, at S. is, quoting Soriano)
(276, at Soriano is, 352 U. S.)
(97 opinion concurring, is in, part)
(498 U. S., Soriano at, 276)
(Court, has, present departure from longstanding rule)
(Irwin Court, was, undeterred)
(they, condition, waivers of immunity)
(Court, count time bars as, jurisdictional)
(Court, count merely, time bars)
(Congress, even enacted, deadline)
(Court, interpreted differently, limitations statutes)
(Court, declined, they condition)
(Court, count, time bars)
(Court, interpreted, limitations statutes)
(Court, declined For, reasons)
(Congress, enacted, deadline)
(Court, count time bars merely as, jurisdictional)
(they, condition, waivers)
(they, waivers of, immunity)
(Irwin, has, lead)
(Court, has followed, Irwin 's lead)
(Court, has repeatedly followed, Irwin 's lead)
(Court, since has followed, Irwin 's lead)
(Court, since has repeatedly followed, Irwin 's lead)
(We, have applied, Irwin)
(We, have applied Irwin to, pre-Irwin statutes we have)
(decision, in, wake)
(We, have applied Irwin to, pre-Irwin statutes just we have)
(We, have applied Irwin to, statutes we have)
(We, have applied Irwin to, statutes just we have)
(Irwin 's presumption, is rebuttable, sure)
(Irwin 's presumption, is, rebuttable)
(Irwin, has, presumption)
(that, reason, thinking)
(rebuttal, Rather must identify, something)
(rebuttal, must identify, something distinctive about time limit at issue)
(court, has, jurisdiction)
(rebuttal, Rather must identify, something distinctive)
(rebuttal, must identify, something distinctive about time limit)
(rebuttal, Rather must identify, something distinctive about time limit at issue)
(rebuttal, must identify, something)
(something, distinctive about, time limit at issue)
(something, distinctive about, time limit)
(rebuttal, Rather must identify, something distinctive about time limit)
(rebuttal, must identify, something distinctive)
(Irwin, would become, prospective decision)
(Irwin, would effectively become, decision)
(Irwin, would effectively become On, Government 's view)
(Irwin, would become On, Government 's view)
(Irwin, would effectively become, prospective decision)
(Irwin, would effectively become, only decision)
(Irwin, would become On, Government 's contrary view)
(Government, On, contrary view)
(Irwin, would effectively become On, Government 's contrary view)
(Irwin, would become, only prospective decision)
(Irwin, would become, only decision)
(Irwin, would become, decision)
(Irwin, would effectively become, only prospective decision)
(Nothing, could, could less consonant with Irwin 's ambition)
(Nothing, could, could consonant with Irwin 's ambition)
(Nothing, could, could consonant)
(Nothing, could, could less consonant)
(Irwin, with, ambition)
(FTCA cuts, is in, favor allowing)
(Government 's claim, is, inapt)
(Government 's claim, is peculiarly inapt, applied)
(Government 's claim, is inapt, applied)
(Government 's claim, is, peculiarly inapt)
(Government, has, claim)
(FTCA, compared to, Tucker Act)
(FTCA, compared to, other waivers)
(FTCA, compared to, waivers of immunity)
(FTCA, treats United States like, commoner than like Crown)
(FTCA, compared to, prominently Tucker Act)
(FTCA, compared to, other waivers of immunity)
(immunity, waivers including, prominently Tucker Act)
(FTCA, treats United States like, more commoner than like Crown)
(FTCA, compared to, waivers)
(courts, hear, suits)
(FTCA, has, jurisdictional provision states)
(courts, hear suits under, circumstances)
(United States, is, accountable to same extent as private individual)
(United States, is, accountable in manner to same extent)
(United States, is, accountable in same manner as individual)
(United States, is accountable in, same manner)
(United States, is, accountable in manner to same extent as private individual)
(Act, defining, liability for torts)
(United States, is, accountable in same manner to same extent)
(Act, defining, substantive liability for torts)
(United States, is, accountable in manner to extent as private individual)
(United States, is, accountable)
(Act, defining, substantive liability)
(United States, is accountable in, manner)
(Act, defining, liability)
(United States, is accountable as, private individual)
(United States, is accountable as, individual)
(United States, is, accountable in same manner to extent as private individual)
(United States, is accountable to, extent)
(United States, is, accountable in manner to same extent as individual)
(United States, is, accountable in manner to extent as individual)
(United States, is, accountable in same manner to extent as individual)
(United States, is, accountable in same manner to extent)
(United States, is, accountable to extent as private individual)
(United States, is, accountable in same manner as private individual)
(United States, is accountable to, same extent)
(United States, is, accountable to same extent as individual)
(United States, is, accountable in manner to extent)
(United States, is, accountable in manner as private individual)
(United States, is, accountable to extent as individual)
(United States, is, accountable in manner as individual)
(United States, is, accountable in same manner to same extent as individual)
(United States, is, accountable in same manner to same extent as private individual)
(it, waivers of, immunity)
(it, was construing, waivers)
(it, was construing narrowly, waivers of immunity)
(Court, indeed did in, years immediately after Act 's passage)
(Court, keeping with, provisions)
(it, even was construing, other waivers)
(it, even was construing narrowly, other waivers of immunity)
(it, other waivers of, immunity)
(it, was construing narrowly, other waivers of immunity)
(Court, indeed did so in, years immediately after Act 's passage)
(Court, did so in, years)
(Government, has, calls cabin)
(Court, indeed did so in, years after Act 's passage)
(Court, did in, years after Act 's passage)
(Court, did in, years immediately after Act 's passage)
(it, waives, immunity)
(Court, did in, years)
(it, even was construing, waivers)
(Court, did so in, years after Act 's passage)
(it, was construing narrowly, other waivers)
(Court, indeed did in, years after Act 's passage)
(it, even was construing narrowly, other waivers)
(it, even was construing, waivers of immunity)
(it, was construing narrowly, waivers)
(it, was construing, other waivers)
(Court, indeed did in, years)
(it, even was construing, other waivers of immunity)
(it, even was construing narrowly, waivers)
(it, waives, sovereign immunity)
(Court, indeed did so in, years)
(it, even was construing narrowly, waivers of immunity)
(Court, did so in, years immediately after Act 's passage)
(it, was construing, waivers of immunity)
(it, was construing, other waivers of immunity)
(FTCA, stressing, Government 's equivalence)
(Our precedents, make, clear-cut case)
(Our precedents, make, case)
(it, preclude, equitable tolling)
(Irwin, requires, indication from Congress)
(Irwin, requires, affirmative indication from Congress)
(it, preclude, tolling in suit against Government)
(it, preclude, equitable tolling in suit)
(it, preclude, tolling in suit)
(Irwin, requires, affirmative indication)
(Irwin, requires, indication)
(it, preclude, equitable tolling in suit against Government)
(it, preclude, tolling)
(Congress, making, statute of limitations)
(Congress, making, statute of limitations jurisdictional)
(Congress, making, statute)
(Congress, can provide, signal)
(we, treat time as, mere claims-processing rule)
(we, otherwise treat, time)
(we, treat time as, claims-processing rule)
(we, treat, time)
(we, otherwise treat time as, claims-processing rule)
(we, otherwise treat time as, mere claims-processing rule)
(nothing core language, is special, Court has stated)
(nothing core language, is, special)
(nothing core language, is special, Court has repeatedly stated)
(558-559, at Pipe is, 414 U. S.)
(137 139, at Sand is, 552 U. S.)
(Court, of, decision treat in suits against Government)
(420-422, at Scarborough is, 541 U. S.)
(145, at Franconia is, 536 U. S.)
(FTCA 's time bars, are, nonjurisdictional)
(FTCA, has, time bars)
(We, remand cases for, proceedings consistent)
(We, remand cases for, further proceedings)
(We, affirm, judgments of U. S. Court of Appeals)
(We, remand cases for, proceedings consistent with opinion)
(We, remand, cases)
(We, affirm, judgments of U. S. Court for Ninth Circuit)
(We, affirm, judgments)
(We, affirm, judgments for Ninth Circuit)
(We, affirm, judgments of U. S. Court of Appeals for Ninth Circuit)
(We, affirm, judgments of U. S. Court)
(We, remand cases for, further proceedings consistent)
(We, remand cases for, further proceedings consistent with opinion)
(We, remand cases for, proceedings)
(it, is, On remand in June decide)
(June, is, entitled)
(June, is, on facts of her case entitled to equitable tolling)
(it, is decide On, remand in June)
(June, is entitled to, equitable tolling)
(June, is entitled on, facts of her case)
(June, is entitled on, facts)
(it, is, decide)
(it, is decide On, remand)
(June, is entitled to, tolling)
(District Court, is, decide)
(June, is, on facts of her case entitled to tolling)
(June, is, on facts entitled to tolling)
(June, is, on facts entitled to equitable tolling)
(it, is, On remand decide)
(District Court, is decide On, remand)
(District Court, is decide On, remand in June)
(remand, is in, June)
(It, is, ordered)
(It, is, so ordered)
(JUSTICE ALITO, is with, whom)
(Our task, is in, cases)
(sovereign immunity, is in, Federal Tort Claims Act)
(FTCA, waives, immunity of United States for tort claims)
(FTCA, waives, immunity for certain tort claims)
(it, is filed with, agency)
(it, is filed, claim accrues after agency 's decision)
(FTCA, waives, immunity for tort claims)
(FTCA, waives, immunity of United States for certain tort claims)
(claim, accrues after, agency 's final decision)
(agency, after, final decision)
(it, is, filed)
(such claim, accrues after, agency 's decision)
(FTCA, waives, immunity of United States)
(it, is filed, claim accrues)
(it, is filed with, appropriate agency)
(it, is filed, such claim accrues after agency 's decision)
(it, is filed, such claim accrues after agency 's final decision)
(it, is filed, claim accrues after agency 's final decision)
(FTCA, waives, immunity)
(it, is filed, such claim accrues)
(claim, accrues after, agency 's decision)
(such claim, accrues after, agency 's final decision)
(I, would enforce, statute)
(I, would enforce statute, Congress intended)
(FTCA, be, understood)
(FTCA, be understood in, context)
(FTCA, is waiver of, sovereign immunity)
(FTCA, is waiver of, immunity)
(FTCA, is, waiver)
(Congress, allow, individual tort claims against United States)
(Congress, was reluctant In, 19th centuries)
(Congress, allow, individual tort claims)
(Congress, allow, tort claims against United States)
(Congress, was reluctant In, 19th 20th centuries)
(Congress, was reluctant In, 20th centuries)
(Congress, allow, tort claims)
(Congress, was reluctant In, centuries)
(Congress, was, reluctant)
(it, Instead granted relief to, individuals through private laws enacted solely)
(it, granted relief to, individuals through laws enacted solely for individuals ' benefit)
(it, Instead granted relief to, individuals through laws enacted solely)
(it, Instead granted relief to, individuals through laws enacted for individuals ' benefit)
(it, Instead granted relief to, individuals)
(it, Instead granted relief to, individuals through private laws enacted solely for individuals ' benefit)
(it, granted relief to, individuals)
(it, Instead granted relief to, individuals through laws enacted)
(it, Instead granted, relief)
(it, granted relief to, individuals through laws enacted for individuals ' benefit)
(it, granted relief to, individuals through laws enacted)
(it, granted relief to, individuals through laws enacted solely)
(it, granted relief to, individuals through private laws enacted for individuals ' benefit)
(it, Instead granted relief to, individuals through private laws enacted)
(it, Instead granted relief to, individuals through private laws enacted for individuals ' benefit)
(it, granted relief to, individuals through private laws)
(it, Instead granted relief to, individuals through laws enacted solely for individuals ' benefit)
(it, Instead granted relief to, individuals through laws)
(it, granted relief to, individuals through private laws enacted solely)
(it, granted relief to, individuals through private laws enacted)
(it, granted relief to, individuals through laws)
(it, granted, relief)
(it, Instead granted relief to, individuals through private laws)
(it, granted relief to, individuals through private laws enacted solely for individuals ' benefit)
(waivers, were, surgical)
(it, adopt, approach)
(waivers, thought by, 1946 Congress)
(it, adopt, simplified approach)
(FTCA, thus waived, immunity)
(FTCA, waived, sovereign immunity for tort claims against Government)
(FTCA, thus waived, immunity for tort claims against Government)
(FTCA, thus waived, sovereign immunity)
(FTCA, thus waived, sovereign immunity for tort claims)
(FTCA, thus waived, sovereign immunity for tort claims against Government)
(FTCA, waived, immunity for tort claims)
(FTCA, thus waived, immunity for tort claims)
(FTCA, waived, immunity)
(FTCA, waived, sovereign immunity for tort claims)
(FTCA, waived, sovereign immunity)
(FTCA, waived, immunity for tort claims against Government)
(Congress, authorized, suits)
(Tucker Act, excluded, tort claims from its waiver of immunity)
(Congress, authorized, suits for contract under Tucker Act)
(Congress, authorized, suits for contract)
(Congress, suits for, contract)
(Tucker Act, excluded, tort claims from its waiver of sovereign immunity)
(Congress, suits against, Government)
(Tucker Act, excluded, tort claims from its waiver)
(Tucker Act, excluded, tort claims)
(Congress, authorized, suits against Government for contract under Tucker Act)
(Congress, authorized, suits against Government)
(Congress, authorized, suits against Government for contract)
(Congress, suits for, contract under Tucker Act)
(concern, was, obvious)
(frivolous claims, require, Federal Government)
(claims, require, Federal Government)
(Government, shift, funds allocated)
(Government, shift, funds originally allocated)
(dollar, spent, defend)
(dollar, defend against, tort claim)
(Government, shift, funds allocated to programs)
(funds, originally allocated to, public programs)
(Government, must either raise taxes, dollar spent)
(Government, shift, funds allocated to different programs)
(Government, shift, funds originally allocated to different public programs)
(funds, originally allocated to, programs)
(Government, shift, funds originally allocated to public programs)
(Government, shift, funds allocated to public programs)
(dollar, spent, defend against tort claim against United States)
(funds, allocated to, public programs)
(funds, allocated to, different programs)
(Government, must raise, taxes)
(funds, allocated to, programs)
(Government, must raise taxes, dollar spent)
(dollar, spent, defend against tort claim)
(funds, originally allocated to, different programs)
(Government, must either raise, taxes)
(Government, shift, funds originally allocated to programs)
(Government, shift, funds)
(dollar, defend against, tort claim against United States)
(Government, shift, funds allocated to different public programs)
(funds, originally allocated to, different public programs)
(funds, allocated to, different public programs)
(Government, shift, funds originally allocated to different programs)
(Congress, placed, limits on FTCA 's waiver)
(Congress, reduce, risks)
(Congress, placed, strict limits on FTCA 's waiver of sovereign immunity)
(Congress, placed, strict limits)
(Congress, placed, limits on FTCA 's waiver of immunity)
(Congress, placed, limits)
(Congress, placed, limits on FTCA 's waiver of sovereign immunity)
(FTCA, on, waiver of sovereign immunity)
(Congress, placed, strict limits on FTCA 's waiver of immunity)
(Congress, placed, strict limits on FTCA 's waiver)
(statute, exempts from, its waiver certain categories of claims)
(statute, exempts from, its waiver categories)
(statute, exempts from, its waiver categories of claims)
(statute, exempts from, its waiver certain categories)
(interference, is with, contract rights)
(Act, exempts In, addition)
(Act, limit, unpredictability)
(Act, limit, scope of Government 's potential liability)
(Act, exempts from, waiver of immunity)
(Government, of, potential liability)
(Act, limit, scope)
(Act, exempts from, waiver of sovereign immunity)
(Act, exempts from, waiver)
(unpredictability, scope of, Government 's potential liability)
(Act, granted district courts, enacted)
(provisions, to ubject is, s)
(Act, granted district courts, enacted in 1946)
(Act, granted, district courts)
(Act, enacted in, 1946)
(action, is begun in, court)
(it, is presented, writing to Federal agency)
(it, is, presented)
(action, is, begun)
(it, is presented within, one year such claim accrued)
(cognizable, shall, shall forever barred)
(it, writing to, Federal agency)
(action, is begun in, federal court)
(cognizable, shall, shall barred)
(it, is presented within, one year claim accrued)
(it, is presented, writing)
(version, provides, follows)
(current version, provides in, full)
(current version, provides, follows)
(version, provides in, full)
(claim, accrues by, mail of notice of final denial)
(it, is, presented)
(it, writing, claim accrues by certified mail of notice of final denial)
(it, writing to, Federal agency)
(it, writing, claim accrues by mail of notice of final denial)
(claim, accrues by, certified mail of notice of final denial)
(claim, accrues by, certified mail)
(such claim, accrues by, mail of notice)
(claim, accrues by, certified mail of notice)
(such claim, accrues by, mail)
(action, is begun within, six months)
(it, is presented, writing to appropriate Federal agency)
(it, is presented, writing to Federal agency)
(it, writing, claim accrues by mail of notice of denial)
(it, writing, claim accrues)
(claim, accrues by, certified mail of notice of denial)
(claim, accrues by, mail)
(it, writing, claim accrues by certified mail)
(such claim, accrues by, certified mail)
(claim, accrues by, mail of notice)
(it, writing, claim accrues by certified mail of notice)
(such claim, accrues by, mail of notice of final denial)
(claim, accrues by, mail of notice of denial)
(action, is begun within, six months after date of mailing)
(it, writing, claim accrues by mail of notice)
(such claim, accrues by, certified mail of notice of denial)
(it, writing to, appropriate Federal agency)
(it, is presented, writing)
(it, writing, claim accrues by mail)
(tort claim, shall, shall barred)
(action, is, begun)
(such claim, accrues by, certified mail of notice of final denial)
(it, writing, claim accrues by certified mail of notice of denial)
(such claim, accrues by, mail of notice of denial)
(such claim, accrues by, certified mail of notice)
(tort claim, shall, shall forever barred)
(action, is begun within, six months after date)
(FTCA 's filing deadlines, are, subject)
(FTCA 's filing deadlines, are subject to, tolling)
(FTCA 's filing deadlines, are subject to, equitable tolling)
(question, presented in, two cases)
(FTCA, has, filing deadlines)
(question, presented in, cases)
(statute, prohibits, equitable tolling)
(courts, adjudicate, claims)
(deadlines, are, jurisdictional)
(statute, prohibits, tolling)
(courts, adjudicate, claims filed)
(courts, adjudicate, claims filed outside their limits)
(statute, nonetheless prohibits, equitable tolling)
(statute, nonetheless prohibits, tolling)
(courts, adjudicate, claims filed outside their strict limits)
(deadlines, are jurisdictional in, nature)
(inquiries, require, attention)
(inquiries, require attention to, text)
(inquiries, require, close attention)
(FTCA 's filing deadlines, are, jurisdictional)
(FTCA, has, filing deadlines)
(statute 's text, prohibits, adjudication of untimely claims)
(statute 's plain text, prohibits, adjudication of claims)
(statute 's text, prohibits, adjudication of claims)
(statute 's plain text, prohibits, adjudication)
(statute, has, plain text)
(statute 's text, prohibits, adjudication)
(statute 's plain text, prohibits, adjudication of untimely claims)
(untimely claims, shall, shall forever barred)
(untimely claims, shall, shall barred)
(Act, has, filing deadlines)
(They, are, absolute)
(Shall, be, forever barred)
(Shall, be, barred)
(filing deadlines, restrict, FTCA 's waiver)
(filing deadlines, restrict, FTCA 's waiver of immunity)
(FTCA, has, waiver of sovereign immunity)
(filing deadlines, restrict, FTCA 's waiver of sovereign immunity)
(117-118, at Kubrick is, supra)
(we, have understood, terms)
(we, have understood terms as, jurisdictional)
(we, have understood terms For, over 130 years)
(FTCA, has, limitations provision)
(Congress, crafting, FTCA 's limitations provision)
(limitations provisions, is in, Tucker Act)
(it, borrowed language from, limitations provisions in Tucker Act)
(it, borrowed, language)
(it, Rather borrowed language from, limitations provisions in Tucker Act)
(it, Rather borrowed language from, limitations provisions)
(it, borrowed language from, limitations provisions)
(it, Rather borrowed, language)
(language, came from, 1863 predecessor to Tucker Act)
(language, came from, 1863 predecessor)
(language, came in, turn)
(statutory language, came from, 1863 predecessor)
(statutory language, came in, turn)
(statutory language, came from, 1863 predecessor to Tucker Act)
(we, early interpreted, terms)
(we, interpreted terms, impose)
(we, early interpreted terms, impose)
(we, As early interpreted terms, impose)
(we, As early interpreted, precise terms)
(we, interpreted, terms)
(we, interpreted, precise terms)
(we, early interpreted, precise terms)
(we, As early interpreted, terms)
(Congress, restrict jurisdiction to, certain classes of demands)
(Congress, restrict, jurisdiction of courts)
(Congress, jurisdiction of, courts)
(Congress, waiving, immunity)
(Congress, restrict, jurisdiction)
(Congress, restrict jurisdiction to, classes)
(Congress, waiving, sovereign immunity)
(Congress, restrict jurisdiction to, certain classes)
(Congress, restrict jurisdiction to, classes of demands)
(he, express, words of statute)
(he, words of, statute)
(he, express, words)
(we, repeatedly reaffirmed, our interpretation of phrase)
(we, reaffirmed, our interpretation of phrase)
(we, reaffirmed, our interpretation)
(we, repeatedly reaffirmed, our interpretation)
(plaintiff, raised, untimely claim)
(plaintiff, raised, claim)
(petition, duty of, court)
(We, reached, same conclusion)
(same conclusion, is in, De Arnaud)
(We, reached, conclusion)
(We, reached, conclusion in De Arnaud)
(We, reached, same conclusion in De Arnaud)
(We, reaffirmed, rule v. New York)
(rule, is in, United States)
(We, reaffirmed, rule)
(We, reaffirmed, rule in United States v. New York)
(We, reaffirmed, rule in United States)
(Government, even waived, objection)
(jurisdiction, resolve, untimely claims)
(Munro, in S. is, n. 1 41)
(Tucker Act, has, time limits)
(S., is in, Munro)
(jurisdiction, resolve, claims)
(Government, waived, objection)
(compliance, enable, maintained)
(compliance, enable, maintained against sovereign)
(courts, similarly enforced deadline at_time, while)
(suit, be maintained against, sovereign)
(compliance, enable, suit)
(lower courts, similarly enforced deadline at_time, while)
(lower courts, enforced deadline at_time, while)
(suit, be, maintained)
(courts, enforced deadline at_time, while)
(compliance, is, necessary)
(phrase, shall, shall barred)
(phrase, shall, by 1946 shall barred)
(phrase, shall, Thus shall forever barred)
(phrase, shall, by 1946 shall forever barred)
(phrase, shall, Thus by 1946 shall forever barred)
(phrase, shall, Thus shall barred)
(phrase, shall, Thus by 1946 shall barred)
(phrase, shall, shall forever barred)
(FTCA, has, statutory terms)
(FTCA 's statutory terms, must, must understood)
(FTCA 's terms, must, must understood in context)
(FTCA 's statutory terms, must, must understood in context)
(FTCA 's terms, must, must understood)
(Congress, crafted FTCA as, tort-based analogue to Tucker Act)
(Tucker Act, of, filing deadline)
(it, borrowed, wording)
(Congress, crafted FTCA as, analogue)
(it, borrowed, wording of Tucker Act 's filing deadline)
(Congress, crafted FTCA as, tort-based analogue)
(it, borrowed, well-known wording of Tucker Act 's filing deadline)
(it, borrowed, well-known wording)
(it, consciously borrowed, wording)
(Congress, crafted FTCA as, analogue to Tucker Act)
(it, consciously borrowed, wording of Tucker Act 's filing deadline)
(Congress, crafted, FTCA)
(it, consciously borrowed, well-known wording)
(it, consciously borrowed, well-known wording of Tucker Act 's filing deadline)
(it, was, settled)
(language, used in, act)
(it, part of, enactment)
(it, made, it part)
(it, made, it part of enactment)
(language, used in, earlier act)
(Congress, be, considered)
(United States, v. Sekhar is, ___ 2013)
(quoting Frankfurter, Reflections on, Reading of Statutes)
(Congress, considered, departing from Tucker Act 's prohibition)
(Congress, decided against, it)
(Congress, departing from, Tucker Act 's prohibition on equitable tolling)
(Tucker Act, from, prohibition on equitable tolling)
(Congress, Indeed considered, departing from Tucker Act 's prohibition on equitable tolling)
(Congress, departing from, Tucker Act 's prohibition)
(Congress, Indeed considered, departing)
(Congress, considered, departing from Tucker Act 's prohibition on equitable tolling)
(Congress, departing from, Tucker Act 's prohibition on tolling)
(Congress, Indeed considered, departing from Tucker Act 's prohibition on tolling)
(Congress, considered, departing from Tucker Act 's prohibition on tolling)
(Congress, Indeed considered, departing from Tucker Act 's prohibition)
(Congress, considered, departing)
(Act, passed by, Congress)
(Act, passed by, 1946 Congress)
(individuals, turn for, relief through bills)
(they, did before, FTCA 's enactment)
(individuals, turn, they did before FTCA 's enactment)
(individuals, turn for, relief through private bills)
(individuals, turn to, Congress)
(it, was, understood)
(it, was, Instead understood)
(individuals, is with, claims outside deadlines)
(FTCA, before, enactment)
(individuals, turn for, relief)
(individuals, turn, they did)
(phase, has, jurisdictional nature in decades)
(We, reaffirmed, phase 's jurisdictional nature)
(We, reaffirmed, phase 's nature in decades)
(We, reaffirmed, phase 's nature)
(FTCA, following, enactment)
(We, reaffirmed, phase 's jurisdictional nature in decades)
(phase 's jurisdictional nature, is in, decades)
(we, rejected, request allow)
(property litigation, be, affected)
(alien property litigation, be, affected)
(we, Confirming, connection between Tucker Act)
(permitting, suits for, tax refunds)
(Court, allowed, equitable tolling)
(Court, allowed, equitable tolling under Tucker Act)
(Court, tolling under, Tucker Act)
(Court, allowed, tolling under Tucker Act)
(Court, equitable tolling under, Tucker Act)
(we, Confirming, connection)
(Court, allowed, tolling)
(FTCA 's time limits, are condition of, Act 's waiver)
(FTCA 's time limits, are condition of, Act 's waiver of immunity)
(FTCA, has, time limits)
(FTCA 's time limits, are, condition)
(Act, of, waiver of sovereign immunity)
(S., is in, Kubrick)
(FTCA 's time limits, are condition of, Act 's waiver of sovereign immunity)
(Soriano, has, warning)
(we, cited, Soriano 's warning)
(lower courts, recognized, statutes ' heritage)
(lower courts, also recognized, statutes ' heritage)
(courts, also quickly recognized, statutes ' common heritage)
(courts, also recognized, statutes ' heritage)
(lower courts, enforced, b)
(lower courts, quickly recognized, statutes ' heritage)
(lower courts, recognized, statutes ' common heritage)
(courts, also recognized, statutes ' common heritage)
(courts, quickly recognized, statutes ' heritage)
(courts, recognized, statutes ' heritage)
(courts, recognized, statutes ' common heritage)
(lower courts, also recognized, statutes ' common heritage)
(courts, also quickly recognized, statutes ' heritage)
(courts, quickly recognized, statutes ' common heritage)
(lower courts, quickly recognized, statutes ' common heritage)
(lower courts, also quickly recognized, statutes ' common heritage)
(lower courts, also quickly recognized, statutes ' heritage)
(courts, enforced, b)
(Fourth Circuit, cited Munro, holding)
(Fourth Circuit, cited, Finn)
(Fourth Circuit, cited, Munro)
(Fourth Circuit, cited Finn, holding)
(FTCA 's filing deadline, is, limit)
(Circuit, cited, Finn)
(deadline, is, jurisdictional)
(Circuit, cited Finn, holding)
(FTCA, has, filing deadline)
(Circuit, cited, Munro)
(Circuit, cited Munro, holding)
(FTCA 's filing deadline, is, jurisdictional limit)
(FTCA 's deadline, is condition on, Act 's waiver of immunity)
(FTCA 's deadline, is condition on, Act 's waiver)
(Fifth Circuit, cited, Carpenter)
(FTCA 's deadline, is jurisdictional condition on, Act 's waiver)
(deadline, is, jurisdictional)
(Fifth Circuit, cited, Carpenter v. United States)
(FTCA 's deadline, is, condition)
(Act, on, waiver of sovereign immunity)
(FTCA 's deadline, is, jurisdictional condition)
(FTCA, has, deadline)
(FTCA 's deadline, is condition on, Act 's waiver of sovereign immunity)
(FTCA 's deadline, is jurisdictional condition on, Act 's waiver of sovereign immunity)
(FTCA 's deadline, is jurisdictional condition on, Act 's waiver of immunity)
(Edwards, is in, turn citing)
(Congress, amended, FTCA)
(it, readopted, language)
(it, readopted, language against backdrop of Soriano)
(Congress, amended FTCA in, 1966)
(it, readopted, barred language against backdrop of Soriano)
(it, readopted, forever barred language against backdrop)
(it, readopted, forever barred language against backdrop of Soriano)
(it, readopted, language against backdrop)
(it, readopted, barred language)
(it, readopted, barred language against backdrop)
(it, readopted, forever barred language)
(Congress, keep, universally recognized meaning)
(Congress, keep, universally recognized meaning of words)
(Congress, keep, meaning)
(Congress, keep, meaning of words)
(Congress, keep, recognized meaning)
(Congress, keep, recognized meaning of words)
(General Dynamics Land Systems, Inc. v., Cline)
(we, recently reaffirmed, our view in John R. Sand)
(we, reaffirmed, our view)
(our view, is in, John R. Sand)
(we, recently reaffirmed, our view)
(we, reaffirmed, our view in John R. Sand)
(jurisdictional time limits, seek unlike, statutes of limitation)
(limiting, scope of, waiver of sovereign immunity)
(time limits, seek unlike, statutes)
(limiting, scope of, waiver)
(limiting, scope of, waiver of immunity)
(limiting, scope of, governmental waiver of sovereign immunity)
(limiting, scope of, governmental waiver)
(jurisdictional time limits, seek unlike, statutes)
(time limits, seek unlike, run-of-the-mill statutes of limitation)
(time limits, seek unlike, statutes of limitation)
(jurisdictional time limits, seek unlike, run-of-the-mill statutes)
(limiting, scope of, governmental waiver of immunity)
(time limits, seek unlike, run-of-the-mill statutes)
