(UNITED STATES, v. RODRIGUEZ is, 2015)
(aspect, is in, detail)
(issue, discussed in, Part)
(Court, was argued here, issue discussed)
(Court, was argued, issue discussed)
(Court, was, argued here)
(Court, was, argued)
(Court, was argued, issue discussed in Part)
(Court, was argued here, issue discussed in Part)
(better course, allow, do in instance)
(course, allow, court)
(course, allow, do)
(better course, would be In, my view)
(better course, allow, do so in instance)
(course, would be, allow)
(better course, would be, allow)
(court, do in, first instance)
(better course, allow, court)
(court, do so in, first instance)
(course, allow, do so in instance)
(better course, allow, do so in first instance)
(course, would be In, my view)
(better course, allow, do)
(court, do so in, instance)
(court, do in, instance)
(course, allow, do in instance)
(course, allow, do so)
(course, allow, do so in first instance)
(course, allow, do in first instance)
(better course, allow, do so)
(better course, allow, do in first instance)
(DENNYS RODRIGUEZ, PETITIONER v., UNITED STATES)
(JUSTICE KENNEDY, joins as to, all)
(officer, executed stop in, reasonable manner)
(officer, executed, stop)
(backup unit, bringing, overall duration)
(backup unit, bringing, duration)
(backup unit, bringing duration to, 29 minutes)
(officer, executed stop in, manner)
(he, waited, conduct)
(backup unit, bringing, overall duration of stop)
(he, had given, driver)
(backup unit, bringing, duration of stop)
(It, was, unnecessary)
(officer, possessed, suspicion)
(It, was, also unnecessary)
(officer, possessed, reasonable suspicion)
(officer, possessed suspicion, continue)
(ultimate touchstone, is, reasonableness)
(Amendment, touchstone of is, reasonableness)
(ultimate touchstone, is reasonableness, we have repeatedly confirmed)
(touchstone, is, reasonableness)
(touchstone, is reasonableness, we have confirmed)
(Amendment, ultimate touchstone of is, reasonableness)
(Fourth Amendment, ultimate touchstone of is, reasonableness)
(Fourth Amendment, touchstone of is, reasonableness)
(ultimate touchstone, is reasonableness, we have confirmed)
(touchstone, is reasonableness, we have repeatedly confirmed)
(reasonableness, is in, objective terms examining)
(We, have defined, reasonableness)
(it, intrudes upon, individual 's privacy)
(individual, upon, privacy)
(our precedents, assessing on, one hand)
(police, have, probable cause believe)
(its manner, infringes, interests protected)
(its manner, unreasonably infringes, interests protected)
(its manner, unreasonably infringes, interests protected by Constitution)
(its manner, infringes, interests)
(its manner, unreasonably infringes, interests)
(interests, protected by, Constitution)
(its manner, infringes, interests protected by Constitution)
(407, at Caballes is, supra)
(stop, was otherwise executed in, manner)
(stop, was otherwise executed in, reasonable manner)
(stop, was, executed)
(stop, was, otherwise executed)
(stop, was executed in, manner)
(stop, was executed in, reasonable manner)
(his dog, alerted to, presence)
(Officer Struble, stopped, Rodriguez)
(Officer Struble, stopped Rodriguez, his narcotics-detection dog alerted to presence of drugs)
(Officer Struble, stopped Rodriguez, his dog alerted to presence)
(his dog, alerted to, presence of drugs)
(Officer Struble, stopped Rodriguez, his narcotics-detection dog alerted to presence)
(Officer Struble, stopped Rodriguez, his dog alerted to presence of drugs)
(Officer Struble, stopped Rodriguez, his dog alerted)
(his narcotics-detection dog, alerted to, presence of drugs)
(his narcotics-detection dog, alerted to, presence)
(Officer Struble, stopped Rodriguez, his narcotics-detection dog alerted)
(amount, is out of, hardly ordinary for traffic stop by officer of vehicle)
(amount, is out of, ordinary)
(amount, is out of, hardly ordinary for traffic stop by single officer of vehicle)
(amount, is out of, ordinary for traffic stop by single officer of vehicle)
(amount, is out of, hardly ordinary for traffic stop)
(amount, is out of, hardly ordinary)
(amount, is out of, ordinary for traffic stop)
(amount, is out of, ordinary for traffic stop by single officer)
(amount, is out of, hardly ordinary for traffic stop by officer)
(amount, is out of, ordinary for traffic stop by officer)
(amount, is out of, ordinary for traffic stop by officer of vehicle)
(amount, is out of, hardly ordinary for traffic stop by single officer)
(he, asked, Pollman)
(he, ran, warrant checks)
(he, issued, written warning to Rodriguez)
(he, asked Pollman about, their travel plans)
(issued, warning to, Rodriguez)
(he, approached, vehicle)
(he, issued, written warning)
(he, questioned Rodriguez about, violation)
(he, ran, serial warrant checks)
(he, issued, warning to Rodriguez)
(he, issued, warning)
(issued, written warning to, Rodriguez)
(he, ran warrant checks on, Rodriguez)
(he, questioned, Rodriguez)
(he, questioned Rodriguez about, observed violation)
(he, ran on, Rodriguez)
(he, conduct, dog)
(he, took, precaution calling for backup)
(he, took, precaution calling)
(safety, is, relevant)
(safety, is, legitimate)
(Caballes, makes, clear)
(legitimate privacy interests, use of, well-trained narcotics-detection dog)
(legitimate privacy interests, use of, well-trained dog)
(legitimate privacy interests, use of, dog)
(legitimate privacy interests, use of, narcotics-detection dog)
(stop, executed in, reasonable manner)
(stop, was, lawful)
(stop, otherwise executed in, manner)
(stop, executed in, manner)
(stop, otherwise executed in, reasonable manner)
(stop, was lawful at, its inception)
(403, at City is, supra)
(we, have repeatedly characterized as, touchstone of Amendment)
(we, have repeatedly characterized as, touchstone of Fourth Amendment)
(we, have characterized as, touchstone of Fourth Amendment)
(we, have characterized as, touchstone)
(we, have characterized as, touchstone of Amendment)
(we, have repeatedly characterized as, touchstone)
(majority, has, rule)
(tasks, are, when reasonably completed)
(traffic, stop, when should have completed)
(traffic, stop, reasonably should have completed)
(tasks, are, when completed)
(tasks, are, completed)
(traffic, stop, when reasonably should have completed)
(tasks, are, reasonably completed)
(tasks, tied to, traffic infraction)
(traffic, stop, should have completed)
(officer, can complete, inquiries)
(that, is, amount required)
(officer, can complete expeditiously, traffic-based inquiries)
(that, is, amount reasonably required)
(stop, has, mission)
(that, is amount of, time)
(he, may hold, individual)
(that, is, amount of time required)
(officer, can complete, traffic-based inquiries)
(that, is, amount)
(officer, can complete expeditiously, inquiries)
(that, is, amount of time reasonably required)
(he, be, released from traffic stop after period of time)
(he, be released after, period of time than driver)
(he, be released after, shorter period)
(he, be, released from traffic stop after shorter period than driver stopped by efficient officer)
(he, be, released from traffic stop after period of time than driver stopped)
(he, be, released from traffic stop after period of time than driver stopped by less efficient officer)
(he, be released after, shorter period of time than driver stopped by officer)
(he, be released after, period than driver stopped)
(he, be, released from traffic stop after shorter period of time)
(he, be released after, period than driver stopped by less efficient officer)
(he, be released after, period of time than driver stopped by efficient officer)
(he, be, released from traffic stop after period of time than driver stopped by efficient officer)
(he, be released after, shorter period of time)
(he, be, released from traffic stop after shorter period than driver stopped)
(majority, has, rule)
(he, be released after, period than driver stopped by officer)
(driver, is stopped by, efficient officer)
(he, be, released from traffic stop after shorter period of time than driver stopped by officer)
(he, be released after, shorter period than driver stopped by officer)
(he, be released after, period than driver)
(he, be released after, period than driver stopped by efficient officer)
(he, be released after, shorter period than driver stopped by less efficient officer)
(he, be, released from traffic stop after shorter period than driver stopped by less efficient officer)
(he, be released after, shorter period than driver stopped by efficient officer)
(driver, is, stopped)
(he, be, released from traffic stop after shorter period of time than driver stopped)
(he, be released after, shorter period of time than driver stopped by efficient officer)
(he, will, will entitled)
(he, be, released from traffic stop after period than driver stopped)
(he, be released after, period of time than driver stopped by less efficient officer)
(he, be released after, shorter period of time than driver)
(he, be released after, period of time)
(he, be released after, period)
(he, be, released from traffic stop after period)
(driver, is stopped by, officer)
(he, be, released from traffic stop after shorter period of time than driver stopped by less efficient officer)
(he, be, released from traffic stop after shorter period than driver)
(he, be, released from traffic stop after shorter period of time than driver stopped by efficient officer)
(he, be released after, shorter period than driver stopped)
(he, be, released from traffic stop after shorter period)
(he, be, released from traffic stop after period of time than driver stopped by officer)
(he, be, released from traffic stop after period than driver stopped by efficient officer)
(he, be, released from traffic stop after period than driver)
(he, be, released from traffic stop after shorter period than driver stopped by officer)
(he, be released after, shorter period of time than driver stopped)
(he, be released from, traffic stop)
(driver, is stopped by, particularly efficient officer)
(he, be, released from traffic stop after period than driver stopped by less efficient officer)
(he, be released after, shorter period than driver)
(he, be released after, shorter period of time than driver stopped by less efficient officer)
(he, be released after, period of time than driver stopped by officer)
(he, be, released)
(he, be, released from traffic stop after period of time than driver)
(he, be released after, period of time than driver stopped)
(he, be, released from traffic stop after period than driver stopped by officer)
(he, be, released from traffic stop after shorter period of time than driver)
(he, will, will entitled than individual stopped without access to such technology)
(he, will, will entitled)
(he, will, then will entitled than individual)
(he, will, will entitled than individual stopped without access)
(he, will, then will entitled than individual stopped without access to such technology)
(he, be, released from stop after shorter period)
(he, be released after, shorter period)
(he, will, will entitled than individual)
(he, be released after, period of time)
(he, will, then will entitled than individual stopped by officer without access to such technology)
(he, be released after, period)
(driver, is stopped by, officer)
(he, be released from, stop)
(he, will, then will entitled than individual stopped without access)
(he, will, will entitled than individual stopped by officer without access)
(he, be, released from stop after period of time)
(he, will, will entitled than individual stopped by officer without access to technology)
(he, will, will entitled than individual stopped by officer)
(he, will, then will entitled than individual stopped without access to technology)
(he, will, then will entitled than individual stopped by officer without access to technology)
(he, will, will entitled than individual stopped by officer without access to such technology)
(he, will, then will entitled than individual stopped by officer)
(he, be released after, shorter period of time)
(driver, is stopped with, access)
(he, will, then will entitled than individual stopped)
(he, will, will entitled than individual stopped)
(he, be, released from stop after shorter period of time)
(driver, is, stopped by officer with access)
(he, be, released)
(he, be, released from stop after period)
(he, will, then will entitled than individual stopped by officer without access)
(he, will, then will entitled)
(he, will, will entitled than individual stopped without access to technology)
(driver, is, stopped)
(815, at Whren is, 517 U. S.)
(officer, has, state of mind)
(Fourth Amendment, change with, law enforcement practices)
(Amendment, change with, local law enforcement practices)
(Fourth Amendment change, is with, local law enforcement practices)
(Amendment, change with, law enforcement practices)
(Fourth Amendment, change with, local law enforcement practices)
(172, at Moore is, supra)
(officer, states, reason for detention)
(arresting officer, states, reason)
(officer, reason for, detention)
(officer, states, reason)
(arresting officer, reason for, detention)
(arresting officer, states, reason for detention)
(arrest, be, valid)
(Court, explained In, Devenpeck)
(unanimous Court, explained In, Devenpeck)
(majority 's logic, would produce, similarly arbitrary results)
(majority 's logic, would produce, arbitrary results)
(majority, has, logic)
(majority 's logic, would produce, results)
(same traffic stop, made in, same circumstances)
(traffic stop, made by, officer)
(traffic stop, made in, circumstances)
(traffic stop, made in, precisely same circumstances)
(traffic stop, made by, knowledgeable officer)
(same traffic stop, made in, precisely circumstances)
(traffic stop, made by, rookie)
(traffic stop, made in, same circumstances)
(traffic stop, made by, knowledgeable veteran officer)
(same traffic stop, made by, knowledgeable veteran officer)
(same traffic stop, made by, officer)
(same traffic stop, made in, circumstances)
(same traffic stop, made by, knowledgeable officer)
(same traffic stop, made by, veteran officer)
(traffic stop, made by, veteran officer)
(same traffic stop, made in, precisely same circumstances)
(traffic stop, made in, precisely circumstances)
(We, have long rejected, interpretations)
(We, have rejected, interpretations)
(it, complete, category)
(it, complete, category of inquiries)
(it, complete, narrow category of traffic-based inquiries)
(it, complete, narrow category)
(majority, also limits, duration of stop)
(majority, limits, duration)
(majority, also limits, duration)
(it, complete, category of traffic-based inquiries)
(majority, limits, duration of stop)
(it, takes, officer)
(it, complete, narrow category of inquiries)
(vehicles, are, operated safely)
(vehicles, are, operated)
(Inquiries, detecting, evidence of ordinary criminal wrongdoing)
(Inquiries, detecting, evidence of ordinary wrongdoing)
(Inquiries, detecting, evidence of wrongdoing)
(Inquiries, detecting, evidence)
(Inquiries, detecting, evidence of criminal wrongdoing)
(traffic-related inquiries, is with, majority 's officer-specific durational limit)
(combination, produces, result)
(majority, with, officer-specific durational limit)
(combination, produces, result at odds with our decision in Caballes)
(combination, produces, result at odds)
(odds, is with, our decision in Caballes)
(our decision, is in, Caballes)
(combination, produces, result at odds with our decision)
(combination, produces, result demonstrably at odds with our decision)
(combination, produces, result demonstrably at odds with our decision in Caballes)
(combination, produces, result demonstrably at odds)
(officers, engage in, dog)
(traffic stop, be prolonged, officers engage in dog sniff)
(traffic stop, be reasonably prolonged, officers engage in dog sniff)
(traffic stop, be reasonably prolonged, officers engage in dog)
(officers, engage sniff in, dog)
(traffic stop, be reasonably prolonged, officers engage sniff)
(traffic stop, be prolonged, officers engage in dog)
(traffic stop, be prolonged, officers engage)
(traffic stop, be prolonged, officers engage sniff)
(traffic stop, be reasonably prolonged, officers engage)
(traffic stop, be, prolonged)
(traffic stop, be, reasonably prolonged)
(duration, exceeded, time)
(duration, exceeded, time necessary)
(duration, exceeded time in, fact)
(time necessary, duration of, stop)
(duration, exceeded, time)
(time, duration of, stop)
(duration, exceeded, time required)
(duration, exceeded, time reasonably required)
(majority 's approach, draws, artificial line)
(majority, has, approach)
(majority 's approach, draws, artificial line between dog)
(warrant checks, are part of, traffic stop)
(warrant checks, are permissible part of, traffic stop)
(warrant checks, are constitutionally permissible part of, traffic stop)
(checks, are, permissible)
(warrant checks, are, permissible part)
(it, finds, ante)
(warrant checks, are, constitutionally permissible part)
(warrant checks, are, part)
(its reasoning, suggests, opposite)
(Such warrant checks, look, more directed)
(they, are, more directed)
(they, detecting, evidence of ordinary criminal wrongdoing)
(they, detecting, evidence of criminal wrongdoing)
(vehicles, are, operated safely)
(warrant checks, look, directed)
(they, detecting, evidence of ordinary wrongdoing)
(they, detecting, evidence)
(vehicles, are, operated)
(Such warrant checks, look, directed)
(they, detecting evidence than, ensuring)
(warrant checks, look, more directed)
(they, are, directed)
(they, detecting, evidence of wrongdoing)
(driver likely, existence of, warrant)
(driver likely, existence of, outstanding warrant)
(existence, make, driver likely)
(same, could, could said)
(same, could, could said about driver)
(same, could, could said about driver in possession)
(existence, make, driver less likely)
(same, could, could said about driver in possession of contraband)
(driver, is in, possession of contraband)
(driver, flee, violent)
(driver, might try, flee)
(driver, flee, violent toward officer)
(majority, under, analysis)
(apparent traffic violator, is, wanted)
(warrant check, is, ordinary inquiry incident)
(it, can, can used)
(warrant check, is, inquiry incident to traffic stop)
(warrant check, is, ordinary inquiry incident to traffic stop)
(check, is, ordinary)
(warrant check, is, inquiry incident)
(such checks, are like, dog sniff in case)
(checks, are like, very much dog sniff in case)
(checks, are like, dog sniff)
(such checks, are like, much dog sniff)
(such checks, are like, thus very much dog)
(checks, are like, dog sniff in case)
(such checks, are like, thus very much dog sniff)
(such checks, are like, thus much dog)
(checks, are like, dog)
(checks, are like, much dog sniff in case)
(such checks, are like, very much dog)
(such checks, are like, thus very much dog sniff in case)
(war, are, stops)
(such checks, are like, dog)
(checks, are like, thus very much dog)
(such checks, are like, thus dog sniff in case)
(checks, are like, very much dog sniff)
(checks, are like, very much dog)
(such checks, are like, thus much dog sniff)
(such checks, are like, very much dog sniff)
(war underlying, are, stops)
(checks, are like, thus much dog)
(such checks, are like, dog sniff)
(such checks, are like, very much dog sniff in case)
(checks, are like, much dog sniff)
(such checks, are like, thus dog)
(checks, are like, thus dog sniff in case)
(checks, are like, much dog)
(checks, are like, thus dog sniff)
(checks, are, stops)
(such checks, are, stops)
(checks, are like, thus much dog sniff in case)
(checks, are like, thus much dog sniff)
(checks, are like, thus very much dog sniff in case)
(such checks, are like, much dog sniff in case)
(such checks, are like, thus much dog sniff in case)
(such checks, are like, thus dog sniff)
(checks, are like, thus very much dog sniff)
(such checks, are like, much dog)
(checks, are like, thus dog)
(questioning, rests on, basis)
(Investigative questioning, rests on, basis)
(questioning, rests on, same basis)
(Investigative questioning, rests on, same basis)
(Asking questions, is, part)
(questions, is essential part of, police investigations)
(Asking questions, is part of, police investigations)
(questions, is, essential)
(questions, is part of, police investigations)
(Asking questions, is essential part of, police investigations)
(questions, is, part)
(Asking questions, is, essential part)
(questions, is, essential part)
(Nev., of Court is, 542 U. S. 177)
(majority 's reasoning, allow, engage)
(majority 's reasoning, allow, officers)
(majority, has, reasoning)
(majority 's reasoning, appears, allow)
(related safety concerns, to attend is, ing)
(seizure, within, mission of address)
(inquiries, fall within, seizure 's mission)
(it, is, hard)
(such inquiries, fall within, seizure 's mission)
(Its reasoning, appears, come down)
(Its reasoning, appears, come)
(Its reasoning appears, are, different)
(majority 's inquiry, elides On, more fundamental level)
(distinction, stops based on, probable cause)
(majority, has, inquiry)
(majority 's inquiry, elides On, level)
(majority 's inquiry, elides On, fundamental level)
(Probable cause, is, justification)
(Probable cause, is traditional justification for, seizure)
(Probable cause, is justification for, seizure of person)
(Probable cause, is justification for, seizure)
(Probable cause, is, traditional justification)
(Probable cause, is traditional justification for, seizure of person)
(817, at Whren is, 517 U. S.)
(individual, on, personal security)
(exception, is in, Terry)
(Court, created, exception in Terry)
(Court, created, exception)
(suspicion, is justification for, such seizures)
(suspicion, is, justification)
(suspicion, is justification for, seizures)
(Reasonable suspicion, is justification for, such seizures)
(Reasonable suspicion, is justification for, seizures)
(Reasonable suspicion, is, justification)
(traffic stop, is, more analogous)
(routine traffic stop, is analogous to, so-called Terry stop than to arrest)
(routine traffic stop, is more analogous to, Terry stop)
(traffic stop, is analogous to, Terry stop than to formal arrest)
(traffic, stop, supported)
(routine traffic stop, is analogous to, Terry stop than to formal arrest)
(traffic stop, is more analogous to, so-called Terry stop than to formal arrest)
(routine traffic stop, is more analogous to, Terry stop than to arrest)
(traffic stop, is analogous to, so-called Terry stop than to formal arrest)
(traffic, supported by, probable cause)
(routine traffic stop, is more analogous to, so-called Terry stop)
(traffic stop, is more analogous to, so-called Terry stop)
(routine traffic stop, is analogous to, Terry stop)
(traffic stop, is more analogous to, Terry stop)
(routine traffic stop, is more analogous to, so-called Terry stop than to arrest)
(routine traffic stop, is, more analogous)
(traffic stop, is analogous to, Terry stop)
(routine traffic stop, is, analogous)
(routine traffic stop, is analogous to, so-called Terry stop than to formal arrest)
(traffic stop, is, analogous)
(routine traffic stop, is analogous to, so-called Terry stop)
(traffic stop, is analogous to, so-called Terry stop than to arrest)
(traffic stop, is more analogous to, Terry stop than to formal arrest)
(routine traffic stop, is more analogous to, so-called Terry stop than to formal arrest)
(traffic stop, is analogous to, so-called Terry stop)
(traffic stop, is analogous to, Terry stop than to arrest)
(routine traffic stop, is more analogous to, Terry stop than to formal arrest)
(traffic stop, is more analogous to, so-called Terry stop than to arrest)
(traffic, stop, supported by probable cause)
(routine traffic stop, is analogous to, Terry stop than to arrest)
(traffic stop, is more analogous to, Terry stop than to arrest)
(our precedents, make, subject to additional limitations)
(our precedents, make, traffic stops)
(our precedents, make, subject to limitations)
(traffic, stops, justified by reasonable suspicion)
(our precedents, make, clear)
(traffic, stops, justified)
(traffic, stops, justified by suspicion)
(our precedents, make, subject)
(traffic stop, must, must justified)
(interference, is in, first place)
(traffic stop, must, must justified at its inception)
(185, at Hiibel is, 542 U. S.)
(It, resemble, arrest)
(It, resemble, traditional arrest)
(stop, affords, officer leeway)
(stop, based on, probable cause)
(stop, affords, officer considerably more leeway)
(stop, affords, officer more leeway)
(officer, may engage search incident at, 354)
(officer, may engage search incident In, such seizures)
(officer, may engage search incident in, arrest)
(officer, may engage, 573 U. S. ___)
(officer, may engage search incident in, warrantless arrest of driver)
(officer, may engage, ___ 2014)
(officer, may engage search incident in, arrest of driver)
(officer, may engage, search incident)
(officer, may engage search incident in, warrantless arrest)
(officer, may engage search incident In, seizures)
(arrest, to incident is, Riley)
(it, is, reasonable)
(majority, tosses, distinction)
(majority, casually tosses aside, distinction)
(majority, tosses aside, distinction)
(majority, casually tosses, distinction)
(traffic stop, is in, case)
(mission, write, traffic ticket)
(mission, merely write, consider)
(mission, write, consider)
(consider, mission of, stop)
(mission, merely write, traffic ticket)
(it, relies In, support)
(it, relies primarily In, support of requirement)
(it, relies In, support of durational requirement)
(it, relies primarily In, support of durational requirement)
(it, relies primarily In, support)
(it, relies on, cases)
(it, relies In, support of requirement)
(it, relies primarily on, cases)
(passenger, is in, vehicle temporarily seized for traffic violation)
(only case, involving, traffic stop)
(majority, cites for, its rule)
(case, involving, traffic stop)
(only case, is, Caballes)
(case, is, Caballes)
(dog, sniff in, context of traffic stop supported)
(dog, sniff in, context of traffic stop)
(dog, sniff in, context)
(dog, sniff in, context of traffic stop supported by probable cause)
(dissent, would have, appl Terry 's reasonable-relation test)
(dissent, is in, Caballes)
(Caballes majority, had, application of Terry to traffic stop converted)
(Caballes majority, had, application of Terry to traffic stop converted to drug search)
(Caballes majority, implicitly application to, traffic stop)
(Caballes majority, implicitly application to, traffic stop converted)
(Caballes majority, had, application to traffic stop)
(Caballes majority, had, application to traffic stop converted to drug search)
(Caballes majority, had, implicitly application of Terry to traffic stop)
(Caballes majority, had, implicitly application to traffic stop converted to drug search)
(Caballes majority, had, implicitly application of Terry to traffic stop converted)
(Caballes majority, had, application of Terry)
(Caballes majority, had, application)
(Caballes majority, had, application of Terry to traffic stop)
(Caballes majority, had, implicitly application of Terry to traffic stop converted to drug search)
(Caballes majority, application to, traffic stop converted to drug search)
(Caballes majority, implicitly application to, traffic stop converted to drug search)
(Caballes majority, had, application to traffic stop converted)
(Caballes majority, had, implicitly application to traffic stop converted)
(Caballes majority, had, implicitly application)
(Caballes majority, had, implicitly application of Terry)
(Caballes majority, application to, traffic stop converted)
(Caballes majority, had, implicitly application to traffic stop)
(Caballes majority, implicitly application of, Terry)
(Caballes majority, application of, Terry)
(Caballes majority, application to, traffic stop)
(Caballes dissent, scope of, activities)
(Caballes dissent, scope of, officer 's activities)
(it, renders, difference between probable cause meaningless)
(it, renders, difference between probable cause virtually meaningless)
(it, renders difference, doing)
(it, renders, difference)
(it, renders, difference between probable cause meaningless in context)
(it, renders, difference between probable cause virtually meaningless in context)
(it, renders, difference between probable cause)
(it, renders difference, doing so)
(shift, is supported by, Amendment)
(shift, is supported by, our precedents)
(shift, is supported by, Fourth Amendment)
(shift, is, supported)
(shift, is, supported by Amendment by our precedents)
(shift, is, supported by Fourth Amendment by our precedents)
(Officer Struble, taken, Rodriguez)
(Officer Struble, taken Rodriguez to, police station)
(Officer Struble, taken Rodriguez for, his traffic violation)
(he, committed, constitutional violation)
(he, evidently committed violation, he made)
(he, committed, violation)
(Rodriguez, wait, dog arrived)
(he, committed violation, he made)
(he, evidently committed, violation)
(he, evidently committed, constitutional violation)
(Today, has, revision of Fourth Amendment jurisprudence)
(Today 's revision, was, also unnecessary)
(Today 's revision, was, also entirely unnecessary)
(Today 's revision, was, entirely unnecessary)
(Today 's revision, was, unnecessary)
(Officer Struble, had, reasonable suspicion continue)
(Officer Struble, had, suspicion continue)
(person, stopped of, activity)
(person, stopped of, criminal activity)
(officer, has, basis suspecting)
(particular person, stopped of, activity)
(Our precedents, make, clear)
(officer, has, particularized basis suspecting)
(officer, particularized basis, suspecting)
(officer, basis, suspecting)
(officer, particularized and objective basis, suspecting)
(particular person, stopped of, criminal activity)
(___, at Navarette is, 572 U. S.)
(suspicion, is, determined)
(suspicion, looking at, picture)
(Reasonable suspicion, looking at, picture)
(suspicion, looking at, whole picture)
(Reasonable suspicion, looking at, whole picture)
(Reasonable suspicion, is, determined)
(Rodriguez, was engaged in, criminal activity)
(he, first became, suspicious)
(Rodriguez, was, engaged)
(Rodriguez, was engaged in, activity)
(he, became, suspicious)
(he, smelled, overwhelming odor coming)
(he, smelled, overwhelming odor of air freshener coming from vehicle)
(he, smelled, odor coming)
(he, smelled, overwhelming odor of air freshener)
(he, smelled, odor of air freshener coming from vehicle)
(he, approached, vehicle)
(he, smelled, odor of air freshener coming)
(he, smelled, overwhelming odor coming from vehicle)
(he, smelled, odor of air freshener)
(he, smelled, overwhelming odor of air freshener coming)
(he, smelled, odor)
(he, smelled, overwhelming odor)
(he, smelled, odor coming from vehicle)
(He, approaching front window on, passenger side of vehicle)
(Rodriguez, 's passenger is, Scott Pollman)
(Rodriguez, has, passenger)
(He, approaching front window on, passenger side)
(Rodriguez 's passenger, appeared, nervous)
(He, approaching, front window)
(Pollman, pulled down low, his hat)
(Pollman, pulled low, his hat)
(Pollman, pulled, his hat)
(Officer Struble 's interactions, increased, his suspicions)
(vehicle, with, occupants)
(Officer Struble, has, interactions with occupants)
(Officer Struble 's interactions, is with, vehicle 's occupants)
(Officer Struble 's interactions, only increased, his suspicions)
(he, asked, Rodriguez)
(he, had driven onto, shoulder)
(Pollman, told, him)
(Officer Struble, asked, Pollman)
(Pollman, told, officer)
(people, leave Omaha, go)
(sually people, leave, Omaha)
(it, seemed to, him)
(it, drive, approximately two hours late at night)
(it, seemed, suspicious)
(it, seemed, Officer Struble explained)
(people, leave, Omaha)
(sually people, leave Omaha, go)
(it, drive, approximately two hours)
(it, drive, approximately two hours at night)
(facts, meet, our standard)
(facts, easily meet, our standard for suspicion)
(facts, meet, our standard for reasonable suspicion)
(facts, easily meet, our standard)
(facts, easily meet, our standard for reasonable suspicion)
(facts, meet, our standard for suspicion)
(behavior, is, pertinent)
(officer, also recognized, heavy use)
(officer, recognized, use)
(officer, also recognized, use)
(officer, recognized, heavy use)
(presence, is in, vehicle)
(Pollman, has, story about trip)
(Pollman 's story, was, likely cover story for activity)
(inferences, support, officer 's conclusion)
(C ommonsense judgments, support, officer 's conclusion)
(officer, has, conclusion)
(inferences, further support, officer 's conclusion)
(Pollman 's story, was, likely cover story for illegal activity)
(Pollman 's story, was, cover story)
(C ommonsense judgments, further support, officer 's conclusion)
(Pollman 's story, was, likely cover story)
(Pollman 's story, was, cover story for illegal activity)
(Pollman 's story, was, cover story for activity)
(Officer Struble, possessed, reasonable suspicion of activity)
(Officer Struble, possessed, suspicion of criminal activity)
(Officer Struble, Taking, relevant facts)
(Officer Struble, possessed, suspicion)
(Officer Struble, conduct sniff, dog)
(Officer Struble, conduct, dog)
(Officer Struble, possessed, suspicion of activity)
(Officer Struble, possessed, reasonable suspicion)
(Officer Struble, possessed, reasonable suspicion of criminal activity)
(our cases, easily dispose of, argument)
(our cases, dispose of, argument)
(officer, to, suspicions)
(Terry, is, example)
(Terry, is, classic example)
(it, involved, two individuals)
(Terry, is, classic)
(it, looking into, store window)
(it, involved, two individuals repeatedly walking)
(it, involved, two individuals repeatedly walking back)
(it, involved, two individuals walking)
(it, involved, two individuals walking back)
(Officer Struble, stop Rodriguez, driving)
(he, executed stop in, manner)
(he, executed, stop)
(Officer Struble, possessed, probable cause)
(Officer Struble, stop Rodriguez, driving on shoulder)
(he, executed stop in, reasonable manner)
(he, executed, subsequent stop)
(Officer Struble, stop, Rodriguez)
(Our decision, is in, Caballes)
(majority, abandons, reasonableness)
(those, justified by, suspicion)
(majority, is irreconcilable with, Caballes)
(distinction, stops, justified by probable cause)
(majority, abandons reasonableness as, touchstone of Fourth Amendment)
(majority, abandons reasonableness as, touchstone)
(majority, is, irreconcilable)
(distinction, stops, justified)
(those, justified by, reasonable suspicion)
(majority, abandons reasonableness as, touchstone of Amendment)
(DENNYS RODRIGUEZ, PETITIONER v., UNITED STATES)
(This, is, impractical)
(This, is, unnecessary)
(petitioner, of, car)
(It, addresses, purely hypothetical question)
(police officer, prior leading, dog around exterior)
(police officer, prior leading, drug-sniffing dog)
(police officer, prior leading, drug-sniffing dog around exterior)
(police officer, leading, drug-sniffing dog around exterior)
(police officer, leading, dog around exterior of petitioner 's car)
(police officer, prior leading, drug-sniffing dog around exterior of petitioner 's car)
(police officer, leading, drug-sniffing dog around exterior of petitioner 's car)
(police officer, leading, drug-sniffing dog)
(traffic stop, is in, case)
(police officer, prior leading, dog)
(It, addresses, hypothetical question)
(police officer, prior leading, dog around exterior of petitioner 's car)
(police officer, leading, dog around exterior)
(police officer, leading, dog)
(police officer, however did have, suspicion)
(police officer, however did have, reasonable suspicion)
(police officer, did have, reasonable suspicion)
(police officer, did have, suspicion)
(officer, was justified as, result)
(police officer, however did have suspicion In, fact)
(police officer, did have suspicion In, fact)
(officer, was, justified)
(facts, were, insufficient)
(facts, establish, suspicion)
(facts, establish, reasonable suspicion)
(facts, meet, our standard)
(JUSTICE THOMAS, as, opinion shows)
(facts, easily meet, our standard)
(facts, recounted by, Officer Struble)
(defendant, has, account of travel)
(Court, has, answer to question)
(Court 's answer, is, arbitrary)
(Court, does reach out, decide)
(Court, address, Fourth Amendment question)
(stop, was, prolonged)
(Court, address, Amendment question)
(Court, address, real Fourth Amendment question)
(stop, was, unreasonably prolonged)
(Court, address, real Amendment question)
(Officer Struble, delivered, warning)
(Officer Struble, delivered prior, warning)
