(October 13 2015, Decided at_time, January 12 2016)
(I, would hold, even was constitutional violation in case)
(violation, even was in, case)
(I, would hold, even was violation)
(I, would hold, was constitutional violation in case)
(I, Finally would hold, even was violation)
(constitutional violation, was in, case)
(I, would hold, was violation)
(error, was harmless beyond, doubt)
(error, was harmless beyond, reasonable doubt)
(I, Finally would hold, was violation)
(I, would hold, even was constitutional violation)
(I, Finally would hold, even was constitutional violation)
(I, would hold, was violation in case)
(I, Finally would hold, even was constitutional violation in case)
(I, Finally would hold, was constitutional violation in case)
(I, would hold, was constitutional violation)
(violation, was in, case)
(I, Finally would hold, was constitutional violation)
(I, Finally would hold, was violation in case)
(I, would hold, even was violation in case)
(constitutional violation, even was in, case)
(Court, has, decision)
(jury, has, determination)
(it, seems, clear)
(it, seems, very clear)
(suggestion, is, hard)
(petitioner, Attempting, show)
(he, been, prejudiced)
(he, been prejudiced by, error)
(suggestion, is hard to, credit)
(jury, consider, two aggravating factors)
(jury, consider, two factors)
(jury, was told, consider)
(jury, was, told)
(evidence, was, overwhelming)
(evidence, is in, support of factors)
(evidence, was, follows)
(victim, arrived at, work on date of her death)
(victim, arrived at, work)
(Popeye, of, restaurant)
(victim, arrived at, work between 7 a.m.)
(victim, arrived at, work on date)
(victim, manager of, Popeye 's restaurant)
(victim, arrived at, work between 7 a.m. on date of her death)
(victim, arrived at, work between 7 a.m. on date)
(she, been stabbed to, death)
(other employees, entered, store)
(employees, entered store at, about 10:30 a.m.)
(other employees, entered store at, about 10:30 a.m.)
(she, been, stabbed)
(restaurant 's safe, was, open)
(restaurant, has, safe)
(previous day, has, receipts)
(employees, entered, store)
(Hurst, committed, murder)
(issue, was At, trial)
(evidence, was, overwhelming)
(evidence, was, also overwhelming)
(Cynthia Harrison, was, bound)
(way, cuts through, region)
(cuts, went way down, down underlying bone)
(top, went way down, down underlying bone)
(cuts, top of, her lip)
(way, cuts through, eyelid region)
(cuts, went, way)
(top, went, way)
(way, top of, her lip)
(cuts, went way down, down bone)
(top, went way down, down bone)
(death, taken, occur)
(death, taken long, occur)
(It, was, estimated)
(death, taken as long, occur)
(Ms. Harrison, pain likely experienced during, incident)
(Ms. Harrison, experienced, pain)
(trial court, characterized, manner of her death)
(Ms. Harrison, likely experienced, pain)
(trial court, characterized, manner)
(trial court, characterized manner, follows)
(Ms. Harrison, pain experienced during, incident)
(Words, are, inadequate)
(evidence, depict, person)
(evidence, depict, person bound)
(Words, describe, death)
(murder, was, conscienceless)
(it, defies, belief)
(it, defies belief In, light)
(it, defies belief In, light of evidence)
(Cynthia Harrison, was, brutally murdered)
(Cynthia Harrison, was, murdered)
(I, would rule on, issue of harmless error)
(I, affirm, decision)
(I, would rule on, issue of error)
(I, would rule on, issue)
(I, affirm, decision of Florida Supreme Court)
