(UNITED STATES, v. LOCKHART is, 2016)
(first, is reference in, Report from Senate Judiciary Committee)
(first, is reference in, Report from Senate Judiciary Committee on Child Pornography Prevention Act)
(first, is reference in, Report from Senate Judiciary Committee on Child Pornography Prevention Act of 1996)
(reference, is in, Report from Senate Judiciary Committee on Child Pornography Prevention Act of 1996)
(first, is, reference)
(Senate Judiciary Committee, from Report is, 110 Stat)
(first, is reference in, 110 Stat)
(first, is reference in, Report)
(Act, add, sexual conduct)
(Act, add, sexual abuse)
(Act, add, sexual abuse)
(Act, was, first)
(Act, add, abusive conduct)
(Act, add, aggravated abuse)
(abusive conduct, involving, U. S. Code)
(Act, add, language)
(Act, add, abusive sexual conduct)
(conduct, involving, U. S. Code)
(Act, add, aggravated sexual abuse)
(Act, add, abuse)
(Act, add, abuse)
(Act, add, conduct)
(sexual conduct, involving, U. S. Code)
(abusive sexual conduct, involving, U. S. Code)
(It, was, initially added)
(It, §, b)
(It, was, added)
(persons, is with, prior convictions)
(distribution predicates, distributing of, child pornography)
(distribution predicates, cover, distributing)
(distribution predicates, cover, distributing of child pornography)
(distribution predicates, cover, production receipt)
(Lockhart, rely on, letter sent on Judiciary commenting on Child Protection of 1998)
(dissent, also rely on, letter sent on Judiciary)
(dissent, rely on, letter sent)
(dissent, rely on, letter sent from Department on Judiciary commenting)
(dissent, rely on, letter)
(dissent, rely on, letter sent to House of Representative 's Committee on Judiciary commenting on Child Protection)
(Lockhart, also rely on, letter sent from Department on Judiciary)
(dissent, rely on, letter sent from Department to House on Judiciary commenting on proposed Child Protection)
(dissent, also rely on, letter sent to House on Judiciary commenting on proposed Child Protection)
(dissent, rely on, letter sent from Department)
(Lockhart, also rely on, letter sent from Department to House on Judiciary commenting on Child Protection)
(Lockhart, also rely on, letter sent from Department to House of Representative 's Committee on Judiciary commenting on proposed Child Protection)
(Lockhart, rely on, letter sent from Department to House on Judiciary commenting on Child Protection)
(dissent, also rely on, letter sent from Department to House of Representative 's Committee on Judiciary commenting on proposed Child Protection of 1998)
(Lockhart, rely on, letter sent to House on Judiciary commenting on Child Protection)
(Lockhart, also rely on, letter sent to House on Judiciary commenting on Child Protection of 1998)
(dissent, rely on, letter sent to House on Judiciary commenting on proposed Child Protection of 1998)
(dissent, also rely on, letter sent from Department on Judiciary commenting on proposed Child Protection of 1998)
(dissent, rely on, letter sent to House of Representative 's Committee on Judiciary commenting)
(Lockhart, also rely on, letter sent from Department to House)
(dissent, also rely on, letter sent from Department on Judiciary)
(Lockhart, also rely on, letter sent)
(Lockhart, rely on, letter sent from Department on Judiciary commenting)
(Lockhart, also rely on, letter sent from Department on Judiciary commenting on proposed Child Protection of 1998)
(dissent, also rely on, letter sent on Judiciary commenting on proposed Child Protection of 1998)
(Lockhart, also rely on, letter sent on Judiciary commenting on Child Protection of 1998)
(Lockhart, also rely on, letter sent from Department to House of Representative 's Committee on Judiciary commenting on Child Protection)
(dissent, rely on, letter sent to House on Judiciary commenting on Child Protection)
(dissent, also rely on, letter sent from Department to House of Representative 's Committee on Judiciary commenting on proposed Child Protection)
(dissent, rely on, letter sent on Judiciary commenting on proposed Child Protection of 1998)
(Lockhart, rely on, letter sent from Department)
(dissent, rely on, letter sent from Department to House of Representative 's Committee on Judiciary commenting on Child Protection)
(Lockhart, also rely on, letter sent from Department)
(Lockhart, rely on, letter sent from Department to House of Representative 's Committee on Judiciary commenting on Child Protection of 1998)
(Lockhart, also rely on, letter sent to House)
(dissent, rely on, letter sent from Department to House)
(dissent, rely on, letter sent from Department to House of Representative 's Committee on Judiciary commenting on proposed Child Protection of 1998)
(Lockhart, rely on, letter sent to House on Judiciary commenting on Child Protection of 1998)
(dissent, rely on, letter sent from Department on Judiciary commenting on proposed Child Protection of 1998)
(dissent, also rely on, letter sent to House of Representative 's Committee on Judiciary commenting on proposed Child Protection)
(Lockhart, rely on, letter sent to House on Judiciary commenting)
(Lockhart, rely on, letter sent from Department to House of Representative 's Committee on Judiciary commenting on proposed Child Protection)
(Lockhart, also rely on, letter sent from Department to House of Representative 's Committee on Judiciary commenting on Child Protection of 1998)
(Lockhart, rely on, letter sent to House of Representative 's Committee on Judiciary commenting)
(Lockhart, rely on, letter sent from Department to House on Judiciary)
(dissent, also rely on, letter sent from Department to House)
(Lockhart, also rely on, letter sent from Department on Judiciary commenting on proposed Child Protection)
(dissent, also rely on, letter sent from Department to House of Representative 's Committee)
(dissent, also rely on, letter sent to House of Representative 's Committee on Judiciary commenting on Child Protection of 1998)
(dissent, also rely on, letter sent from Department)
(dissent, also rely on, letter sent)
(Lockhart, rely on, letter sent)
(Lockhart, also rely on, letter sent from Department to House on Judiciary)
(Lockhart, also rely on, letter sent on Judiciary commenting on Child Protection)
(dissent, rely on, letter sent to House of Representative 's Committee on Judiciary)
(Lockhart, also rely on, letter sent on Judiciary commenting on proposed Child Protection of 1998)
(Lockhart, rely on, letter sent to House of Representative 's Committee on Judiciary commenting on proposed Child Protection)
(Lockhart, also rely on, letter sent to House on Judiciary commenting)
(Lockhart, also rely on, letter sent to House of Representative 's Committee)
(Lockhart, rely on, letter sent from Department on Judiciary commenting on Child Protection of 1998)
(Lockhart, rely on, letter sent from Department to House on Judiciary commenting on Child Protection of 1998)
(Lockhart, also rely on, letter sent from Department to House on Judiciary commenting on Child Protection of 1998)
(Lockhart, rely on, letter sent from Department to House on Judiciary commenting on proposed Child Protection of 1998)
(Lockhart, rely on, letter sent on Judiciary)
(dissent, rely on, letter sent to House)
(dissent, rely on, letter sent to House on Judiciary)
(dissent, rely on, letter sent to House of Representative 's Committee)
(Lockhart, rely on, letter sent from Department to House)
(Lockhart, also rely on, letter sent to House of Representative 's Committee on Judiciary commenting on Child Protection of 1998)
(dissent, also rely on, letter)
(dissent, rely on, letter sent to House of Representative 's Committee on Judiciary commenting on proposed Child Protection of 1998)
(dissent, rely on, letter sent to House on Judiciary commenting on proposed Child Protection)
(dissent, rely on, letter sent on Judiciary commenting on proposed Child Protection)
(dissent, also rely on, letter sent from Department to House on Judiciary commenting on proposed Child Protection)
(Lockhart, also rely on, letter sent from Department to House on Judiciary commenting on proposed Child Protection of 1998)
(Lockhart, also rely on, letter sent from Department to House of Representative 's Committee on Judiciary commenting)
(Lockhart, rely on, letter sent from Department to House of Representative 's Committee on Judiciary commenting)
(dissent, rely on, letter sent from Department to House of Representative 's Committee on Judiciary commenting)
(Lockhart, rely on, letter sent on Judiciary commenting on proposed Child Protection of 1998)
(dissent, also rely on, letter sent to House on Judiciary)
(dissent, rely on, letter sent from Department to House on Judiciary commenting on Child Protection of 1998)
(dissent, also rely on, letter sent from Department to House on Judiciary commenting on Child Protection)
(dissent, also rely on, letter sent to House on Judiciary commenting on Child Protection)
(dissent, also rely on, letter sent to House of Representative 's Committee on Judiciary commenting)
(Lockhart, rely on, letter sent to House on Judiciary commenting on proposed Child Protection)
(dissent, rely on, letter sent on Judiciary commenting on Child Protection)
(Lockhart, rely on, letter sent from Department on Judiciary commenting on Child Protection)
(dissent, rely on, letter sent from Department to House of Representative 's Committee on Judiciary commenting on proposed Child Protection)
(dissent, also rely on, letter sent on Judiciary commenting on proposed Child Protection)
(dissent, also rely on, letter sent from Department to House of Representative 's Committee on Judiciary commenting on Child Protection)
(Lockhart, rely on, letter sent from Department to House on Judiciary commenting)
(dissent, also rely on, letter sent from Department on Judiciary commenting on proposed Child Protection)
(dissent, rely on, letter sent on Judiciary commenting on Child Protection of 1998)
(dissent, rely on, letter sent to House on Judiciary commenting)
(dissent, also rely on, letter sent to House of Representative 's Committee)
(dissent, also rely on, letter sent from Department to House on Judiciary)
(dissent, also rely on, letter sent from Department on Judiciary commenting on Child Protection of 1998)
(Lockhart, also rely on, letter sent from Department to House of Representative 's Committee)
(dissent, also rely on, letter sent to House of Representative 's Committee on Judiciary)
(Lockhart, also rely on, letter sent to House on Judiciary commenting on proposed Child Protection of 1998)
(dissent, rely on, letter sent to House of Representative 's Committee on Judiciary commenting on proposed Child Protection)
(Lockhart, also rely on, letter sent to House of Representative 's Committee on Judiciary commenting on proposed Child Protection of 1998)
(dissent, rely on, letter sent on Judiciary commenting)
(dissent, also rely on, letter sent from Department on Judiciary commenting)
(dissent, also rely on, letter sent to House)
(dissent, rely on, letter sent from Department to House of Representative 's Committee on Judiciary commenting on Child Protection of 1998)
(Lockhart, rely on, letter sent to House on Judiciary commenting on proposed Child Protection of 1998)
(Lockhart, also rely on, letter sent to House on Judiciary commenting on Child Protection)
(dissent, also rely on, letter sent from Department to House of Representative 's Committee on Judiciary)
(Lockhart, rely on, letter sent to House of Representative 's Committee on Judiciary)
(dissent, rely on, letter sent to House of Representative 's Committee on Judiciary commenting on Child Protection of 1998)
(dissent, rely on, letter sent from Department to House on Judiciary commenting on Child Protection)
(Lockhart, rely on, letter sent from Department on Judiciary commenting on proposed Child Protection of 1998)
(Lockhart, also rely on, letter sent from Department to House of Representative 's Committee on Judiciary)
(Lockhart, rely on, letter sent from Department to House of Representative 's Committee on Judiciary)
(dissent, also rely on, letter sent on Judiciary commenting on Child Protection of 1998)
(dissent, also rely on, letter sent from Department on Judiciary commenting on Child Protection)
(dissent, also rely on, letter sent to House on Judiciary commenting)
(Lockhart, also rely on, letter sent to House of Representative 's Committee on Judiciary commenting on proposed Child Protection)
(dissent, also rely on, letter sent to House of Representative 's Committee on Judiciary commenting on Child Protection)
(Lockhart, rely on, letter sent from Department to House of Representative 's Committee on Judiciary commenting on Child Protection)
(Lockhart, rely on, letter)
(Lockhart, rely on, letter sent to House of Representative 's Committee on Judiciary commenting on Child Protection of 1998)
(Justice, of Department is, DOJ)
(Lockhart, also rely on, letter sent to House on Judiciary)
(Lockhart, also rely on, letter sent from Department to House of Representative 's Committee on Judiciary commenting on proposed Child Protection of 1998)
(dissent, also rely on, letter sent from Department to House of Representative 's Committee on Judiciary commenting)
(dissent, also rely on, letter sent on Judiciary commenting)
(Lockhart, rely on, letter sent on Judiciary commenting on proposed Child Protection)
(Lockhart, also rely on, letter sent to House of Representative 's Committee on Judiciary)
(Lockhart, rely on, letter sent from Department on Judiciary)
(dissent, rely on, letter sent from Department to House of Representative 's Committee on Judiciary)
(Lockhart, rely on, letter sent to House of Representative 's Committee on Judiciary commenting on proposed Child Protection of 1998)
(Lockhart, also rely on, letter sent on Judiciary)
(dissent, rely on, letter sent from Department to House of Representative 's Committee)
(Representative, of, Committee)
(dissent, rely on, letter sent from Department to House on Judiciary)
(Lockhart, also rely on, letter sent from Department to House on Judiciary commenting)
(Lockhart, rely on, letter sent from Department on Judiciary commenting on proposed Child Protection)
(Lockhart, also rely on, letter sent from Department to House on Judiciary commenting on proposed Child Protection)
(Lockhart, also rely on, letter sent to House of Representative 's Committee on Judiciary commenting on Child Protection)
(Lockhart, rely on, letter sent to House of Representative 's Committee)
(dissent, also rely on, letter sent from Department to House of Representative 's Committee on Judiciary commenting on Child Protection of 1998)
(Lockhart, rely on, letter sent to House)
(Lockhart, also rely on, letter sent from Department on Judiciary commenting on Child Protection of 1998)
(dissent, rely on, letter sent from Department on Judiciary)
(Lockhart, rely on, letter sent on Judiciary commenting on Child Protection)
(Lockhart, also rely on, letter)
(Lockhart, also rely on, letter sent on Judiciary commenting on proposed Child Protection)
(dissent, rely on, letter sent from Department on Judiciary commenting on Child Protection of 1998)
(dissent, also rely on, letter sent to House on Judiciary commenting on proposed Child Protection of 1998)
(dissent, rely on, letter sent from Department on Judiciary commenting on Child Protection)
(Lockhart, rely on, letter sent from Department to House of Representative 's Committee)
(Lockhart, also rely on, letter sent from Department on Judiciary commenting on Child Protection)
(Lockhart, also rely on, letter sent from Department on Judiciary commenting)
(dissent, also rely on, letter sent to House of Representative 's Committee on Judiciary commenting on proposed Child Protection of 1998)
(Lockhart, rely on, letter sent to House of Representative 's Committee on Judiciary commenting on Child Protection)
(Lockhart, also rely on, letter sent on Judiciary commenting)
(Lockhart, rely on, letter sent to House on Judiciary)
(Lockhart, also rely on, letter sent to House of Representative 's Committee on Judiciary commenting)
(Lockhart, rely on, letter sent from Department to House of Representative 's Committee on Judiciary commenting on proposed Child Protection of 1998)
(dissent, also rely on, letter sent from Department to House on Judiciary commenting on Child Protection of 1998)
(dissent, also rely on, letter sent on Judiciary commenting on Child Protection)
(Lockhart, also rely on, letter sent to House on Judiciary commenting on proposed Child Protection)
(dissent, rely on, letter sent to House on Judiciary commenting on Child Protection of 1998)
(dissent, rely on, letter sent on Judiciary)
(dissent, also rely on, letter sent from Department to House on Judiciary commenting)
(dissent, rely on, letter sent from Department on Judiciary commenting on proposed Child Protection)
(dissent, rely on, letter sent from Department to House on Judiciary commenting)
(Lockhart, rely on, letter sent from Department to House on Judiciary commenting on proposed Child Protection)
(dissent, also rely on, letter sent to House on Judiciary commenting on Child Protection of 1998)
(dissent, rely on, letter sent from Department to House on Judiciary commenting on proposed Child Protection of 1998)
(Lockhart, rely on, letter sent on Judiciary commenting)
(dissent, also rely on, letter sent from Department to House on Judiciary commenting on proposed Child Protection of 1998)
(H. R. Rep. No., pp., 1998)
(H. R. Rep. No. 105-557, pp., 1998)
(DOJ, provides, 2)
(DOJ, provides, commentary on then-present state)
(DOJ, provides commentary In, letter)
(then-present state, on commentary is, 2)
(DOJ, provides, commentary)
(DOJ, provides, commentary on state)
(language, impose, sentencing enhancement)
(DOJ, understood language here at, issue)
(language, impose sentencing enhancement for, only prior state convictions)
(DOJ, understood language at, issue)
(language, impose sentencing enhancement for, only state convictions)
(DOJ, understood, language)
(language, impose sentencing enhancement for, state convictions)
(DOJ, understood here, language)
(language, impose sentencing enhancement for, prior state convictions)
(letter, relaying on, just one of provision 's many salient features)
(letter, relaying on, just one provision 's many salient features)
(clues, are To, contrary)
(letter, relaying on, just one provision 's salient features)
(several clues, are To, contrary)
(provision, of, many salient features)
(letter, relaying on, just one of provision 's salient features)
(letter, has, references to child molestation)
(Wards, can, can minors)
(they, be, can also adults)
(they, be, can adults)
(Congress ' amendment, give, DOJ)
(Congress ' amendment, Thus give, DOJ)
(amendment, also did, more)
(amendment, did, more than that)
(amendment, also did, more than that)
(amendment, did, more)
(Congress, apply minimum to, individuals convicted)
(Congress, apply minimum to, individuals convicted in court)
(Congress, apply minimum to, individuals convicted in court of abuse)
(Congress, apply minimum to, individuals)
(Congress, apply, minimum)
(Congress, apply minimum to, individuals convicted in federal court of abuse)
(Congress, apply minimum to, individuals convicted in court of sexual abuse)
(descriptions, do, nothing explain)
(provision, is in, Senate Report)
(terse descriptions, do, nothing explain)
(Congress, apply minimum to, individuals convicted in federal court)
(Congress, apply, mandatory minimum)
(individuals, convicted in, state court)
(individuals, convicted in, state court same)
(we, can discern, Congress ' statutory objective)
(we, can discern, Congress ' objective)
(legislative history, speaks in, short)
(history, hardly speaks in, short)
(legislative history, hardly speaks in, short)
(history, speaks in, short)
(explanation, is, basic)
(Congress, capturing under, law)
(Congress, capturing under, federal law)
(Congress, knew, was capturing under law)
(Congress, knew, was capturing under federal law)
(Congress, knew, was capturing)
(covered federal offenses, were, predicates)
(covered federal offenses, were, proper predicates)
(state laws, be, swept)
(state laws, be swept into, b)
(terms, are given, their generic meaning)
(terms, is in, § 2252)
(terms, are given, their meaning)
(they, are, unlikely)
(they, are unlikely to, sweep)
(sweep, is in, bizarre state offenses)
(us, apply, rule of lenity)
(us, apply, rule)
(Lockhart, asks, us)
(Lockhart, Finally asks, us)
(We, have used, lenity principle)
(We, resolve, ambiguity in favor of defendant)
(We, resolve, ambiguity in favor)
(We, resolve, ambiguity)
(ambiguity, is in, favor of defendant)
(Lockhart, contends, sure)
(Cf. Llewellyn, Remarks on, Theory of Appellate Decision)
(T, are, two canons on point)
(T, are, two opposing canons on almost point)
(T, are, two opposing canons on point)
(T, are, two canons on almost point)
(rule, is, Here supported)
(rule, is, well supported)
(rule, is, Here well supported)
(rule, is well supported by, context)
(rule, is supported by, context)
(rule, is, supported)
(rule, Here is well supported by, context)
(Lockhart, has, alternative)
(rule, Here is supported by, context)
(provision, applies to, state convictions for abuse)
(provision, applies to, prior state convictions for abuse)
(convictions, involved, minor)
(provision, applies to, state convictions)
(provision, applies to, state convictions for sexual abuse)
(provision, applies to, prior state convictions for sexual abuse)
(convictions, involved, ward)
(structure, text of, b)
(provision, applies to, prior state convictions)
(Lockhart 's conviction, is, encompassed)
(Lockhart 's conviction, is encompassed by, b)
(Lockhart 's prior conviction, is, encompassed)
(Lockhart, has, prior conviction for sexual abuse of adult)
(Lockhart 's prior conviction, is encompassed by, b)
(judgment, is, accordingly affirmed)
(judgment, is, affirmed)
(AVONDALE LOCKHART, PETITIONER v., UNITED STATES)
(JUSTICE BREYER, joins, dissenting)
(friend, told, you)
(she, wanted, meet)
(apartment, is in, New York)
(person, protest, punished)
(Everyone, understands, that)
(reason, is in, three cases)
(understanding, should decide, case)
(ordinary understanding, is in, speech)
(ordinary understanding, should decide, case)
(he, conviction for, aggravated abuse)
(he, prior conviction for, aggravated sexual abuse)
(abusive conduct, involving, minor)
(he, prior conviction for, abuse)
(he, state-law conviction for, sexual abuse)
(he, prior state-law conviction for, aggravated sexual abuse)
(he, conviction for, abuse)
(he, prior state-law conviction for, abuse)
(he, conviction for, aggravated sexual abuse)
(he, has, prior state-law conviction)
(he, has, prior conviction)
(conduct, involving, minor)
(he, conviction for, sexual abuse)
(he, has, conviction)
(he, state-law conviction for, aggravated sexual abuse)
(he, has, state-law conviction)
(sexual conduct, involving, minor)
(he, has, conviction for abuse)
(he, state-law conviction for, aggravated abuse)
(Avondale Lockhart, is, subject)
(he, state-law conviction for, abuse)
(he, prior conviction for, aggravated abuse)
(he, prior state-law conviction for, sexual abuse)
(abusive conduct, involving, ward)
(sexual conduct, involving, ward)
(conduct, involving, ward)
(abusive sexual conduct, involving, minor)
(he, prior conviction for, sexual abuse)
(abusive sexual conduct, involving, ward)
(he, has, prior conviction for abuse)
(he, prior state-law conviction for, aggravated abuse)
(Court, reads phrase at_time, today)
(Court, reads, phrase)
(Court, relying, called)
(modifier, applies in, just as examples)
(modifier, applies in, examples)
(modifier, applies in, just examples above)
(modifier, applies in, as examples above)
(modifier, applies to, each terms)
(modifier, applies in, just as examples above)
(modifier, applies in, as examples)
(modifier, applies to, each of terms)
(modifier, applies in, examples above)
(modifier, applies in, just examples)
(construction, finds, support)
(predicate crimes, involve, abuse of children)
(all, abuse of, children)
(predicate crimes, involve, abuse)
(normal construction, finds, support)
(three predicate crimes, involve, abuse of children)
(three predicate crimes, involve, abuse)
(support, is in, uncommonly clear-cut legislative history)
(Lockhart, has, prior conviction for sexual abuse of adult)
(majority, does with, rule of antecedent)
(majority, does with, rule of last antecedent)
(majority, does with, rule)
(principle, is in, Barnhart)
(Court, fully discussed, that)
(Court, most fully discussed, that)
(Court, discussed, that)
(Court, invoking, rule)
(Court, invoking, last-antecedent rule)
(Two points, are of, especial note)
(Two points, are of, note)
(points, are of, especial note)
(points, are of, note)
(rule, can, can overcome by other indicia)
(rule, can, can assuredly overcome by other indicia)
(last-antecedent rule, can, can overcome by other indicia)
(Barnhart, contained, significant caveat)
(last-antecedent rule, can, can assuredly overcome by indicia of meaning)
(Barnhart, First contained, significant caveat)
(rule, can, can assuredly overcome by indicia of meaning)
(last-antecedent rule, can, can overcome)
(Barnhart, First contained, caveat)
(rule, can, can assuredly overcome by other indicia of meaning)
(rule, can, can assuredly overcome)
(last-antecedent rule, can, can overcome by indicia of meaning)
(rule, can, can assuredly overcome by indicia)
(rule, can, can overcome by indicia)
(last-antecedent rule, can, can overcome by other indicia of meaning)
(Barnhart, contained, caveat)
(last-antecedent rule, can, can assuredly overcome by other indicia of meaning)
(last-antecedent rule, can, can assuredly overcome by indicia)
(rule, can, can overcome by indicia of meaning)
(last-antecedent rule, can, can overcome by indicia)
(rule, can, can overcome)
(last-antecedent rule, can, can assuredly overcome by other indicia)
(last-antecedent rule, can, can assuredly overcome)
(rule, can, can overcome by other indicia of meaning)
(modifying phrase, list of, multiple parallel terms)
(statute, is in, case)
(phrase, list of, multiple parallel terms)
(provision, is in, Barnhart)
(Court, has followed, rule)
(344, at Jama is, 543 U. S.)
(exact opposite, is true, in examples beginning opinion modifying phrase refers alike to each of terms)
(exact opposite, is usually true, in examples phrase refers alike to each of terms)
(exact opposite, is usually true, modifying phrase refers alike to each of terms)
(opposite, is usually true, in examples beginning opinion modifying phrase refers to each list 's terms)
(opposite, is usually true, in examples beginning opinion modifying phrase refers to each of list 's terms)
(opposite, is usually true, phrase refers alike to each list 's terms)
(exact opposite, is true, modifying phrase refers alike to each terms)
(exact opposite, is usually true, in examples phrase refers to each of terms)
(exact opposite, is usually true, in examples beginning opinion phrase refers alike to each of terms)
(exact opposite, is true, in examples phrase refers to each list 's terms)
(exact opposite, is true, in examples phrase refers alike to each of terms)
(opposite, is usually true, in examples phrase refers alike to each of terms)
(phrase, refers in, examples)
(exact opposite, is usually true, modifying phrase refers to each list 's terms)
(opposite, is true, in examples beginning opinion modifying phrase refers to each of list 's terms)
(exact opposite, is true, modifying phrase refers alike to each of terms)
(exact opposite, is true, phrase refers to each of list 's terms)
(exact opposite, is usually true, in examples beginning opinion phrase refers to each list 's terms)
(opposite, is usually true, in examples phrase refers alike to each terms)
(opposite, is usually true, in examples modifying phrase refers alike)
(opposite, is usually true, in examples beginning opinion modifying phrase refers alike to each terms)
(exact opposite, is true, modifying phrase refers alike)
(opposite, is usually true, modifying phrase refers to each of terms)
(exact opposite, is usually true, in examples beginning opinion phrase refers alike to each of list 's terms)
(opposite, is true, in examples phrase refers)
(exact opposite, is true, phrase refers alike to each of terms)
(opposite, is usually true, in examples phrase refers alike)
(opposite, is true, modifying phrase refers to each list 's terms)
(phrase, refers alike in, examples)
(opposite, is usually true, in examples modifying phrase refers)
(exact opposite, is true, phrase refers alike)
(exact opposite, is usually true, in examples beginning opinion phrase refers alike to each terms)
(exact opposite, is usually true, in examples modifying phrase refers alike)
(modifying phrase, refers to, each list 's terms)
(exact opposite, is usually true, in examples phrase refers to each of list 's terms)
(exact opposite, is usually true, in examples phrase refers alike)
(phrase, refers to, each terms)
(exact opposite, is true, modifying phrase refers to each of list 's terms)
(opposite, is true, phrase refers to each list 's terms)
(opposite, is usually true, phrase refers)
(exact opposite, is true, in examples beginning opinion modifying phrase refers alike)
(opposite, is usually true, modifying phrase refers alike to each list 's terms)
(exact opposite, is usually true, phrase refers to each list 's terms)
(opposite, is true, in examples beginning opinion phrase refers alike to each of terms)
(exact opposite, is true, in examples modifying phrase refers to each of terms)
(list, of, terms)
(exact opposite, is usually true, phrase refers alike to each list 's terms)
(opposite, is usually true, in examples beginning opinion modifying phrase refers alike)
(modifying phrase, refers to, each of list 's terms)
(exact opposite, is usually true, in examples beginning opinion phrase refers to each of list 's terms)
(opposite, is, Then usually true)
(opposite, is true, in examples modifying phrase refers alike to each of list 's terms)
(opposite, is usually true, phrase refers to each terms)
(exact opposite, is true, phrase refers alike to each terms)
(opposite, is usually true, modifying phrase refers alike to each terms)
(opposite, is true, in examples modifying phrase refers alike to each terms)
(opposite, is true, phrase refers to each of list 's terms)
(opposite, is usually true, in examples modifying phrase refers to each of list 's terms)
(modifying phrase, refers in, examples)
(opposite, is true, in examples beginning opinion modifying phrase refers alike to each list 's terms)
(exact opposite, is true, in examples modifying phrase refers alike)
(opposite, is usually true, modifying phrase refers alike to each of terms)
(opposite, is true, in examples beginning opinion phrase refers alike to each of list 's terms)
(exact opposite, is true, in examples beginning opinion modifying phrase refers to each list 's terms)
(exact opposite, is true, in examples beginning opinion modifying phrase refers to each terms)
(opposite, is true, in examples modifying phrase refers to each of list 's terms)
(opposite, is usually true, modifying phrase refers to each terms)
(opposite, is true, in examples beginning opinion modifying phrase refers to each list 's terms)
(exact opposite, is true, phrase refers)
(exact opposite, is true, in examples beginning opinion phrase refers alike)
(opposite, is true, modifying phrase refers alike to each terms)
(opposite, is true, phrase refers to each terms)
(exact opposite, is true, in examples modifying phrase refers)
(exact opposite, is true, in examples beginning opinion modifying phrase refers alike to each terms)
(opposite, is usually true, in examples modifying phrase refers to each terms)
(exact opposite, is true, in examples phrase refers)
(opposite, is usually true, in examples beginning opinion phrase refers to each terms)
(opposite, is true, in examples modifying phrase refers to each list 's terms)
(opposite, is usually true, in examples phrase refers to each list 's terms)
(opposite, is usually true, in examples beginning opinion modifying phrase refers alike to each of list 's terms)
(exact opposite, is usually true, modifying phrase refers alike to each terms)
(opposite, is true, phrase refers alike to each list 's terms)
(exact opposite, is usually true, in examples phrase refers)
(exact opposite, is usually true, phrase refers alike to each of terms)
(exact opposite, is, true)
(exact opposite, is true, in examples phrase refers to each of terms)
(opposite, is true, in examples modifying phrase refers alike to each list 's terms)
(exact opposite, is true, modifying phrase refers alike to each list 's terms)
(exact opposite, is true, in examples phrase refers alike to each list 's terms)
(opposite, is usually true, in examples beginning opinion modifying phrase refers alike to each of terms)
(exact opposite, is usually true, in examples phrase refers alike to each of list 's terms)
(phrase, refers alike in, examples beginning opinion)
(exact opposite, is usually true, in examples beginning opinion modifying phrase refers alike to each of list 's terms)
(exact opposite, is true, in examples modifying phrase refers to each terms)
(exact opposite, is usually true, in examples modifying phrase refers to each of list 's terms)
(exact opposite, is usually true, in examples modifying phrase refers alike to each terms)
(opposite, is usually true, in examples modifying phrase refers alike to each of list 's terms)
(opposite, is true, modifying phrase refers alike to each list 's terms)
(opposite, is usually true, in examples phrase refers)
(exact opposite, is true, in examples beginning opinion phrase refers to each of terms)
(exact opposite, is usually true, in examples beginning opinion modifying phrase refers alike to each terms)
(exact opposite, is true, in examples phrase refers to each terms)
(opposite, is usually true, in examples beginning opinion phrase refers alike to each of terms)
(opposite, is usually true, modifying phrase refers to each of list 's terms)
(exact opposite, is true, in examples beginning opinion phrase refers to each terms)
(opposite, is true, modifying phrase refers)
(modifying phrase, refers alike in, examples beginning opinion)
(modifying phrase, refers to, each of terms)
(opposite, is usually true, in examples beginning opinion modifying phrase refers alike to each list 's terms)
(exact opposite, is usually true, in examples beginning opinion modifying phrase refers alike to each list 's terms)
(opposite, is true, in examples modifying phrase refers to each terms)
(opposite, is usually true, in examples beginning opinion phrase refers to each of list 's terms)
(exact opposite, is usually true, modifying phrase refers alike to each of list 's terms)
(exact opposite, is true, phrase refers to each list 's terms)
(modifying phrase, refers alike to, each terms)
(opposite, is true, in examples beginning opinion modifying phrase refers alike)
(exact opposite, is true, phrase refers to each terms)
(opposite, is usually true, in examples beginning opinion modifying phrase refers to each of terms)
(opposite, is true, phrase refers alike to each of list 's terms)
(exact opposite, is usually true, phrase refers alike to each terms)
(opposite, is true, in examples phrase refers to each list 's terms)
(exact opposite, is usually true, phrase refers to each of terms)
(opposite, is usually true, in examples beginning opinion modifying phrase refers to each terms)
(opposite, is usually true, in examples beginning opinion modifying phrase refers)
(opposite, is usually true, modifying phrase refers to each list 's terms)
(opposite, is usually true, in examples modifying phrase refers to each list 's terms)
(opposite, is true, in examples beginning opinion phrase refers)
(phrase, refers alike to, each terms)
(phrase, refers to, each list 's terms)
(opposite, is true, in examples beginning opinion phrase refers alike)
(opposite, is true, in examples modifying phrase refers to each of terms)
(exact opposite, is usually true, in examples beginning opinion modifying phrase refers)
(opposite, is true, phrase refers alike)
(opposite, is true, in examples phrase refers alike to each of terms)
(exact opposite, is usually true, in examples beginning opinion phrase refers alike)
(opposite, is true, in examples modifying phrase refers alike to each of terms)
(modifying phrase, refers alike to, each of list 's terms)
(phrase, refers alike to, each of list 's terms)
(exact opposite, is usually true, in examples beginning opinion modifying phrase refers to each terms)
(exact opposite, is usually true, in examples beginning opinion modifying phrase refers to each of list 's terms)
(exact opposite, is usually true, modifying phrase refers to each terms)
(exact opposite, is usually true, in examples modifying phrase refers alike to each of terms)
(opposite, is usually true, in examples beginning opinion phrase refers alike to each terms)
