(UNITED STATES, v. OCASIO is, 2016)
(antibribery law, displacing, carefully crafted network)
(national antibribery law, displacing, crafted network of state statutes)
(national law, displacing, carefully crafted network of state statutes)
(our interpretation, makes broadly, Hobbs Act sweep)
(allowing, undermines, state bribery laws)
(conspirator, is with, his consent)
(allowing, undermines, 18 U. S. C. § 666)
(we, taking, bribe)
(it, seems, unnatural)
(§ 1951, prohibits, rough equivalent)
(§ 1951, rough equivalent of, bribery)
(§ 1951, equivalent of, bribery)
(§ 1951, prohibits, equivalent of bribery)
(§ 1951, prohibits, equivalent)
(§ 1951, prohibits, rough equivalent of bribery)
(Petitioner, exaggerates, reach of our decision)
(Petitioner, exaggerates, reach)
(Petitioner, also exaggerates, reach)
(Petitioner, also exaggerates, reach of our decision)
(It, commit, extortion)
(proof, allow, Government)
(proof, thus allow, Government)
(Government, turn virtually, such extortion case)
(property, be, obtained)
(existence, proof of, consent)
(property, be obtained with, consent)
(Government, turn, such extortion case)
(consent, required under, Hobbs Act)
(phrase, is designed, used)
(phrase, is designed, used in Hobbs Act)
(phrase, used in, Hobbs Act)
(phrase, is designed with, his consent)
(phrase, is, designed)
(consent, is, different)
(consent, signifies, taking)
(consent, Thus simply signifies taking under, circumstances falling)
(consent, simply signifies, taking of property)
(such consent, is different from, mens rea)
(such consent, is quite different from, mens rea necessary for conspiracy)
(consent, signifies, taking of property)
(such consent, is, quite different)
(consent, is quite different from, mens rea necessary for conspiracy)
(such consent, is quite different from, mens rea necessary)
(consent, simply signifies, taking)
(consent, is, quite different)
(such consent, is quite different from, mens rea)
(consent, simply signifies taking under, circumstances)
(consent, simply signifies taking under, circumstances falling)
(consent, Thus signifies, taking)
(such consent, is different from, mens rea necessary for conspiracy)
(consent, Thus signifies, taking of property)
(such consent, is, different)
(consent, Thus signifies taking under, circumstances)
(consent, is quite different from, mens rea)
(consent, is different from, mens rea necessary for conspiracy)
(consent, Thus simply signifies, taking)
(consent, is quite different from, mens rea necessary)
(consent, is different from, mens rea)
(consent, is different from, mens rea necessary)
(consent, signifies taking under, circumstances)
(consent, Thus signifies taking under, circumstances falling)
(consent, Thus simply signifies, taking of property)
(consent, Thus simply signifies taking under, circumstances)
(consent, signifies taking under, circumstances falling)
(such consent, is different from, mens rea necessary)
(prohibiting, obtaining of, property)
(conclusion, is clear from, language)
(prohibiting, obtaining from, another)
(prohibiting, obtaining with, his consent)
(conclusion, is clear from, language of § 1951)
(conclusion, is, clear)
(store owner, makes protection payments to, gang members)
(they, otherwise trash, store)
(they, trash, store)
(store owner, makes protection payments out of, fear)
(store owner, makes, periodic protection payments)
(store owner, makes protection payments for, example)
(store owner, makes, protection payments)
(payments, are, obtained)
(store owner, simply making, demanded payments)
(payments, are obtained with, store owner 's grudging consent)
(payments, are obtained with, store owner 's consent)
(store owner, making, payments)
(store owner, simply making, payments)
(store owner, making, demanded payments)
(store owner, with, grudging consent)
(145, at Holte is, minimal consent required)
(mere acquiescence, is in, Mann Act violation)
(145, at Holte is, 236 U. S.)
(our reading, does transform, bribe of public official)
(payor, lacks, mens rea necessary for conspiracy)
(payor, lacks, mens rea)
(payor, lacks, mens rea necessary)
(bribe payor, is complying with, demand)
(bribe payor, is merely complying with, official demand)
(bribe payor, is merely complying with, demand)
(bribe payor, is complying with, official demand)
(223, at Anderson is, supra)
(405, at Bailey is, supra)
(121-123, at Gebardi is, supra)
(health inspector, demands bribe from, restaurant owner)
(health inspector, demands, bribe)
(inspector, to, demand)
(conspiracy .11, mere acquiescence in, demand)
(conspiracy .11, acquiescence in, demand)
(owner, pays, bribe)
(mere acquiescence, is in, demand)
(owner, reluctantly pays bribe, keep)
(owner, keep, business open)
(owner, reluctantly pays, bribe)
(owner, pays bribe, keep)
(his argument, would create, serious problems)
(his argument, would create, practical problems)
(his argument, would create, serious practical problems)
(petitioner, exaggerates, impact of our decision)
(petitioner, exaggerates, impact)
(petitioner, impact of, our decision)
(his argument, would create, problems)
(validity, would often depend on, property-law questions)
(little, do with, culpability)
(little, do with, criminal culpability)
(validity, would often depend on, difficult property-law questions)
(validity, would depend on, property-law questions)
(validity, would depend on, difficult property-law questions)
(ownership, is far from, In case for example clear)
(ownership, is far from, clear)
(ownership, is far from, for example clear)
(ownership, is far from, In case clear)
(Majestic, 's account is, App)
(Majestic, from, account)
(funds, came from, App)
(funds, came from, Majestic 's account)
(Majestic, was, during period converted from liability company to regular business corporation)
(Majestic, was, during period of petitioner 's membership converted from liability company to regular business corporation id.)
(Majestic, was, during period converted from liability company to regular business corporation at 145)
(Majestic, was, during period of petitioner 's membership converted to regular business corporation at 145)
(Majestic, was, during period converted to business corporation at 145)
(Majestic, was, converted from limited liability company to business corporation)
(Majestic, was, during period of petitioner 's membership in conspiracy converted from limited liability company to business corporation at 145)
(Majestic, was, during period of petitioner 's membership converted from limited liability company)
(Majestic, was converted to, regular business corporation)
(Majestic, was, during period of petitioner 's membership in conspiracy converted from limited liability company to business corporation)
(Majestic, was, during period of petitioner 's membership in conspiracy converted from liability company to business corporation at 145)
(petitioner 's membership, is in, conspiracy)
(Majestic, was, during period of petitioner 's membership in conspiracy converted from liability company to regular business corporation at 145)
(Majestic, was converted to, regular business corporation at 145)
(Majestic, was, converted from liability company to regular business corporation)
(Majestic, was, during period converted to business corporation id. at 145)
(Majestic, was, converted from liability company to regular business corporation at 145)
(Majestic, was, during period of petitioner 's membership in conspiracy converted to regular business corporation id.)
(Majestic, was, during period of petitioner 's membership converted from limited liability company to regular business corporation at 145)
(Majestic, was, during period converted from limited liability company to business corporation)
(Majestic, was, during period of petitioner 's membership in conspiracy converted from liability company to regular business corporation)
(Majestic, was, during period converted from limited liability company to regular business corporation at 145)
(Majestic, was, during period of petitioner 's membership converted to regular business corporation id. at 145)
(Majestic, was, converted)
(Majestic, was, during period converted to regular business corporation at 145)
(Majestic, was, during period converted from limited liability company to business corporation at 145)
(Majestic, was, converted from limited liability company to business corporation id.)
(Majestic, was, converted from liability company to regular business corporation id. at 145)
(Majestic, was, during period of petitioner 's membership in conspiracy converted from limited liability company to business corporation id. at 145)
(Majestic, was, during period of petitioner 's membership converted to business corporation)
(Majestic, was, during period converted from limited liability company to business corporation id.)
(Majestic, was, during period of petitioner 's membership in conspiracy converted from limited liability company to regular business corporation id. at 145)
(Majestic, was, during period of petitioner 's membership converted from limited liability company to regular business corporation id.)
(Majestic, was, during period of petitioner 's membership converted from limited liability company to business corporation at 145)
(Majestic, was, during period of petitioner 's membership in conspiracy converted to business corporation at 145)
(Majestic, was, during period of petitioner 's membership converted to regular business corporation id.)
(Majestic, was, during period of petitioner 's membership in conspiracy converted from liability company to regular business corporation id.)
(Majestic, was, during period of petitioner 's membership in conspiracy converted to business corporation id.)
(Majestic, was, during period of petitioner 's membership converted from liability company to business corporation at 145)
(Majestic, was, during period converted to regular business corporation id. at 145)
(Majestic, was, during period converted from liability company to regular business corporation id. at 145)
(Majestic, was, during period of petitioner 's membership converted from limited liability company to regular business corporation)
(Majestic, was converted to, business corporation id.)
(Majestic, was, converted from limited liability company to regular business corporation id. at 145)
(Majestic, was, during period of petitioner 's membership converted to business corporation id.)
(Majestic, was, during period of petitioner 's membership in conspiracy converted from liability company to business corporation)
(Majestic, was converted from, limited liability company)
(Majestic, was, during period of petitioner 's membership converted from liability company to regular business corporation id. at 145)
(Majestic, was, during period of petitioner 's membership in conspiracy converted from liability company to business corporation id. at 145)
(Majestic, was, during period converted from liability company to business corporation id. at 145)
(Majestic, was, during period converted from limited liability company to regular business corporation id.)
(Majestic, was, during period of petitioner 's membership in conspiracy converted from limited liability company to business corporation id.)
(Majestic, was converted during, period of petitioner 's membership)
(Majestic, was, during period of petitioner 's membership in conspiracy converted from limited liability company to regular business corporation id.)
(Majestic, was, converted from limited liability company to regular business corporation)
(Majestic, was, converted from limited liability company to regular business corporation at 145)
(Majestic, was, during period of petitioner 's membership in conspiracy converted from liability company to business corporation id.)
(Majestic, was, during period converted from liability company to business corporation)
(Majestic, was converted during, period of petitioner 's membership in conspiracy)
(Majestic, was, converted from limited liability company to business corporation at 145)
(149, is, evidence)
(Majestic, was, during period converted from liability company to business corporation at 145)
(Majestic, was converted to, business corporation)
(Majestic, was, converted from liability company to business corporation at 145)
(Majestic, was, during period converted from limited liability company to regular business corporation)
(Majestic, was, during period of petitioner 's membership in conspiracy converted from limited liability company)
(Majestic, was converted to, regular business corporation id.)
(Majestic, was, during period converted from liability company to regular business corporation id.)
(Majestic, was, during period of petitioner 's membership in conspiracy converted to business corporation id. at 145)
(Majestic, was, during period of petitioner 's membership converted to regular business corporation)
(Majestic, was, during period of petitioner 's membership converted from limited liability company to regular business corporation id. at 145)
(Majestic, was, during period of petitioner 's membership in conspiracy converted to regular business corporation id. at 145)
(Majestic, was, during period converted to regular business corporation id.)
(Majestic, was, during period converted to business corporation id.)
(Majestic, was converted to, business corporation at 145)
(Majestic, was, during period converted to regular business corporation)
(Majestic, was, during period of petitioner 's membership converted from liability company)
(Majestic, was, during period converted from limited liability company)
(Majestic, was, converted from limited liability company to business corporation id. at 145)
(Majestic, was, during period of petitioner 's membership converted from liability company to business corporation)
(Majestic, was, during period of petitioner 's membership converted to business corporation at 145)
(Majestic, was, converted from liability company to business corporation id. at 145)
(Majestic, was, during period of petitioner 's membership in conspiracy converted from liability company to regular business corporation id. at 145)
(there, is, evidence)
(Majestic, was converted during, period)
(Majestic, was converted to, regular business corporation id. at 145)
(Majestic, was, during period converted to business corporation)
(Majestic, was, during period converted from liability company to business corporation id.)
(Majestic, was, during period of petitioner 's membership converted to business corporation id. at 145)
(Majestic, was, during period converted from liability company)
(Majestic, was, converted from liability company to regular business corporation id.)
(Majestic, was, converted from limited liability company to regular business corporation id.)
(Majestic, was, during period of petitioner 's membership in conspiracy converted from limited liability company to regular business corporation at 145)
(Majestic, was, during period of petitioner 's membership converted from limited liability company to business corporation id. at 145)
(Majestic, was, during period of petitioner 's membership in conspiracy converted from limited liability company to regular business corporation)
(Majestic, was converted to, business corporation id. at 145)
(Majestic, was, during period of petitioner 's membership converted from limited liability company to business corporation)
(Majestic, was, converted from liability company to business corporation)
(Majestic, was, during period of petitioner 's membership in conspiracy converted to regular business corporation at 145)
(Majestic, was, during period of petitioner 's membership in conspiracy converted to regular business corporation)
(Majestic, was, during period of petitioner 's membership in conspiracy converted from liability company)
(Majestic, was, during period of petitioner 's membership converted from limited liability company to business corporation id.)
(Majestic, was, during period of petitioner 's membership converted from liability company to business corporation id.)
(Majestic, was, during period converted from limited liability company to business corporation id. at 145)
(Majestic, was, during period converted from limited liability company to regular business corporation id. at 145)
(Majestic, was, during period of petitioner 's membership converted from liability company to business corporation id. at 145)
(petitioner, of, membership in conspiracy)
(Majestic, was, during period of petitioner 's membership converted from liability company to regular business corporation)
(Majestic, was, during period of petitioner 's membership converted from liability company to regular business corporation at 145)
(Majestic, was converted from, liability company)
(Majestic, was, converted from liability company to business corporation id.)
(Majestic, was, during period of petitioner 's membership in conspiracy converted to business corporation)
(money, obtained by, petitioner)
(corporation, is, entity distinct)
(petitioner, obtain, money)
(corporation, is, distinct)
(corporation, is, entity distinct from its shareholders)
(corporation, is, entity)
(petitioner, obtain money from, another)
(Mejia, has, share of partnership funds)
(officers, obtain, money)
(club, has, liquor license application)
(agreement, is with, public official)
(public official, may, may guilty)
(official, may, Under petitioner 's approach may guilty)
(club manager, may, Under petitioner 's approach may guilty)
(petitioner, Under, approach)
(club manager, may, may guilty)
(official, may, may guilty)
(public official, may, Under petitioner 's approach may guilty)
(official, obtain, property)
(property, is, obtained)
(agreement, is with, owner of property)
(he, reached, agreement with owner)
(defendant, may, may convicted)
(he, reached, agreement with owner of property)
(he, reached, agreement)
(judgment, is, affirmed)
(It, is, ordered)
(It, is, so ordered)
(SAMUEL OCASIO, PETITIONER v., UNITED STATES)
(I, agree with, sentiment expressed)
(I, agree with, sentiment expressed in dissenting opinion of JUSTICE THOMAS)
(I, agree with, sentiment expressed in opinion of JUSTICE THOMAS)
(I, agree with, sentiment expressed in opinion)
(I, agree with, sentiment expressed in dissenting opinion)
(I, agree with, sentiment)
(question, see at, O'Connor)
(extortion, on, common-law history)
(it, is, difficult)
(question, is in, case)
(question, see id. at, O'Connor)
(courts, draw, distinction between behavior)
(courts, draw, distinction between behavior of bribe payor)
(health inspector, asks for, money)
(health inspector, asks in, exchange for favorable reports)
(health inspector, asks in, exchange for reports)
(courts, draw, distinction)
(health inspector, asks in, exchange)
(today, by, Court)
(courts, draw, distinction between involuntary behavior)
(we, must take Evans in, case)
(we, Nonetheless must take Evans as, law)
(we, Nonetheless must take Evans as, good law)
(we, must take Evans as, law)
(we, must take, Evans)
(we, Nonetheless must take Evans in, case)
(we, Nonetheless must take, Evans)
(we, must take Evans as, good law)
(Petitioner, take, th holding in Evans)
(Petitioner, take, th holding)
(majority, has, opinion in full)
(I, join, majority 's opinion in full)
(I, join, majority 's opinion)
(majority 's opinion, is in, full)
(SAMUEL OCASIO, PETITIONER v., UNITED STATES)
(Court, holds at_time, Today)
(extortion, is with, person)
(holding, exposes, flaw)
(Court, in, understanding of extortion)
(holding, further exposes, flaw in Court 's understanding of extortion)
(holding, further exposes, flaw in Court 's understanding)
(holding, exposes, flaw in Court 's understanding)
(holding, exposes, flaw in Court 's understanding of extortion)
(flaw, is in, Court 's understanding of extortion)
(holding, further exposes, flaw)
(Court, started down, wrong path)
(Court, started down path In, my view)
(Court, started down, path in Evans States)
(extortion, is with, bribery)
(Court, started down, wrong path in Evans States)
(wrong path, is in, Evans States)
(Court, started down, path)
(extortionist, conspire with, his victim)
(Evans, made In, so holding)
(Evans, made In, holding)
(it, seem, plausible)
(I, embrace, view)
(Hobbs Act, makes, it crime)
(it, crime to, obstruc)
(Hobbs Act, makes, it crime to obstruc)
(Hobbs Act, makes by, extortion)
(it, crime to, t)
(Act, defines, extortion as obtaining with his consent induced by wrongful use of force under color)
(Act, defines, extortion as obtaining of property from another with his consent induced by wrongful use)
(Act, defines, extortion as obtaining with his consent induced by use)
(Act, defines, extortion as obtaining of property with his consent induced by use of force under color)
(Act, defines, extortion as obtaining of property from another with his consent induced under color)
(Act, defines, extortion as obtaining of property from another with his consent induced by use under color)
(Act, defines, extortion as obtaining of property from another with his consent induced by wrongful use under color)
(Act, defines, extortion as obtaining of property with his consent induced by wrongful use of actual force under color)
(Act, defines, extortion as obtaining with his consent under color)
(Act, defines, extortion as obtaining with his consent induced under color)
(Act, defines, extortion as obtaining from another with his consent induced by wrongful use)
(Act, defines, extortion as obtaining of property from another with his consent induced by wrongful use of force)
(Act, defines, extortion as obtaining of property)
(Act, defines, extortion)
(Act, defines, extortion as obtaining of property under color)
(Act, defines, extortion as obtaining of property with his consent induced by use of actual force)
(Act, defines, extortion as obtaining from another with his consent induced by wrongful use under color)
(Act, defines, extortion as obtaining under color)
(Act, defines, extortion as obtaining of property from another under color)
(Act, defines, extortion as obtaining with his consent induced by use of force)
(Act, defines, extortion as obtaining with his consent induced by use under color)
(Act, defines, extortion as obtaining from another with his consent induced by wrongful use of force)
(Act, defines, extortion as obtaining of property with his consent induced by wrongful use of actual force)
(Act, defines, extortion as obtaining of property from another with his consent induced by use)
(Act, defines, extortion as obtaining with his consent induced by wrongful use of actual force)
(Act, defines, extortion as obtaining from another with his consent induced under color)
(Act, defines, extortion as obtaining from another with his consent induced by use under color)
(Act, defines, extortion as obtaining of property with his consent induced by wrongful use of force)
(Act, defines, extortion as obtaining of property from another)
(Act, defines, extortion as obtaining from another with his consent induced by use of actual force under color)
(Act, defines, extortion as obtaining of property from another with his consent induced by use of actual force under color)
(Act, defines, extortion as obtaining of property with his consent under color)
(Act, defines, extortion as obtaining with his consent induced by wrongful use)
(Act, defines, extortion as obtaining of property with his consent)
(Act, defines, extortion as obtaining from another with his consent induced by wrongful use of actual force)
(Act, defines, extortion as obtaining with his consent induced by wrongful use of actual force under color)
(Act, defines, extortion as obtaining from another with his consent induced by use of actual force)
(Act, defines, extortion as obtaining of property with his consent induced)
(Act, defines, extortion as obtaining of property from another with his consent induced by use of force under color)
(Act, defines, extortion as obtaining with his consent induced by wrongful use of force)
(Act, defines, extortion as obtaining from another with his consent induced by wrongful use of force under color)
(Act, defines, extortion as obtaining of property from another with his consent induced by use of actual force)
(Act, defines, extortion as obtaining with his consent induced by use of force under color)
(Act, defines, extortion as obtaining of property from another with his consent induced by wrongful use of actual force)
(Act, defines, extortion as obtaining of property from another with his consent induced by wrongful use of actual force under color)
(Act, defines, extortion as obtaining of property from another with his consent under color)
(Act, defines, extortion as obtaining of property from another with his consent induced by wrongful use of force under color)
(Act, defines, extortion as obtaining from another with his consent)
(Act, defines, extortion as obtaining of property from another with his consent induced)
(Act, defines, extortion as obtaining of property with his consent induced by use)
(Act, defines, extortion as obtaining of property with his consent induced by use of actual force under color)
(Act, defines, extortion as obtaining from another with his consent induced)
(Act, defines, extortion as obtaining from another with his consent induced by use)
(Act, defines, extortion as obtaining of property with his consent induced by wrongful use)
(Act, defines, extortion as obtaining of property from another with his consent induced by use of force)
(Act, defines, extortion as obtaining of property with his consent induced by use under color)
(Act, defines, extortion as obtaining from another)
(Act, defines, extortion as obtaining of property with his consent induced by use of force)
(Act, defines, extortion as obtaining of property from another with his consent)
(Act, defines, extortion as obtaining from another with his consent induced by use of force)
(Act, defines, extortion as obtaining of property with his consent induced under color)
(Act, defines, extortion as obtaining from another with his consent induced by use of force under color)
(Act, defines, extortion as obtaining from another under color)
(Act, defines, extortion as obtaining from another with his consent induced by wrongful use of actual force under color)
(Act, defines, extortion as obtaining of property with his consent induced by wrongful use of force under color)
(Act, defines, extortion as obtaining with his consent induced)
(Act, defines, extortion as obtaining with his consent induced by wrongful use under color)
(Act, defines, extortion as obtaining with his consent)
(Act, defines, extortion as obtaining with his consent induced by use of actual force under color)
(Act, defines, extortion as obtaining from another with his consent under color)
(Act, defines, extortion as obtaining of property with his consent induced by wrongful use under color)
(Act, defines, extortion as obtaining)
(Act, defines, extortion as obtaining with his consent induced by use of actual force)
(show, obtain, conviction for extortion)
(Government, need show under, color of right)
(Government, need under, color)
(Government, need, show)
(show, obtain, conviction)
(Court, held In, Evans)
(Government, obtain, conviction for extortion)
(Government, need show under, color of official right)
(Government, need show under, color)
(Government, obtain, conviction)
(Government, need under, color of right)
(Government, need under, color of official right)
(Court, therefore interpreted, extortion)
(Court, therefore interpreted extortion, equivalent)
(Court, be, rough equivalent)
(Court, therefore interpreted extortion, rough equivalent)
(Court, interpreted extortion, equivalent)
(Court, interpreted extortion, rough equivalent)
(Court, therefore interpreted, extortion under Hobbs Act)
(Court, be, equivalent)
(Court, interpreted, extortion)
(Court, interpreted, extortion under Hobbs Act)
(Court 's holding, disregarded, meaning)
(Court 's holding, disregarded, definite meaning)
(I, dissented in, Evans)
(money, be, obtained under color of office)
(money, be, obtained under color)
(it, was, essential)
(it, was essential At, law)
(it, was essential At, common law)
(money, be, obtained)
(money, must, must have claimed)
(money, must, must have claimed in right)
(money, must, must have claimed in right of office)
(Wharton, has, Criminal Law)
(offense, taking under, false pretense of right)
(offense, wrongful taking under, false pretense of right)
(Congress, enacted, Hobbs Act)
(offense, taking under, false pretense of official right)
(Congress, enacted Hobbs Act in, 1946)
(offense, wrongful taking under, false pretense)
(offense, wrongful taking under, false pretense of official right)
(offense, taking under, false pretense)
(offense, was, understood)
(Court, erred Given, established meaning of under-color-of-official-right extortion adopted)
(Court, erred Given, meaning of extortion adopted in Hobbs Act)
(Court, erred Given, established meaning of under-color-of-official-right extortion)
(Court, erred Given, meaning of extortion)
(Court, erred Given, established meaning)
(Court, erred Given, established meaning of extortion)
(Court, erred Given, meaning of under-color-of-official-right extortion)
(Court, erred Given, established meaning of extortion adopted)
(Court, erred Given, meaning of under-color-of-official-right extortion adopted)
(Court, erred Given, meaning of extortion adopted)
(Court, equating, common-law extortion)
(Court, erred Given, established meaning of extortion adopted in Hobbs Act)
(Court, erred Given, established meaning of under-color-of-official-right extortion adopted in Hobbs Act)
(Court, erred Given, meaning of under-color-of-official-right extortion adopted in Hobbs Act)
(Court, is in, Evans)
(Court, erred Given, meaning)
(extortion, are, different crimes)
(extortion, are, crimes)
(Bribery, are, different crimes)
(Bribery, are, crimes)
(sole wrongdoer, is With, extortion)
(official, is, wrongdoer)
(official, is, sole wrongdoer)
(official, is sole wrongdoer With, extortion)
(public official, is wrongdoer With, extortion)
(public official, is, sole wrongdoer)
(public official, is sole wrongdoer With, extortion)
(official, is wrongdoer With, extortion)
(public official, is, wrongdoer)
(law, regards payor, official acts under color of office)
(law, regards, payor)
(official, acts under, color of office)
(law, regards payor, official acts)
(law, regards payor, official acts under color)
(official, acts under, color)
(he, be, may punished for offense)
(he, be, may punished)
(extortion, is with, person)
(Court, holds at, 2-3 14)
(holding, extends, Evans ' error)
(holding, needlessly extends, Evans ' error)
(holding, is, irreconcilable)
(holding, is irreconcilable with, correct understanding)
(holding, is irreconcilable with, understanding)
(holding, is irreconcilable with, correct understanding of Hobbs Act extortion)
(holding, is irreconcilable with, understanding of Hobbs Act extortion)
(general conspiracy statute, makes, it crime)
(conspiracy statute, makes, it crime)
(general federal conspiracy statute, makes, it crime)
(federal conspiracy statute, makes, it crime)
(persons, obtai, property)
(persons, obtai property with, his consent)
(persons, obtai, property from another)
(it, is, illogical)
(it, is illogical Under, correct understanding)
(it, is illogical Under, understanding of Hobbs Act extortion)
(it, is illogical Under, understanding)
(it, is illogical Under, correct understanding of Hobbs Act extortion)
(public official, is in, Hobbs Act extortion case)
(extortionist, be, co-conspirators)
(his payor-victim, be co-conspirators to, extortion of payor)
(understanding, is, irreconcilable)
(extortionist, be co-conspirators to, extortion of payor)
(extortionist, be, co-conspirators to extortion)
(extortionist, be, co-conspirators to extortion of payor)
(his payor-victim, be, co-conspirators)
(understanding, is irreconcilable with, view)
(his payor-victim, be co-conspirators to, extortion)
(extortionist, be co-conspirators to, extortion)
(two, can, can said)
(they, obtain payments to, official under pretense of official entitlement)
(They, commit, Hobbs Act extortion)
(scheme, Far benefited, them)
(extortionate scheme, Far benefited, them)
(scheme, benefited, them)
(extortionate scheme, benefited, them)
(Moreno, worked with, Ocasio)
(shop, has, profits)
(Moreno, participated as, full partners in scheme)
(Mejia, participated as, full partners in scheme)
(Mejia, participated as, full partners)
(full partners, is in, scheme)
(Moreno, participated as, partners in scheme)
(Mejia, participated as, partners in scheme)
(Moreno, participated as, partners)
(Mejia, participated as, partners)
(Moreno, participated as, full partners)
(it, commit, extortion)
(Court 's conclusion, is plausible under, Evans ' redefinition)
(Court 's conclusion, is plausible, sure)
(Court 's conclusion, is plausible under, Evans ' redefinition of extortion)
(Court, has, conclusion)
(Court 's conclusion, is, plausible)
(Evans, Only blurring, distinction between bribery)
(victim, extort, victim)
(Evans, blurring, distinction between bribery)
(Evans, blurring, distinction)
(Evans, Only blurring, distinction)
(it, seem, plausible)
(it, expands, federal criminal liability)
(Court, has, decision)
(Court 's decision, is, unfortunate)
(it, expands, criminal liability)
(conflicts, is with, principles of federalism)
(it, expands, federal liability)
(it, expands liability in, way)
(it, expands, liability)
(Evans, was, Even decided nearly 25 years ago)
(Evans, was, decided)
(Evans, was, when decided)
(Evans, was, Even when decided ago)
(Evans, was, Even decided ago)
(Hobbs Act, had already served for, expansion)
(Evans, was, when decided nearly 25 years ago)
(Evans, was, Even decided)
(Hobbs Act, had served as, engine)
(Evans, was, when decided ago)
(Hobbs Act, had served for, stunning expansion)
(Evans, was, decided nearly 25 years ago)
(Hobbs Act, had served for, expansion)
(Evans, was, Even when decided)
(Evans, was, decided ago)
(Evans, was, Even when decided nearly 25 years ago)
(Hobbs Act, had already served as, engine)
(Evans, disregarding, distinction between extortion)
(Evans, disregarding, distinction)
(Hobbs Act, allow, federal prosecutors)
(Evans, expanded, Hobbs Act)
(Hobbs Act, allow, prosecutors)
(expansion, was, unwarranted)
(291-292, at Evans is, supra)
(Congress, conveys, its purpose)
(Congress, conveys clearly, its purpose)
(Hobbs Act, has, reach enable)
(prosecutors, punish, participants in public-official bribery scheme)
(Court, again broadens, Hobbs Act 's reach enable)
(Court, broadens, Hobbs Act 's reach enable)
(federal prosecutors, punish, participants in public-official bribery scheme)
(invasion, is, substantial)
(invasion, is, again substantial)
(Federal Government, can now charge, state officials)
(Federal Government, can more expansively charge, state officials)
(Federal Government, can charge, state officials)
(Federal Government, can now more expansively charge, state officials)
(Federal Government, can expansively charge, state officials)
(Federal Government, can now expansively charge, state officials)
(Government, can prosecute bribe-payors with, conspiracy charges)
(Government, can prosecute bribe-payors with, sweeping conspiracy charges)
(it, induce, payors)
(it, will, will easier)
(Government, can prosecute, bribe-payors)
(they, should have over, their officials ' wrongdoing)
(they, should have over, their own officials ' wrongdoing)
(858, at Jones is, supra)
(its decision, is with, barely nod)
(Court, reaches, its decision with barely nod)
(Court, reaches, its decision)
(Court, reaches, its decision with nod)
(Hobbs Act, with, text)
(I, Accordingly would reverse, Court)
(I, Accordingly would reverse, Court of Appeals ' judgment)
(Ocasio, has, conspiracy conviction)
(I, would reverse, Court of Appeals ' judgment)
(I, would reverse, Court)
(I, respectfully dissent For, reasons)
(I, dissent For, reasons)
(SAMUEL OCASIO, PETITIONER v., UNITED STATES)
(JUSTICE, joins, dissenting)
(CHIEF JUSTICE, joins, dissenting)
(their group, outside victim is, themselves)
(Their group, is, conspiratorial entity)
(Their group, is, entity)
(Court, interprets phrase to, natural un-derstanding)
(Court, upholding here, conspiracy conviction)
(Court, interprets, phrase)
(Court, interprets, phrase in Hobbs Act contrary)
(Court, upholding, conspiracy conviction)
(Court, interprets phrase to, un-derstanding)
(phrase, is in, Hobbs Act contrary)
(Court, interprets, phrase from another)
(Court, interprets, phrase from another in Hobbs Act contrary)
(group, obtain property from, another)
(group, obtain property, they agree)
(they, only transfer, property)
(group, obtain, property)
(group, obtain property in, violation)
(group, obtain property in, violation of Act)
(they, transfer, property)
(they, only transfer property among, themselves)
(group, obtain property, even they agree)
(they, transfer property among, themselves)
(indictment, here charged Ocasio, participating in kickback scheme)
(indictment, participating in, kickback scheme engineered by owners of auto repair shop)
(indictment, charged Ocasio, participating in kickback scheme engineered by owners of local auto repair shop)
(indictment, charged, Ocasio)
(indictment, charged, former Baltimore police officer)
(indictment, charged Ocasio, participating in kickback scheme)
(indictment, charged Ocasio, participating in kickback scheme engineered by owners)
(indictment, participating in, kickback scheme engineered)
(indictment, participating in, kickback scheme engineered by owners)
(indictment, here charged, Ocasio)
(indictment, here charged Ocasio, participating in kickback scheme engineered)
(indictment, charged Ocasio, participating in kickback scheme engineered)
(indictment, participating in, kickback scheme engineered by owners of local auto repair shop)
(indictment, here charged Ocasio, participating in kickback scheme engineered by owners of local auto repair shop)
(indictment, here charged, former Baltimore police officer)
(indictment, participating in, kickback scheme)
(indictment, here charged Ocasio, participating)
(indictment, here charged Ocasio, participating in kickback scheme engineered by owners)
(indictment, charged Ocasio, participating in kickback scheme engineered by owners of auto repair shop)
(indictment, here charged Ocasio, participating in kickback scheme engineered by owners of auto repair shop)
(indictment, charged Ocasio, participating)
(other Baltimore officers, referred to, brothers ' shop for body repair work)
(other Baltimore officers, referred to, brothers ' shop)
(Ocasio, referred victims to, brothers ' shop)
(Ocasio, referred victims to, brothers ' shop for body repair work)
(Baltimore officers, referred, victims)
(Baltimore officers, referred to, brothers ' shop for body repair work)
(Ocasio, referred, victims)
(other Baltimore officers, referred victims to, brothers ' shop)
(Baltimore officers, referred, car-accident victims)
(Baltimore officers, referred victims to, brothers ' shop for body repair work)
(Ocasio, referred to, brothers ' shop)
(other Baltimore officers, referred, car-accident victims)
(other Baltimore officers, referred victims to, brothers ' shop for body repair work)
(Baltimore officers, referred to, brothers ' shop)
(Ocasio, referred to, brothers ' shop for body repair work)
