(UNITED STATES, v. TAYLOR is, 2016)
(first clause, invokes, Congress ' police power including power over commerce)
(first clause, invokes, Congress ' police power including power over internal commerce)
(clause, invokes, Congress ' broad police power)
(clause, invokes, Congress ' police power in District)
(clause, invokes, Congress ' police power including power in District)
(clause, invokes, Congress ' broad police power in District of Columbia)
(Congress ' broad police power, is in, District of Columbia)
(first clause, invokes, Congress ' police power)
(first clause, invokes, Congress ' police power including power)
(second clauses, invoke, t)
(clauses, invoke, Congress ' power)
(second clauses, most clearly invoke, t)
(clauses, most clearly invoke, Congress ' power)
(o, regulate, Commerce)
(clauses, clearly invoke, Congress ' power)
(clauses, invoke, t)
(second clauses, clearly invoke, t)
(Congress, ' power is, t)
(second clauses, clearly invoke, Congress ' power)
(clauses, most clearly invoke, t)
(second clauses, invoke, Congress ' power)
(clauses, clearly invoke, t)
(second clauses, most clearly invoke, Congress ' power)
(final clause, invokes, federal commerce power)
(clause, invokes, federal commerce power)
(o, regulate Commerce with, foreign Nations)
(o, regulate Commerce with, Nations)
(It, invokes, t)
(o, regulate, Commerce)
(commerce definition 's clause, extends to, intrastate activity)
(commerce definition 's final clause, extends to, intrastate activity)
(critical question, is in, case)
(commerce definition 's final clause, extends to, activity)
(commerce definition 's final clause, extends further to, intrastate activity)
(commerce definition 's clause, extends to, activity)
(commerce definition 's final clause, extends further to, activity)
(commerce definition 's clause, extends further to, intrastate activity)
(commerce definition 's clause, extends further to, activity)
(commerce definition, has, final clause)
(limitations, imposed by, Constitution)
(prohibition, would need, explained)
(prohibition, would need, necessary)
(prohibition, would need, explained above)
(standard, Punishing, robbery)
(standard, Punishing, local robbery)
(61, at Raich is, 545 U. S.)
(robbery, be, proper)
(such robbery, be, proper)
(general police power, Permitting, Congress)
(Congress, criminalize, such robberies)
(police power, Permitting, Congress)
(Congress, criminalize, robberies)
(566, at Lopez is, 514 U. S.)
(Hobbs Act, reaches, robbery)
(robbery, affects, interstate commerce)
(robbery, affects, commerce)
(Hobbs Act, Thus reaches, robbery)
(Hobbs Act, Thus reaches, local robbery)
(particular robbery, affects, interstate commerce)
(Hobbs Act, reaches, local robbery)
(particular robbery, affects, commerce)
(Hobbs Act, validly punishes, robbery)
(Hobbs Act, punishes, robbery)
(Congress, ' power is, t)
(Congress ' power, regulate, Commerce)
(o, regulate Commerce among, several States)
(Congress ' power, regulate Commerce among, States)
(o, regulate, Commerce)
(o, regulate Commerce among, States)
(Congress ' power, regulate Commerce among, several States)
(movement, is in, commerce)
(3, would lack, force effect)
(Congress, prohibiting, interference)
(Congress, prohibiting interference at, THOMAS)
(Congress, prohibiting interference with, commerce)
(Congress, prohibiting interference with, interstate commerce)
(Hobbs Act 's prohibition, helps, carr)
(Hobbs Act, has, prohibition on such interferences)
(Hobbs Act 's prohibition, thus helps, carr)
(relation, regulating, interstate commerce)
(commerce, flow between, States unobstructed)
(direct relation, regulating, commerce)
(relation, regulating, commerce)
(direct relation, regulating, interstate commerce)
(it, allows, commerce)
(commerce, flow between, States)
(61, at Raich is, supra)
(It, is, therefore necessary)
(It, is, necessary)
(prohibition accords, is with, limited nature of powers)
(It, is, proper)
(It, is accordingly proper to, extent)
(It, is proper to, extent)
(It, is, accordingly proper)
(Hobbs Act, however exceeds, Congress ' authority)
(it, is necessary to, execution of Congress ' power)
(it, is necessary to, execution)
(Hobbs Act, exceeds, Congress ' authority)
(it, is, necessary)
(o, regulate, Commerce)
(o, regulate Commerce among, several States)
(o, regulate Commerce among, States)
(Government, must prove beyond, reasonable doubt)
(Hobbs Act, Given, text)
(defendant 's robbery, affected, commerce)
(defendant, has, robbery itself)
(Government, must prove Given, Hobbs Act 's text)
(Government, must prove beyond, doubt)
(defendant 's robbery, affected, interstate commerce)
(Government, is in, Hobbs Act robbery case)
(conjunction, is with, our due process precedents)
(Sixth Amendment right, is in, conjunction with our due process precedents)
(petitioner David Anthony Taylor, has, convictions)
(Taylor, affected instrumentality in, interstate commerce)
(Taylor, instrumentality of, commerce)
(Taylor, affected person in, interstate commerce)
(Taylor, find, large amounts of marijuana)
(their homes, is in, Virginia)
(Government, proved At, most)
(Taylor, find, amounts)
(Government, proved instead At, most)
(Taylor, find, amounts of marijuana)
(Taylor, find, large amounts)
(We, should reverse, Taylor 's Hobbs Act convictions)
(Taylor, has, Hobbs Act convictions)
(Court, reads, Hobbs Act)
(Upholding Taylor, has, convictions)
(Court, reads differently, Hobbs Act)
(United States, has, jurisdiction)
(Congress, also regulate, activities)
(having, substantial relation to, commerce)
(things, moving in, commerce)
(Congress, regulate, activities)
(having, relation to, commerce)
(things, moving in, interstate commerce)
(having, relation to, interstate commerce)
(having, substantial relation to, interstate commerce)
(558-559, at Lopez is, supra)
(appellee, has, activity)
(Congress, even activity, activity falls)
(Congress, even noncommercial activity, activity falls)
(Congress, noncommercial activity, activity falls)
(Congress, can regulate, activity)
(Congress, intrastate activity, activity falls)
(Congress, activity, activity falls)
(Congress, even intrastate noncommercial activity, activity falls)
(Congress, even intrastate activity, activity falls)
(Congress, intrastate noncommercial activity, activity falls)
(600, at Lopez is, 514 U. S.)
(Hobbs Act, of, definition of commerce)
(Court 's holding, is in, For at least three reasons error)
(Court 's holding, is in, error)
(Court, has, holding)
(our modern precedents, applying approach to, Hobbs Act)
(our precedents, embrace, substantial-effects approach)
(slight limits, recognized by, our precedents)
(our precedents, applying approach to, Hobbs Act)
(slight limits, recognized by, our modern precedents)
(our modern precedents, embrace, approach)
(our precedents, embrace, approach)
(limits, recognized by, our modern precedents)
(our modern precedents, embrace, substantial-effects approach)
(slight limits, recognized by, our expansive precedents)
(slight limits, recognized by, our expansive modern precedents)
(limits, recognized by, our expansive modern precedents)
(our precedents, applying, approach)
(limits, recognized by, our expansive precedents)
(our modern precedents, applying, approach)
(limits, recognized by, our precedents)
(Act, defies, design)
(Act, defies design, I have explained)
(Act, defies, constitutional design)
(Act, defies design, construed)
(Hobbs Act, is, construed)
(That, is true under, even our modern precedents)
(approach, is at, war with principle)
(substantial-effects approach, is at, war with principle)
(substantial-effects approach, is at, war)
(approach, is at, war)
(war, is with, principle)
(substantial-effects approach, has, aggregation principle)
(ne, always can draw broadly enough, circle)
(ne, can draw broadly enough, circle)
(ne, can draw, circle)
(ne, always can draw, circle)
(ne, always can draw enough, circle)
(ne, can draw enough, circle)
(Court, effectively gives, Congress)
(Court, effectively gives, police power)
(Court, applying test to, prohibition)
(Court, gives, police power)
(Court, applying, substantial-effects test)
(Court, applying test before, us)
(Court, gives, Congress)
(Court, applying test to, criminal prohibition)
(Court, applying, test)
(its reasoning, allows for, unbounded regulation)
(its reasoning, allows for, regulation)
(defendant, targets, drug dealers)
(its holding, is, limited)
(Hobbs Act, be, read)
(it, relieves, Government of its central burden)
(it, effectively relieves, Government of its central burden)
(Court, has, holding)
(it, effectively relieves, Government of its burden)
(it, Government of, its burden)
(it, relieves Government in, criminal case)
(it, Government of, its central burden)
(it, effectively relieves Government in, case)
(it, relieves Government in, case)
(it, relieves, Government of its burden)
(it, effectively relieves Government in, criminal case)
(it, effectively relieves, Government)
(it, relieves, Government)
(United States, has, jurisdiction)
(United States, has, jurisdiction)
(defendant 's conduct, is in, itself)
(defendant, has, conduct in itself)
(defendant, has, conduct)
(Court, has, holding)
(Raich, upheld, Controlled Substances Act 's regulation of intrastate manufacture for personal medical use)
(marijuana, of manufacture is, 545 U. S.)
(Raich, upheld, federal Controlled Substances Act 's regulation of intrastate manufacture for use)
(Raich, upheld, Controlled Substances Act 's regulation of intrastate manufacture of marijuana for use)
(Raich, upheld, federal Controlled Substances Act 's regulation of intrastate manufacture for medical use)
(Raich, upheld, Controlled Substances Act 's regulation of manufacture for personal medical use)
(Raich, upheld, Controlled Substances Act 's regulation)
(Raich, upheld, Controlled Substances Act 's regulation of intrastate manufacture of marijuana for personal use)
(Raich, upheld, federal Controlled Substances Act 's regulation of intrastate manufacture of marijuana for personal use)
(Raich, upheld, federal Controlled Substances Act 's regulation of intrastate manufacture of marijuana)
(Raich, upheld, Controlled Substances Act 's regulation of intrastate manufacture for medical use)
(Raich, upheld, Controlled Substances Act 's regulation of manufacture for use)
(Raich, upheld, Controlled Substances Act 's regulation of intrastate manufacture for use)
(Raich, upheld, federal Controlled Substances Act 's regulation of manufacture for medical use)
(Raich, upheld, Controlled Substances Act 's regulation of manufacture of marijuana)
(Raich, upheld, federal Controlled Substances Act 's regulation of manufacture of marijuana)
(Raich, upheld, Controlled Substances Act 's regulation of manufacture for personal use)
(Raich, upheld, federal Controlled Substances Act 's regulation of intrastate manufacture)
(Raich, upheld, federal Controlled Substances Act 's regulation of intrastate manufacture for personal use)
(Raich, upheld, Controlled Substances Act 's regulation of manufacture of marijuana for personal use)
(Raich, upheld, federal Controlled Substances Act 's regulation of manufacture of marijuana for personal use)
(Raich, upheld, federal Controlled Substances Act 's regulation of manufacture for use)
(Raich, upheld, federal Controlled Substances Act 's regulation of manufacture of marijuana for use)
(Raich, upheld, federal Controlled Substances Act 's regulation of manufacture of marijuana for personal medical use)
(Raich, upheld, Controlled Substances Act 's regulation of intrastate manufacture of marijuana)
(Raich, upheld, federal Controlled Substances Act 's regulation of intrastate manufacture of marijuana for medical use)
(Raich, upheld, Controlled Substances Act 's regulation of intrastate manufacture of marijuana for personal medical use)
(Raich, upheld, federal Controlled Substances Act 's regulation of intrastate manufacture of marijuana for personal medical use)
(Raich, upheld, Controlled Substances Act 's regulation of manufacture for medical use)
(Raich, upheld, Controlled Substances Act 's regulation of intrastate manufacture of marijuana for medical use)
(Raich, upheld, Controlled Substances Act 's regulation of manufacture)
(Raich, upheld, Controlled Substances Act 's regulation of intrastate manufacture for personal use)
(Raich, upheld, federal Controlled Substances Act 's regulation of manufacture for personal medical use)
(Raich, upheld, federal Controlled Substances Act 's regulation of manufacture)
(Raich, upheld, federal Controlled Substances Act 's regulation of intrastate manufacture for personal medical use)
(Congress, had, basis believing)
(Raich, upheld, federal Controlled Substances Act 's regulation)
(Raich, upheld, federal Controlled Substances Act 's regulation of manufacture of marijuana for medical use)
(Raich, upheld, Controlled Substances Act 's regulation of intrastate manufacture)
(Congress, had, rational basis believing)
(Raich, upheld, Controlled Substances Act 's regulation of manufacture of marijuana for personal medical use)
(Raich, upheld, federal Controlled Substances Act 's regulation of manufacture for personal use)
(Raich, upheld, Controlled Substances Act 's regulation of manufacture of marijuana for use)
(Raich, upheld, federal Controlled Substances Act 's regulation of intrastate manufacture of marijuana for use)
(federal Controlled Substances Act, has, regulation of intrastate manufacture of marijuana for personal medical use)
(Raich, upheld, Controlled Substances Act 's regulation of manufacture of marijuana for medical use)
(rational basis, exist, so concluding)
(basis, exist, concluding)
(rational basis, only exist, concluding)
(rational basis, exist, concluding)
(basis, only exist, so concluding)
(basis, only exist, concluding)
(rational basis, only exist, so concluding)
(basis, exist, so concluding)
(interstate commerce, is in, fact)
(Raich, held at, most)
(United States, has, jurisdiction)
(Hobbs Act, has, text)
(United States, has, jurisdiction)
(activities, substantially affect, commerce)
(Raich, instead disclaimed, need determine)
(Raich, disclaimed, need determine)
(activities, affect, interstate commerce)
(activities, substantially affect commerce in, fact)
(activities, affect, commerce)
(activities, substantially affect, interstate commerce)
(activities, affect commerce in, fact)
(Congress, had, basis)
(Congress, had, rational basis)
(robbery, relating to, marijuana)
(particular robbery, relating to, marijuana)
(Hobbs Act robbery defendant, affected, commerce)
(Court, has, analysis)
(Hobbs Act robbery defendant, is in, fact)
(it, extends, our precedents)
(it, unnecessarily extends, our precedents)
(it, extends, our broad precedents)
(it, extends, our already broad precedents)
(it, unnecessarily extends, our broad precedents)
(it, unnecessarily extends, our already broad precedents)
(today, has, decision)
(today 's decision, Finally weakens, protections)
(today 's decision, weakens, longstanding protections)
(today 's decision, weakens, protections)
(today 's decision, weakens, longstanding protections for defendants)
(today 's decision, weakens, longstanding protections for criminal defendants)
(today 's decision, Finally weakens, longstanding protections for defendants)
(today 's decision, Finally weakens, protections for defendants)
(today 's decision, Finally weakens, longstanding protections)
(today 's decision, Finally weakens, protections for criminal defendants)
(today 's decision, weakens, protections for defendants)
(today 's decision, Finally weakens, longstanding protections for criminal defendants)
(today 's decision, weakens, protections for criminal defendants)
(law, protect, rights of accused)
(criminal law, imposes, burdens)
(law, imposes, especially high burdens)
(criminal law, imposes, especially high burdens)
(criminal law, imposes burdens on, Government)
(law, imposes burdens on, Government)
(criminal law, protect, rights of accused)
(law, imposes, burdens)
(law, imposes, high burdens)
(law, protect, rights)
(criminal law, imposes, high burdens)
(criminal law, protect, rights)
(crime, is with, which)
(364, at Winship is, 397 U. S.)
(elements, must, must proved)
(elements, must, must proved to jury)
(penal laws, are, construed strictly)
(Court, has recognized Given, harshness of criminal penalties on rights)
(Court, has recognized Given, harshness of penalties)
(Court, has long recognized Given, harshness on rights of individuals)
(penal laws, be, construed strictly)
(laws, be, construed)
(penal laws, be, construed)
(laws, be, construed strictly)
(penal laws, be construed strictly, ensure)
(Court, has long recognized Given, harshness of penalties on rights of individuals)
(Court, has recognized Given, harshness of penalties on rights of individuals)
(Court, has long recognized Given, harshness on rights)
(Court, has long recognized Given, harshness)
(Court, has recognized Given, harshness of criminal penalties)
(Congress, make conduct at, issue criminal)
(Court, has recognized Given, harshness of criminal penalties on rights of individuals)
(Court, has long recognized Given, harshness of penalties on rights)
(Court, has recognized Given, harshness on rights of individuals)
(laws, are, construed)
(penal laws, be construed, ensure)
(Court, has long recognized Given, harshness of criminal penalties on rights)
(laws, are, construed strictly)
(Court, has long recognized Given, harshness of penalties)
(Court, has recognized Given, harshness of penalties on rights)
(Court, has long recognized Given, harshness of criminal penalties on rights of individuals)
(laws, be construed, ensure)
(penal laws, are, construed)
(laws, be construed strictly, ensure)
(Court, has recognized Given, harshness on rights)
(Court, has long recognized Given, harshness of criminal penalties)
(Court, has recognized Given, harshness)
(Congress, make, conduct)
(they, must, must careful)
(courts, construe, statutes)
(they, must, must especially careful)
(they, must, then must careful)
(courts, construe, criminal statutes)
(they, must, then must especially careful)
(federalism, broad reading of, criminal statute)
(federalism, reading of, statute)
(courts, must, must careful)
(federalism, broad reading of, statute)
(federalism, reading of, criminal statute)
(broad reading, would upset, federalism)
(reading, would upset, federalism)
(courts, must, must more careful)
(courts, must, must more careful still)
(courts, must, must careful still)
(Congress, conveys, its purpose)
(Congress, conveys clearly, its purpose)
(substantial-effects test, is in, tension)
(test, is in, tension with principles)
(substantial-effects test, is in, tension with principles)
(test, is in, tension)
(tension, is with, principles)
(it, is, subjected)
(113, at E.g. is, 317 U. S.)
(113, at E.g. is, Wickard)
(Court, later extended, approach to context)
(Court, later extended approach Without, reflection)
(Court, later extended, approach)
(Court, later extended, approach to criminal context)
(Court, extended approach Without, reflection)
(Court, extended approach Without, adequate reflection)
(Court, extended, approach)
(Court, extended, approach to context)
(Court, extended, approach to criminal context)
(Court, later extended approach Without, adequate reflection)
(Congress, punish, loansharking under its commerce power)
(Congress, criminally punish, loansharking under its commerce power)
(Congress, criminally punish, xtortionate credit transactions)
(Congress, loansharking under, its commerce power)
(Congress, punish, credit transactions)
(Congress, criminally punish, loansharking)
(Congress, criminally punish, credit transactions)
(Congress, punish, xtortionate credit transactions)
(Congress, punish, loansharking)
(Court, extending, substantial-effects approach)
(Court, extending, approach)
(Court, Even extending, approach)
(Court, Even extending, substantial-effects approach)
(recognized limits, is in, criminal context)
(it, decided Perez for, example)
(Government, charged element of, crime)
(Government, prove, charged element of crime)
(Court, held, it decided)
(Court, held, it decided for example)
(it, decided, Perez)
(it, decided for, example)
(364, at Winship is, supra)
(Court, thereafter gave, narrow reading)
(act, have, a)
(Court, gave, narrow reading)
(prohibited act, have, a)
(Court, gave, federal statute)
(Court, shortly thereafter gave, statute)
(Court, gave, potentially broad statute)
(showing, nexus based on, lenity)
(lesser showing, nexus with, interstate commerce)
(Court, thereafter gave, potentially broad federal statute)
(Court, shortly thereafter gave, potentially broad federal statute)
(Court, thereafter gave, federal statute)
(nexus, is with, interstate commerce)
(Court, thereafter gave, reading)
(Court, thereafter gave, broad federal statute)
(Court, gave, broad federal statute)
(Court, shortly thereafter gave, broad statute)
(Court, shortly thereafter gave, broad federal statute)
(Court, thereafter gave, broad statute)
(Court, shortly thereafter gave, federal statute)
(Court, thereafter gave, statute)
(Court, gave, reading)
(lesser showing, nexus based on, lenity)
(Court, gave, statute)
(Court, shortly thereafter gave, narrow reading)
(Court, gave, potentially broad federal statute)
(showing, nexus with, commerce)
(Court, thereafter gave, potentially broad statute)
(Court, shortly thereafter gave, reading)
(lesser showing, nexus with, commerce)
(Court, shortly thereafter gave, potentially broad statute)
(showing, nexus with, interstate commerce)
(Court, gave, broad statute)
(Court, Indeed again invoked, same principles)
(Court, soon again invoked, same principles)
(Court, again invoked, same principles)
(Court, rejecting, broad interpretation of Hobbs Act itself)
(Court, Indeed soon again invoked, principles)
(Court, rejecting, broad interpretation)
(Court, rejecting, interpretation of Hobbs Act)
(Court, rejecting, broad interpretation of Hobbs Act)
(Court, rejecting, interpretation)
(Court, soon again invoked, principles)
(Court, Indeed soon again invoked, same principles)
(Court, rejecting, interpretation of Hobbs Act itself)
(Court, invoked, same principles)
(Court, Indeed invoked, principles)
(Court, invoked, principles)
(Court, Indeed again invoked, principles)
(Court, Indeed invoked, same principles)
(Court, again invoked, principles)
(Court, apply, limits)
(Court, apply, even limits)
(Today 's decision, hold Government to, its burden prove)
(Today, has, decision)
(Today 's decision, hold Government to, its burden prove beyond reasonable doubt)
(Today 's decision, hold Government to, its burden prove beyond doubt)
(defendant, has, robbery itself)
(Today 's decision, hold, Government)
(language, is in, Hobbs Act)
(858, at Jones is, supra)
(Court, with, expansive reading of Hobbs Act)
(Taylor, has, case)
(problems, is with, Court 's expansive reading of Hobbs Act)
(485, at Gradwell is, supra)
(It, punish, someone)
(kindred character, is with, those)
(it, is of, atrocity)
(It, punish someone merely of, equal atrocity)
(It, punish someone merely of, atrocity)
(It, punish someone merely of, kindred character)
(It, punish merely, someone)
(it, is of, equal atrocity)
(It, punish someone of, atrocity)
(It, punish someone of, equal atrocity)
(It, punish someone of, kindred character)
(96, at Wiltberger is, supra)
(Court, takes, that)
(It, construes, Hobbs Act)
(It, construes Hobbs Act in, way)
(conflicts, is with, our precedents)
(conflicts, is with, Constitution)
(I, would interpret, Hobbs Act)
(I, respectfully dissent For, reasons)
(I, dissent For, reasons)
