(April 19 2016, Decided at_time, June 13 2016)
(Sixth Amendment, guarantees, defendant in state court)
(Sixth Amendment, guarantees, defendant)
(criminal defendant, is in, state court)
(Sixth Amendment, guarantees, criminal defendant in state court)
(sentence, is, imposed)
(sentence, is, whenever imposed)
(his conviction, results in, fine)
(373-374, at Scott is, 440 U. S.)
(Constitution, have, have regarded by constitutional provisions framed as limitations)
(Constitution, have, As separate sovereigns have historically regarded by constitutional provisions framed)
(pre-existing Constitution, have, have historically regarded by constitutional provisions framed as limitations)
(Constitution, have, As sovereigns have historically regarded by constitutional provisions framed specifically as limitations on authority)
(Constitution, have, have regarded by provisions framed specifically as limitations on authority)
(Constitution, have, have historically regarded by constitutional provisions framed specifically as limitations on federal authority)
(Constitution, have, As sovereigns have historically regarded by provisions framed as limitations on federal authority)
(pre-existing Constitution, have, As separate sovereigns have regarded by provisions framed as limitations on authority)
(pre-existing Constitution, have, As sovereigns have regarded by provisions framed specifically)
(pre-existing Constitution, have, have regarded by provisions framed specifically as limitations on federal authority)
(pre-existing Constitution, have, As separate sovereigns have regarded by constitutional provisions framed as limitations)
(Constitution, have, As sovereigns have regarded by provisions framed as limitations on federal authority)
(pre-existing Constitution, have, As separate sovereigns have regarded by constitutional provisions framed specifically as limitations)
(pre-existing Constitution, have, As separate sovereigns have regarded by constitutional provisions framed as limitations on federal authority)
(pre-existing Constitution, have, As separate sovereigns have historically regarded by constitutional provisions framed specifically as limitations on federal authority)
(Constitution, have, As separate sovereigns have historically regarded by constitutional provisions framed as limitations on federal authority)
(pre-existing Constitution, have, As separate sovereigns have regarded by provisions framed as limitations)
(Constitution, have, As separate sovereigns have regarded by constitutional provisions framed specifically as limitations)
(Constitution, have, have regarded)
(Constitution, have, As separate sovereigns have historically regarded)
(Constitution, have, As sovereigns have regarded by constitutional provisions framed specifically as limitations)
(Constitution, have, As separate sovereigns have historically regarded by constitutional provisions framed specifically as limitations)
(Constitution, have, have historically regarded by provisions framed specifically as limitations on authority)
(pre-existing Constitution, have, have regarded by constitutional provisions framed specifically as limitations on federal authority)
(pre-existing Constitution, have, As separate sovereigns have regarded by constitutional provisions framed specifically as limitations on federal authority)
(pre-existing Constitution, have, have regarded by constitutional provisions framed as limitations on federal authority)
(Constitution, have, As sovereigns have historically regarded by constitutional provisions framed)
(Constitution, have, have historically regarded by provisions framed as limitations on authority)
(Constitution, have, As separate sovereigns have historically regarded by provisions framed as limitations on authority)
(Constitution, have, have regarded by provisions framed as limitations)
(pre-existing Constitution, have, As separate sovereigns have historically regarded by provisions framed specifically)
(pre-existing Constitution, have, As sovereigns have regarded)
(Constitution, have, have historically regarded)
(Constitution, have, As separate sovereigns have regarded by provisions)
(Constitution, have, As sovereigns have regarded by provisions framed)
(Constitution, have, have historically regarded by provisions framed specifically as limitations)
(pre-existing Constitution, have, have historically regarded by provisions framed specifically)
(Constitution, have, As sovereigns have regarded by constitutional provisions framed specifically as limitations on authority)
(Constitution, have, As sovereigns have regarded)
(Constitution, have, As sovereigns have historically regarded by constitutional provisions framed specifically)
(pre-existing Constitution, have, have regarded by constitutional provisions framed as limitations)
(Constitution, have, As sovereigns have historically regarded)
(Constitution, have, As sovereigns have regarded by constitutional provisions framed specifically as limitations on federal authority)
(Constitution, have, have historically regarded by provisions framed specifically)
(Constitution, have, have historically regarded by provisions framed as limitations on federal authority)
(Constitution, have, have regarded by provisions)
(Constitution, have, As sovereigns have historically regarded by constitutional provisions framed as limitations on authority)
(pre-existing Constitution, have, have historically regarded by provisions framed)
(Constitution, have, As separate sovereigns have historically regarded by constitutional provisions framed specifically as limitations on authority)
(pre-existing Constitution, have, As sovereigns have historically regarded by constitutional provisions framed)
(Constitution, have, have regarded by constitutional provisions framed specifically as limitations on federal authority)
(Constitution, have, As sovereigns have regarded by provisions framed specifically)
(pre-existing Constitution, have, As sovereigns have regarded by provisions framed as limitations)
(pre-existing Constitution, have, As sovereigns have regarded by provisions)
(pre-existing Constitution, have, As separate sovereigns have historically regarded by constitutional provisions)
(pre-existing Constitution, have, As separate sovereigns have historically regarded by provisions)
(Constitution, have, As sovereigns have historically regarded by provisions framed specifically as limitations on federal authority)
(pre-existing Constitution, have, As separate sovereigns have regarded by provisions)
(Constitution, have, have historically regarded by provisions framed as limitations)
(pre-existing Constitution, have, As sovereigns have historically regarded by provisions framed specifically)
(Constitution, have, have historically regarded by provisions framed specifically as limitations on federal authority)
(Constitution, have, As separate sovereigns have regarded by constitutional provisions framed)
(Constitution, have, have regarded by constitutional provisions framed specifically)
(Constitution, have, have historically regarded by constitutional provisions framed as limitations)
(Constitution, have, As sovereigns have regarded by provisions framed specifically as limitations on authority)
(pre-existing Constitution, have, As separate sovereigns have regarded by constitutional provisions framed as limitations on authority)
(Constitution, have, have regarded by provisions framed specifically as limitations on federal authority)
(pre-existing Constitution, have, As sovereigns have regarded by constitutional provisions framed)
(pre-existing Constitution, have, have regarded by provisions framed as limitations on federal authority)
(Constitution, have, have regarded by constitutional provisions framed specifically as limitations on authority)
(Constitution, have, As separate sovereigns have regarded by provisions framed specifically)
(Constitution, have, As sovereigns have regarded by constitutional provisions framed specifically)
(Constitution, have, As separate sovereigns have historically regarded by constitutional provisions framed specifically)
(Constitution, have, As sovereigns have historically regarded by provisions)
(pre-existing Constitution, have, As sovereigns have historically regarded by constitutional provisions framed specifically as limitations)
(Constitution, have, As separate sovereigns have historically regarded by provisions framed specifically as limitations on federal authority)
(Constitution, have, As sovereigns have historically regarded by constitutional provisions framed specifically as limitations)
(pre-existing Constitution, have, As sovereigns have historically regarded by provisions framed as limitations on authority)
(pre-existing Constitution, have, have regarded by provisions framed specifically)
(Constitution, have, As separate sovereigns have regarded by provisions framed specifically as limitations on authority)
(pre-existing Constitution, have, As separate sovereigns have historically regarded by constitutional provisions framed as limitations on federal authority)
(Constitution, have, As separate sovereigns have regarded by constitutional provisions framed specifically as limitations on authority)
(Constitution, have, As sovereigns have regarded by constitutional provisions framed as limitations)
(pre-existing Constitution, have, As separate sovereigns have historically regarded by provisions framed)
(Constitution, have, As sovereigns have regarded by provisions framed specifically as limitations on federal authority)
(pre-existing Constitution, have, As sovereigns have historically regarded by provisions)
(Constitution, have, As separate sovereigns have regarded by constitutional provisions framed as limitations on federal authority)
(pre-existing Constitution, have, As sovereigns have historically regarded by constitutional provisions framed specifically as limitations on federal authority)
(Constitution, have, As separate sovereigns have regarded by provisions framed)
(Constitution, have, As separate sovereigns have regarded by constitutional provisions framed specifically)
(Constitution, have, As sovereigns have historically regarded by provisions framed specifically as limitations)
(pre-existing Constitution, have, have historically regarded by provisions framed specifically as limitations)
(pre-existing Constitution, have, As separate sovereigns have regarded by constitutional provisions framed)
(pre-existing Constitution, have, As separate sovereigns have regarded by constitutional provisions framed specifically)
(pre-existing Constitution, have, have historically regarded by provisions framed specifically as limitations on federal authority)
(pre-existing Constitution, have, have historically regarded by provisions framed specifically as limitations on authority)
(Constitution, have, have regarded by constitutional provisions)
(pre-existing Constitution, have, As separate sovereigns have historically regarded by provisions framed specifically as limitations on federal authority)
(pre-existing Constitution, have, As sovereigns have historically regarded by provisions framed specifically as limitations)
(Constitution, have, have historically regarded by provisions framed)
(Constitution, have, As sovereigns have historically regarded by provisions framed specifically)
(Constitution, have, have regarded by provisions framed as limitations on authority)
(pre-existing Constitution, have, As separate sovereigns have historically regarded by provisions framed as limitations on authority)
(Constitution, have, As separate sovereigns have historically regarded by provisions framed as limitations on federal authority)
(Constitution, have, As sovereigns have regarded by constitutional provisions framed as limitations on federal authority)
(Constitution, have, have regarded by provisions framed specifically as limitations)
(pre-existing Constitution, have, As sovereigns have regarded by provisions framed specifically as limitations on federal authority)
(pre-existing Constitution, have, have historically regarded by constitutional provisions framed specifically as limitations)
(Constitution, have, have historically regarded by constitutional provisions framed specifically)
(pre-existing Constitution, have, As sovereigns have historically regarded by constitutional provisions)
(pre-existing Constitution, have, As separate sovereigns have historically regarded by provisions framed specifically as limitations on authority)
(pre-existing Constitution, have, have regarded)
(Constitution, have, have historically regarded by provisions)
(Constitution, have, As separate sovereigns have historically regarded by provisions framed specifically as limitations on authority)
(pre-existing Constitution, have, have historically regarded by provisions framed as limitations on federal authority)
(Constitution, have, As separate sovereigns have regarded by provisions framed as limitations)
(Constitution, have, have historically regarded by constitutional provisions framed)
(Constitution, have, have regarded by constitutional provisions framed as limitations on federal authority)
(pre-existing Constitution, have, As sovereigns have historically regarded by provisions framed as limitations)
(Constitution, have, As separate sovereigns have historically regarded by provisions framed specifically)
(Constitution, have, As separate sovereigns have historically regarded by constitutional provisions framed specifically as limitations on federal authority)
(pre-existing Constitution, have, As sovereigns have regarded by constitutional provisions)
(pre-existing Constitution, have, As sovereigns have historically regarded by provisions framed)
(pre-existing Constitution, have, As separate sovereigns have regarded by provisions framed specifically as limitations on federal authority)
(Constitution, have, have historically regarded by constitutional provisions framed as limitations on federal authority)
(pre-existing Constitution, have, As sovereigns have regarded by constitutional provisions framed specifically as limitations on authority)
(Constitution, have, As separate sovereigns have historically regarded by provisions)
(pre-existing Constitution, have, As separate sovereigns have historically regarded by constitutional provisions framed specifically)
(Constitution, have, As separate sovereigns have regarded by provisions framed as limitations on authority)
(pre-existing Constitution, have, As separate sovereigns have historically regarded by constitutional provisions framed as limitations)
(pre-existing Constitution, have, have regarded by constitutional provisions framed specifically as limitations on authority)
(pre-existing Constitution, have, have historically regarded by constitutional provisions framed as limitations on authority)
(pre-existing Constitution, have, As sovereigns have regarded by provisions framed as limitations on federal authority)
(Constitution, have, As sovereigns have historically regarded by constitutional provisions framed as limitations on federal authority)
(pre-existing Constitution, have, As separate sovereigns have historically regarded by provisions framed specifically as limitations)
(pre-existing Constitution, have, have regarded by constitutional provisions framed specifically as limitations)
(pre-existing Constitution, have, As sovereigns have historically regarded by constitutional provisions framed as limitations on authority)
(Constitution, have, As sovereigns have historically regarded by provisions framed)
(Constitution, have, have regarded by provisions framed)
(pre-existing Constitution, have, As separate sovereigns have regarded by constitutional provisions framed specifically as limitations on authority)
(Constitution, have, As sovereigns have historically regarded by constitutional provisions framed as limitations)
(pre-existing Constitution, have, As sovereigns have historically regarded)
(Constitution, have, have historically regarded by constitutional provisions framed specifically as limitations)
(pre-existing Constitution, have, have regarded by provisions framed specifically as limitations on authority)
(Constitution, have, As sovereigns have historically regarded by constitutional provisions framed specifically as limitations on federal authority)
(Constitution, have, As separate sovereigns have regarded by constitutional provisions framed specifically as limitations on federal authority)
(pre-existing Constitution, have, have historically regarded by provisions framed as limitations on authority)
(pre-existing Constitution, have, As separate sovereigns have regarded by provisions framed)
(pre-existing Constitution, have, As separate sovereigns have historically regarded by constitutional provisions framed)
(pre-existing Constitution, have, As separate sovereigns have historically regarded by constitutional provisions framed as limitations on authority)
(Constitution, have, As separate sovereigns have regarded by constitutional provisions)
(pre-existing Constitution, have, As separate sovereigns have historically regarded)
(Constitution, have, As separate sovereigns have historically regarded by constitutional provisions framed as limitations)
(pre-existing Constitution, have, have regarded by constitutional provisions framed specifically)
(pre-existing Constitution, have, have historically regarded)
(Constitution, have, As sovereigns have regarded by provisions framed as limitations on authority)
(Constitution, have, As sovereigns have regarded by constitutional provisions framed)
(Constitution, have, As sovereigns have regarded by provisions framed as limitations)
(pre-existing Constitution, have, have historically regarded by constitutional provisions framed specifically as limitations on federal authority)
(pre-existing Constitution, have, As sovereigns have regarded by provisions framed as limitations on authority)
(Constitution, have, have regarded by provisions framed specifically)
(Constitution, have, As sovereigns have historically regarded by provisions framed as limitations on authority)
(Constitution, have, As sovereigns have historically regarded by provisions framed specifically as limitations on authority)
(pre-existing Constitution, have, As sovereigns have regarded by provisions framed specifically as limitations)
(Constitution, have, As separate sovereigns have regarded by constitutional provisions framed as limitations)
(pre-existing Constitution, have, As sovereigns have regarded by constitutional provisions framed as limitations on authority)
(Constitution, have, As separate sovereigns have regarded by provisions framed specifically as limitations)
(pre-existing Constitution, have, As sovereigns have regarded by provisions framed specifically as limitations on authority)
(Constitution, have, have historically regarded by constitutional provisions)
(pre-existing Constitution, have, As separate sovereigns have regarded by provisions framed specifically as limitations on authority)
(pre-existing Constitution, have, have regarded by provisions framed)
(pre-existing Constitution, have, As sovereigns have historically regarded by constitutional provisions framed specifically as limitations on authority)
(pre-existing Constitution, have, have regarded by constitutional provisions framed)
(pre-existing Constitution, have, As sovereigns have historically regarded by provisions framed specifically as limitations on federal authority)
(pre-existing Constitution, have, As sovereigns have regarded by constitutional provisions framed as limitations)
(Constitution, have, As sovereigns have regarded by provisions)
(Constitution, have, As separate sovereigns have historically regarded by provisions framed specifically as limitations)
(Constitution, have, As sovereigns have historically regarded by constitutional provisions)
(pre-existing Constitution, have, As sovereigns have regarded by constitutional provisions framed specifically as limitations)
(Constitution, have, As separate sovereigns have regarded by constitutional provisions framed as limitations on authority)
(Constitution, have, As separate sovereigns have historically regarded by constitutional provisions framed as limitations on authority)
(Constitution, have, As separate sovereigns have historically regarded by provisions framed)
(pre-existing Constitution, have, have historically regarded by provisions)
(Constitution, have, have historically regarded by constitutional provisions framed as limitations on authority)
(pre-existing Constitution, have, As separate sovereigns have historically regarded by constitutional provisions framed specifically as limitations)
(pre-existing Constitution, have, As sovereigns have regarded by constitutional provisions framed specifically as limitations on federal authority)
(pre-existing Constitution, have, have regarded by constitutional provisions)
(pre-existing Constitution, have, As sovereigns have historically regarded by constitutional provisions framed as limitations)
(pre-existing Constitution, have, have historically regarded by constitutional provisions framed as limitations on federal authority)
(pre-existing Constitution, have, As separate sovereigns have regarded by provisions framed specifically as limitations)
(pre-existing Constitution, have, As sovereigns have historically regarded by provisions framed as limitations on federal authority)
(pre-existing Constitution, have, have regarded by constitutional provisions framed as limitations on authority)
(pre-existing Constitution, have, As separate sovereigns have regarded by provisions framed specifically)
(pre-existing Constitution, have, have historically regarded by constitutional provisions)
(Constitution, have, have regarded by provisions framed as limitations on federal authority)
(pre-existing Constitution, have, As separate sovereigns have historically regarded by provisions framed as limitations on federal authority)
(pre-existing Constitution, have, As separate sovereigns have historically regarded by constitutional provisions framed specifically as limitations on authority)
(Constitution, have, As sovereigns have regarded by provisions framed specifically as limitations)
(Constitution, have, As sovereigns have regarded by constitutional provisions)
(Constitution, have, As separate sovereigns have regarded)
(pre-existing Constitution, have, have historically regarded by provisions framed as limitations)
(pre-existing Constitution, have, have regarded by provisions)
(pre-existing Constitution, have, As separate sovereigns have regarded by constitutional provisions)
(pre-existing Constitution, have, As sovereigns have historically regarded by provisions framed specifically as limitations on authority)
(Constitution, have, As sovereigns have regarded by constitutional provisions framed as limitations on authority)
(pre-existing Constitution, have, As separate sovereigns have regarded by provisions framed as limitations on federal authority)
(Constitution, have, As separate sovereigns have historically regarded by provisions framed as limitations)
(pre-existing Constitution, have, As separate sovereigns have historically regarded by provisions framed as limitations)
(pre-existing Constitution, have, As sovereigns have historically regarded by constitutional provisions framed specifically)
(pre-existing Constitution, have, As sovereigns have historically regarded by constitutional provisions framed as limitations on federal authority)
(pre-existing Constitution, have, have regarded by provisions framed as limitations on authority)
(Constitution, have, As separate sovereigns have historically regarded by constitutional provisions)
(Constitution, have, As separate sovereigns have regarded by provisions framed as limitations on federal authority)
(pre-existing Constitution, have, have historically regarded by constitutional provisions framed)
(pre-existing Constitution, have, have historically regarded by constitutional provisions framed specifically)
(Constitution, have, have regarded by constitutional provisions framed as limitations on authority)
(pre-existing Constitution, have, have historically regarded by constitutional provisions framed specifically as limitations on authority)
(Constitution, have, As separate sovereigns have regarded by provisions framed specifically as limitations on federal authority)
(Constitution, have, have historically regarded by constitutional provisions framed specifically as limitations on authority)
(pre-existing Constitution, have, As sovereigns have regarded by constitutional provisions framed specifically)
(Constitution, have, As sovereigns have historically regarded by provisions framed as limitations)
(Constitution, have, have regarded by constitutional provisions framed)
(pre-existing Constitution, have, have regarded by provisions framed specifically as limitations)
(pre-existing Constitution, have, As sovereigns have regarded by provisions framed)
(pre-existing Constitution, have, have regarded by provisions framed as limitations)
(Constitution, have, have regarded by constitutional provisions framed specifically as limitations)
(pre-existing Constitution, have, As separate sovereigns have regarded)
(pre-existing Constitution, have, As sovereigns have regarded by constitutional provisions framed as limitations on federal authority)
(57, at Martinez is, 436 U. S.)
(tribal-court defendants, seek, habeas corpus review in court)
(tribal-court defendants, seek, habeas corpus review)
(tribal-court defendants, seek, habeas corpus review in federal court)
(defendants, seek, habeas corpus review in court)
(defendants, seek, habeas corpus review)
(their, imprisonment, § 1303)
(habeas corpus review, is in, federal court)
(defendants, seek, habeas corpus review in federal court)
(court, accord defendant including, appointment for indigent defendant at tribe 's expense)
(court, accord, right to assistance equal to that guaranteed)
(court, accord, right to assistance of counsel at least equal to that)
(court, accord defendant including, appointment of counsel for indigent defendant at tribe 's expense)
(court, accord, right to effective assistance at least equal to that)
(court, accord, right to effective assistance of counsel at least equal to that guaranteed by United States Constitution)
(court, accord right including, appointment for defendant at tribe 's expense)
(court, accord right including, appointment for defendant)
(court, accord, right at least equal to that guaranteed by United States Constitution)
(court, accord, right to assistance of counsel at least equal)
(court, accord defendant including, appointment of counsel for defendant)
(court, accord, right to effective assistance of counsel at least equal)
(court, accord, right equal to that guaranteed)
(court, accord, right to assistance of counsel equal)
(court, accord, right to assistance at least equal to that)
(court, accord, right to effective assistance)
(court, accord, right to assistance of counsel at least equal to that guaranteed by United States Constitution)
(court, accord, right equal to that guaranteed by United States Constitution)
(court, accord defendant including, appointment of counsel for defendant at tribe 's expense)
(court, accord, right to effective assistance of counsel at least equal to that guaranteed)
(court, accord, right to assistance at least equal)
(ICRA, requires, court)
(court, accord, right to assistance at least equal to that guaranteed)
(court, accord, right to effective assistance of counsel equal to that guaranteed by United States Constitution)
(court, accord, right to assistance of counsel equal to that guaranteed)
(court, accord, right to assistance of counsel equal to that)
(court, accord, right to assistance of counsel)
(court, accord defendant including, appointment for indigent defendant)
(court, accord, right at least equal to that guaranteed)
(court, accord, right to effective assistance of counsel)
(court, imposes sentence in, excess)
(court, accord, right to assistance of counsel at least equal to that guaranteed)
(court, accord, defendant)
(court, imposes sentence in, excess of one year)
(tribal court, imposes sentence in, excess of one year)
(court, accord, right to assistance of counsel equal to that guaranteed by United States Constitution)
(court, accord, right to assistance at least equal to that guaranteed by United States Constitution)
(court, accord right including, appointment of counsel for indigent defendant)
(court, accord, right to effective assistance of counsel at least equal to that)
(court, accord, right at least equal)
(court, accord, right equal)
(court, accord, right at least equal to that)
(court, accord, right to effective assistance equal to that guaranteed)
(court, accord right including, appointment of counsel for indigent defendant at tribe 's expense)
(court, accord defendant including, appointment for defendant at tribe 's expense)
(court, accord right including, appointment of counsel for defendant at tribe 's expense)
(court, accord, right)
(tribal court, imposes, sentence)
(court, accord, right to effective assistance at least equal to that guaranteed)
(court, accord right including, appointment)
(court, accord defendant including, appointment of counsel)
(court, accord right including, appointment of counsel)
(court, accord right including, appointment of counsel for defendant)
(tribe, at, expense)
(court, accord, right to effective assistance equal to that)
(court, accord, right to effective assistance of counsel equal to that guaranteed)
(court, accord, right to assistance equal to that guaranteed by United States Constitution)
(tribal court, imposes sentence in, excess)
(court, accord defendant including, appointment)
(court, accord, right to assistance)
(court, accord, right equal to that)
(court, accord right including, appointment for indigent defendant)
(court, accord, right to effective assistance equal)
(court, accord right including, appointment for indigent defendant at tribe 's expense)
(court, imposes, sentence)
(court, accord, right to assistance equal)
(court, accord, right to effective assistance of counsel equal)
(court, accord, right to effective assistance at least equal)
(court, accord, right to effective assistance at least equal to that guaranteed by United States Constitution)
(court, accord defendant including, appointment for defendant)
(court, accord, right to assistance equal to that)
(court, accord, right to effective assistance equal to that guaranteed by United States Constitution)
(court, accord, right to effective assistance of counsel equal to that)
(court, accord defendant including, appointment of counsel for indigent defendant)
(sentence, may, In tribal court may imposed)
(sentence, may, In tribal court therefore unlike in federal court may imposed)
(sentence, may, therefore unlike in federal court may imposed)
(year, according, defendants)
(indigent defendants, right to, counsel)
(sentence, may, unlike in federal court may imposed)
(sentence, may, In court unlike in court may imposed)
(year, according, indigent defendants)
(sentence, may, may imposed)
(sentence, may, In court unlike in federal court may imposed)
(sentence, may, unlike in court may imposed)
(sentence, may, In court therefore unlike in court may imposed)
(sentence, may, In tribal court therefore unlike in court may imposed)
(sentence, may, In tribal court unlike in court may imposed)
(defendants, right to, counsel)
(sentence, may, In tribal court therefore may imposed)
(sentence, may, therefore may imposed)
(indigent defendants, right to, appointed counsel)
(sentence, may, therefore unlike in court may imposed)
(sentence, may, In tribal court unlike in federal court may imposed)
(sentence, may, In court therefore may imposed)
(defendants, right to, appointed counsel)
(sentence, may, In court therefore unlike in federal court may imposed)
(sentence, may, In court may imposed)
(tribal-court convictions, obtained in, compliance)
(tribal-court convictions, obtained in, full compliance ICRA)
(it, use, tribal-court convictions obtained in compliance)
(full compliance, is with, ICRA)
(uncounseled tribal-court convictions, obtained in, compliance ICRA)
(it, use, uncounseled tribal-court convictions obtained in compliance)
(it, use, tribal-court convictions)
(it, use, uncounseled tribal-court convictions obtained in full compliance)
(it, use, tribal-court convictions obtained in full compliance)
(it, establish, predicate)
(it, use, tribal-court convictions obtained)
(it, use, uncounseled tribal-court convictions obtained in compliance with ICRA)
(it, use, tribal-court convictions obtained in compliance with ICRA)
(tribal-court convictions, obtained in, full compliance)
(it, use, uncounseled tribal-court convictions)
(it, establish, prior-crimes predicate of § 117)
(it, use, tribal-court convictions obtained in full compliance with ICRA)
(it, establish, prior-crimes predicate)
(uncounseled tribal-court convictions, obtained in, full compliance ICRA)
(uncounseled tribal-court convictions, obtained in, full compliance)
(tribal-court convictions, obtained in, compliance ICRA)
(it, use, uncounseled tribal-court convictions obtained in full compliance with ICRA)
(it, use, uncounseled tribal-court convictions obtained)
(uncounseled tribal-court convictions, obtained in, compliance)
(it, establish, predicate of § 117)
(conviction, obtained in, violation)
(conviction, obtained in, violation defendant Sixth Amendment right counsel)
(conviction, obtained in, violation defendant Sixth Amendment right)
(defendant, of, Sixth Amendment right to counsel)
(felony conviction, obtained in, violation right)
(uncounseled felony conviction, obtained in, violation)
(felony conviction, obtained in, violation right counsel)
(felony conviction, obtained in, violation)
(uncounseled felony conviction, prove, prior-felony element of recidivist statute)
(felony conviction, obtained in, state court)
(felony conviction, prove, prior-felony element of recidivist statute)
(uncounseled felony conviction, obtained in, state court)
(uncounseled felony conviction, obtained in, violation right)
(uncounseled felony conviction, obtained in, violation right counsel)
(the, permit, use of constitutionally infirm conviction)
(the, permit, use of conviction)
(deprivation, from suffe is, r)
(the, permit, use)
(the, permit, such use of infirm conviction)
(the, permit, such use of conviction)
(the, permit, such use)
(the, permit, such use of constitutionally infirm conviction)
(the, permit, use of infirm conviction)
(defendant, has, credibility)
(U. S. 738, stated, limitation on principle)
(511 U. S. 738, stated, important limitation)
(511 U. S. 738, stated, limitation on principle recognized in Burgett)
(U. S. 738, stated, limitation on principle recognized)
(511 U. S. 738, stated, important limitation on principle recognized in Burgett)
(511 U. S. 738, stated, important limitation on principle recognized)
(U. S. 738, stated, important limitation)
(511 U. S. 738, stated, important limitation on principle)
(511 U. S. 738, stated, limitation on principle recognized)
(511 U. S. 738, stated, limitation)
(U. S. 738, stated, limitation on principle recognized in Burgett)
(511 U. S. 738, stated, limitation on principle)
(U. S. 738, stated, important limitation on principle recognized in Burgett)
(U. S. 738, stated, important limitation on principle)
(U. S. 738, stated, limitation)
(U. S. 738, stated, important limitation on principle recognized)
(Nichols, pleaded, guilty to federal felony drug offense)
(Nichols, pleaded, guilty to felony drug offense)
(Nichols, pleaded In, case)
(Nichols, pleaded In, case under review)
(Nichols, pleaded, guilty)
(he, driving, state-law misdemeanor)
(he, had, earlier had convicted)
(he, driving misdemeanor under, influence)
(he, had, years earlier had convicted)
(he, driving misdemeanor under, DUI)
(he, driving, misdemeanor)
(he, had, had convicted)
(he, had, Several years earlier had convicted)
(Nichols ' DUI conviction, effectively elevated, sentencing range)
(Nichols ' DUI conviction, elevated, sentencing range)
(Nichols ' DUI conviction, effectively elevated sentencing range under, then-mandatory Guidelines)
(Nichols ' DUI conviction, elevated sentencing range by, about two years)
(Nichols ' DUI conviction, elevated sentencing range under, then-mandatory Sentencing Guidelines)
(Nichols ' DUI conviction, elevated, sentencing range for Nichols ' federal drug offense)
(Nichols ' DUI conviction, elevated sentencing range under, Sentencing Guidelines)
(Nichols ' DUI conviction, effectively elevated, sentencing range for Nichols ' federal drug offense)
(Nichols ' DUI conviction, elevated sentencing range under, Guidelines)
(Nichols ' DUI conviction, effectively elevated sentencing range under, Guidelines)
(Nichols ' DUI conviction, elevated sentencing range under, then-mandatory Guidelines)
(Nichols ' DUI conviction, effectively elevated sentencing range under, then-mandatory Sentencing Guidelines)
(Nichols ' DUI conviction, effectively elevated, sentencing range for Nichols ' drug offense)
(Nichols ' DUI conviction, effectively elevated sentencing range by, about two years)
(Nichols ' DUI conviction, elevated, sentencing range for Nichols ' drug offense)
(Nichols ' DUI conviction, effectively elevated sentencing range under, Sentencing Guidelines)
(We, rejected, Nichols ' contention)
(Respondent Bryant 's conduct, is illustrative of, domestic violence problem)
(Respondent Bryant, has, conduct)
(Respondent Bryant 's conduct, is illustrative of, domestic violence problem existing)
(Respondent Bryant 's conduct, is illustrative of, violence problem existing in country)
(Respondent Bryant 's conduct, is illustrative of, violence problem existing)
(Respondent Bryant 's conduct, is illustrative of, violence problem)
(Respondent Bryant 's conduct, is illustrative of, violence problem existing in Indian country)
(Respondent Bryant 's conduct, is, illustrative)
(Respondent Bryant 's conduct, is illustrative of, domestic violence problem existing in country)
(Respondent Bryant 's conduct, is illustrative of, domestic violence problem existing in Indian country)
(Bryant, lived During, period)
(Bryant, member of, Northern Cheyenne Tribe)
(Bryant, member of, Northern Cheyenne Tribe)
(Tribe, on, reservation in Montana)
(Bryant, lived on, Tribe 's reservation in Montana)
(Bryant, enrolled member of, Northern Cheyenne Tribe)
(Tribe 's reservation, is in, Montana)
(Bryant, lived on, Tribe 's reservation)
(Bryant, lived During, period relevant)
(Bryant, lived During, period relevant to case)
(He, has, record of over 100 tribal-court convictions including several misdemeanor convictions)
(He, has, record of over 100 tribal-court convictions including several misdemeanor convictions for assault)
(He, has, record of over 100 tribal-court convictions including misdemeanor convictions for assault)
(He, has, record of over 100 tribal-court convictions including misdemeanor convictions for domestic assault)
(He, has, record of over 100 tribal-court convictions including several misdemeanor convictions for domestic assault)
(He, has, record)
(He, has, record of over 100 tribal-court convictions including misdemeanor convictions)
(He, has, record of over 100 tribal-court convictions)
(Bryant, committing, abuse in violation)
(Bryant, pleaded in, Cheyenne Tribal Court)
(Bryant, pleaded on, at least five occasions)
(Bryant, Specifically pleaded on, at least five occasions)
(Bryant, committing, domestic abuse in violation of Northern Cheyenne Tribal Code)
(Bryant, Specifically pleaded, guilty)
(Bryant, Specifically pleaded in, Cheyenne Tribal Court)
(Bryant, Specifically pleaded in, Northern Cheyenne Tribal Court)
(Bryant, committing, domestic abuse)
(Bryant, committing, abuse in violation of Northern Cheyenne Tribal Code)
(Bryant, committing, domestic abuse in violation)
(domestic abuse, is in, violation of Northern Cheyenne Tribal Code)
(Bryant, pleaded, guilty)
(Bryant, committing, abuse)
(Bryant, pleaded in, Northern Cheyenne Tribal Court)
(Bryant, hit, his girlfriend)
(Bryant, hit, his live-in girlfriend)
(Bryant, beat girlfriend On, another)
(Bryant, kneeing, her)
(Bryant, beat, different girlfriend)
(her, leaving, bloodied)
(her, breaking, her nose)
(her, leaving, her bruised)
(Bryant, beat, girlfriend)
(Bryant, of, repeated brutal acts of domestic violence)
(Tribal Court, sentenced, him)
(Bryant, convicted of, offenses)
(his convictions, were, valid)
(his convictions, were, therefore valid)
(ICRA, under, habeas corpus provision)
(Bryant, was, arrested again)
(Bryant, assaulting, women)
(Bryant, was arrested yet again In, 2011)
