(October 4 2016, Decided at_time, November 29 2016)
(397 U. S. 436 .2 Ashe, robbery of, six poker players)
(U. S. 436 .2 Ashe, involved robbery by, group of men)
(397 U. S. 436 1970 .2 Ashe, involved, robbery)
(Court, interpreted, Jeopardy Clause)
(397 U. S. 436 1970 .2 Ashe, involved, robbery of six poker players)
(U. S. 436 .2 Ashe, involved robbery by, group of masked men)
(Court, interpreted, Double Jeopardy Clause)
(397 U. S. 436 .2 Ashe, involved, robbery)
(U. S. 436 1970 .2 Ashe, robbery of, six poker players)
(U. S. 436 1970 .2 Ashe, involved, robbery of six poker players)
(397 U. S. 436 .2 Ashe, involved robbery in, Ashe)
(397 U. S. 436 1970 .2 Ashe, involved robbery by, group)
(397 U. S. 436 1970 .2 Ashe, involved robbery by, group of men)
(U. S. 436 .2 Ashe, involved, robbery)
(U. S. 436 .2 Ashe, robbery of, six poker players)
(397 U. S. 436 .2 Ashe, involved robbery by, group of men)
(jury, acquitted, him)
(jury, acquitted due, him)
(Ashe, was, charged)
(State, tried, Ashe)
(State, tried again, Ashe)
(State, secured, conviction)
(second prosecution, violated, Double Jeopardy Clause)
(second prosecution, violated, Jeopardy Clause)
(prosecution, violated, Double Jeopardy Clause)
(prosecution, violated, Jeopardy Clause)
(sole issue, is in, dispute)
(jury 's acquittal verdict, precluded State, sole issue in dispute in trial was)
(jury 's acquittal verdict, precluded, State)
(jury 's acquittal verdict, precluded State, sole issue in dispute was)
(dispute, is in, first trial)
(jury 's acquittal verdict, precluded State, issue in dispute in first trial was)
(jury 's acquittal verdict, precluded State, issue in dispute was)
(jury, has, acquittal verdict)
(jury 's acquittal verdict, precluded State, sole issue in dispute in first trial was)
(jury 's acquittal verdict, precluded State, trying)
(jury 's acquittal verdict, precluded State, issue was)
(jury 's acquittal verdict, precluded State, issue in dispute in trial was)
(jury 's acquittal verdict, precluded State, sole issue was)
(issue preclusion, be, applied)
(issue preclusion, is in, criminal cases)
(issue preclusion, be applied with, realism)
(Our decision, is in, Ashe)
(court, taking, evidence)
(court, taking, relevant matter)
(court, taking evidence into, account)
(court, taking, charge)
(court, taking, other matter)
(court, taking, other relevant matter)
(court, taking, matter)
(court, taking matter into, account)
(court, taking, pleadings)
(court, taking pleadings into, account)
(jury, is in, previous trial necessarily decided)
(court, taking charge into, account)
(inquiry, viewed with, eye to circumstances of proceedings)
(he, seeks, relitigation)
(he burden, is on, defendant demonstrate)
(prior jury, by, verdict of acquittal)
(Powell 's starting point, was, our holding)
(Powell, has, starting point)
(Powell 's point, was, our holding)
(58-59, at Powell is, 469 U. S.)
(Dunn Court, had, alluded)
(Dunn Court, alluded to, rule)
(Dunn Court, had, alluded to rule)
(Dunn Court, had, alluded to rule as established principle)
(Court, has, opinion in Dunn)
(Dunn Court, alluded as, established principle)
(Court 's opinion, is in, Dunn)
(Dunn Court, had, alluded as principle)
(Dunn Court, alluded as, principle)
(Dunn Court, had, alluded to rule as principle)
(Dunn Court, had, alluded as established principle)
(several Courts, had, recogniz exceptions)
(Courts, had, recogniz exceptions)
(several Courts, Nevertheless had, exceptions)
(Powell, sought, exception for verdicts)
(Courts, Nevertheless had, recogniz exceptions to rule)
(several Courts, Nevertheless had, exceptions to rule)
(several Courts, had, recogniz exceptions to rule)
(Powell, exception for, verdicts)
(Courts, had, recogniz exceptions to rule)
(Courts, had, exceptions to rule)
(Courts, had, exceptions)
(several Courts, had, exceptions)
(Powell, sought, exception)
(several Courts, Nevertheless had, recogniz exceptions)
(several Courts, Nevertheless had, recogniz exceptions to rule)
(Courts, Nevertheless had, exceptions to rule)
(Courts, Nevertheless had, exceptions)
(Courts, Nevertheless had, recogniz exceptions)
(several Courts, had, exceptions to rule)
(jury, had acquitted, Powell)
(jury, had acquitted, Powell of drug charges)
(jury, had acquitted Powell At, trial)
(jury, convicted, her)
(jury, had acquitted, Powell of various drug charges)
(jury, had acquitted, Powell of substantive drug charges)
(jury, had acquitted, Powell of various substantive drug charges)
(she, was, entitled)
(she, therefore was entitled to, reversal)
(she, therefore was entitled to, reversal of telephone facilitation convictions)
(She, appealed, arguing)
(verdicts, were, inconsistent)
(she, was entitled to, reversal)
(she, was entitled to, reversal of telephone facilitation convictions)
(she, was, therefore entitled)
(jury, had acquitted, her of predicate felonies)
(same jury, had acquitted, her of predicate felonies)
(same jury, had acquitted, her)
(jury, had acquitted, her)
(issue preclusion, is predicated on, assumption)
(Powell, has, argument)
(we, Rejecting, Powell 's argument)
(issue preclusion, is, predicated)
(jury, returns, verdicts)
(jury, returns, irreconcilably inconsistent verdicts)
(jury, returns, inconsistent verdicts)
(jurors, arrived at, rationally)
(defendant, of, guilt)
(it, is, impos-sible)
(64-65, at Powell is, 469 U. S.)
(we, pointed out In, event of inconsistent verdicts)
(jury, reached, its conclusion)
(jury, arrived at, inconsistent conclusion)
(it, is, likely)
(jury, arrived at, conclusion on offense)
(we, pointed out In, event)
(jury, properly reached, its conclusion)
(jury, arrived at, inconsistent conclusion on offense)
(jury, convinced of, guilt)
(jury, arrived at, conclusion)
(jury its conclusion, convinced of, guilt)
(we, pointed out In, event of verdicts)
(65, at Powell is, 469 U. S.)
(court, would at, would loss know)
(her acquittals, remained albeit, inconsistent)
(Dunn, has, rule)
(Powell, has, convictions)
(her acquittals, remained, undisturbed)
(Powell, has, holding on inconsistent verdicts)
(Yeager, was, tried)
(Yeager, was tried on, charges)
(Yeager, was tried on, charges of fraud)
(jury, acquitted, him)
(possession, was, critical)
(possession, was critical issue of, fact)
(possession, was issue of, ultimate fact)
(jury, reach, verdict)
(possession, was critical issue of, ultimate fact)
(jury, reach, verdict on insider-trading charges)
(insider information, possession of was, critical issue)
(insider information, possession of was, issue)
(possession, was issue of, fact)
(possession, was, issue)
(possession, was, critical issue)
(Government, retry, Yeager)
(Government, retry Yeager on, hung counts)
(Government, retry Yeager on, counts)
(retrial, was barred by, Jeopardy Clause)
(retrial, was barred by, Double Jeopardy Clause)
(retrial, was, barred)
(jury, speaks through, its verdict)
(jury, speaks through, only its verdict)
(jury, 's decisions is, failures decide)
(decisions, failures, its)
(jury, than, failure reach)
(count, reveals, nothing)
(hung count, reveals, nothing)
(concerning, same issue of, ultimate fact)
(jury, acquits on, one count)
(concerning, issue of, fact)
(jury, acquits, failing)
(concerning, same issue of, fact)
(concerning, issue of, ultimate fact)
(ha place, is in, issue-preclusion analysis)
(we, turn to, verdicts rendered in case)
(we, turn to, inconsistent verdicts)
(we, turn With, our precedent in view)
(we, turn With, our controlling precedent in view)
(we, turn to, verdicts rendered)
(we, turn With, our controlling precedent)
(we, turn to, verdicts)
(we, turn With, our precedent)
(our controlling precedent, is in, view)
(we, turn to, inconsistent verdicts rendered)
(we, turn to, inconsistent verdicts rendered in case)
(prosecution, stemmed from, senator)
(prosecution, stemmed from, alleged bribe paid to petitioner Hector Martínez-Maldonado)
(petitioner Hector Martínez-Maldonado, to bribe is, then senator serving)
(prosecution, stemmed from, then senator)
(prosecution, stemmed from, bribe to petitioner Hector Martínez-Maldonado)
(prosecution, stemmed from, bribe paid by petitioner Juan Bravo-Fernandez)
(prosecution, stemmed from, bribe paid)
(senator, serving, Commonwealth)
(prosecution, stemmed from, alleged bribe paid by petitioner Juan Bravo-Fernandez to petitioner Hector Martínez-Maldonado)
(prosecution, stemmed from, alleged bribe)
(senator, serving, Commonwealth of Puerto Rico)
(serving, Commonwealth of, Puerto Rico)
(prosecution, stemmed from, bribe paid by petitioner Juan Bravo-Fernandez to petitioner Hector Martínez-Maldonado)
(prosecution, stemmed from, alleged bribe paid)
(prosecution, stemmed from, bribe paid to petitioner Hector Martínez-Maldonado)
(prosecution, stemmed from, bribe)
(prosecution, stemmed from, alleged bribe paid by petitioner Juan Bravo-Fernandez)
(prosecution, stemmed from, alleged bribe to petitioner Hector Martínez-Maldonado)
(bribe, took, form of all-expenses-paid trip including seat at professional boxing match)
(alleged bribe, took, form of all-expenses-paid trip to Las Vegas)
(alleged bribe, took, form of trip to Las Vegas including seat)
(alleged bribe, took, form of all-expenses-paid trip to Las Vegas including seat)
(alleged bribe, took, form of all-expenses-paid trip to Las Vegas including seat at boxing match)
(bribe, took, form of trip including $ 1,000 seat)
(bribe, took, form)
(alleged bribe, took, form)
(bribe, took, form of all-expenses-paid trip including $ 1,000 seat at boxing match)
(bribe, took, form of all-expenses-paid trip to Las Vegas including seat at professional boxing match)
(bribe, took, form of trip to Las Vegas including $ 1,000 seat at boxing match)
(alleged bribe, took, form of trip to Las Vegas including $ 1,000 seat)
(bribe, took, form of trip including seat at professional boxing match)
(alleged bribe, took, form of trip including $ 1,000 seat)
(alleged bribe, took, form of trip including $ 1,000 seat at boxing match)
(alleged bribe, took, form of trip to Las Vegas including seat at boxing match)
(bribe, took, form of all-expenses-paid trip to Las Vegas including $ 1,000 seat at boxing match)
(bribe, took, form of trip including seat)
(alleged bribe, took, form of all-expenses-paid trip including seat at boxing match)
(alleged bribe, took, form of trip to Las Vegas)
(alleged bribe, took, form of trip including $ 1,000 seat at professional boxing match)
(bribe, took, form of all-expenses-paid trip including seat at boxing match)
(bribe, took, form of all-expenses-paid trip including $ 1,000 seat at professional boxing match)
(alleged bribe, took, form of all-expenses-paid trip including seat at professional boxing match)
(bribe, took, form of trip to Las Vegas including seat at professional boxing match)
(bribe, took, form of trip)
(alleged bribe, took, form of trip to Las Vegas including $ 1,000 seat at boxing match)
(bribe, took, form of trip to Las Vegas including seat)
(alleged bribe, took, form of trip including seat at professional boxing match)
(bribe, took, form of trip including seat at boxing match)
(alleged bribe, took, form of all-expenses-paid trip including seat)
(bribe, took, form of all-expenses-paid trip to Las Vegas including seat)
(alleged bribe, took, form of trip)
(alleged bribe, took, form of all-expenses-paid trip including $ 1,000 seat at boxing match)
(alleged bribe, took, form of all-expenses-paid trip)
(bribe, took, form of trip to Las Vegas including $ 1,000 seat at professional boxing match)
(bribe, took, form of all-expenses-paid trip to Las Vegas)
(alleged bribe, took, form of trip including seat)
(bribe, took, form of all-expenses-paid trip including seat)
(bribe, took, form of all-expenses-paid trip to Las Vegas including $ 1,000 seat)
(alleged bribe, took, form of all-expenses-paid trip to Las Vegas including $ 1,000 seat)
(bribe, took, form of trip including $ 1,000 seat at professional boxing match)
(alleged bribe, took, form of all-expenses-paid trip to Las Vegas including $ 1,000 seat at professional boxing match)
(bribe, took, form of trip including $ 1,000 seat at boxing match)
(alleged bribe, took, form of trip to Las Vegas including seat at professional boxing match)
(alleged bribe, took, form of trip to Las Vegas including $ 1,000 seat at professional boxing match)
(bribe, took, form of all-expenses-paid trip to Las Vegas including $ 1,000 seat at professional boxing match)
(alleged bribe, took, form of all-expenses-paid trip to Las Vegas including seat at professional boxing match)
(alleged bribe, took, form of all-expenses-paid trip to Las Vegas including $ 1,000 seat at boxing match)
(bribe, took, form of trip to Las Vegas)
(alleged bribe, took, form of all-expenses-paid trip including $ 1,000 seat)
(bribe, took, form of all-expenses-paid trip including $ 1,000 seat)
(bribe, took, form of all-expenses-paid trip to Las Vegas including seat at boxing match)
(alleged bribe, took, form of all-expenses-paid trip including $ 1,000 seat at professional boxing match)
(bribe, took, form of trip to Las Vegas including $ 1,000 seat)
(bribe, took, form of all-expenses-paid trip)
(alleged bribe, took, form of trip including seat at boxing match)
(bribe, took, form of trip to Las Vegas including seat at boxing match)
(Bravo, to, enterprise)
(Bravo, intended bribe According to, Government)
(Bravo, intended According to, Government)
(Bravo, intended, bribe)
(Martínez, issued, committee report)
(Senate, for, consideration)
(three-week trial, jury of, standalone § 666 bribery offense)
(federal jury, indicted petitioners Based on, events)
(grand jury, indicted, petitioners)
(federal grand jury, indicted petitioners Based on, events)
(jury, indicted, petitioners)
(federal jury, indicted, petitioners)
(federal grand jury, indicted, petitioners)
(conspiracy, is in, violation of § 371)
(inter alia, is in, violation of 18 U. S. C. § 666)
(grand jury, indicted petitioners Based on, events)
(violation, in alia is, federal-program bribery)
(federal grand jury, is in, Puerto Rico)
(jury, indicted petitioners Based on, events)
(7, at Fernandez is, 722 F. 3d)
(Each, received, sentence)
(Each, received, sentence of 48 months)
(Each, received, sentence of 48 months in prison)
(48 months, is in, prison)
(Court, vacated, § 666 convictions)
(Court, vacated, § 666 convictions for error)
(Court, vacated, § 666 convictions for instructional error)
(jury, had, had erroneously charged)
(jury, had, In First Circuit 's view had erroneously charged)
(First Circuit, In, view)
(jury, had, had charged)
(jury, had, In First Circuit 's view had charged)
(evidence, support, guilty verdict on theory)
(jury, was instructed on, theories of bribery)
(jury, find, Martínez guilty)
(Martínez, guilty of, offering)
(charge, permitted id. at, 16)
(jury, find, Bravo guilty of offering)
(evidence, support, verdict)
(evidence, support, verdict on theory)
(charge, permitted at, 16)
(evidence, support, guilty verdict)
(jury, find, Bravo guilty)
(jury, find, Martínez guilty of offering)
(Bravo, guilty of, offering)
(jury, find, Bravo Martínez guilty)
(jury, find, Bravo Martínez guilty of offering)
(Martínez, receiving, gratuity)
(relying, moved On, remand)
(relying, moved on, § 666 charges)
(relying, moved for, judgments of acquittal)
(relying, moved on, standalone § 666 charges)
(relying, moved for, judgments)
(they, violating, § 666)
(§ 666, traveling to, further violations of § 666)
(§ 666, traveling in, commerce)
(§ 666, traveling in, interstate commerce)
(§ 666, traveling to, violations)
(§ 666, traveling to, violations of § 666)
(it, acquitted, them)
(§ 666, traveling to, further violations)
(Martínez, bribe within, meaning)
(Martínez, had accepted, bribe within meaning)
(Martínez, had accepted, bribe within meaning of § 666)
(Martínez, had accepted, bribe)
(Martínez, bribe within, meaning of § 666)
(District Court, denied, motions)
(District Court, denied, motions for acquittal)
(issue, disputed at, trial)
(court, explained jury, sole issue was)
(court, explained, jury acted irrationally)
(court, explained jury, issue was)
(court, explained, jury)
(court, explained, jury acted)
(Martínez, violated, § 666)
(court, explained, issue disputed was)
(court, explained jury, issue disputed was)
(court, explained, then jury)
(court, explained, sole issue was)
(court, explained, issue was)
(Bravo, violated, § 666)
(sole issue, disputed at, trial)
(court, explained jury, issue disputed at trial was)
(court, explained, sole issue disputed was)
(court, explained, sole issue disputed at trial was)
(court, explained jury, sole issue disputed was)
(court, explained jury, sole issue disputed at trial was)
(court, explained, issue disputed at trial was)
(verdict, was, inconsistent)
(same jury, had simultaneously convicted Martínez on, § 666 charges)
(jury, had convicted Bravo on, standalone § 666 charges)
(jury, had convicted Bravo on, § 666 charges)
(jury, had convicted, Bravo)
(jury, had simultaneously convicted, Bravo)
(same jury, had convicted Bravo on, § 666 charges)
(same jury, had convicted Martínez on, § 666 charges)
(same jury, had simultaneously convicted Bravo on, standalone § 666 charges)
(same jury, had convicted Bravo on, standalone § 666 charges)
(same jury, had simultaneously convicted Martínez on, standalone § 666 charges)
(same jury, had simultaneously convicted Bravo on, § 666 charges)
(jury, had convicted, Martínez)
(same jury, had convicted Martínez on, standalone § 666 charges)
(same jury, had simultaneously convicted, Bravo)
(jury, had simultaneously convicted Bravo on, § 666 charges)
(jury, had simultaneously convicted Bravo on, standalone § 666 charges)
(same jury, had convicted, Martínez)
(jury, had convicted Martínez on, § 666 charges)
(verdict, was, simply inconsistent)
(jury, had simultaneously convicted Martínez on, standalone § 666 charges)
(jury, had simultaneously convicted Martínez on, § 666 charges)
(jury, had convicted Martínez on, standalone § 666 charges)
(jury, had simultaneously convicted, Martínez)
(same jury, had convicted, Bravo)
(same jury, had simultaneously convicted, Martínez)
(jury 's inconsistent returns, were, fatal)
(First Circuit, affirmed, denial)
(jury 's inconsistent returns, were fatal to, petitioners ' issue-preclusion plea)
(jury 's returns, were fatal to, petitioners ' issue-preclusion plea)
(First Circuit, affirmed, denial for acquittal)
(jury, has, inconsistent returns)
(First Circuit, affirmed, denial of petitioners ' motions for acquittal)
(jury 's returns, were, fatal)
(First Circuit, affirmed, denial of petitioners ' motions)
(jury, convicting on, bribery charges)
(jury, convicting on, standalone bribery charges)
(invalidation, rendered, Powell 's inconsistent-verdicts rule inapplicable)
(Powell, has, inconsistent-verdicts rule)
(eventual invalidation, rendered, Powell 's inconsistent-verdicts rule inapplicable)
(Court, rejected, petitioners ' argument)
(§ 666 bribery convictions, were, part)
(§ bribery convictions, were part of, record)
(§ bribery convictions, were, part)
(§ 666 bribery convictions, were part of, record)
(Informed, recognized in, Yeager)
(Informed, recognized by, our decision)
(First Circuit, recognized in, Yeager)
(First Circuit, recognized by, our decision)
(jury decisions, is In, contrast)
(convictions, are relevant to, Ashe inquiry)
(vacated convictions, are relevant to, Ashe inquiry)
(vacated convictions, are, relevant)
(convictions, are, relevant)
(We, resolve, conflict)
(convictions, are vacated for, error unrelated)
(convictions, are vacated for, legal error unrelated)
(convictions, are vacated for, error)
(convictions, are later vacated for, error unrelated to inconsistency)
(convictions, are later vacated for, error)
(convictions, are later vacated for, error unrelated)
(We, resolve, conflict among courts on question)
(convictions, are later vacated for, legal error unrelated)
(We, resolve, conflict on question)
(convictions, are, later vacated)
(convictions, are vacated for, error unrelated to inconsistency)
(convictions, are vacated for, legal error unrelated to inconsistency)
(convictions, are later vacated for, legal error unrelated to inconsistency)
(convictions, are later vacated for, legal error)
(We, granted, certiorari)
(convictions, are, vacated)
(We, resolve, conflict among courts)
(convictions, are vacated for, legal error)
(First Circuit, has, judgment)
(Double Jeopardy Clause does bar, is in, circumstances)
(we, affirm, First Circuit 's judgment)
(conviction, is overturned on, appeal)
(conviction, is, When overturned on appeal)
(conviction, is, overturned)
(conviction, is, When overturned)
(consequence, is, trial shorn)
(ordinary consequence, is, trial)
(vacatur, consequence of is, trial shorn)
(consequence, is, trial)
(ordinary consequence, is new trial, Government elects)
(consequence, is, new)
(vacatur, ordinary consequence of is, trial)
(consequence, is new trial, Government elects)
(ordinary consequence, is trial, Government so elects)
(vacatur, consequence of is, new trial)
(vacatur, ordinary consequence of is, new trial)
(consequence, is, new trial shorn)
(ordinary consequence, is new trial, Government so elects)
(ordinary consequence, is, new trial shorn)
(consequence, is new trial, Government so elects)
(vacatur, ordinary consequence of is, trial shorn)
(consequence, is, new trial)
(vacatur, consequence of is, new trial shorn)
(consequence, is trial, Government so elects)
(ordinary consequence, is trial, Government elects)
(ordinary consequence, is, trial shorn)
(vacatur, ordinary consequence of is, new trial shorn)
(consequence, is trial, Government elects)
(vacatur, consequence of is, trial)
(ordinary consequence, is, new trial)
(jeopardy rule, gives effect to, vacated judgment)
(continuing jeopardy rule, gives, effect)
(continuing jeopardy rule, neither gives effect to, judgment)
(continuing jeopardy rule, gives effect to, vacated judgment)
(continuing jeopardy rule, offends, jeopardy principles)
(continuing jeopardy rule, neither gives, effect)
(jeopardy rule, offends, double jeopardy principles)
(jeopardy rule, neither gives effect to, vacated judgment)
(jeopardy rule, gives effect to, judgment)
(continuing jeopardy rule, offends, double jeopardy principles)
(continuing jeopardy rule, neither gives effect to, vacated judgment)
(jeopardy rule, gives, effect)
(continuing jeopardy rule, gives effect to, judgment)
(jeopardy rule, neither gives, effect)
(jeopardy rule, offends, jeopardy principles)
(jeopardy rule, neither gives effect to, judgment)
(full course, proceedings against, accused)
(full course, criminal proceedings against, accused)
(their full course, proceedings against, accused)
(their full course, criminal proceedings against, accused)
(society, has, interests in fair administration of justice)
(rule, permitting, new trial post vacatur)
(rule, permitting, trial post vacatur)
(society 's interests, is in, fair administration of justice)
(continuing-jeopardy rule, permitting, trial post vacatur)
(continuing-jeopardy rule, permitting, new trial post vacatur)
(It, be, high)
(It, be price indeed, society pay)
(It, be, price)
(It, be high price indeed, society pay)
(It, be, price indeed)
(It, be, high price indeed)
(It, be high price, society pay)
(It, be, high price)
(It, be price, society pay)
(they, now are protecting against, effects of improprieties)
(reversal, put, the accused beyond reach of prosecution)
(courts, be zealous, now protecting)
(reversal, put, the accused beyond reach of further prosecution)
(they, are, now protecting)
(they, are protecting against, effects of improprieties)
(courts, be, as zealous)
(rights, would suffer for, doubtful)
(they, are protecting against, effects)
(they, now are protecting against, effects at trial)
(appellate courts, be, as zealous)
(reversal, put, the accused irrevocably beyond reach of further prosecution)
(they, are, protecting)
(rights, would suffer for, at least doubtful)
(appellate courts, be as zealous, protecting against effects)
(reversal, put, the accused)
(courts, be as zealous, protecting)
(reversal, put, the accused beyond reach)
(reversal, put, the accused irrevocably beyond reach of prosecution)
(reversal, put, the accused irrevocably beyond reach)
(the, reversal of, conviction)
(they, now are protecting against, effects)
(it, is for, doubtful)
(appellate courts, be zealous, protecting against effects)
(courts, be as zealous, protecting against effects)
(courts, be as zealous, now protecting against effects)
(appellate courts, be as zealous, now protecting)
(courts, be, zealous)
(it, is for, at least doubtful)
(courts, be zealous, protecting against effects)
(appellate courts, be zealous, protecting)
(courts, be as zealous, they knew)
(reversal, put, the)
(courts, be zealous, they knew)
(they, are protecting against, effects at trial)
(courts, be as zealous, now protecting)
(courts, be zealous, now protecting against effects)
(appellate courts, be as zealous, protecting)
(they, now are protecting against, effects of improprieties at trial)
(appellate courts, be, zealous)
(appellate courts, be zealous, now protecting against effects)
(appellate courts, be zealous, now protecting)
(appellate courts, be as zealous, they knew)
(courts, be zealous, protecting)
(they, are protecting against, effects of improprieties at trial)
(appellate courts, be as zealous, now protecting against effects)
(appellate courts, be zealous, they knew)
(Bravo, ask, us)
(conviction, vacatur of is, order)
(us, deviate from, rule)
(us, deviate from, general rule)
(Martínez, ask, us)
(post vacatur, is in, order)
(conviction, is, When vacated on appeal)
(conviction, is, When vacated)
(conviction, is vacated on, appeal)
(conviction, is, vacated)
(jury, necessarily resolved in, their favor)
(jury, necessarily resolved question in, their favor)
(Bravo, bear, burden demonstrating)
(jury, resolved in, their favor)
(jury, resolved question in, their favor)
(jury, resolved, question)
(jury, necessarily resolved, question)
(they, violated, § 666)
(Martínez, bear, burden demonstrating)
(233, at Schiro is, 510 U. S.)
(jury, traveling with, intent)
(jury, convicted, Bravo)
(jury, violating, § 666)
(jury, acquitted, them)
(jury, Here convicted, Bravo)
(convictions, are, irreconcilable)
(acquittals, are, irreconcilable)
(It, is, unknowable)
(confidence, is in, determination)
(Government, of, inability obtain)
(68, at acquittals is, Powell)
(trial record, is with, eye to circumstances of proceedings)
(us, approach, task)
(Ashe, counsels, us)
(realism, is in, particular)
(facts, is in, light of charges presented at trial)
(conviction, is appropriately considered, issue preclusion depends on jury 's assessment of facts in light of charges presented at trial)
(verdict, of, preclusive effect)
(conviction, is considered in, our assessment of verdict 's effect)
(conviction, is considered in, our assessment of verdict 's preclusive effect)
(conviction, is appropriately considered, issue preclusion depends on jury 's assessment)
(conviction, is appropriately considered in, our assessment)
(conviction, is appropriately considered, issue preclusion depends on jury 's assessment of facts in light)
(conviction, is appropriately considered, issue preclusion depends)
(issue preclusion, depends on, jury 's assessment of facts)
(conviction, is, considered)
(conviction, is considered, issue preclusion depends on jury 's assessment of facts in light of charges presented at trial)
(conviction, is appropriately considered in, our assessment of verdict 's preclusive effect)
(conviction, is considered, issue preclusion depends on jury 's assessment)
(conviction, is appropriately considered in, our assessment of verdict 's effect)
(conviction, is appropriately considered, issue preclusion depends on jury 's assessment of facts in light of charges presented)
(conviction, is considered, issue preclusion depends)
(conviction, is appropriately considered, issue preclusion depends on jury 's assessment of facts)
(issue preclusion, depends on, jury 's assessment)
(issue preclusion, depends on, jury 's assessment of facts in light of charges presented at trial)
(conviction, is considered, issue preclusion depends on jury 's assessment of facts)
(jury, on, assessment of facts in light of charges presented at trial)
(conviction, is considered, issue preclusion depends on jury 's assessment of facts in light)
(conviction, is considered, issue preclusion depends on jury 's assessment of facts in light of charges presented)
(issue preclusion, depends on, jury 's assessment of facts in light)
(conviction, is, appropriately considered)
(issue preclusion, depends on, jury 's assessment of facts in light of charges presented)
(conviction, is considered in, our assessment)
(jurors, is in, case)
(court 's evaluation, is, equivalent)
(court 's evaluation, is equivalent For, double jeopardy purposes)
(court 's evaluation, is equivalent For, jeopardy purposes)
(court, has, evaluation of evidence as insufficient)
(court 's evaluation, is, For double jeopardy purposes equivalent to acquittal)
(court 's evaluation, is equivalent to, acquittal)
(court 's evaluation, is, For jeopardy purposes equivalent to acquittal)
(defendants, are afforded, protection)
(defendants, are afforded, protection by independent review of sufficiency)
(defendants, protection against, jury irrationality)
(defendants, are afforded, protection by independent review)
(defendants, are afforded, protection against jury irrationality by review of sufficiency)
(defendants, protection by, review)
(defendants, protection by, independent review of sufficiency)
(defendants, are afforded, protection by review)
(defendants, are afforded, protection by review of sufficiency)
(defendants, protection by, independent review)
(defendants, are afforded, protection against jury irrationality)
(defendants, protection by, review of sufficiency of evidence)
(defendants, are afforded, protection against jury irrationality by independent review of sufficiency)
(defendants, protection by, independent review of sufficiency of evidence)
(defendants, are afforded, protection against jury irrationality by review of sufficiency of evidence)
(defendants, are afforded, protection by review of sufficiency of evidence)
(defendants, are afforded, protection by independent review of sufficiency of evidence)
(defendants, protection by, review of sufficiency)
(defendants, are afforded, protection against jury irrationality by review)
(defendants, are afforded, protection against jury irrationality by independent review)
(defendants, are afforded, protection against jury irrationality by independent review of sufficiency of evidence)
(prosecution, muster, sufficient evidence in first proceeding)
(prosecution, muster, evidence in first proceeding)
(prosecution, muster, evidence)
(prosecution, muster, sufficient evidence)
(prosecution, muster, evidence in proceeding)
(sufficient evidence, is in, first proceeding)
(prosecution, muster, sufficient evidence in proceeding)
(11, at Burks is, 437 U. S.)
(it, encompassed, gratuities)
(jury charge, erroneous to, extent)
(Vacatur, was, compelled)
(First Circuit, found, jury charge erroneous to extent)
(Vacatur, was compelled for, sole reason)
(First Circuit, found, jury charge erroneous)
(Vacatur, was compelled for, reason)
(14, at Burks is, 437 U. S.)
(trial error, could resolve, apparent inconsistency in jury 's verdicts)
(trial error, apparent inconsistency in, jury 's verdicts)
(jury, in, verdicts)
(apparent inconsistency, is in, jury 's verdicts)
(trial error, could resolve, apparent inconsistency)
(retrial, would, would tolerable)
(error, See, Brief)
(instructional error, See, Brief for United States 30)
(instructional error, See, Brief)
(jury, receives, erroneous instruction)
(See, Brief for, United States 30)
(error, See, Brief for United States 30)
(case, is in, As Powell)
(jury, reached, results)
(same jury, reached, results)
(jury, reached, inconsistent results)
(same jury, reached, inconsistent results)
(jury, has, otherwise inconsistent verdict)
(our decision, support, their argument)
(our decision, is in, Yeager)
(effect, taking, account of conviction in our issue-preclusion analysis)
(taking, account of, vacated conviction)
(vacated conviction, considering, vacated count)
(taking, account of, conviction in our issue-preclusion analysis)
(effect, taking, account of vacated conviction)
(effect, taking, account of conviction)
(conviction, considering, count)
(taking, account of, vacated conviction in our issue-preclusion analysis)
(effect, taking, account of vacated conviction in our issue-preclusion analysis)
(taking, account of, conviction)
(vacated conviction, considering, count)
(conviction, considering, vacated count)
(effect, taking, account)
(vacated conviction, is in, our issue-preclusion analysis)
(argument, misapprehends, Ashe inquiry)
(It, is, undisputed)
(issue preclusion, stops, Government)
(issue preclusion, prosecuting, them)
(issue preclusion, prosecuting anew, them)
(Bravo, bear, burden showing)
(issue, been, determined)
(Martínez, bear, burden showing)
(issue, been determined by, valid judgment)
(issue, been determined by, judgment)
(issue, been determined by, valid judgment of acquittal)
(issue, been determined by, judgment of acquittal)
(they, violated, § 666)
(119, at Yeager is, 557 U. S.)
(they, carried, that)
(444, at Ashe is, 397 U. S.)
(court, has, instructions)
(65, at Powell is, 469 U. S.)
(jury, was allowed, convict)
(jury, convict on, basis)
(jury, was, allowed)
(jury, was allowed, convict on basis)
(Yeager, on, reasoning)
(decision, evidence of, irrationality)
(guilt, verdict of is, by contrast jury decision)
(verdict, even subsequently vacated on, appeal)
(verdict, is, by contrast jury decision)
(verdict, subsequently vacated on, appeal)
(verdict, vacated on, appeal)
(verdict, even vacated on, appeal)
(guilt, verdict of is, jury decision)
(verdict, is, jury decision)
(It, can evince, irrationality)
(It, therefore can evince, irrationality)
(jury, has, inconsis-tency)
(instructional error, Brief for, Petitioners 28-29)
