from	 criminal_triples/case_11.txt	 Petitioner Jae Lee	 moved from	 South Korea 	 Petitioner Jae Lee moved to the United States from South Korea with his parents when he was 13
petitioner	 criminal_triples/case_11.txt	 petitioner	 has	 guilty plea 	 The Court today observes that petitioner's guilty plea meant that he did not go to trial
gamble	 criminal_triples/case_11.txt	 petitioner	 chosen	 gamble on trial 	 This point is key to the majority's conclusion that petitioner would have chosen to gamble on a trial even though he had no viable defense
point	 criminal_triples/case_11.txt	 point	 is	 key 	 This point is key to the majority's conclusion that petitioner would have chosen to gamble on a trial even though he had no viable defense
key	 criminal_triples/case_11.txt	 point	 is	 key 	 This point is key to the majority's conclusion that petitioner would have chosen to gamble on a trial even though he had no viable defense
analysis	 criminal_triples/case_11.txt	 majority	 has	 analysis 	 The majority's analysis, however, is directly contrary to Hill, which instructed a court undertaking a prejudice analysis to apply a presumption of reliability to the hypothetical trial that would have occurred had the defendant not pleaded guilty
predictive	 criminal_triples/case_11.txt	 court	 engage in	 predictive inquiry about likelihood 	 After explaining that a court should engage in a predictive inquiry about the likelihood of a defendant securing a better result at trial, the Court said: "As we explained in Strickland v. Washington, supra, these predictions of the outcome at a possible trial, where necessary, should be made objectively, without regard for the 'idiosyncrasies of the particular decisionmaker.' 
likelihood	 criminal_triples/case_11.txt	 court	 engage in	 predictive inquiry about likelihood 	 After explaining that a court should engage in a predictive inquiry about the likelihood of a defendant securing a better result at trial, the Court said: "As we explained in Strickland v. Washington, supra, these predictions of the outcome at a possible trial, where necessary, should be made objectively, without regard for the 'idiosyncrasies of the particular decisionmaker.' 
securing	 criminal_triples/case_11.txt	 securing	 result at	 trial 	 After explaining that a court should engage in a predictive inquiry about the likelihood of a defendant securing a better result at trial, the Court said: "As we explained in Strickland v. Washington, supra, these predictions of the outcome at a possible trial, where necessary, should be made objectively, without regard for the 'idiosyncrasies of the particular decisionmaker.' 
said	 criminal_triples/case_11.txt	 Court	 said	 explaining 	 After explaining that a court should engage in a predictive inquiry about the likelihood of a defendant securing a better result at trial, the Court said: "As we explained in Strickland v. Washington, supra, these predictions of the outcome at a possible trial, where necessary, should be made objectively, without regard for the 'idiosyncrasies of the particular decisionmaker.' 
explaining	 criminal_triples/case_11.txt	 Court	 said	 explaining 	 After explaining that a court should engage in a predictive inquiry about the likelihood of a defendant securing a better result at trial, the Court said: "As we explained in Strickland v. Washington, supra, these predictions of the outcome at a possible trial, where necessary, should be made objectively, without regard for the 'idiosyncrasies of the particular decisionmaker.' 
quote	 criminal_triples/case_11.txt	 quote	 comes from	 same paragraph 	 That quote comes from the same paragraph in Strickland as the discussion about the presumption of reliability that attaches to the trial
paragraph	 criminal_triples/case_11.txt	 quote	 comes from	 same paragraph 	 That quote comes from the same paragraph in Strickland as the discussion about the presumption of reliability that attaches to the trial
discussion	 criminal_triples/case_11.txt	 quote	 comes from	 same paragraph in Strickland as discussion 	 That quote comes from the same paragraph in Strickland as the discussion about the presumption of reliability that attaches to the trial
foregone	 criminal_triples/case_11.txt	 foregone trial	 been	 reliable 	 In other words, Hill instructs that the prejudice inquiry must presume that the foregone trial would have been reliable
instructs	 criminal_triples/case_11.txt	 Hill	 instructs In	 other words 	 In other words, Hill instructs that the prejudice inquiry must presume that the foregone trial would have been reliable
words	 criminal_triples/case_11.txt	 Hill	 instructs In	 other words 	 In other words, Hill instructs that the prejudice inquiry must presume that the foregone trial would have been reliable
statements	 criminal_triples/case_11.txt	 statements	 presuming in	 only discussing 	 The majority responds that Hill made statements about presuming a reliable trial only in "discussing how courts should analyze 'predictions of the outcome at a possible trial,' " which "will not always be 'necessary.' 
presuming	 criminal_triples/case_11.txt	 statements	 presuming in	 only discussing 	 The majority responds that Hill made statements about presuming a reliable trial only in "discussing how courts should analyze 'predictions of the outcome at a possible trial,' " which "will not always be 'necessary.' 
discussing	 criminal_triples/case_11.txt	 statements	 presuming in	 only discussing 	 The majority responds that Hill made statements about presuming a reliable trial only in "discussing how courts should analyze 'predictions of the outcome at a possible trial,' " which "will not always be 'necessary.' 
courts	 criminal_triples/case_11.txt	 courts	 analyze	 predictions of outcome 	 The majority responds that Hill made statements about presuming a reliable trial only in "discussing how courts should analyze 'predictions of the outcome at a possible trial,' " which "will not always be 'necessary.' 
analyze	 criminal_triples/case_11.txt	 courts	 analyze	 predictions of outcome 	 The majority responds that Hill made statements about presuming a reliable trial only in "discussing how courts should analyze 'predictions of the outcome at a possible trial,' " which "will not always be 'necessary.' 
predictions	 criminal_triples/case_11.txt	 courts	 analyze	 predictions of outcome 	 The majority responds that Hill made statements about presuming a reliable trial only in "discussing how courts should analyze 'predictions of the outcome at a possible trial,' " which "will not always be 'necessary.' 
possible	 criminal_triples/case_11.txt	 courts	 analyze predictions at	 possible trial 	 The majority responds that Hill made statements about presuming a reliable trial only in "discussing how courts should analyze 'predictions of the outcome at a possible trial,' " which "will not always be 'necessary.' 
pleas	 criminal_triples/case_11.txt	 guilty pleas	 are	 themselves reliable 	 In any event, the Court in Hill recognized that guilty pleas are themselves generally reliable
themselves	 criminal_triples/case_11.txt	 guilty pleas	 are	 themselves reliable 	 In any event, the Court in Hill recognized that guilty pleas are themselves generally reliable
generally	 criminal_triples/case_11.txt	 pleas	 are	 themselves generally reliable 	 In any event, the Court in Hill recognized that guilty pleas are themselves generally reliable
recognized	 criminal_triples/case_11.txt	 Court	 recognized In	 event 	 In any event, the Court in Hill recognized that guilty pleas are themselves generally reliable
event	 criminal_triples/case_11.txt	 Court	 recognized In	 event 	 In any event, the Court in Hill recognized that guilty pleas are themselves generally reliable
rise	 criminal_triples/case_11.txt	 Guilty pleas	 rarely give	 rise to concern 	 Guilty pleas "rarely" give rise to the "concern that unfair procedures may have resulted in the conviction of an innocent defendant.
concern	 criminal_triples/case_11.txt	 Guilty pleas	 rarely give	 rise to concern 	 Guilty pleas "rarely" give rise to the "concern that unfair procedures may have resulted in the conviction of an innocent defendant.
procedures	 criminal_triples/case_11.txt	 procedures	 resulted in	 conviction of defendant 	 Guilty pleas "rarely" give rise to the "concern that unfair procedures may have resulted in the conviction of an innocent defendant.
resulted	 criminal_triples/case_11.txt	 procedures	 resulted in	 conviction of defendant 	 Guilty pleas "rarely" give rise to the "concern that unfair procedures may have resulted in the conviction of an innocent defendant.
unfair	 criminal_triples/case_11.txt	 unfair procedures	 resulted in	 conviction 	 Guilty pleas "rarely" give rise to the "concern that unfair procedures may have resulted in the conviction of an innocent defendant.
counseled	 criminal_triples/case_11.txt	 counseled plea	 is	 admission reliable 	 That is because "a counseled plea of guilty is an admission of factual guilt so reliable that, where voluntary and intelligent, it quite validly removes the issue of factual guilt from the case.
admission	 criminal_triples/case_11.txt	 counseled plea	 is	 admission reliable 	 That is because "a counseled plea of guilty is an admission of factual guilt so reliable that, where voluntary and intelligent, it quite validly removes the issue of factual guilt from the case.
factual	 criminal_triples/case_11.txt	 counseled plea	 is admission reliable of	 factual guilt 	 That is because "a counseled plea of guilty is an admission of factual guilt so reliable that, where voluntary and intelligent, it quite validly removes the issue of factual guilt from the case.
entitled	 criminal_triples/case_11.txt	 Guilty pleas	 are	 entitled 	 Guilty pleas, like completed trials, are therefore entitled to the protections against collateral attack that the Strickland prejudice standard affords
protections	 criminal_triples/case_11.txt	 Guilty pleas	 are therefore entitled to	 protections against collateral attack 	 Guilty pleas, like completed trials, are therefore entitled to the protections against collateral attack that the Strickland prejudice standard affords
against	 criminal_triples/case_11.txt	 Guilty pleas	 are therefore entitled to	 protections against collateral attack 	 Guilty pleas, like completed trials, are therefore entitled to the protections against collateral attack that the Strickland prejudice standard affords
collateral	 criminal_triples/case_11.txt	 Guilty pleas	 are therefore entitled to	 protections against collateral attack 	 Guilty pleas, like completed trials, are therefore entitled to the protections against collateral attack that the Strickland prejudice standard affords
applying	 criminal_triples/case_11.txt	 it	 applying	 same standard 	 To the contrary, the Court repeatedly stated that it was applying the "same two-part standard" from Strickland
stated	 criminal_triples/case_11.txt	 Court	 repeatedly stated To	 contrary 	 To the contrary, the Court repeatedly stated that it was applying the "same two-part standard" from Strickland
accord	 criminal_triples/case_11.txt	 140	 at accord is	 U. S. 	 Hill, supra, at 57 (emphasis added); accord, Frye, 566, U. S., at 140 ("Hill established that claims of ineffective assistance of counsel in the plea bargain context are governed by the two-part test set forth in Strickland"); Lafler, 566 U. S., at 162-163 (applying Strickland)
goes	 criminal_triples/case_11.txt	 defendant	 goes to	 trial 	 It instead concludes that one standard applies when a defendant goes to trial (Strickland); another standard applies when a defendant accepts a plea (Hill); and yet another standard applies when counsel does not apprise the defendant of an available plea or when the defendant rejects a plea (Frye and Lafler)
accepts	 criminal_triples/case_11.txt	 defendant	 accepts	 Hill 	 It instead concludes that one standard applies when a defendant goes to trial (Strickland); another standard applies when a defendant accepts a plea (Hill); and yet another standard applies when counsel does not apprise the defendant of an available plea or when the defendant rejects a plea (Frye and Lafler)
take	 criminal_triples/case_11.txt	 we	 should take	 Court 's precedents 	 In my view, we should take the Court's precedents at their word and conclude that "[a]n error by counsel . . . does not warrant setting aside the judgment of a criminal proceeding if the error had no effect on the judgment.
expressly	 criminal_triples/case_11.txt	 Court	 expressly foreclosed	 relying on possibility 	 As I have explained, however, the Court in Strickland expressly foreclosed relying on the possibility of a "Hail Mary" to establish prejudice
foreclosed	 criminal_triples/case_11.txt	 Court	 expressly foreclosed	 relying on possibility 	 As I have explained, however, the Court in Strickland expressly foreclosed relying on the possibility of a "Hail Mary" to establish prejudice
relying	 criminal_triples/case_11.txt	 Court	 expressly foreclosed	 relying on possibility 	 As I have explained, however, the Court in Strickland expressly foreclosed relying on the possibility of a "Hail Mary" to establish prejudice
shoes	 criminal_triples/case_11.txt	 defendant	 is in	 petitioner 's shoes 	 A defendant in petitioner's shoes, therefore, would have suffered the same deportation consequences regardless of whether he accepted a plea or went to trial
justice	 criminal_triples/case_11.txt	 Court 's decision today	 will have	 consequences for criminal justice system 	 The Court's decision today will have pernicious consequences for the criminal justice system
system	 criminal_triples/case_11.txt	 Court 's decision today	 will have	 consequences for criminal justice system 	 The Court's decision today will have pernicious consequences for the criminal justice system
pernicious	 criminal_triples/case_11.txt	 Court 's decision	 will have	 pernicious consequences for justice system 	 The Court's decision today will have pernicious consequences for the criminal justice system
stability	 criminal_triples/case_11.txt	 stability	 certainty to	 justice system 	 This Court has shown special solicitude for the plea process, which brings "stability" and "certainty" to "the criminal justice system.
certainty	 criminal_triples/case_11.txt	 stability	 certainty to	 justice system 	 This Court has shown special solicitude for the plea process, which brings "stability" and "certainty" to "the criminal justice system.
shown	 criminal_triples/case_11.txt	 Court	 has shown	 special solicitude 	 This Court has shown special solicitude for the plea process, which brings "stability" and "certainty" to "the criminal justice system.
solicitude	 criminal_triples/case_11.txt	 Court	 has shown	 special solicitude 	 This Court has shown special solicitude for the plea process, which brings "stability" and "certainty" to "the criminal justice system.
prospect	 criminal_triples/case_11.txt	 prospect	 undermine	 values 	 The Court has warned that "the prospect of collateral challenges" threatens to undermine these important values
undermine	 criminal_triples/case_11.txt	 prospect	 undermine	 values 	 The Court has warned that "the prospect of collateral challenges" threatens to undermine these important values
values	 criminal_triples/case_11.txt	 prospect	 undermine	 values 	 The Court has warned that "the prospect of collateral challenges" threatens to undermine these important values
important	 criminal_triples/case_11.txt	 prospect	 undermine	 important values 	 The Court has warned that "the prospect of collateral challenges" threatens to undermine these important values
generate	 criminal_triples/case_11.txt	 Court 's standard	 generate	 volume of challenges to existing plea agreements 	 For one thing, the Court's artificially cabined standard for prejudice in the plea context is likely to generate a high volume of challenges to existing and future plea agreements
volume	 criminal_triples/case_11.txt	 Court 's standard	 generate	 volume of challenges to existing plea agreements 	 For one thing, the Court's artificially cabined standard for prejudice in the plea context is likely to generate a high volume of challenges to existing and future plea agreements
existing	 criminal_triples/case_11.txt	 Court 's standard	 generate	 volume of challenges to existing plea agreements 	 For one thing, the Court's artificially cabined standard for prejudice in the plea context is likely to generate a high volume of challenges to existing and future plea agreements
agreements	 criminal_triples/case_11.txt	 Court 's standard	 generate	 volume of challenges to existing plea agreements 	 For one thing, the Court's artificially cabined standard for prejudice in the plea context is likely to generate a high volume of challenges to existing and future plea agreements
thing	 criminal_triples/case_11.txt	 Court 's standard	 is likely For	 one thing 	 For one thing, the Court's artificially cabined standard for prejudice in the plea context is likely to generate a high volume of challenges to existing and future plea agreements
artificially	 criminal_triples/case_11.txt	 Court	 has	 artificially cabined standard for prejudice in plea context 	 For one thing, the Court's artificially cabined standard for prejudice in the plea context is likely to generate a high volume of challenges to existing and future plea agreements
defendants	 criminal_triples/case_11.txt	 defendants	 bringing	 challenges 	 Under the majority's standard, defendants bringing these challenges will bear a relatively low burden to show prejudice
bringing	 criminal_triples/case_11.txt	 defendants	 bringing	 challenges 	 Under the majority's standard, defendants bringing these challenges will bear a relatively low burden to show prejudice
asserting	 criminal_triples/case_11.txt	 asserting	 claim of	 assistance of counsel 	 Whereas a defendant asserting an ordinary claim of ineffective assistance of counsel must prove that the ultimate outcome of his case would have been different, the Court today holds that a defendant who pleaded guilty need show only that he would have rejected his plea and gone to trial
challenge	 criminal_triples/case_11.txt	 challenge	 will	 will highly fact-intensive undertaking 	 Under the Court's standard, a challenge to a guilty plea will be a highly fact-intensive, defendant-specific undertaking
undertaking	 criminal_triples/case_11.txt	 challenge	 will	 will highly fact-intensive undertaking 	 Under the Court's standard, a challenge to a guilty plea will be a highly fact-intensive, defendant-specific undertaking
convictions	 criminal_triples/case_11.txt	 criminal convictions	 percent of are	 result 	 Given that more than 90 percent of criminal convictions are the result of guilty pleas, Frye, 566 U. S., at 143, the burden of holding evidentiary hearings on these claims could be significant
percent	 criminal_triples/case_11.txt	 criminal convictions	 percent of are	 result 	 Given that more than 90 percent of criminal convictions are the result of guilty pleas, Frye, 566 U. S., at 143, the burden of holding evidentiary hearings on these claims could be significant
admitted	 criminal_triples/case_11.txt	 defendant	 has admitted	 his guilt 	 In circumstances where a defendant has admitted his guilt, the evidence against him is overwhelming, and he has no bona fide defense strategy, I see no justification for imposing these costs
reasons	 criminal_triples/case_11.txt	 I	 would affirm judgment For	 reasons 	 For these reasons, I would affirm the judgment of the Court of Appeals
dissent	 criminal_triples/case_11.txt	 dissent	 also relies heavily on	 Missouri 	 The dissent also relies heavily on Missouri v. Frye, 566 U. S. 134 (2012), and Lafler v. Cooper, 566 U. S. 156 (2012)
heavily	 criminal_triples/case_11.txt	 dissent	 also relies heavily on	 Missouri 	 The dissent also relies heavily on Missouri v. Frye, 566 U. S. 134 (2012), and Lafler v. Cooper, 566 U. S. 156 (2012)
alter	 criminal_triples/case_11.txt	 nothing	 alter	 standard 	 In both Frye and Lafler, the Court highlighted this difference: Immediately following the sentence that the dissent plucks from Frye, post, at 5 (opinion of Thomas, J.), the Court explained that its "application of Strickland to the instances of an uncommunicated, lapsed plea does nothing to alter the standard laid out in Hill.
plucks	 criminal_triples/case_11.txt	 dissent	 plucks from	 post 	 In both Frye and Lafler, the Court highlighted this difference: Immediately following the sentence that the dissent plucks from Frye, post, at 5 (opinion of Thomas, J.), the Court explained that its "application of Strickland to the instances of an uncommunicated, lapsed plea does nothing to alter the standard laid out in Hill.
post	 criminal_triples/case_11.txt	 dissent	 plucks from	 post 	 In both Frye and Lafler, the Court highlighted this difference: Immediately following the sentence that the dissent plucks from Frye, post, at 5 (opinion of Thomas, J.), the Court explained that its "application of Strickland to the instances of an uncommunicated, lapsed plea does nothing to alter the standard laid out in Hill.
element	 criminal_triples/case_11.txt	 pleas	 element to	 Hill inquiry 	 Frye and Lafler articulated a different way to show prejudice, suited to the context of pleas not accepted, not an additional element to the Hill inquiry
assertion	 criminal_triples/case_11.txt	 8-9	 at assertion is	 post 	 Contrary to the dissent's assertion, post, at 8-9, we do not depart from Strickland's requirement of prejudice
how	 criminal_triples/case_11.txt	 required prejudice	 be	 how shown 	 The issue is how the required prejudice may be shown
fact	 criminal_triples/case_11.txt	 dissent	 makes	 much of fact 	 The dissent makes much of the fact that Hill v. Lockhart, 474 U. S. 52 (1985), also noted that courts should ignore the "idiosyncrasies of the particular decisionmaker.
effects	 criminal_triples/case_11.txt	 error	 has	 effects on decisionmaking making 	 As we have explained, assessing the effect of some types of attorney errors on defendants' decisionmaking involves such predictions: Where an attorney error allegedly affects how a trial would have played out, we analyze that error's effects on a defendant's decisionmaking by making a prediction of the likely trial outcome
making	 criminal_triples/case_11.txt	 error	 has	 effects on decisionmaking making 	 As we have explained, assessing the effect of some types of attorney errors on defendants' decisionmaking involves such predictions: Where an attorney error allegedly affects how a trial would have played out, we analyze that error's effects on a defendant's decisionmaking by making a prediction of the likely trial outcome
assessing	 criminal_triples/case_11.txt	 assessing	 effect of	 types 	 As we have explained, assessing the effect of some types of attorney errors on defendants' decisionmaking involves such predictions: Where an attorney error allegedly affects how a trial would have played out, we analyze that error's effects on a defendant's decisionmaking by making a prediction of the likely trial outcome
types	 criminal_triples/case_11.txt	 assessing	 effect of	 types 	 As we have explained, assessing the effect of some types of attorney errors on defendants' decisionmaking involves such predictions: Where an attorney error allegedly affects how a trial would have played out, we analyze that error's effects on a defendant's decisionmaking by making a prediction of the likely trial outcome
involves	 criminal_triples/case_11.txt	 case	 involves	 claim 	 The present case involves a claim of ineffectiveness of counsel extending to advice specifically undermining the judge's warnings themselves, which the defendant contemporaneously stated on the record he did not understand
ineffectiveness	 criminal_triples/case_11.txt	 present case	 involves	 claim of ineffectiveness of counsel 	 The present case involves a claim of ineffectiveness of counsel extending to advice specifically undermining the judge's warnings themselves, which the defendant contemporaneously stated on the record he did not understand
extending	 criminal_triples/case_11.txt	 case	 involves	 claim of ineffectiveness of counsel extending 	 The present case involves a claim of ineffectiveness of counsel extending to advice specifically undermining the judge's warnings themselves, which the defendant contemporaneously stated on the record he did not understand
based	 criminal_triples/case_11.txt	 defendant	 probability of	 different result based on purely hypothetical plea offer subject to executive discretion 	 [A] defendant has no right to be offered a plea," Missouri v. Frye, 566 U. S. 134, 148 (2012); Lafler v. Cooper, 566 U. S. 156, 168 (2012), and this Court has never concluded that a defendant could show a "reasonable probability" of a different result based on a purely hypothetical plea offer subject to absolute executive discretion
purely	 criminal_triples/case_11.txt	 defendant	 probability of	 different result based on purely hypothetical plea offer subject to executive discretion 	 [A] defendant has no right to be offered a plea," Missouri v. Frye, 566 U. S. 134, 148 (2012); Lafler v. Cooper, 566 U. S. 156, 168 (2012), and this Court has never concluded that a defendant could show a "reasonable probability" of a different result based on a purely hypothetical plea offer subject to absolute executive discretion
executive	 criminal_triples/case_11.txt	 defendant	 probability of	 different result based on purely hypothetical plea offer subject to executive discretion 	 [A] defendant has no right to be offered a plea," Missouri v. Frye, 566 U. S. 134, 148 (2012); Lafler v. Cooper, 566 U. S. 156, 168 (2012), and this Court has never concluded that a defendant could show a "reasonable probability" of a different result based on a purely hypothetical plea offer subject to absolute executive discretion
discretion	 criminal_triples/case_11.txt	 defendant	 probability of	 different result based on purely hypothetical plea offer subject to executive discretion 	 [A] defendant has no right to be offered a plea," Missouri v. Frye, 566 U. S. 134, 148 (2012); Lafler v. Cooper, 566 U. S. 156, 168 (2012), and this Court has never concluded that a defendant could show a "reasonable probability" of a different result based on a purely hypothetical plea offer subject to absolute executive discretion
absolute	 criminal_triples/case_11.txt	 defendant	 show	 probability of result based on purely hypothetical plea offer subject to absolute executive discretion 	 [A] defendant has no right to be offered a plea," Missouri v. Frye, 566 U. S. 134, 148 (2012); Lafler v. Cooper, 566 U. S. 156, 168 (2012), and this Court has never concluded that a defendant could show a "reasonable probability" of a different result based on a purely hypothetical plea offer subject to absolute executive discretion
ago	 criminal_triples/case_12.txt	 Vernon Madison	 ago crept up behind	 police officer Julius Schulte 	 More than 30 years ago, Vernon Madison crept up behind police officer Julius Schulte and shot him twice in the head at close range
crept	 criminal_triples/case_12.txt	 Vernon Madison	 ago crept up behind	 police officer Julius Schulte 	 More than 30 years ago, Vernon Madison crept up behind police officer Julius Schulte and shot him twice in the head at close range
up	 criminal_triples/case_12.txt	 Vernon Madison	 ago crept up behind	 police officer Julius Schulte 	 More than 30 years ago, Vernon Madison crept up behind police officer Julius Schulte and shot him twice in the head at close range
behind	 criminal_triples/case_12.txt	 Vernon Madison	 ago crept up behind	 police officer Julius Schulte 	 More than 30 years ago, Vernon Madison crept up behind police officer Julius Schulte and shot him twice in the head at close range
police	 criminal_triples/case_12.txt	 Vernon Madison	 ago crept up behind	 police officer Julius Schulte 	 More than 30 years ago, Vernon Madison crept up behind police officer Julius Schulte and shot him twice in the head at close range
officer	 criminal_triples/case_12.txt	 Vernon Madison	 ago crept up behind	 police officer Julius Schulte 	 More than 30 years ago, Vernon Madison crept up behind police officer Julius Schulte and shot him twice in the head at close range
shot	 criminal_triples/case_12.txt	 Vernon Madison	 shot	 him 	 More than 30 years ago, Vernon Madison crept up behind police officer Julius Schulte and shot him twice in the head at close range
twice	 criminal_triples/case_12.txt	 Vernon Madison	 shot twice	 him 	 More than 30 years ago, Vernon Madison crept up behind police officer Julius Schulte and shot him twice in the head at close range
capital	 criminal_triples/case_12.txt	 Alabama jury	 found	 Madison guilty of capital murder 	 An Alabama jury found Madison guilty of capital murder
petitioned	 criminal_triples/case_12.txt	 he	 petitioned trial court for	 suspension of his death sentence 	 In 2016, as Madison's execution neared, he petitioned the trial court for a suspension of his death sentence
suspension	 criminal_triples/case_12.txt	 he	 petitioned trial court for	 suspension of his death sentence 	 In 2016, as Madison's execution neared, he petitioned the trial court for a suspension of his death sentence
death	 criminal_triples/case_12.txt	 he	 petitioned trial court for	 suspension of his death sentence 	 In 2016, as Madison's execution neared, he petitioned the trial court for a suspension of his death sentence
execution	 criminal_triples/case_12.txt	 Madison	 has	 execution 	 In 2016, as Madison's execution neared, he petitioned the trial court for a suspension of his death sentence
neared	 criminal_triples/case_12.txt	 he	 petitioned trial court	 Madison 's execution neared 	 In 2016, as Madison's execution neared, he petitioned the trial court for a suspension of his death sentence
due	 criminal_triples/case_12.txt	 he	 become due to	 recent strokes 	 He argued that, due to several recent strokes, he has become incompetent to be executed
recent	 criminal_triples/case_12.txt	 he	 become due to	 recent strokes 	 He argued that, due to several recent strokes, he has become incompetent to be executed
strokes	 criminal_triples/case_12.txt	 he	 become due to	 recent strokes 	 He argued that, due to several recent strokes, he has become incompetent to be executed
several	 criminal_triples/case_12.txt	 he	 become due to	 several recent strokes 	 He argued that, due to several recent strokes, he has become incompetent to be executed
psychologist	 criminal_triples/case_12.txt	 court	 's psychologist is	 Dr. Karl Kirkland 	 The court's appointed psychologist, Dr. Karl Kirkland, reported that, although Madison may have "suffered a significant decline post-stroke, . . . [he] understands the exact posture of his case at this point," and appears to have a "rational understanding of . . . the results or effects" of his death sentence
appointed	 criminal_triples/case_12.txt	 court	 has	 appointed psychologist 	 The court's appointed psychologist, Dr. Karl Kirkland, reported that, although Madison may have "suffered a significant decline post-stroke, . . . [he] understands the exact posture of his case at this point," and appears to have a "rational understanding of . . . the results or effects" of his death sentence
seeking	 criminal_triples/case_12.txt	 Alabama	 seeking	 retribution for his criminal act 	 Asked at the hearing whether Madison understands that Alabama is seeking retribution against him for his criminal act, Dr. Kirkland answered, "Certainly.
retribution	 criminal_triples/case_12.txt	 Alabama	 seeking	 retribution for his criminal act 	 Asked at the hearing whether Madison understands that Alabama is seeking retribution against him for his criminal act, Dr. Kirkland answered, "Certainly.
act	 criminal_triples/case_12.txt	 Alabama	 seeking	 retribution for his criminal act 	 Asked at the hearing whether Madison understands that Alabama is seeking retribution against him for his criminal act, Dr. Kirkland answered, "Certainly.
understand	 criminal_triples/case_12.txt	 Madison	 understand	 nature of proceeding 	 Nevertheless, Dr. Goff found that Madison "is able to understand the nature of the pending proceeding and he has an understanding of what he was tried for"; that he knows he is "in prison . . . because of 'murder' "; that he "understands that . . . [Alabama is] seeking retribution" for that crime; and that he "understands the sentence, specifically the meaning of a death sentence.
nature	 criminal_triples/case_12.txt	 Madison	 understand	 nature of proceeding 	 Nevertheless, Dr. Goff found that Madison "is able to understand the nature of the pending proceeding and he has an understanding of what he was tried for"; that he knows he is "in prison . . . because of 'murder' "; that he "understands that . . . [Alabama is] seeking retribution" for that crime; and that he "understands the sentence, specifically the meaning of a death sentence.
understands	 criminal_triples/case_12.txt	 he	 understands	 sentence 	 Nevertheless, Dr. Goff found that Madison "is able to understand the nature of the pending proceeding and he has an understanding of what he was tried for"; that he knows he is "in prison . . . because of 'murder' "; that he "understands that . . . [Alabama is] seeking retribution" for that crime; and that he "understands the sentence, specifically the meaning of a death sentence.
meaning	 criminal_triples/case_12.txt	 sentence	 meaning of	 death sentence 	 Nevertheless, Dr. Goff found that Madison "is able to understand the nature of the pending proceeding and he has an understanding of what he was tried for"; that he knows he is "in prison . . . because of 'murder' "; that he "understands that . . . [Alabama is] seeking retribution" for that crime; and that he "understands the sentence, specifically the meaning of a death sentence.
pending	 criminal_triples/case_12.txt	 Madison	 understand	 nature of pending proceeding 	 Nevertheless, Dr. Goff found that Madison "is able to understand the nature of the pending proceeding and he has an understanding of what he was tried for"; that he knows he is "in prison . . . because of 'murder' "; that he "understands that . . . [Alabama is] seeking retribution" for that crime; and that he "understands the sentence, specifically the meaning of a death sentence.
specifically	 criminal_triples/case_12.txt	 he	 specifically meaning of	 death sentence 	 Nevertheless, Dr. Goff found that Madison "is able to understand the nature of the pending proceeding and he has an understanding of what he was tried for"; that he knows he is "in prison . . . because of 'murder' "; that he "understands that . . . [Alabama is] seeking retribution" for that crime; and that he "understands the sentence, specifically the meaning of a death sentence.
tried	 criminal_triples/case_12.txt	 he	 was	 tried 	 Nevertheless, Dr. Goff found that Madison "is able to understand the nature of the pending proceeding and he has an understanding of what he was tried for"; that he knows he is "in prison . . . because of 'murder' "; that he "understands that . . . [Alabama is] seeking retribution" for that crime; and that he "understands the sentence, specifically the meaning of a death sentence.
knows	 criminal_triples/case_12.txt	 he	 knows because of	 murder 	 Nevertheless, Dr. Goff found that Madison "is able to understand the nature of the pending proceeding and he has an understanding of what he was tried for"; that he knows he is "in prison . . . because of 'murder' "; that he "understands that . . . [Alabama is] seeking retribution" for that crime; and that he "understands the sentence, specifically the meaning of a death sentence.
because	 criminal_triples/case_12.txt	 he	 knows because of	 murder 	 Nevertheless, Dr. Goff found that Madison "is able to understand the nature of the pending proceeding and he has an understanding of what he was tried for"; that he knows he is "in prison . . . because of 'murder' "; that he "understands that . . . [Alabama is] seeking retribution" for that crime; and that he "understands the sentence, specifically the meaning of a death sentence.
sequence	 criminal_triples/case_12.txt	 he	 sequence of	 events 	 In Dr. Goff's opinion, however, Madison does not "understan[d] the act that . . . he is being punished for" because he cannot recall "the sequence of events from the offense to his arrest to the trial or any of those details" and believes that he "never went around killing folks.
events	 criminal_triples/case_12.txt	 he	 sequence of	 events 	 In Dr. Goff's opinion, however, Madison does not "understan[d] the act that . . . he is being punished for" because he cannot recall "the sequence of events from the offense to his arrest to the trial or any of those details" and believes that he "never went around killing folks.
offense	 criminal_triples/case_12.txt	 he	 sequence of	 events from offense to his arrest to trial 	 In Dr. Goff's opinion, however, Madison does not "understan[d] the act that . . . he is being punished for" because he cannot recall "the sequence of events from the offense to his arrest to the trial or any of those details" and believes that he "never went around killing folks.
arrest	 criminal_triples/case_12.txt	 he	 sequence of	 events from offense to his arrest to trial 	 In Dr. Goff's opinion, however, Madison does not "understan[d] the act that . . . he is being punished for" because he cannot recall "the sequence of events from the offense to his arrest to the trial or any of those details" and believes that he "never went around killing folks.
does	 criminal_triples/case_12.txt	 Madison does understan	 is In	 Dr. Goff 's opinion 	 In Dr. Goff's opinion, however, Madison does not "understan[d] the act that . . . he is being punished for" because he cannot recall "the sequence of events from the offense to his arrest to the trial or any of those details" and believes that he "never went around killing folks.
